bol_window,bol_std,long_ma,short_ma,sharpe_ratio,win_rate
40,2.0,550,100,2.418623240497828,38.297872340425535
60,3.0,450,100,2.3942242669746028,52.63157894736842
40,2.0,650,100,2.3467120019354204,37.99126637554585
60,3.0,350,100,2.3174438036910385,51.69491525423729
60,3.0,450,120,2.315086393849266,44.85981308411215
60,3.0,550,100,2.304154758361655,52.77777777777778
40,3.0,450,100,2.271400186076473,47.24409448818898
40,2.0,550,120,2.2606557215009575,37.06896551724138
80,2.0,550,120,2.2575066416388636,41.104294478527606
60,3.0,750,100,2.256908945449031,53.46534653465347
40,2.0,550,80,2.246801118682459,37.890625
40,2.0,750,100,2.2382376939567634,38.91402714932127
60,3.0,350,120,2.232355334299382,43.75
60,3.0,550,120,2.2261891543019314,44.554455445544555
80,2.0,550,100,2.2240380616916715,43.42857142857143
40,2.0,650,120,2.215297624435083,35.714285714285715
60,2.0,550,120,2.2115619288849766,40.32258064516129
40,3.0,450,120,2.20562474617064,45.76271186440678
60,3.0,850,100,2.2035317757026514,54.0
40,3.0,550,100,2.2020227452098036,46.82539682539682
20,2.0,550,100,2.187195020526432,34.00576368876081
140,1.0,550,120,2.184149938549112,40.21739130434783
60,3.0,650,100,2.172395098528122,52.336448598130836
120,1.0,550,120,2.1678416248671697,39.682539682539684
40,2.0,650,80,2.163838222862641,37.5
40,2.0,450,100,2.1591001643192183,36.62551440329218
120,1.0,450,120,2.152153983352772,39.48717948717949
140,1.0,550,100,2.1514318962732135,39.51219512195122
60,3.0,750,120,2.1501874730445176,44.79166666666667
60,2.0,550,100,2.1425813716841313,41.62436548223351
160,1.0,550,120,2.1369414564777,37.83783783783784
80,2.0,450,120,2.1325503218483863,40.0
40,2.0,850,100,2.130300899182246,37.280701754385966
100,3.0,550,100,2.130146929002134,57.14285714285714
120,1.0,750,120,2.122600057966115,37.714285714285715
100,2.0,550,100,2.121740300285041,45.0
20,2.0,550,120,2.120185167826628,34.66257668711656
40,1.0,650,100,2.112534686302948,29.457364341085274
40,3.0,550,120,2.111900722537648,43.22033898305085
40,3.0,450,80,2.1106574170154015,47.01492537313433
40,3.0,650,100,2.1097643420501684,47.96747967479675
100,2.0,550,120,2.105030498879308,42.66666666666667
120,1.0,550,100,2.1049492363060853,37.91469194312796
60,3.0,450,80,2.101509268317228,50.40650406504065
80,2.0,450,100,2.0968498593546414,42.07650273224044
60,3.0,850,120,2.0954794296451382,43.75
40,2.0,950,100,2.0927842023748857,36.44444444444444
160,1.0,550,100,2.0900603465020278,36.32075471698113
160,1.0,650,120,2.088905244993507,36.0
60,3.0,650,120,2.0887939436621634,43.0
120,1.0,450,100,2.088633093984675,37.78801843317972
20,2.0,650,100,2.0873164226760403,32.65895953757225
60,2.0,450,120,2.0867011875668378,39.175257731958766
140,1.0,650,120,2.0862877833557114,37.28813559322034
140,1.0,450,100,2.084335498653609,38.88888888888889
160,1.0,750,100,2.0838059343431596,36.45833333333333
40,2.0,750,80,2.0825978715647997,38.17427385892116
140,1.0,450,120,2.0811853858567617,40.51282051282051
120,1.0,750,100,2.0809069882833424,36.92307692307693
140,1.0,750,120,2.0801291431444167,37.42690058479532
160,1.0,450,100,2.074164375652944,36.86635944700461
160,1.0,650,100,2.073629395227507,36.13861386138614
20,2.0,550,80,2.073602841400345,33.51063829787234
60,2.0,650,120,2.0712692787959117,37.01657458563536
160,1.0,750,120,2.0707917140440966,36.52694610778443
160,1.0,850,100,2.065735183245573,37.368421052631575
40,2.0,750,120,2.0643192100932706,36.486486486486484
40,3.0,550,80,2.0633318488198076,45.11278195488722
60,2.0,650,100,2.062635344422868,40.526315789473685
60,3.0,250,100,2.0591224817512597,48.175182481751825
60,1.0,850,100,2.0566203775515066,29.152542372881356
100,3.0,350,100,2.0537988576069246,52.68817204301075
140,1.0,750,100,2.052568755502796,37.5
40,3.0,350,100,2.049672732993532,44.44444444444444
60,3.0,950,100,2.0476013620337112,53.125
140,1.0,650,100,2.0466552625482874,37.68844221105528
160,1.0,850,120,2.0448860144186423,37.12574850299401
160,1.0,450,120,2.0433135677935446,38.02083333333333
40,3.0,850,100,2.0412973129564946,47.45762711864407
120,1.0,650,120,2.038560536211267,36.0655737704918
60,3.0,350,80,2.0353079781568644,48.818897637795274
100,3.0,450,100,2.0346267276959815,53.84615384615385
40,1.0,650,80,2.0313758442976764,29.629629629629626
60,2.0,450,100,2.029817581071216,40.487804878048784
40,1.0,650,120,2.024595640526601,29.301075268817208
100,3.0,550,80,2.021622636933269,55.172413793103445
40,3.0,650,120,2.018565463895064,43.103448275862064
80,1.0,850,100,2.016238355515017,34.48275862068966
180,2.0,550,100,2.010352414601218,50.79365079365079
120,1.0,650,100,2.007682596481446,35.294117647058826
40,3.0,750,100,2.006374807190778,45.90163934426229
80,1.0,750,100,2.005916645093034,33.76068376068376
120,1.0,850,120,2.001296353353902,38.285714285714285
120,1.0,850,100,1.9992679068580048,38.34196891191709
60,3.0,550,80,1.9920976995485353,50.427350427350426
100,3.0,550,120,1.991657762062911,49.382716049382715
140,1.0,850,120,1.9887494012028837,38.15028901734104
20,2.0,650,120,1.988168117166723,32.7217125382263
40,3.0,250,100,1.9874874636049147,44.07894736842105
60,3.0,50,100,1.9859898065101727,45.962732919254655
140,1.0,850,100,1.984335867633022,39.0625
40,2.0,850,120,1.98241778610591,35.526315789473685
140,2.0,550,100,1.9797010835015527,47.05882352941176
100,1.0,750,120,1.975358375087159,33.68983957219251
40,3.0,650,80,1.9729152374885486,45.38461538461539
160,3.0,450,100,1.9694200026818434,60.810810810810814
100,3.0,350,80,1.9688021286377428,53.125
60,3.0,150,100,1.964321132720261,47.13375796178344
40,2.0,450,120,1.9614663994960075,34.45378151260504
180,2.0,450,100,1.9605649060666404,50.0
40,3.0,850,120,1.9573949185927533,41.964285714285715
180,2.0,550,120,1.9573803620182406,46.21848739495798
40,2.0,850,80,1.9571187886747625,37.39837398373984
40,1.0,750,100,1.955637066889022,27.250000000000004
120,1.0,350,120,1.9540639193556815,36.44859813084112
60,2.0,550,80,1.9540530877006153,40.55299539170507
40,2.0,450,80,1.951664383567778,35.338345864661655
140,2.0,550,120,1.9510492125853875,44.09448818897638
160,3.0,550,100,1.9505894398503767,61.64383561643836
60,3.0,750,80,1.9504346044139684,50.45871559633027
40,2.0,350,100,1.94993615370806,33.84615384615385
40,3.0,350,120,1.9470388775104213,42.1875
100,3.0,450,80,1.9453565454110493,52.12765957446809
60,2.0,850,100,1.944702379222958,40.54054054054054
80,1.0,750,120,1.9442258085177826,29.613733905579398
20,1.0,550,100,1.9437432701578312,30.560271646859082
100,1.0,750,100,1.9432057414475146,35.294117647058826
60,1.0,850,120,1.9426280171814134,27.491408934707906
120,1.0,350,100,1.9414983370479013,35.16949152542373
80,1.0,950,100,1.9394426890279364,34.05172413793103
100,2.0,450,100,1.9387696164158805,42.60355029585799
160,3.0,350,100,1.937223413917903,60.0
80,1.0,850,120,1.9365066420725934,29.914529914529915
60,1.0,950,100,1.9360295738515494,27.57475083056478
60,3.0,950,120,1.9356565667097931,43.47826086956522
40,2.0,950,120,1.9296874868099492,34.36123348017621
60,2.0,750,100,1.9294268461574418,40.106951871657756
20,1.0,650,100,1.9263669282071958,30.63973063973064
40,1.0,750,120,1.9259404825681372,27.39018087855297
40,1.0,850,100,1.925819564258637,26.980198019801982
40,1.0,550,100,1.9256723741150914,29.219143576826195
40,1.0,550,80,1.9249718571971095,29.227053140096622
40,2.0,950,80,1.9247068316780431,37.03703703703704
20,2.0,650,80,1.9242262602847315,31.648936170212767
80,3.0,450,100,1.9232616940333287,52.42718446601942
60,3.0,850,80,1.9177790425329762,50.92592592592593
80,3.0,350,100,1.9177559175801022,51.42857142857142
80,1.0,650,100,1.9177007681350666,32.06751054852321
60,2.0,950,100,1.9175977180290378,40.21739130434783
60,1.0,650,100,1.9150660184054467,27.0
40,3.0,750,120,1.9139748467781452,41.73913043478261
120,2.0,550,100,1.9112611500384382,48.275862068965516
140,1.0,350,100,1.910485936356943,35.16949152542373
60,2.0,850,120,1.9057171702200044,36.46408839779006
60,2.0,650,80,1.9040414946250268,39.71291866028708
60,2.0,750,120,1.903177532371702,36.312849162011176
40,1.0,550,120,1.903145790792001,29.75871313672922
80,1.0,550,100,1.9026240110370551,32.66129032258064
80,1.0,550,120,1.902374578268058,30.672268907563026
40,2.0,550,60,1.9022880919236664,38.062283737024224
120,2.0,550,120,1.9011442230506532,44.85294117647059
80,1.0,450,120,1.8998932504612793,30.125523012552303
60,3.0,250,120,1.898792216365006,40.15151515151515
80,1.0,650,120,1.8986612869472388,28.879310344827587
60,1.0,750,100,1.89793919261202,26.845637583892618
100,1.0,450,120,1.8938151789125222,33.33333333333333
40,3.0,350,80,1.892925518796641,42.758620689655174
80,2.0,550,80,1.8917979442245987,40.7035175879397
100,2.0,650,120,1.8917098159158368,40.0
80,2.0,350,100,1.889673174407463,38.80597014925373
180,1.0,550,120,1.8895106436341251,35.638297872340424
100,1.0,550,120,1.8879909993905146,33.0
120,1.0,250,100,1.8849393855920509,34.54545454545455
160,1.0,650,80,1.8848086790149945,32.846715328467155
180,2.0,450,120,1.8843483720911107,44.71544715447154
100,3.0,750,100,1.8819047594301963,53.84615384615385
100,2.0,650,100,1.8804432566907043,43.58974358974359
100,3.0,650,100,1.879554646744601,55.00000000000001
40,1.0,850,120,1.8788557042858662,27.2264631043257
80,2.0,250,100,1.8778166096637754,39.91031390134529
20,2.0,450,100,1.8778105448475209,33.23615160349854
80,4.0,450,100,1.8777194198867964,64.86486486486487
60,3.0,650,80,1.8772040338428593,49.56521739130435
100,1.0,450,100,1.8767112955645278,34.36123348017621
80,4.0,550,100,1.8766091271508947,66.66666666666666
100,1.0,850,100,1.8736876868818444,35.78431372549019
40,3.0,850,80,1.8735431201276656,43.65079365079365
60,2.0,350,120,1.8733719494100154,36.407766990291265
100,3.0,350,120,1.8730054745527545,45.55555555555556
80,3.0,650,100,1.8727827000623272,52.12765957446809
160,1.0,450,80,1.8727604811100764,34.48275862068966
80,2.0,850,120,1.8720382166304064,39.473684210526315
100,1.0,550,100,1.8718872608977828,34.090909090909086
60,3.0,50,120,1.870817662590385,40.25974025974026
80,4.0,950,100,1.8680773453772985,71.42857142857143
100,2.0,450,120,1.8668088536289162,40.25157232704403
140,1.0,350,120,1.865809886760107,35.81395348837209
20,1.0,550,120,1.862686511429106,30.0
60,3.0,150,120,1.8623451292812272,40.666666666666664
180,2.0,550,80,1.8623350847320659,47.05882352941176
80,4.0,850,100,1.8613500429546856,72.41379310344827
100,3.0,450,120,1.8595250861636088,46.590909090909086
160,3.0,450,120,1.8553579015317778,52.054794520547944
160,1.0,550,80,1.853358829704623,33.33333333333333
40,1.0,750,80,1.8528441744714843,28.087167070217916
80,3.0,750,100,1.852579576342549,50.56179775280899
40,2.0,650,60,1.851784713979212,37.545126353790614
80,2.0,650,120,1.851635303519376,37.267080745341616
40,3.0,750,80,1.8511445983285202,42.30769230769231
80,2.0,350,120,1.8499298470542616,36.36363636363637
40,3.0,250,120,1.849114966297612,39.726027397260275
160,1.0,750,80,1.8481939478645781,32.45283018867924
160,2.0,550,100,1.8476134664514805,49.24242424242424
160,1.0,850,80,1.8475631835799151,32.82442748091603
160,3.0,550,120,1.84409082045124,52.77777777777778
100,1.0,850,120,1.8416290657564898,33.33333333333333
60,3.0,250,80,1.8402982027411505,45.89041095890411
180,1.0,750,120,1.8381974718702012,34.9112426035503
180,1.0,750,100,1.8378746492451092,33.83838383838384
60,3.0,450,20,1.8376142075074293,48.026315789473685
80,2.0,850,100,1.8368040776374772,43.82716049382716
160,3.0,50,100,1.8337994841223397,58.97435897435898
