date,open,high,low,close,volume
1569283200000,1.015,1.11,0.775,0.8597,812705.26
1569369600000,0.8711,0.9122,0.8101,0.8517,342967.31
1569456000000,0.8521,0.9086,0.81,0.8503,406060.51
1569542400000,0.8451,0.8979,0.81,0.8845,257134.2
1569628800000,0.8866,0.94,0.8605,0.8902,251804.6
1569715200000,0.8966,0.9058,0.8565,0.8817,153810.52
1569801600000,0.8743,0.9169,0.8405,0.9018,295749.36
1569888000000,0.9016,0.992,0.895,0.9502,279353.2
1569974400000,0.9482,0.9482,0.8854,0.9428,244306.65
1570060800000,0.9427,0.9627,0.9071,0.9299,218314.72
1570147200000,0.9306,0.9306,0.8967,0.9194,122336.97
1570233600000,0.9155,0.9192,0.8983,0.9094,93787.32
1570320000000,0.9114,0.9133,0.86,0.8641,237566.39
1570406400000,0.863,0.9238,0.8503,0.8983,334799.55
1570492800000,0.8983,0.913,0.8893,0.8982,162029.52
1570579200000,0.8972,0.9591,0.89,0.9332,375400.73
1570665600000,0.9354,0.9478,0.9111,0.914,191529.09
1570752000000,0.9146,0.9196,0.876,0.9052,258983.29
1570838400000,0.9082,0.9121,0.89,0.89,72844.97
1570924800000,0.8904,0.9362,0.8836,0.9031,179872.49
1571011200000,0.8993,0.9373,0.8954,0.9363,209153.8
1571097600000,0.9363,0.9384,0.9017,0.9056,99930.95
1571184000000,0.9011,0.9087,0.8561,0.8731,162680.29
1571270400000,0.8733,0.8961,0.8673,0.8923,83266.39
1571356800000,0.8887,0.895,0.865,0.8792,60247
1571443200000,0.875,0.8919,0.8533,0.8618,65336.8
1571529600000,0.8593,0.8867,0.8533,0.8793,43130.94
1571616000000,0.8796,0.8897,0.8608,0.8644,48259.34
1571702400000,0.8692,0.8792,0.82,0.8335,235556.75
1571788800000,0.83,0.8345,0.7499,0.7585,357749.81
1571875200000,0.7595,0.7725,0.7499,0.759,221814.24
1571961600000,0.7616,0.8399,0.7595,0.8348,304385.52
1572048000000,0.8346,0.92,0.8008,0.8346,344511.04
1572134400000,0.8373,0.89,0.8052,0.8603,325240.96
1572220800000,0.8622,0.93,0.848,0.85,356872.75
1572307200000,0.8485,0.8673,0.8276,0.8419,205439.83
1572393600000,0.8421,0.9245,0.8225,0.8755,684841.22
1572480000000,0.8783,0.9248,0.8656,0.8832,517813.94
1572566400000,0.8827,0.8897,0.8588,0.8728,177185.03
1572652800000,0.8789,0.8798,0.8548,0.8619,150251.18
1572739200000,0.8621,0.8669,0.8462,0.8666,102598.99
1572825600000,0.8658,0.905,0.8617,0.8859,360867.44
1572912000000,0.8857,0.9287,0.8763,0.9243,372594.52
1572998400000,0.9237,1.05,0.901,1.0156,1517698.65
1573084800000,1.0153,1.4306,1.0153,1.2079,6496093.59
1573171200000,1.2089,1.2999,1.1166,1.1659,2029353.23
1573257600000,1.166,1.275,1.147,1.2658,1137098.44
1573344000000,1.2623,1.2648,1.1838,1.2237,866060.71
1573430400000,1.2248,1.2466,1.1649,1.1706,527861.36
1573516800000,1.1723,1.2,1.1469,1.1655,412917.29
1573603200000,1.1668,1.1683,1.1106,1.1314,537021.4
1573689600000,1.128,1.2913,1.096,1.2162,2493395.26
1573776000000,1.2161,1.2591,1.1264,1.17,1267783.16
1573862400000,1.17,1.1759,1.1452,1.1546,495792.26
1573948800000,1.157,1.1721,1.1439,1.1552,401454.08
1574035200000,1.1558,1.259,1.1528,1.2122,1253135.9
1574121600000,1.216,1.24,1.1353,1.2036,975672.12
1574208000000,1.2036,1.2444,1.16,1.2145,905851.18
1574294400000,1.2161,1.3,1.1707,1.2158,2398916.03
1574380800000,1.213,1.2779,1.07,1.2199,2542579.95
1574467200000,1.2199,1.4291,1.2199,1.3802,4063181.11
1574553600000,1.3835,1.4044,1.2841,1.3099,1900705.22
1574640000000,1.31,1.3192,1.1998,1.228,2695715.17
1574726400000,1.2275,1.2825,1.2175,1.2384,1748310.02
1574812800000,1.239,1.2783,1.1441,1.2542,2122016.11
1574899200000,1.256,1.3488,1.2084,1.2725,1835735.01
1574985600000,1.2765,1.3446,1.2694,1.3068,1420957.95
1575072000000,1.3066,1.3598,1.3043,1.3336,1249095.61
1575158400000,1.3357,1.3358,1.2424,1.2527,1181355.62
1575244800000,1.2514,1.2551,1.2,1.2394,1391941.74
1575331200000,1.2393,1.3066,1.2047,1.2904,1879547.73
1575417600000,1.2898,1.3287,1.2337,1.2411,1935645.7
