date,open,high,low,close,volume
1602727200000,51.43,59,46.437,47.099,13042.026
1602734400000,47.097,49.746,46.158,49,10183.532
1602741600000,49,49.496,48.61,49,5316.488
1602748800000,48.901,49.446,45.681,46.121,8306.965
1602756000000,46.2,47.017,44.392,45.871,14632.944
1602763200000,45.871,48.482,45.8,47.047,13445.014
1602770400000,46.983,48.017,46.5,47.297,4931.766
1602777600000,47.297,48,45.889,46.484,4367.841
1602784800000,46.485,47.997,46.326,47.462,2770.883
1602792000000,47.52,47.902,45.673,46.026,4321.729
1602799200000,46.152,46.24,42.747,42.999,17329.682
1602806400000,43.017,43.8,42,43.79,16856.266
1602813600000,43.79,43.8,42.199,43.474,12323.25
1602820800000,43.43,43.679,40.649,42.221,11969.786
1602828000000,42.206,42.323,39.911,41.786,13087.23
1602835200000,41.618,42.792,41.549,41.986,7312.435
1602842400000,41.985,41.998,40.837,41.365,6030.177
1602849600000,41.363,41.961,41.053,41.961,4096.202
1602856800000,41.92,42.256,41.221,41.676,3239.859
1602864000000,41.678,41.756,40.614,40.835,2954.39
1602871200000,40.848,40.993,39.799,39.889,4882.441
1602878400000,39.799,41.157,39.72,40.477,3649.181
1602885600000,40.477,40.511,39.092,39.461,4435.195
1602892800000,39.371,39.38,38.206,39.203,5517.469
1602900000000,39.22,41.781,39.188,40.9,8902.097
1602907200000,40.887,40.9,40.197,40.51,1939.936
1602914400000,40.51,41.99,39.852,41.85,3718.116
1602921600000,41.772,41.85,40.868,41.058,2648.719
1602928800000,41.101,43.235,41.101,42.779,5966.423
1602936000000,42.78,42.78,41.575,41.627,3040.298
1602943200000,41.575,42.643,40.97,41.3,4441.901
1602950400000,41.3,41.49,40.763,41.488,1676.439
1602957600000,41.497,41.962,41.285,41.691,1502.615
1602964800000,41.77,41.784,41.509,41.509,523.444
1602972000000,41.598,41.598,40.835,41.365,2093.686
1602979200000,41.359,41.425,40.476,40.78,2293.631
1602986400000,40.78,40.915,39.596,40.095,3493.892
1602993600000,40.112,40.498,40.095,40.464,1129.266
1603000800000,40.436,40.46,40,40.322,1866.269
1603008000000,40.312,40.6,40.1,40.105,1261.494
1603015200000,40.105,40.443,39.65,40.25,2730.725
1603022400000,40.25,40.38,39.985,40.101,1883.168
1603029600000,40.158,41.094,40.102,40.562,2905.391
1603036800000,40.571,40.636,40,40.241,3497.595
1603044000000,40.341,40.809,40.23,40.312,1791.316
1603051200000,40.374,40.744,39.428,40.402,5329.371
1603058400000,40.325,40.867,40.096,40.75,2735.835
1603065600000,40.82,41,40.4,40.62,2463.108
1603072800000,40.634,40.697,39.881,40,4073.522
1603080000000,39.958,40.21,39.87,40.112,959.854
1603087200000,40,40.204,39.477,39.885,6993.992
1603094400000,39.785,40.05,39.473,39.596,5435.617
1603101600000,39.594,39.609,38.209,38.518,9169.671
1603108800000,38.51,39.9,38.5,39.379,8197.859
1603116000000,39.379,39.65,38,38,9382.223
1603123200000,38,38.5,36.2,36.453,13058.981
1603130400000,36.562,37.448,36.306,36.526,10377.746
1603137600000,36.526,37.221,36.501,36.823,3607.173
1603144800000,36.69,36.702,35.912,35.98,12756.19
1603152000000,36,36.018,34.6,35.052,22684.772
1603159200000,35,35.961,34.5,35.718,13697.677
1603166400000,35.726,36.403,34.701,35.027,7362.167
1603173600000,34.978,35.082,33,33.338,20455.121
1603180800000,33.277,34.277,33.123,33.935,13566.561
1603188000000,33.96,35.111,33.75,34.636,17387.889
1603195200000,34.641,35.737,34.319,34.666,12572.902
1603202400000,34.711,34.711,33,34.085,37958.223
1603209600000,34.092,34.9,33.592,33.592,16520.228
1603216800000,33.777,33.833,33.015,33.195,5488.843
1603224000000,33.183,34.161,33.035,34.016,5918.13
1603231200000,34.016,34.138,32,32.16,29040.991
1603238400000,32.186,33.03,32,32,8992.579
1603245600000,32.058,33.166,32,32.973,12832.355
1603252800000,32.983,34.737,32.983,34.12,12121.964
1603260000000,34.12,34.783,33.533,33.781,6858.514
1603267200000,33.782,34.315,33.557,33.982,2870.664
1603274400000,34.066,35.543,34.066,35.342,16881.542
1603281600000,35.308,35.308,34.303,35.087,8436.277
1603288800000,35.162,36.259,34.4,36.259,20157.702
1603296000000,36.259,37.145,35.374,36.014,36162.856
1603303200000,36.108,36.646,35.88,35.939,6196.075
1603310400000,35.94,36.171,35.099,35.563,7180.235
1603317600000,35.559,35.672,34.65,35.073,6958.005
1603324800000,35.033,35.453,34.674,34.955,6751.032
1603332000000,35.006,35.007,34.084,34.084,6620.313
1603339200000,34.084,34.302,33.266,33.865,8670.484
1603346400000,33.915,34.203,33.394,33.624,7030.642
1603353600000,33.714,34.387,33.578,34.025,6280.329
1603360800000,34,36.716,33.927,36.508,22277.468
1603368000000,36.508,37.2,35.47,36.984,10095.421
1603375200000,36.903,37.988,36.41,36.98,21296.879
1603382400000,37.005,39.601,37.005,39.601,17262.482
1603389600000,39.565,39.76,38.226,38.373,22110.002
1603396800000,38.311,40.379,38.311,39.06,13618.12
1603404000000,39.167,39.298,37.347,37.836,12356.806
1603411200000,37.911,38.089,36.998,37.763,9507.97
1603418400000,37.782,38.839,37.647,38.631,9466.972
1603425600000,38.532,41.5,38.516,40.98,29912.156
1603432800000,40.98,41.606,39.835,40.165,24700.935
1603440000000,40.165,40.403,39.452,39.885,12021.025
1603447200000,39.928,41.293,39.656,40.608,13070.394
1603454400000,40.636,41.47,40.19,40.701,13577.591
1603461600000,40.644,41.192,39.514,39.608,14678.002
1603468800000,39.606,39.995,38.06,39.383,29020.537
1603476000000,39.285,40.886,38.953,40.702,13333.545
1603483200000,40.633,40.744,40.095,40.616,4126.217
1603490400000,40.553,42.658,40.553,41.681,17212.607
1603497600000,41.681,42.63,41,42.203,7255.632
1603504800000,42.156,42.175,41.298,41.546,7556.282
1603512000000,41.425,42.08,40.772,40.982,5614.7
1603519200000,41.084,41.258,39.896,40.207,11377.497
1603526400000,40.227,41.075,39.71,41.009,5915.398
1603533600000,40.915,41.398,40.386,40.668,9688.814
1603540800000,40.668,40.98,40.131,40.572,8078.679
1603548000000,40.572,41,40.13,40.217,8837.845
1603555200000,40.246,40.625,39.733,40.499,5223.363
1603562400000,40.499,40.54,39.715,39.773,4725.726
