date,open,high,low,close,volume
1509933600000,1.5,1.799,0.5,1.7,649.12
1509940800000,1.3,1.65,1.3,1.5458,14775.92
1509948000000,1.5458,1.681,1.5387,1.625,37706.63
1509955200000,1.6011,1.6379,1.58,1.6366,12532.03
1509962400000,1.601,1.676,1.6,1.6288,9210.39
1509969600000,1.6288,1.6288,1.5803,1.6,6323.53
1509976800000,1.5805,1.6148,1.5645,1.6148,15863
1509984000000,1.6148,1.631,1.57,1.5829,7604.5
1509991200000,1.5868,1.6028,1.5645,1.5868,4165.31
1509998400000,1.5948,1.598,1.556,1.571,4336.76
1510005600000,1.5789,1.5868,1.55,1.571,7448.15
1510012800000,1.571,1.5948,1.5389,1.5389,7399.27
1510020000000,1.5389,1.6188,1.5389,1.6188,957.99
1510027200000,1.6184,1.6188,1.5548,1.602,11182.7
1510034400000,1.59,1.59,1.5705,1.5705,3060.47
1510041600000,1.59,1.595,1.5548,1.5864,1236.9
1510048800000,1.5864,1.6184,1.565,1.5864,3343.92
1510056000000,1.6183,1.6266,1.5801,1.5942,8238.75
1510063200000,1.6023,1.7885,1.6023,1.7353,52264.55
1510070400000,1.7191,1.799,1.6593,1.7704,31333.78
1510077600000,1.7616,1.799,1.7288,1.799,4035.57
1510084800000,1.79,1.7989,1.7196,1.72,1744.02
1510092000000,1.7196,1.8,1.7196,1.8,9331.81
1510099200000,1.7901,1.946,1.7479,1.8013,32443.31
1510106400000,1.8025,1.8999,1.77,1.81,15030.24
1510113600000,1.8891,1.99,1.838,1.87,33230.45
1510120800000,1.8789,1.988,1.8235,1.8631,7746.17
1510128000000,1.9448,1.9448,1.8757,1.935,6728.96
1510135200000,1.935,1.935,1.8736,1.8736,8276.53
1510142400000,1.87,1.8998,1.821,1.8369,16603.61
1510149600000,1.8369,1.93,1.8368,1.93,18374.1
1510156800000,1.9249,1.95,1.849,1.93,10447.35
1510164000000,1.94,1.99,1.78,1.95,88120.44
1510171200000,1.91,1.99,1.9,1.9,35473.34
1510178400000,1.9,1.9899,1.875,1.9889,74815.76
1510185600000,1.9781,1.9999,1.9,1.999,21675.25
1510192800000,1.998,2.05,1.931,2.05,23113.59
1510200000000,1.96,2.0295,1.96,2,6171.57
1510207200000,2,2.02,1.9808,2.0182,8630.85
1510214400000,2.0182,2.0497,2,2.035,19007.23
1510221600000,2.02,2.07,1.9704,2.0001,52311.7
1510228800000,2.0599,2.1,2.0118,2.066,31741.82
1510236000000,2.0661,2.1997,2.066,2.0711,57034.11
1510243200000,2.11,2.1289,2.08,2.11,13888.66
1510250400000,2.1289,2.1302,2.0921,2.1294,4600.58
1510257600000,2.1279,2.1279,2.0201,2.0201,6695.22
1510264800000,2.0201,2.026,1.9,1.99,42166.62
1510272000000,1.99,2.02,1.9602,1.9881,12545.77
1510279200000,1.9976,2.02,1.9,1.9498,58760.82
1510286400000,1.94,1.9497,1.895,1.93,21924.16
1510293600000,1.9,1.9488,1.8923,1.895,7903.66
1510300800000,1.9459,2.0101,1.85,1.85,81229.06
1510308000000,1.8335,1.92,1.7998,1.7998,36069.95
1510315200000,1.7998,1.825,1.6631,1.798,94624.92
1510322400000,1.7705,1.775,1.7,1.7723,42237.87
1510329600000,1.744,1.89,1.718,1.828,26743.64
1510336800000,1.797,1.797,1.6168,1.6501,41941.73
1510344000000,1.67,1.7912,1.6019,1.751,13571.74
1510351200000,1.751,1.8799,1.712,1.7133,47105.58
1510358400000,1.79,1.9,1.79,1.8825,38918.61
1510365600000,1.9,1.925,1.85,1.8799,33583.51
1510372800000,1.9178,1.9179,1.82,1.837,12481.2
1510380000000,1.838,1.8772,1.8001,1.848,7781.45
1510387200000,1.8023,1.8471,1.8006,1.8461,5171.31
1510394400000,1.8211,1.8461,1.69,1.7304,30524.98
1510401600000,1.7304,1.7304,1.585,1.66,73970.22
1510408800000,1.66,1.6998,1.58,1.6,24269.47
1510416000000,1.65,1.67,1.58,1.67,13101.84
1510423200000,1.65,1.7,1.623,1.7,2906.89
1510430400000,1.6521,1.7,1.6521,1.6999,7760.65
1510437600000,1.69,1.69,1.6401,1.655,8368.24
1510444800000,1.6567,1.6567,1.595,1.6038,16807.6
1510452000000,1.5952,1.6153,1.5,1.53,89699.07
1510459200000,1.51,1.5999,1.47,1.49,53717.86
1510466400000,1.4908,1.62,1.34,1.5302,131431.41
1510473600000,1.5676,1.7,1.51,1.58,31747.2
1510480800000,1.58,1.6689,1.58,1.5851,19366.79
1510488000000,1.6003,1.6792,1.5313,1.5888,33541.1
1510495200000,1.5887,1.669,1.56,1.575,31969.82
1510502400000,1.575,1.6389,1.53,1.531,16987.77
1510509600000,1.59,1.62,1.5058,1.5879,12041.89
1510516800000,1.5879,1.6,1.51,1.549,7823.13
1510524000000,1.5059,1.6,1.45,1.49,12026.08
1510531200000,1.5,1.6,1.5,1.577,2204.54
1510538400000,1.57,1.6,1.57,1.5995,4016.1
1510545600000,1.5995,1.65,1.5406,1.5905,27583.78
1510552800000,1.6387,1.639,1.5908,1.5933,24223.8
1510560000000,1.6298,1.6995,1.6,1.6995,21400.51
1510567200000,1.6994,1.7381,1.65,1.71,20289.11
1510574400000,1.7039,1.7097,1.6602,1.6674,17565.75
1510581600000,1.6674,1.705,1.6428,1.6748,20812.8
1510588800000,1.6741,1.6999,1.634,1.634,5683.7
1510596000000,1.6342,1.6595,1.6,1.6408,13791.03
1510603200000,1.6628,1.6628,1.6201,1.6243,1461.41
1510610400000,1.6628,1.6893,1.6625,1.68,7738.2
1510617600000,1.6801,1.7381,1.68,1.7002,21329.5
1510624800000,1.6857,1.7002,1.65,1.694,9092.81
1510632000000,1.6755,1.6947,1.6699,1.6704,9266.22
1510639200000,1.6705,1.6929,1.66,1.6613,7629.01
1510646400000,1.6688,1.6688,1.612,1.6355,25010.4
1510653600000,1.6299,1.6299,1.56,1.5898,36103.76
1510660800000,1.5898,1.6277,1.5321,1.5695,25661.08
1510668000000,1.5695,1.59,1.55,1.5899,10107.41
1510675200000,1.58,1.6154,1.5553,1.6001,14711.64
1510682400000,1.6001,1.6181,1.5908,1.5976,2002.55
1510689600000,1.5976,1.6181,1.5705,1.5705,7297.67
1510696800000,1.5913,1.5913,1.5553,1.5911,9034.4
1510704000000,1.5721,1.633,1.572,1.6004,14289.08
1510711200000,1.6004,1.6294,1.563,1.5992,17662.06
1510718400000,1.5991,1.5992,1.5736,1.5934,9109.93
1510725600000,1.5739,1.5969,1.5604,1.5968,17613.66
1510732800000,1.5959,1.6794,1.5621,1.5808,28858.13
1510740000000,1.5941,1.6004,1.555,1.5806,12156.01
1510747200000,1.5806,1.5837,1.52,1.5305,76413.56
1510754400000,1.5305,1.568,1.5001,1.5004,40387.47
1510761600000,1.5005,1.5499,1.5,1.5002,52331.34
1510768800000,1.5185,1.5678,1.49,1.5403,15623.66
1510776000000,1.5595,1.5596,1.5,1.52,4266.94
1510783200000,1.52,1.5533,1.5102,1.5532,8926.5
1510790400000,1.5533,1.6699,1.5499,1.6236,36040.27
1510797600000,1.6298,1.64,1.5992,1.6013,6715.62
1510804800000,1.6222,1.6244,1.568,1.6238,18368.2
1510812000000,1.6239,1.6239,1.55,1.5595,17228.52
1510819200000,1.57,1.6099,1.511,1.5746,19124.79
1510826400000,1.5747,1.6,1.5354,1.6,5235.99
1510833600000,1.5811,1.6238,1.5455,1.5455,17891.2
1510840800000,1.5455,1.6354,1.5455,1.6157,23858.31
1510848000000,1.6157,1.6299,1.5702,1.6299,15473.26
1510855200000,1.6299,1.6299,1.5717,1.5998,4249.49
1510862400000,1.581,1.6115,1.56,1.611,10084.62
1510869600000,1.611,1.62,1.5594,1.5599,23759.39
1510876800000,1.5599,1.5765,1.51,1.539,61497.2
1510884000000,1.539,1.5625,1.53,1.5498,22158.28
1510891200000,1.54,1.5527,1.52,1.53,32622.79
1510898400000,1.53,1.5399,1.4925,1.4925,77243.88
1510905600000,1.4951,1.5346,1.49,1.512,26316.97
1510912800000,1.5118,1.532,1.4956,1.5147,37693.96
1510920000000,1.5147,1.5598,1.5,1.545,58791.31
1510927200000,1.545,1.5599,1.5286,1.545,30524.11
1510934400000,1.5448,1.5448,1.5003,1.5003,18329.67
1510941600000,1.5185,1.54,1.5185,1.5396,2123.27
1510948800000,1.5396,1.5396,1.4912,1.4914,7521.33
1510956000000,1.5005,1.5555,1.4914,1.5041,44623.81
1510963200000,1.5041,1.5899,1.492,1.5495,42445.12
1510970400000,1.567,1.5684,1.53,1.53,12235.14
1510977600000,1.53,1.563,1.5259,1.563,5370.91
1510984800000,1.563,1.5685,1.5451,1.5632,12361.32
1510992000000,1.5457,1.5845,1.5457,1.57,12405.82
1510999200000,1.57,1.57,1.5327,1.55,7901.28
1511006400000,1.56,1.5823,1.5494,1.55,9850.06
1511013600000,1.567,1.5999,1.5614,1.5827,24652.66
1511020800000,1.5827,1.6108,1.5818,1.6108,17398.39
1511028000000,1.5929,1.65,1.5929,1.62,18328.32
1511035200000,1.636,1.642,1.6113,1.6288,2343.51
1511042400000,1.6288,1.6699,1.6288,1.6699,6807.33
1511049600000,1.6524,1.6948,1.58,1.6478,36009.02
1511056800000,1.6666,1.6947,1.615,1.6398,12544.46
1511064000000,1.65,1.6672,1.6195,1.648,7520.79
1511071200000,1.6478,1.676,1.64,1.6469,23311.65
1511078400000,1.6423,1.6717,1.635,1.6717,13292.54
1511085600000,1.6717,1.6759,1.64,1.6601,11017.26
1511092800000,1.6601,1.6945,1.6389,1.6416,16982.76
1511100000000,1.646,1.646,1.5924,1.609,17027.61
1511107200000,1.6239,1.6395,1.6,1.6163,12091.61
1511114400000,1.6163,1.63,1.576,1.5919,10174.32
1511121600000,1.595,1.65,1.575,1.6166,15878.88
1511128800000,1.6334,1.6334,1.6,1.6,3850.72
1511136000000,1.6,1.6166,1.575,1.575,7174.24
1511143200000,1.5915,1.6149,1.5605,1.5768,12559.15
1511150400000,1.5768,1.6108,1.5768,1.595,7937.33
1511157600000,1.595,1.6118,1.58,1.61,15427.28
1511164800000,1.61,1.61,1.582,1.5989,3666.49
1511172000000,1.5861,1.6136,1.5861,1.6,9976.87
1511179200000,1.6,1.6151,1.59,1.6146,26671.75
1511186400000,1.6148,1.63,1.605,1.6157,16900.54
1511193600000,1.6157,1.6488,1.6051,1.6343,36745.14
1511200800000,1.636,1.6483,1.6216,1.6219,3486.21
1511208000000,1.638,1.65,1.6193,1.6357,9098.91
1511215200000,1.6357,1.6522,1.6193,1.64,10093.25
1511222400000,1.6257,1.6419,1.6101,1.6101,4859.66
1511229600000,1.6395,1.6395,1.547,1.5623,98893.89
