date,open,high,low,close,volume
1597788000000,2.09,4.44,2,3.1,6039881.97
1597795200000,3.1,3.14,2.9738,3.1063,2367749.81
1597802400000,3.1082,3.1124,2.64,2.885,3241623.46
1597809600000,2.885,3.0755,2.811,2.9255,2127064.18
1597816800000,2.9255,3.1999,2.9,3.195,2251289.88
1597824000000,3.195,3.195,3.01,3.0401,1155918.24
1597831200000,3.0497,3.09,2.9,3,804755.47
1597838400000,3,3.0078,2.9,2.9354,1018365.78
1597845600000,2.9431,3.008,2.9353,2.9401,675945.48
1597852800000,2.9425,3.0298,2.9167,2.982,538927.67
1597860000000,2.983,2.9956,2.72,2.8027,832794.53
1597867200000,2.8027,3.0078,2.7918,2.995,412270.69
1597874400000,2.9997,3.035,2.9001,2.95,469069.73
1597881600000,2.9449,2.999,2.85,2.9001,504729.32
1597888800000,2.9001,2.9105,2.715,2.75,911322.37
1597896000000,2.75,2.8,2.6759,2.7344,563288.68
1597903200000,2.7345,2.915,2.6833,2.835,655798.2
1597910400000,2.8311,2.8965,2.8038,2.8488,361982.59
1597917600000,2.8454,2.895,2.7803,2.8715,946951.13
1597924800000,2.8715,2.9398,2.8133,2.8342,669955.83
1597932000000,2.8351,3.03,2.8,3.0117,1134817.29
1597939200000,3.0072,3.1111,2.9835,3.0286,1111490.06
1597946400000,3.0289,3.029,2.82,2.8832,1263803.05
1597953600000,2.8832,3,2.78,2.7946,953533.7
1597960800000,2.7987,2.9147,2.6,2.9,1963191.38
1597968000000,2.8978,2.957,2.8804,2.9409,621851.43
1597975200000,2.9408,2.95,2.6826,2.8303,1392206.84
1597982400000,2.8407,2.899,2.7903,2.8641,714251.79
1597989600000,2.8679,2.9512,2.85,2.9512,949069.8
1597996800000,2.951,3.09,2.901,2.901,1354667.14
1598004000000,2.901,3.0271,2.84,2.8951,773838.5
1598011200000,2.8954,2.9696,2.8311,2.9302,544315.79
1598018400000,2.9302,2.9509,2.86,2.9116,772226.96
1598025600000,2.9106,2.9717,2.8793,2.9375,336840.66
1598032800000,2.9347,3.028,2.8441,2.9274,1239909.96
1598040000000,2.9238,2.9882,2.8437,2.8912,608373.33
1598047200000,2.8854,2.9128,2.82,2.833,457601.54
1598054400000,2.8387,2.87,2.782,2.84,606624.2
1598061600000,2.84,2.9486,2.82,2.9398,416049.62
1598068800000,2.9361,2.96,2.8675,2.9301,489987.36
1598076000000,2.9354,3.6868,2.9015,3.41,5349059.96
1598083200000,3.4122,4.019,3.211,3.8997,7778946.51
1598090400000,3.892,3.98,3.6363,3.8153,4132983.22
1598097600000,3.8205,4.0313,3.501,3.8149,5208981.84
1598104800000,3.8149,3.9353,3.6,3.8226,4016307.63
1598112000000,3.8226,4.19,3.7815,4.1582,3854464.77
1598119200000,4.1646,4.3634,4.0921,4.219,4153266.89
1598126400000,4.2197,4.3,3.9333,4.2717,2639734.33
1598133600000,4.2647,4.55,4.1092,4.4546,2965070.18
1598140800000,4.4756,4.4864,4.132,4.41,2535724.28
1598148000000,4.41,4.4133,4.0202,4.1,2220100.26
1598155200000,4.1,4.2776,4.0279,4.1473,1297692.83
1598162400000,4.1473,4.2691,4.01,4.2083,1361697.71
1598169600000,4.2093,4.2255,4.1202,4.1778,1085172.55
1598176800000,4.18,4.1833,3.717,3.7399,4080028.76
1598184000000,3.7418,3.9736,3.7032,3.8441,3420394.55
1598191200000,3.838,3.9156,3.7185,3.91,2366918.96
1598198400000,3.91,3.9183,3.724,3.7676,1496030.42
1598205600000,3.7633,4.1,3.7525,4.0318,1143655.42
1598212800000,4.0431,4.1285,3.891,3.9104,1409288.92
1598220000000,3.9105,4.1284,3.854,3.9779,1428604.99
1598227200000,3.9805,4.0198,3.8,3.8211,1235029.57
1598234400000,3.82,4,3.78,3.9471,1571316.92
1598241600000,3.9471,4.0416,3.8521,3.969,1423689.35
1598248800000,3.9688,4.14,3.947,3.9634,2165847.54
1598256000000,3.9638,4.076,3.9001,4.0464,1500015.38
1598263200000,4.0466,4.1601,4.0174,4.1541,2128748.82
1598270400000,4.1541,4.3197,4.1,4.2618,2763835.14
1598277600000,4.2613,4.29,4.1,4.2105,1718585.5
1598284800000,4.2105,4.4999,4.1755,4.4251,3951292.01
1598292000000,4.4276,4.485,4.275,4.4499,1791609.9
1598299200000,4.449,4.77,4.35,4.7,3298123.08
1598306400000,4.6983,4.7983,4.54,4.5759,2295859.91
1598313600000,4.5759,4.88,4.48,4.8665,2038060.48
1598320800000,4.8647,4.922,4.6692,4.8275,3122585.28
1598328000000,4.8279,4.9947,4.7361,4.8531,2789974.82
1598335200000,4.8589,4.87,4.57,4.7081,3414454.79
1598342400000,4.7108,4.7537,4.525,4.6887,2036270.26
1598349600000,4.6868,4.98,4.6834,4.9248,2055545.72
1598356800000,4.9301,4.95,4.65,4.8292,3112609.66
1598364000000,4.8276,4.831,4.6188,4.7883,2610612.88
1598371200000,4.7895,5.4234,4.77,5.356,7514714.02
1598378400000,5.365,5.493,5.175,5.399,3277186.88
1598385600000,5.399,5.77,5.3147,5.4118,4317520.38
1598392800000,5.4118,5.5415,5.26,5.5412,3167834.82
1598400000000,5.5412,5.684,5.3853,5.6762,2698206.04
1598407200000,5.6762,5.685,5.3125,5.4286,2378583.47
1598414400000,5.4294,5.52,5.3,5.3152,1960596.17
1598421600000,5.3152,5.43,5.1015,5.3761,3110274.79
1598428800000,5.3751,5.7432,5.282,5.5607,2978643.33
1598436000000,5.5543,5.6256,5.3423,5.421,1874738.34
1598443200000,5.4255,5.64,5.3359,5.5747,2280278.31
1598450400000,5.5747,6.35,5.5555,6.3285,6180737.06
1598457600000,6.3285,6.57,6.1441,6.33,5847774.33
1598464800000,6.3285,6.4,6.182,6.2886,2188556.29
1598472000000,6.2886,6.4183,5.9,6.1062,3520501.62
1598479200000,6.1062,6.2627,5.8022,6.0708,2792629.99
1598486400000,6.0708,6.42,6.0708,6.2987,2220854.23
1598493600000,6.2816,6.2986,5.992,6.2498,1921845.5
1598500800000,6.244,6.36,6.1011,6.1724,1471105.18
1598508000000,6.1691,6.8,6.1541,6.7049,4366002.8
1598515200000,6.7015,6.7044,6.27,6.3901,3294115.77
1598522400000,6.3901,6.4008,5.6055,5.7465,8367257.89
1598529600000,5.7465,6.33,5.6501,5.995,5518315.34
1598536800000,5.9935,6.0479,5.75,5.8843,3369980.53
1598544000000,5.8843,5.8987,5.2001,5.5449,7050889.82
1598551200000,5.5449,5.8,5.4564,5.5925,2717225.1
1598558400000,5.5918,5.76,5.5139,5.7079,1092144.67
1598565600000,5.7057,5.8159,5.57,5.6547,1236599.59
1598572800000,5.6569,6.1184,5.62,5.9207,2541451.59
1598580000000,5.9226,6.0253,5.7408,5.9035,2076221.12
1598587200000,5.9021,5.9521,5.8097,5.8648,1370885.99
1598594400000,5.8646,5.8702,5.462,5.5,2410496.94
1598601600000,5.5,5.7491,5.4998,5.7259,1787527.2
1598608800000,5.7259,5.8534,5.6806,5.7313,1310608.55
1598616000000,5.7312,6.024,5.7053,6.0011,2144114.58
1598623200000,6.008,6.3202,5.9554,6.2494,4422556.75
1598630400000,6.2475,6.35,6.0545,6.16,2571865.14
1598637600000,6.16,6.331,6.1463,6.3,1217978.47
1598644800000,6.2959,6.3134,6.095,6.245,1039555.62
1598652000000,6.2426,6.2765,5.98,6.1812,1125910.68
1598659200000,6.1769,6.1984,6.0032,6.0729,879802.37
1598666400000,6.0735,6.215,6.035,6.16,758589.85
1598673600000,6.1602,6.2,6.035,6.1996,810179.09
1598680800000,6.1934,6.4532,6.1443,6.3532,1657019.28
1598688000000,6.3538,6.556,6.32,6.5187,1885207.03
1598695200000,6.5197,6.54,6.152,6.286,2264684.57
1598702400000,6.286,6.3465,6.1653,6.1898,1168708.97
1598709600000,6.1969,6.38,6.17,6.2852,1521055.65
1598716800000,6.2883,6.51,6.2,6.3527,2071383.3
1598724000000,6.351,6.4499,6.2678,6.3322,757357.82
1598731200000,6.3333,6.3798,6.265,6.3366,456479.75
1598738400000,6.3368,6.3846,6.074,6.1333,1129977.28
1598745600000,6.1339,6.251,6.05,6.1295,1220562.36
1598752800000,6.1306,6.2039,5.9,6.015,1802171.31
1598760000000,6.0147,6.0454,5.889,6.0288,1194683.85
1598767200000,6.0287,6.1185,5.928,5.9396,987899.11
1598774400000,5.9379,6.1498,5.9377,6.0741,961948.72
1598781600000,6.075,6.1025,5.97,6.0526,709535.66
1598788800000,6.0507,6.099,5.8438,5.8919,1034184.2
1598796000000,5.8914,5.9334,5.6999,5.7926,2136578.68
1598803200000,5.8021,6.0525,5.7509,6.0107,1224727.84
1598810400000,6.0128,6.12,5.94,5.98,776339.32
1598817600000,5.9846,6.0198,5.86,5.9589,472223
1598824800000,5.9587,6.0694,5.8428,5.8912,745681.86
1598832000000,5.8875,5.98,5.8168,5.911,709148.77
1598839200000,5.9157,6.0384,5.89,5.9034,556909.6
1598846400000,5.9039,6.0333,5.8987,5.9477,629495.05
1598853600000,5.9453,5.9731,5.8189,5.8681,606205.05
1598860800000,5.8667,5.915,5.7541,5.8315,1114666.95
1598868000000,5.8336,5.9599,5.8306,5.9297,734047.94
1598875200000,5.9338,6.3367,5.8255,6.2738,2042874.03
1598882400000,6.2738,6.4662,6.1487,6.3424,2981142.13
1598889600000,6.3448,6.454,6.215,6.3512,2022650.56
1598896800000,6.3513,6.361,6.182,6.1996,620179.07
1598904000000,6.1983,6.2051,6.0973,6.1667,782873.44
1598911200000,6.1672,6.349,6.1201,6.2718,763855.12
1598918400000,6.2712,6.2914,6.12,6.2096,743376.41
1598925600000,6.2048,6.678,6.1753,6.5607,2304290.08
1598932800000,6.5607,6.5896,6.3985,6.5504,1213406.92
1598940000000,6.5519,6.8619,6.4683,6.7338,2655261.23
1598947200000,6.7349,6.77,6.55,6.6418,1195444.57
1598954400000,6.6419,6.6419,6.2,6.375,1806046.32
1598961600000,6.3751,6.4828,6.2774,6.4085,1245197.49
1598968800000,6.4085,6.62,6.2886,6.3404,1742559.98
1598976000000,6.3404,6.4188,6.1822,6.4162,1474889.25
1598983200000,6.4179,6.457,6.244,6.2793,623102.28
1598990400000,6.2805,6.3661,6.2,6.3651,664772.58
1598997600000,6.3647,6.3647,6.2,6.239,661917.71
1599004800000,6.24,6.4472,6.2221,6.2964,818570.35
1599012000000,6.2934,6.3792,6.22,6.2398,741482.61
1599019200000,6.2398,6.2986,6.1133,6.2701,1133713.32
