date,open,high,low,close,volume
1599098400000,19.71,35,19.71,23.64,230806.885
1599105600000,23.601,25.102,22.15,24.217,158896.893
1599112800000,24.178,24.3,20.975,22.801,95410.234
1599120000000,22.78,23.5,21.747,23.319,84394.579
1599127200000,23.308,23.337,19.9,20.01,84192.726
1599134400000,19.997,20.5,17,19.529,93222.691
1599141600000,19.53,19.61,16.708,18.094,79305.066
1599148800000,18.091,18.111,16.9,17.734,63714.813
1599156000000,17.711,17.997,17.055,17.716,28678.678
1599163200000,17.72,21.434,17.71,21.416,126355.121
1599170400000,21.416,21.489,17.01,17.752,77455.237
1599177600000,17.755,18.122,17.614,17.614,24455.102
1599184800000,17.628,17.659,17,17.311,16676.197
1599192000000,17.311,17.81,17.27,17.524,19708.778
1599199200000,17.524,17.9,16.71,17.129,38024.29
1599206400000,17.133,17.344,16.918,17.121,23427.216
1599213600000,17.133,20.5,17.079,18.551,123642.44
1599220800000,18.556,20.032,18.5,19.236,118475.097
1599228000000,19.236,19.301,17.004,17.829,95352.179
1599235200000,17.829,18,17.259,17.701,53483.947
1599242400000,17.704,17.94,17.65,17.834,27704.179
1599249600000,17.833,17.89,17.573,17.795,23966.729
1599256800000,17.799,18.129,17.5,17.583,19317.697
1599264000000,17.587,17.703,17.305,17.413,14746.647
1599271200000,17.407,17.507,17.189,17.292,14104.933
1599278400000,17.299,17.353,17.123,17.254,9630.682
1599285600000,17.258,17.278,16.8,16.933,31430.969
1599292800000,16.938,17.238,14.831,15.125,109056.782
1599300000000,15.124,16.021,14.368,15.561,66778.018
1599307200000,15.52,16.149,13.031,14.456,83499.838
1599314400000,14.456,14.789,14.4,14.579,33194.371
1599321600000,14.579,14.579,13.905,13.959,31294.433
1599328800000,13.985,14.024,10.2,11.107,158943.725
1599336000000,11.143,12.8,11,12.15,96639.746
1599343200000,12.15,12.657,11.708,12.321,46100.931
1599350400000,12.324,13.475,12.302,12.366,25347.876
1599357600000,12.365,12.365,11.959,12.006,16885.415
1599364800000,12.021,12.405,11.882,12.246,31705.634
1599372000000,12.247,12.27,11.277,12.183,44231.272
1599379200000,12.193,13.4,12.08,13.051,56280.64
1599386400000,13.053,13.826,12.723,13.7,67982.922
1599393600000,13.684,16,13.177,13.636,113470.403
1599400800000,13.636,13.874,13.298,13.364,41132.394
1599408000000,13.403,13.603,13.12,13.321,32967.696
1599415200000,13.321,14,13.148,13.77,39727.15
1599422400000,13.77,13.78,13.453,13.65,29308.337
1599429600000,13.651,13.726,13.331,13.368,24403.256
1599436800000,13.37,13.653,13.301,13.494,16881.321
1599444000000,13.496,13.517,13.05,13.157,15682.245
1599451200000,13.147,13.162,11.508,11.988,51789.926
1599458400000,11.994,12.299,11.979,12.27,49067.184
1599465600000,12.272,13.018,12.259,12.844,43931.679
1599472800000,12.844,13.6,12.4,12.788,82576.506
1599480000000,12.784,12.9,12.131,12.68,76155.423
1599487200000,12.681,13.1,12.01,12.909,74451.429
1599494400000,12.913,13.25,12.686,12.852,58942.177
1599501600000,12.849,13.186,12.846,13.148,35833.322
1599508800000,13.15,13.162,12.955,13.132,24120.93
1599516000000,13.133,13.314,13,13.219,34109.332
1599523200000,13.221,13.361,13.206,13.289,31480.926
1599530400000,13.29,13.77,13.276,13.443,29411.612
1599537600000,13.445,15.495,13.441,14.881,148440.181
1599544800000,14.881,15.167,14.562,14.796,96249.976
1599552000000,14.799,14.838,13.68,13.717,111467.485
1599559200000,13.716,14.329,13.681,13.933,117237.37
1599566400000,13.934,14.299,13.523,13.688,86872.729
1599573600000,13.684,14.5,13.683,14.373,83541.133
1599580800000,14.371,14.516,14.2,14.342,35892.982
1599588000000,14.339,14.378,13.613,14.04,54185.361
1599595200000,14.036,14.5,13.919,14.042,27950.686
1599602400000,14.078,14.087,13.517,14.027,54413.226
1599609600000,14.043,14.058,13.8,14.054,20690.865
1599616800000,14.054,14.497,13.687,14.153,62575.392
1599624000000,14.139,14.385,14.063,14.149,36895.443
1599631200000,14.149,14.19,13.8,14.101,42525.731
1599638400000,14.12,14.5,14.106,14.331,42327.009
1599645600000,14.339,14.909,14.301,14.546,70073.871
1599652800000,14.542,14.6,14.405,14.532,39690.742
1599660000000,14.533,14.9,14.5,14.715,63724.666
1599667200000,14.716,14.813,14.562,14.787,41241.116
1599674400000,14.785,14.9,14.718,14.9,28139.365
1599681600000,14.88,15.139,14.752,15.109,29102.282
1599688800000,15.109,15.357,14.943,15.084,41831.359
1599696000000,15.101,15.192,14.902,15.19,17391.296
1599703200000,15.191,15.527,15.166,15.527,24690.83
1599710400000,15.52,15.598,15.338,15.35,16440.567
1599717600000,15.35,15.494,15.323,15.381,14747.813
1599724800000,15.37,15.577,15.193,15.57,20700.946
1599732000000,15.55,15.67,15.13,15.17,36543.305
1599739200000,15.17,15.6,15.036,15.069,29830.294
1599746400000,15.051,15.2,14,14.472,76616.463
1599753600000,14.481,14.497,14.167,14.286,25366.858
1599760800000,14.286,14.286,13.8,14.083,26365.457
1599768000000,14.083,14.595,13.96,14.265,32164.229
1599775200000,14.265,14.291,13.8,13.939,20521.511
1599782400000,13.939,15.294,13.938,14.135,20556.164
1599789600000,14.135,14.181,13.956,13.957,6717.768
1599796800000,13.957,13.958,13.483,13.714,23022.967
1599804000000,13.715,13.962,13.708,13.858,11117.982
1599811200000,13.864,13.972,13.708,13.949,9850.23
1599818400000,13.971,14.949,13.909,14.23,27214.239
1599825600000,14.22,14.231,13.961,14.058,9399.307
1599832800000,14.057,14.096,13.972,13.973,9516.279
1599840000000,13.973,14.211,13.8,14.101,24035.159
1599847200000,14.101,14.314,14.058,14.27,10362.078
1599854400000,14.283,14.297,14.076,14.115,9870.087
1599861600000,14.114,14.329,14.098,14.308,12682.917
1599868800000,14.297,14.407,14.297,14.407,6509.944
1599876000000,14.405,14.41,14.285,14.334,5535.288
1599883200000,14.346,14.371,14.301,14.319,3885.703
1599890400000,14.311,14.319,14.1,14.123,8352.78
1599897600000,14.123,14.154,13.9,13.993,10427.432
1599904800000,13.986,14.015,13.919,13.97,10740.252
1599912000000,13.972,13.972,13.131,13.606,29113.275
1599919200000,13.607,13.917,13.593,13.752,20151.326
1599926400000,13.753,13.785,13.669,13.78,9428.36
1599933600000,13.78,13.947,13.758,13.866,10611.804
1599940800000,13.866,13.912,13.793,13.878,9068.151
1599948000000,13.892,14,13.859,13.917,9036.079
1599955200000,13.914,14.3,13.834,13.946,8102.379
1599962400000,13.948,13.955,13.902,13.932,3515.943
1599969600000,13.932,13.967,13.895,13.899,4911.965
1599976800000,13.901,13.94,13.65,13.736,14239.888
1599984000000,13.729,13.75,13.55,13.581,11369.352
1599991200000,13.58,13.58,13.09,13.128,22418.131
1599998400000,13.105,13.199,12.9,13.151,17857.026
1600005600000,13.151,13.421,13.151,13.349,11788.563
1600012800000,13.345,13.499,13.066,13.223,21966.616
1600020000000,13.22,13.249,12.801,13.172,9993.956
1600027200000,13.175,13.5,13.157,13.22,7477.247
1600034400000,13.235,13.5,13.092,13.306,5303.468
1600041600000,13.306,13.333,12.883,12.997,16772.747
1600048800000,12.997,13.164,12.977,13.164,3781.96
1600056000000,13.164,13.173,12.859,12.943,13002.145
1600063200000,12.943,13.333,12.916,13.079,28717.377
1600070400000,13.06,13.209,12.421,12.94,22916.948
1600077600000,12.94,13.093,12.936,13.031,13727.953
1600084800000,13.033,14.139,13.006,13.894,130566.403
1600092000000,13.926,14.4,13.823,14,74793.209
1600099200000,14.004,14.203,13.886,14.114,33707.755
1600106400000,14.115,14.15,13.68,13.921,22888.276
1600113600000,13.921,14.4,13.9,14.076,20982.631
1600120800000,14.084,14.179,13.788,13.971,15397.962
1600128000000,13.971,14.013,13.759,13.943,11798.226
1600135200000,13.94,14.228,13.906,14.228,17700.475
1600142400000,14.229,14.263,13.95,14.021,21448.915
1600149600000,14.01,14.939,14.008,14.407,113244.126
1600156800000,14.407,14.549,14,14.3,56400.436
1600164000000,14.3,14.386,14.01,14.203,36627.877
1600171200000,14.204,14.52,13.759,13.847,54619.331
1600178400000,13.846,13.963,12.95,13.284,76220.651
1600185600000,13.284,13.5,13.234,13.279,19069.865
1600192800000,13.28,13.285,12.962,13.026,21548.538
1600200000000,13.03,13.2,12.994,13.074,14562.662
1600207200000,13.075,13.114,12.852,13.045,16453.512
1600214400000,13.045,13.047,12.052,12.194,38206.317
1600221600000,12.226,12.48,11.818,12.451,18579.589
1600228800000,12.452,12.698,12.376,12.597,14958.515
1600236000000,12.634,12.649,12.349,12.521,17091.067
1600243200000,12.521,12.926,12.501,12.564,31370.152
1600250400000,12.544,12.67,12.339,12.457,15583.841
1600257600000,12.494,12.528,12.426,12.47,7093.369
1600264800000,12.501,12.85,12.486,12.738,19355.304
1600272000000,12.739,12.803,12.547,12.582,11119.645
1600279200000,12.581,12.595,12.023,12.126,22040.383
1600286400000,12.126,12.96,12.065,12.48,13439.472
1600293600000,12.48,12.958,12.437,12.584,21534.951
1600300800000,12.605,12.869,12.581,12.751,13213.074
1600308000000,12.771,12.776,12.492,12.492,8651.256
1600315200000,12.492,12.597,12.396,12.551,8982.928
1600322400000,12.561,12.578,12.104,12.203,14868.822
1600329600000,12.194,12.247,11.909,12.132,11815.92
1600336800000,12.131,12.172,11.8,12.003,13153.936
1600344000000,12.034,12.089,11.754,11.912,21269.298
1600351200000,11.912,12.201,11.815,12.091,12596.638
1600358400000,12.091,12.108,11.801,11.83,9715.312
1600365600000,11.831,12.019,11.751,12.004,14870.964
1600372800000,12.014,12.322,11.965,12.038,25184.035
1600380000000,12.064,12.223,11.92,12.058,9206.603
1600387200000,12.036,12.091,11.918,11.929,5370.785
1600394400000,11.952,12.242,11.95,12.224,3751.57
1600401600000,12.224,12.224,12.025,12.183,8536.436
1600408800000,12.169,12.204,12.005,12.069,12651.709
1600416000000,12.07,12.304,12.048,12.279,18184.892
1600423200000,12.279,12.281,12,12.081,20913.999
1600430400000,12.081,12.226,12.041,12.085,14996.211
1600437600000,12.085,12.135,11.317,11.502,36845.587
1600444800000,11.502,11.65,11.183,11.305,28011.748
1600452000000,11.306,11.329,10.8,11.242,37590.258
1600459200000,11.267,11.348,11.195,11.255,11931.98
1600466400000,11.253,11.344,11.13,11.22,4735.827
1600473600000,11.22,11.359,11.184,11.344,3907.365
1600480800000,11.357,11.482,11.344,11.482,4304.027
1600488000000,11.487,11.555,11.368,11.553,11366.788
1600495200000,11.538,11.555,11.193,11.276,20074.332
1600502400000,11.267,11.376,11.201,11.26,11959.04
1600509600000,11.273,11.712,11.233,11.71,30843.475
1600516800000,11.701,12,11.56,11.906,31727.656
1600524000000,11.906,11.917,11.577,11.577,13647.675
1600531200000,11.626,12.231,11.536,12.04,31880.336
1600538400000,12.04,12.1,11.738,11.919,23765.85
1600545600000,11.92,12,11.822,11.861,5801.735
1600552800000,11.844,12,11.816,11.95,5476.75
1600560000000,11.943,11.999,11.836,11.895,5831.283
1600567200000,11.891,12,11.867,11.985,4916.806
1600574400000,11.959,12.196,11.858,12.039,6572.305
1600581600000,12.039,12.045,11.733,11.784,11929.882
1600588800000,11.782,11.839,11.621,11.685,9576.666
1600596000000,11.685,11.774,11.659,11.67,7363.674
1600603200000,11.67,11.691,11.062,11.235,19581.405
1600610400000,11.235,11.367,11.178,11.256,8779.969
1600617600000,11.243,11.265,9.772,10.663,127584.135
1600624800000,10.706,10.738,10.5,10.57,17543.795
1600632000000,10.577,10.665,10.232,10.519,21935.844
1600639200000,10.545,10.719,10.42,10.717,9538.536
1600646400000,10.693,10.851,10.667,10.817,8150.939
1600653600000,10.817,10.922,10.807,10.916,5759.792
1600660800000,10.916,11,10.68,10.828,18586.351
1600668000000,10.836,10.865,10.399,10.412,21013.597
1600675200000,10.401,10.457,9.201,9.232,70631.885
1600682400000,9.221,10,9.2,9.565,86821.06
1600689600000,9.553,9.553,8.844,9.051,73866.535
1600696800000,9.083,9.18,8.421,8.75,108903.03
1600704000000,8.75,8.75,8.44,8.672,46102.875
1600711200000,8.658,9.51,8.6,9.164,51374.941
1600718400000,9.162,9.354,8.897,9.056,42038.727
1600725600000,9.067,9.067,8.802,8.808,21264.66
1600732800000,8.822,8.951,8.764,8.919,16335.645
1600740000000,8.92,9.016,8.908,8.924,10171.877
1600747200000,8.942,9.102,8.93,9.05,10714.076
1600754400000,9.044,9.074,8.414,8.449,59228.827
1600761600000,8.447,8.79,8.438,8.648,49387.92
1600768800000,8.666,8.773,8.666,8.7,20614.304
1600776000000,8.688,8.786,8.154,8.537,61331.693
1600783200000,8.565,8.732,8.522,8.586,19286.119
1600790400000,8.583,8.763,8.583,8.762,25833.712
1600797600000,8.755,8.949,8.739,8.801,32283.313
1600804800000,8.797,8.812,8.685,8.797,20559.906
1600812000000,8.797,8.799,8.683,8.709,7573.575
1600819200000,8.696,8.789,8.696,8.786,4585.711
1600826400000,8.786,8.865,8.735,8.745,8876.778
1600833600000,8.745,8.753,8.506,8.663,21518.006
1600840800000,8.673,8.689,8.334,8.429,37396.414
1600848000000,8.427,8.559,8.337,8.454,26064.658
1600855200000,8.454,8.486,8.3,8.366,26011.489
1600862400000,8.365,9.2,8.32,8.91,90210.325
1600869600000,8.901,9.1,8.682,9.011,65096.261
1600876800000,9.004,9.5,9,9.197,107312.606
1600884000000,9.213,9.224,8.5,8.659,108911.35
1600891200000,8.656,8.731,8.307,8.669,52061.897
1600898400000,8.669,8.812,8.626,8.812,22625.599
1600905600000,8.813,9.119,8.707,9.115,33663.85
1600912800000,9.114,9.152,8.939,8.976,25851.349
1600920000000,8.978,9.076,8.84,8.967,24976.943
1600927200000,8.967,9.1,8.918,9.051,27094.647
1600934400000,9.065,9.066,8.849,8.991,22304.234
1600941600000,8.994,9.201,8.91,9.124,34149.215
1600948800000,9.124,9.217,8.95,9.005,42856.613
1600956000000,9.003,9.165,9.002,9.154,32219.185
1600963200000,9.158,9.24,9.095,9.108,25877.386
1600970400000,9.103,9.118,8.928,9.046,27690.27
1600977600000,9.046,9.126,9.004,9.057,26247.138
1600984800000,9.046,9.249,9.022,9.225,23753.059
1600992000000,9.228,9.391,9.211,9.235,30534.446
1600999200000,9.235,9.347,9.139,9.149,12900.497
1601006400000,9.156,9.234,9.141,9.181,13347.928
1601013600000,9.181,9.341,9.148,9.341,13685.006
1601020800000,9.341,9.362,9.207,9.247,22262.408
1601028000000,9.226,9.38,9.225,9.354,13281.668
1601035200000,9.358,9.666,9.356,9.466,47276.7
1601042400000,9.486,9.561,9.373,9.55,25361.655
1601049600000,9.557,10.106,9.554,9.859,71817.042
1601056800000,9.855,10.492,9.855,10.05,49115.26
1601064000000,10.054,10.095,9.976,10.047,21125.594
1601071200000,10.048,10.052,9.932,9.997,18282.244
1601078400000,9.997,10.167,9.963,10.03,10719.32
1601085600000,10.027,10.055,9.979,9.979,7218.104
1601092800000,9.981,10.17,9.954,10.018,14127.55
1601100000000,10.018,10.091,10.013,10.069,8265.33
1601107200000,10.068,10.083,9.995,10.07,9817.664
1601114400000,10.069,10.332,10.022,10.19,19788.86
1601121600000,10.189,10.8,10.074,10.074,64692.424
1601128800000,10.074,10.5,10.049,10.34,29496.57
1601136000000,10.347,10.62,10.334,10.522,21603.191
1601143200000,10.523,10.559,10.287,10.361,16429.813
1601150400000,10.361,10.441,10.297,10.297,13110.559
1601157600000,10.296,10.414,10.239,10.396,10754.222
1601164800000,10.398,10.494,10.384,10.408,6624.773
1601172000000,10.428,10.429,10.338,10.348,4742.234
1601179200000,10.347,10.412,10.3,10.343,5049.986
1601186400000,10.358,10.359,9.931,10.166,27995.596
1601193600000,10.156,10.161,9.934,9.934,23962.765
1601200800000,9.934,9.997,9.595,9.728,35766.341
1601208000000,9.719,9.913,9.607,9.882,33524.537
1601215200000,9.887,10.061,9.79,10.03,27504.837
1601222400000,10.037,10.06,9.87,9.923,19319.992
1601229600000,9.923,9.987,9.871,9.971,12941.149
1601236800000,9.955,9.974,9.87,9.902,11773.521
1601244000000,9.883,10.044,9.876,10.028,14461.75
1601251200000,10.028,10.286,10.021,10.167,19244.169
1601258400000,10.182,10.444,10.119,10.348,22703.044
1601265600000,10.352,10.499,10.332,10.359,17428.534
1601272800000,10.35,10.38,10.14,10.176,13903.155
1601280000000,10.186,10.234,10.053,10.083,12545.072
1601287200000,10.083,10.203,10.072,10.203,11457.161
1601294400000,10.195,10.415,10.173,10.304,18628.747
1601301600000,10.304,10.5,10.304,10.476,20148.008
1601308800000,10.476,10.5,10.344,10.378,20547.134
1601316000000,10.368,10.377,10.1,10.287,21416.333
1601323200000,10.275,10.286,10.185,10.209,10068.398
1601330400000,10.225,10.24,9.85,10.005,19029.287
1601337600000,9.986,10.129,9.929,10.001,12750.454
1601344800000,9.998,10.121,9.993,10.03,9336.888
1601352000000,10.029,10.116,10.029,10.032,8874.58
1601359200000,10.032,10.291,9.995,10.19,12686.67
1601366400000,10.185,10.221,10.15,10.205,16349.809
1601373600000,10.19,10.333,10.183,10.213,25086.501
1601380800000,10.225,10.235,10.078,10.18,21539.111
1601388000000,10.18,10.273,10.135,10.136,19379.655
1601395200000,10.135,10.166,9.966,10.003,40461.123
1601402400000,10.017,10.114,10.01,10.105,7103.666
1601409600000,10.084,10.146,10.076,10.138,8804.928
1601416800000,10.137,10.281,10.127,10.256,8785.994
1601424000000,10.259,10.276,10.102,10.14,8655.762
1601431200000,10.141,10.17,10.07,10.119,4812.519
1601438400000,10.118,10.3,10.07,10.146,12142.027
1601445600000,10.146,10.447,10.124,10.281,28171.731
1601452800000,10.264,10.432,10.11,10.208,33694.006
