date,open,high,low,close,volume
1502942400000,301.13,303.28,298,303.1,503.34123
1502949600000,302.4,307.96,301.9,307.96,1058.61182
1502956800000,307.95,312,307,310,620.02908
1502964000000,310,310.97,307.78,308.95,557.6818
1502971200000,308.95,310.51,307.77,309.4,712.3732
1502978400000,307.77,308.76,303.56,307.06,1169.67947
1502985600000,307.74,312.18,298.21,308.33,788.75933
1502992800000,308.33,311.53,298.96,301.6,419.29259
1503000000000,301.6,309.4,299.01,307.44,602.96777
1503007200000,308.57,310.85,302,302,597.97405
1503014400000,302,306.2,295.19,298.73,875.68219
1503021600000,298.73,306.47,298.73,301.4,814.901
1503028800000,301.4,305.92,298.41,304.7,969.67152
1503036000000,304.7,309.49,303.21,306.24,762.85464
1503043200000,306.24,310.85,303.22,304.71,619.29683
1503050400000,304.73,311.79,304.73,307.78,593.716
1503057600000,307.78,310.29,301.3,303.22,745.36249
1503064800000,303.22,303.22,296.32,298.8,613.63222
1503072000000,298.8,301.11,293.18,295.53,763.08611
1503079200000,295.53,298.25,287.37,293.83,857.62888
1503086400000,295.46,295.46,283.94,286.3,1350.25049
1503093600000,288.01,294.19,284.02,293.96,571.76409
1503100800000,293.31,298.2,293.31,297.19,127.96527
1503108000000,297.19,299.84,292.83,293.22,154.2277
1503115200000,294.69,299.9,291.87,293.23,78.00584
1503122400000,293.69,295.56,287.01,290.16,157.28626
1503129600000,290.16,293.17,287,290.3,377.29996
1503136800000,291.36,292.24,278,282.58,761.73049
1503144000000,281.39,290.85,279.56,286.36,187.26932
1503151200000,285.5,288.64,283,288.64,101.03062
1503158400000,288.64,293.15,284.16,293.15,73.07875
1503165600000,294.33,295,288.95,293.31,54.30714
1503172800000,290.6,293.25,288.8,293.25,38.83774
1503180000000,293.25,294.9,290.91,290.91,35.15864
1503187200000,289.41,292.42,285.96,289.94,32.79345
1503194400000,289.94,292.42,287.66,292.41,35.60747
1503201600000,287.97,293.15,285.39,292.17,49.5566
1503208800000,292.17,295.56,287.87,292.08,202.70568
1503216000000,293.02,295.98,282.85,295.96,164.38773
1503223200000,295.97,296.89,292.59,295,76.37195
1503230400000,295,296.92,292.28,293.41,63.44891
1503237600000,294.25,295.16,294.25,295.1,3.91579
1503244800000,295.1,298.79,293.28,296.88,174.73633
1503252000000,296.88,300.53,294.91,297.88,186.83062
1503259200000,297.87,298.3,294.51,298.13,613.62119
1503266400000,298.13,300.53,297.19,299.1,906.16299
1503273600000,299.1,300.9,294.6,299,584.16839
1503280800000,299,299.85,294.6,299.85,139.63756
1503288000000,300.03,314.28,299.11,314.05,532.168
1503295200000,314.05,329.49,313,318.5,356.40313
1503302400000,317.48,324.3,312.75,317.29,45.04728
1503309600000,317.29,333.66,312.6,331.53,162.32958
1503316800000,331.33,346.52,325.42,346.52,497.21475
1503324000000,344.38,345.31,328.68,334.94,730.2255
1503331200000,334.34,342.72,330.8,332.33,786.013
1503338400000,332.12,333.63,316.82,329.71,929.05972
1503345600000,332.27,332.74,318.42,326.79,347.92317
1503352800000,325.79,325.79,316.12,323.29,109.25534
1503360000000,321.04,330.41,302.27,309.97,576.08163
1503367200000,309.96,317.68,280,280,233.53361
1503374400000,144.21,309.03,144.21,279.96,178.21351
1503381600000,302.99,310.24,285.69,300.35,529.25898
1503388800000,300.35,310.24,296,308.33,1073.85808
1503396000000,308.33,313.16,305.4,308.03,1102.26697
1503403200000,311.16,311.24,304.53,307.08,1076.65923
1503410400000,307.08,309.85,301.48,308.39,680.17137
1503417600000,305.08,320.76,305.08,312.07,702.58811
1503424800000,313.99,315.25,307.03,307.03,601.66299
1503432000000,307.03,312,305.08,309.16,528.39283
1503439200000,309.16,313.99,306.9,309.8,673.66357
1503446400000,312.25,314.82,309.41,312.67,373.00575
1503453600000,314.8,319.78,312.66,317.26,715.32772
1503460800000,315.45,324.99,315.45,316.74,694.65204
1503468000000,316.74,323.3,315.35,319.06,681.41117
1503475200000,319.06,324.51,318.02,320.74,703.10809
1503482400000,320.74,324.21,318.95,319.2,582.76594
1503489600000,319.2,322,313.75,316,1285.62064
1503496800000,315.04,319.32,313.81,319.2,820.76495
1503504000000,317.87,320.32,315.53,318.47,1060.07845
1503511200000,318.48,322.34,316.73,318.57,575.41828
1503518400000,318.57,320.2,312.05,316.68,721.19844
1503525600000,318.12,319.47,313.78,315.74,452.37422
1503532800000,315.74,318.45,314.01,315.08,596.77734
1503540000000,315.08,318.44,314.06,315.22,464.39664
1503547200000,315.22,322.36,314.31,318,578.61564
1503554400000,319.57,321.14,316.15,318.54,495.46028
1503561600000,318.54,322,318.53,318.75,628.21738
1503568800000,320.03,323.61,316.14,323.61,1042.28581
1503576000000,322.51,328.04,317.9,324.8,703.24236
1503583200000,323.8,326.79,320.84,321.2,434.8061
1503590400000,323.67,323.68,318.97,322.45,407.54333
1503597600000,322.45,325.35,320.17,321.23,501.58259
1503604800000,321.23,324,318.97,321.21,404.6096
1503612000000,321.22,326.33,319.83,323.42,495.73485
1503619200000,323.42,328.82,323.42,328.81,947.95551
1503626400000,328.81,330.44,324.42,326.55,458.89299
1503633600000,326.55,335,326.55,331.73,568.3977
1503640800000,331.74,334.34,328.69,330.29,547.20922
1503648000000,330.29,335.41,329.86,331.09,536.09885
1503655200000,330.11,333.42,327.4,331.26,663.32719
1503662400000,329.68,335.33,328.72,332,1532.43983
1503669600000,332.89,335.33,330.67,333.15,428.73817
1503676800000,335.29,338.28,331.88,332.01,337.22548
1503684000000,333.2,336.49,325.42,328.71,414.03406
1503691200000,329.91,332.26,324.9,330.18,397.96838
1503698400000,330.18,332.27,326.25,327.24,293.68224
1503705600000,327.24,332.27,325.02,325.39,276.76634
1503712800000,324.41,328.02,323.41,323.46,292.81167
1503720000000,323.46,326.86,323.41,326.23,482.0909
1503727200000,325.23,329.69,324.06,327.9,588.6076
1503734400000,328.45,330.89,326.69,327.69,354.28071
1503741600000,327.69,331.25,326.69,327.89,502.26029
1503748800000,328.25,332.26,324.06,330.98,540.21362
1503756000000,330.98,335.44,327,327,400.3712
1503763200000,327.01,332.11,326.7,331.04,352.33489
1503770400000,327.38,334.17,327.03,331.19,450.66606
1503777600000,332.68,334.17,330.18,334.16,224.33686
1503784800000,330.51,334.17,329.33,330.79,412.94507
1503792000000,332.18,336.55,330.79,334.47,520.34615
1503799200000,334.47,338.28,330.79,331.62,536.27619
1503806400000,334.5,338.29,331.49,335,435.5927
1503813600000,332.75,336.49,332.74,332.77,253.5741
1503820800000,332.77,336.25,330.73,336.25,363.12627
1503828000000,334.88,338.42,332.28,333.94,494.12362
1503835200000,333.93,336.99,331.88,335.6,295.14148
1503842400000,333.61,336.99,332.21,334.67,370.40083
1503849600000,335.04,339.14,332.97,337.56,496.52486
1503856800000,339.89,341.47,336.02,339.64,298.60691
1503864000000,341.47,341.47,337.12,338.66,348.72911
1503871200000,338.66,348.13,338.46,348.13,222.99493
1503878400000,348.11,351,343.57,347.87,343.91943
1503885600000,344.18,350.85,343.44,343.44,396.71485
1503892800000,343.43,343.69,331.95,336.01,749.08312
1503900000000,337.19,341.33,336.01,338.77,390.86586
1503907200000,340.89,341.92,336.54,340.48,289.84395
1503914400000,340.48,342.86,337.13,341.9,346.20366
1503921600000,339.62,347.41,339.34,341.96,283.99536
1503928800000,342.19,345.89,341.65,341.83,303.29982
1503936000000,341.83,345.88,340.49,340.49,363.47813
1503943200000,341.84,347.42,341.77,344.3,395.58414
1503950400000,342.54,347.42,342.16,346.51,277.6226
1503957600000,346.42,348.5,345.28,346,138.57078
1503964800000,347,351.94,346,349.98,106.79889
1503972000000,348.9,353.23,347.38,350.03,170.04687
1503979200000,351.19,355,350.02,355,38.33998
1503986400000,355,360.79,350.72,354.18,343.28722
1503993600000,354.17,362.99,354.01,362.99,131.83084
1504000800000,362,367.13,356.74,356.75,331.60944
1504008000000,358.1,365.46,358.1,364.35,235.54647
1504015200000,364.36,367.4,361.31,364.57,502.40923
1504022400000,365.74,373.66,362.79,370.43,389.25126
1504029600000,372.6,373.52,365.65,367.44,305.59129
