date,open,high,low,close,volume
1547632800000,0.5355,0.5355,0.498,0.498,216595.03
1547640000000,0.498,0.5021,0.4836,0.4869,252156.11
1547647200000,0.4914,0.492,0.4668,0.479,252005.54
1547654400000,0.4782,0.52,0.4677,0.5043,210300.28
1547661600000,0.505,0.519,0.4944,0.5041,126455.14
1547668800000,0.5031,0.52,0.5012,0.5117,127797.86
1547676000000,0.5077,0.5098,0.4851,0.4895,158350.35
1547683200000,0.4895,0.4895,0.4701,0.48,244131.26
1547690400000,0.4823,0.485,0.4639,0.4677,145190.97
1547697600000,0.4685,0.4802,0.4653,0.4711,92788.76
1547704800000,0.4729,0.4877,0.472,0.4724,79163.75
1547712000000,0.4738,0.4803,0.4711,0.4736,29902.72
1547719200000,0.4759,0.4862,0.4703,0.4726,51858.45
1547726400000,0.4734,0.4819,0.4703,0.4807,19703.09
1547733600000,0.4806,0.4953,0.4765,0.4874,113652.8
1547740800000,0.4874,0.4915,0.473,0.4745,144854.29
1547748000000,0.4745,0.4777,0.4706,0.4735,236615.9
1547755200000,0.4735,0.4837,0.4708,0.4751,211987.65
1547762400000,0.4752,0.4776,0.4724,0.4756,41875.71
1547769600000,0.4762,0.4762,0.4718,0.4734,29857.04
1547776800000,0.4734,0.4757,0.4678,0.4707,22525.21
1547784000000,0.4686,0.4707,0.4601,0.4692,134909.08
1547791200000,0.4691,0.4729,0.4653,0.4719,27864.15
1547798400000,0.4719,0.4764,0.4653,0.4653,28339.54
1547805600000,0.4653,0.48,0.4634,0.4688,98802.93
1547812800000,0.4686,0.475,0.4647,0.4678,27134.08
1547820000000,0.4681,0.4739,0.4635,0.471,33542.61
1547827200000,0.4718,0.4735,0.4658,0.4658,20252.76
1547834400000,0.4656,0.4749,0.4653,0.472,59050.64
1547841600000,0.472,0.4959,0.472,0.4953,234713.4
1547848800000,0.494,0.5112,0.4868,0.4894,267426.15
1547856000000,0.4908,0.4981,0.4814,0.4834,89755.15
1547863200000,0.4853,0.4872,0.4786,0.4797,27373.01
1547870400000,0.4804,0.4937,0.4799,0.4872,37600.49
1547877600000,0.4877,0.4906,0.4684,0.4758,122645.54
1547884800000,0.4747,0.4757,0.4673,0.4744,36268.27
1547892000000,0.4746,0.5,0.4724,0.4813,188752.82
1547899200000,0.4829,0.49,0.4811,0.4839,77629.04
1547906400000,0.4833,0.4843,0.48,0.4819,49957.96
1547913600000,0.4836,0.4852,0.476,0.4805,39928.11
1547920800000,0.4824,0.483,0.4768,0.4809,16565.91
1547928000000,0.4821,0.4851,0.4773,0.4808,34562.23
1547935200000,0.4823,0.4851,0.4783,0.4831,14404.67
1547942400000,0.4803,0.4851,0.479,0.4849,15529.2
1547949600000,0.4835,0.4835,0.4785,0.4821,17850.35
1547956800000,0.4847,0.4847,0.479,0.4824,4820.98
1547964000000,0.4827,0.4853,0.4808,0.483,14532.66
1547971200000,0.4831,0.4909,0.4831,0.4879,33274.14
1547978400000,0.4879,0.4879,0.4712,0.4712,119672.21
1547985600000,0.4773,0.4773,0.459,0.4635,126900.6
1547992800000,0.4635,0.4899,0.4597,0.4871,94833.64
1548000000000,0.4899,0.492,0.472,0.4851,135669.94
1548007200000,0.4875,0.4875,0.4735,0.48,48705.91
1548014400000,0.4794,0.4863,0.4738,0.4792,29119.39
1548021600000,0.4771,0.4874,0.4764,0.4834,36590.54
1548028800000,0.4839,0.4933,0.478,0.478,59385.41
1548036000000,0.4781,0.4933,0.474,0.4781,29285.13
1548043200000,0.4781,0.4781,0.465,0.4702,61789.75
1548050400000,0.4702,0.4819,0.4693,0.4797,20292.83
1548057600000,0.482,0.4844,0.4781,0.4818,25600.01
1548064800000,0.4797,0.489,0.4785,0.488,27489.98
1548072000000,0.4877,0.4877,0.4799,0.4831,22406.06
1548079200000,0.4833,0.4844,0.473,0.4826,27649.96
1548086400000,0.4822,0.5125,0.4809,0.5058,296589.3
1548093600000,0.5058,0.5194,0.5003,0.5124,100983.38
1548100800000,0.5103,0.5198,0.4998,0.5,140240.39
1548108000000,0.501,0.5046,0.4939,0.4972,86075.64
1548115200000,0.496,0.5099,0.4956,0.5099,33874.17
1548122400000,0.5097,0.5121,0.501,0.5045,48251.42
1548129600000,0.5045,0.5132,0.501,0.5084,76143.73
1548136800000,0.5102,0.5149,0.5056,0.5081,71807.08
1548144000000,0.5081,0.523,0.5067,0.5217,116754.86
1548151200000,0.5186,0.5345,0.5124,0.526,161717.98
1548158400000,0.5276,0.5444,0.5249,0.5341,196618.06
1548165600000,0.5341,0.5656,0.5341,0.5601,281163.15
1548172800000,0.5604,0.5627,0.5344,0.5456,335061.29
1548180000000,0.5473,0.56,0.5341,0.5343,237370.34
1548187200000,0.5356,0.5428,0.5323,0.5323,114940.35
1548194400000,0.5323,0.5452,0.5323,0.5344,111251.07
1548201600000,0.5342,0.5463,0.5323,0.5463,51048.74
1548208800000,0.5472,0.5475,0.525,0.5258,121856.25
1548216000000,0.5258,0.5322,0.5136,0.5293,169224.09
1548223200000,0.5291,0.5325,0.5175,0.519,56270.24
1548230400000,0.519,0.52,0.4901,0.5076,291697.6
1548237600000,0.5094,0.517,0.5094,0.5156,65979.12
1548244800000,0.5156,0.5157,0.5107,0.514,212427.05
1548252000000,0.5122,0.5155,0.505,0.5126,57795.37
1548259200000,0.5151,0.5334,0.512,0.5248,289308.76
1548266400000,0.5242,0.5253,0.5033,0.504,89477.02
1548273600000,0.5042,0.5099,0.4976,0.5012,335742.29
