date,open,high,low,close,volume
1602648000000,1.3,1.88,1.1111,1.3286,9144858.53
1602655200000,1.3292,1.3385,1.1251,1.2517,5605814.58
1602662400000,1.2597,1.3199,1.1638,1.1782,2340837.93
1602669600000,1.1795,1.1911,1.05,1.1051,4083886.78
1602676800000,1.1052,1.2819,1.0719,1.22,4081500.69
1602684000000,1.22,1.2596,1.1023,1.1281,3582490.9
1602691200000,1.127,1.1999,1.1057,1.1309,2285884.14
1602698400000,1.131,1.1339,1.07,1.1089,1548350.09
1602705600000,1.1097,1.1342,1.08,1.1205,648262.7
1602712800000,1.1244,1.187,1.1244,1.1685,608332.52
1602720000000,1.1685,1.19,1.1442,1.1795,501977.21
1602727200000,1.1779,1.2522,1.1779,1.1813,1329756.53
1602734400000,1.1817,1.2245,1.163,1.1803,748204.64
1602741600000,1.1792,1.1905,1.1067,1.1249,1032575.64
1602748800000,1.1249,1.185,1.0792,1.12,1949882.43
1602756000000,1.1179,1.1635,1.1129,1.1283,839256.99
1602763200000,1.1256,1.2198,1.1015,1.219,1641119.61
1602770400000,1.2171,1.219,1.1612,1.177,850756.34
1602777600000,1.1769,1.1781,1.115,1.1482,1168483.11
1602784800000,1.1501,1.16,1.1264,1.16,558075.2
1602792000000,1.1579,1.1636,1.1279,1.1344,419372.54
1602799200000,1.1327,1.1345,1.116,1.1209,293495.95
1602806400000,1.1222,1.1524,1.114,1.1481,492243.45
1602813600000,1.1481,1.1481,1.102,1.1073,509345.9
1602820800000,1.1073,1.1073,0.9423,0.9955,3956449.71
1602828000000,0.9935,0.9938,0.9297,0.9345,2156812.66
1602835200000,0.9345,0.9767,0.86,0.8757,2545041.35
1602842400000,0.8774,0.9306,0.8766,0.9197,2281619.9
1602849600000,0.9199,0.945,0.9082,0.9316,1376921.85
1602856800000,0.9316,0.9423,0.87,0.8831,1436774.87
1602864000000,0.8831,0.9127,0.8648,0.8852,1550333.42
1602871200000,0.8854,0.8998,0.87,0.8708,445636.2
1602878400000,0.87,0.87,0.812,0.83,1293087.06
1602885600000,0.8283,0.8407,0.8163,0.8171,442008.22
1602892800000,0.8171,0.8183,0.72,0.761,2868463.54
1602900000000,0.7616,0.8649,0.748,0.8435,1820504.78
1602907200000,0.8438,0.8565,0.8018,0.8108,963157.83
1602914400000,0.8108,0.85,0.801,0.8377,713564.44
1602921600000,0.8377,0.8393,0.773,0.7781,1107494.22
1602928800000,0.7778,0.8197,0.7758,0.7973,805808.87
1602936000000,0.7973,0.8057,0.775,0.784,644513.42
1602943200000,0.784,0.8123,0.775,0.7886,784598.66
1602950400000,0.7886,0.7969,0.7547,0.7762,685749.21
1602957600000,0.7773,0.7773,0.7515,0.7518,412529.59
1602964800000,0.752,0.7775,0.752,0.7692,396658.86
1602972000000,0.7667,0.81,0.7667,0.8073,470971.11
1602979200000,0.8074,0.8496,0.8014,0.8178,1082227.48
1602986400000,0.8197,0.8264,0.8026,0.812,314785.89
1602993600000,0.811,0.8142,0.8011,0.8037,186549.87
1603000800000,0.8044,0.8437,0.8035,0.8358,678555.56
1603008000000,0.8361,0.8466,0.8171,0.8176,396499.09
1603015200000,0.819,0.829,0.8132,0.823,213170.13
1603022400000,0.8229,0.8275,0.8007,0.8042,346747.66
1603029600000,0.8041,0.8352,0.8041,0.8135,820091.2
1603036800000,0.8134,0.8439,0.8134,0.8361,526956.85
1603044000000,0.836,0.8559,0.8221,0.8544,358433.8
1603051200000,0.8544,0.8753,0.845,0.8628,643654.9
1603058400000,0.8624,0.8725,0.8501,0.8692,392333.82
1603065600000,0.8703,0.871,0.8433,0.8599,533448.8
1603072800000,0.86,0.8619,0.8142,0.8212,592081.68
1603080000000,0.8206,0.8285,0.81,0.8214,375819.15
1603087200000,0.8218,0.8356,0.8152,0.8299,397504.15
1603094400000,0.83,0.8391,0.816,0.8249,263214.83
1603101600000,0.8253,0.8302,0.8165,0.827,169008.55
1603108800000,0.8267,0.8375,0.8206,0.8208,350569.62
1603116000000,0.8208,0.8332,0.813,0.8307,338264.36
1603123200000,0.8286,0.8529,0.8053,0.8063,1006147.99
1603130400000,0.8053,0.8077,0.7711,0.799,834240.19
1603137600000,0.7986,0.8,0.7886,0.7945,239849.97
1603144800000,0.7945,0.8005,0.765,0.7993,484203.24
1603152000000,0.7993,0.81,0.7874,0.802,256113.54
1603159200000,0.802,0.806,0.7935,0.8046,203956.36
1603166400000,0.8046,0.8061,0.7789,0.7853,445750.04
1603173600000,0.7852,0.7934,0.7528,0.7528,402199.1
1603180800000,0.7551,0.7697,0.7344,0.759,918520.79
1603188000000,0.759,0.7599,0.7302,0.7339,660439.96
1603195200000,0.7336,0.7487,0.705,0.7223,1106286.37
1603202400000,0.7224,0.7235,0.6942,0.7043,1825735.6
1603209600000,0.7021,0.709,0.6794,0.6898,688942.57
1603216800000,0.6898,0.7077,0.6865,0.6902,340280.09
1603224000000,0.6902,0.6924,0.6754,0.6898,432754.83
