date,open,high,low,close,volume
1597125600000,2.85,3.47,2.85,2.9224,62101.63
1597132800000,2.9626,3,2.85,2.8543,50651.99
1597140000000,2.8566,3.1,2.8433,3.0497,39160.47
1597147200000,3.0497,3.329,2.8625,3.2768,369808.97
1597154400000,3.2787,3.5208,3.0744,3.19,533065.97
1597161600000,3.1751,3.384,3.1143,3.2978,172518.77
1597168800000,3.3,3.3047,3.155,3.1886,81531.45
1597176000000,3.1938,3.2495,2.95,3.2184,165454.77
1597183200000,3.2128,3.3191,3.08,3.2985,78090.76
1597190400000,3.2985,3.32,3.08,3.232,134009.51
1597197600000,3.2311,3.3,3.1129,3.2802,92267.12
1597204800000,3.2802,3.2953,3.15,3.2296,58148.94
1597212000000,3.2192,3.3661,3.1323,3.3661,130295.99
1597219200000,3.3577,3.7,3.35,3.6669,418390.58
1597226400000,3.668,3.9289,3.5015,3.6842,376806.14
1597233600000,3.6733,3.8554,3.6434,3.745,151701.13
1597240800000,3.7573,3.9,3.7,3.7678,115840.84
1597248000000,3.7704,3.7889,3.65,3.7446,114116.84
1597255200000,3.7195,3.8423,3.6,3.6788,59394.66
1597262400000,3.6788,3.794,3.6652,3.7207,41194.31
1597269600000,3.7208,3.8225,3.6729,3.7558,44876.89
1597276800000,3.75,3.8512,3.6886,3.7601,87716.47
1597284000000,3.7729,3.8128,3.5537,3.7593,98486.66
1597291200000,3.7404,3.9364,3.6243,3.7458,171890.78
1597298400000,3.7547,4.1387,3.7249,4.0785,163136.73
1597305600000,4.0946,4.1222,3.5003,3.8387,406480.36
1597312800000,3.8417,3.9999,3.759,3.87,141613.61
1597320000000,3.87,3.9764,3.8103,3.9453,140700.02
1597327200000,3.9734,4.0555,3.8,3.8065,116299.52
1597334400000,3.8065,3.9645,3.7698,3.8118,104345.49
1597341600000,3.8225,3.8699,3.79,3.8566,39753.89
1597348800000,3.8549,3.87,3.6068,3.6356,127827.94
1597356000000,3.6229,3.8118,3.5385,3.73,87507.77
1597363200000,3.7207,3.7676,3.6068,3.6348,83646.81
1597370400000,3.6348,3.6511,3.5717,3.625,101422.7
1597377600000,3.6251,3.7517,3.59,3.6759,85006.38
1597384800000,3.6758,3.6924,3.5,3.55,136766.29
1597392000000,3.5327,3.5613,3.4267,3.5111,209220.02
1597399200000,3.5111,3.7598,3.5111,3.7173,168947.46
1597406400000,3.7036,3.7133,3.5106,3.5711,128866.46
1597413600000,3.559,3.7,3.54,3.5788,80599.35
1597420800000,3.5753,3.5881,3.327,3.4031,182152.35
1597428000000,3.3947,3.4385,3.321,3.3792,155107.12
1597435200000,3.3792,3.4693,3.3598,3.4528,56195.13
1597442400000,3.466,3.4897,3.3321,3.4099,86231.72
1597449600000,3.4181,3.4242,3.1874,3.2782,138848.87
1597456800000,3.2783,3.3485,3.2783,3.3289,55574.54
1597464000000,3.3305,3.5713,3.163,3.4199,229170.7
1597471200000,3.42,3.5621,3.4098,3.5215,96029.41
1597478400000,3.5216,3.74,3.5215,3.6886,141217.05
1597485600000,3.6886,3.7,3.4477,3.45,122035.44
1597492800000,3.4527,3.4852,3.38,3.4044,75156.55
1597500000000,3.4167,3.4697,3.4054,3.4324,22652.56
1597507200000,3.4547,3.4654,3.3949,3.3949,24361.56
1597514400000,3.4143,3.438,3.34,3.3684,46879.8
1597521600000,3.3684,3.4727,3.18,3.2463,60484.41
1597528800000,3.2347,3.2738,3.15,3.173,57822.31
1597536000000,3.173,3.2602,3.17,3.2046,79197.06
1597543200000,3.1855,3.2384,3.12,3.1955,90509.77
1597550400000,3.192,3.4907,3.1697,3.3178,113645.4
1597557600000,3.3076,3.47,3.3,3.4401,81844.9
1597564800000,3.4401,3.4626,3.3455,3.3957,46515.85
1597572000000,3.392,3.47,3.34,3.4193,66383.82
1597579200000,3.4193,3.4427,3.34,3.3594,43983.03
1597586400000,3.348,3.4339,3.348,3.3872,45760.58
1597593600000,3.3911,3.4628,3.379,3.4469,39867.82
1597600800000,3.4469,3.4726,3.4039,3.4071,25857.03
1597608000000,3.4115,3.4426,3.3638,3.3756,21746.7
1597615200000,3.3913,3.397,3.36,3.3885,12794.57
1597622400000,3.3885,3.3952,3.351,3.3549,35737.03
1597629600000,3.3549,3.3738,3.3235,3.3502,51738.98
1597636800000,3.3551,3.3666,3.2481,3.2825,103629.21
1597644000000,3.2683,3.2892,3.2,3.2001,69852.53
1597651200000,3.2034,3.3234,3.2002,3.28,68874.71
1597658400000,3.2789,3.3,3.2669,3.2891,31527.12
1597665600000,3.2891,3.2934,3.15,3.2222,62964.56
1597672800000,3.229,3.2421,3.1,3.1264,111324.34
1597680000000,3.1347,3.215,3.1115,3.157,75599.8
1597687200000,3.157,3.1694,3.11,3.1541,60275.02
1597694400000,3.1546,3.2,3.1461,3.193,15846.65
1597701600000,3.1932,3.2,3.1,3.11,42043.69
1597708800000,3.11,3.1172,3,3.0241,132508.44
1597716000000,3.015,3.1277,3.01,3.0328,110579.31
1597723200000,3.0208,3.0671,3,3.0122,58506.9
1597730400000,3.0085,3.0197,2.878,2.99,158761.41
1597737600000,2.99,3.25,2.91,3.1785,196606.78
1597744800000,3.1608,3.2477,3.05,3.0672,112514.14
1597752000000,3.0501,3.0968,2.9002,2.9472,85788.54
1597759200000,2.936,3.7092,2.8105,3.3621,1288441.43
1597766400000,3.3777,3.4891,3.258,3.381,313894.79
1597773600000,3.3913,3.5832,3.365,3.5289,104054.63
1597780800000,3.5289,3.5543,3.4088,3.4511,77273.13
1597788000000,3.4511,3.478,3.32,3.3407,74186.44
1597795200000,3.334,3.49,3.3335,3.4691,99204.06
1597802400000,3.4842,3.4872,3.0814,3.1075,190921.24
1597809600000,3.1001,3.1427,2.8667,2.9242,251799.82
1597816800000,2.9121,3.0732,2.8,3.0375,176819.23
1597824000000,3.0376,3.1799,3.0375,3.1099,109807.11
1597831200000,3.0987,3.1099,3,3.01,55263.23
1597838400000,3.01,3.1307,3,3.0395,87012.31
1597845600000,3.0331,3.0894,2.98,3.008,110285.13
1597852800000,2.9955,3.0291,2.9012,3.0023,89682.33
1597860000000,2.9936,3.0088,2.93,2.9404,90865.44
1597867200000,2.9407,2.9729,2.82,2.9012,127366.34
1597874400000,2.9038,2.9735,2.8769,2.8868,44217.52
1597881600000,2.8962,3.053,2.8871,3.0171,72899.45
1597888800000,3.0178,3.0355,2.9122,2.9291,40685.33
1597896000000,2.9291,2.9878,2.92,2.9382,50786.26
1597903200000,2.943,3.0493,2.9228,2.998,61810.26
1597910400000,2.9955,3.17,2.9895,3.1623,147099.84
1597917600000,3.1623,3.1898,3.109,3.1508,84182.47
1597924800000,3.151,3.1899,3.109,3.1638,58978.51
1597932000000,3.1638,3.35,3.1616,3.3254,166181.51
1597939200000,3.3441,3.445,3.18,3.3563,284754.17
1597946400000,3.3568,3.36,3.25,3.3261,84870.73
1597953600000,3.3333,3.4106,3.2384,3.2818,145528.14
1597960800000,3.2716,3.3,3.1461,3.2038,80050.65
1597968000000,3.2038,3.2134,3.1104,3.1723,103076.49
1597975200000,3.1704,3.24,3.132,3.16,108424.1
1597982400000,3.1599,3.2168,3,3.0627,149122.31
1597989600000,3.0591,3.1094,3.0393,3.0718,98194.14
1597996800000,3.0617,3.1377,3.06,3.1086,66265.45
1598004000000,3.1076,3.12,3.0185,3.0918,122045.02
1598011200000,3.0918,3.0989,3,3.017,121225.56
1598018400000,3.017,3.1636,2.9738,3.0127,115580.65
1598025600000,3.0149,3.0706,3,3.0553,36243.18
1598032800000,3.0553,3.0812,2.9877,3.0483,45158.28
1598040000000,3.0483,3.1137,2.89,2.9378,94914.04
1598047200000,2.9376,3.0006,2.921,2.9317,71646.68
1598054400000,2.9213,2.9386,2.8,2.8315,123007.65
1598061600000,2.83,2.8596,2.8008,2.814,103767.85
1598068800000,2.82,2.8313,2.7431,2.8249,87325.61
1598076000000,2.8197,2.8463,2.7452,2.805,172602.37
1598083200000,2.8029,2.8411,2.7876,2.834,68274.61
1598090400000,2.826,2.8655,2.8253,2.8599,39928.12
1598097600000,2.8599,3.16,2.8586,3.1121,311639.44
1598104800000,3.1121,3.1379,3.03,3.061,79425.2
1598112000000,3.0601,3.2,3.0499,3.118,75112.59
1598119200000,3.12,3.1577,3.039,3.0536,35726.03
1598126400000,3.0536,3.0661,2.979,3.0331,48555.79
