date,open,high,low,close,volume
1525420800000,0.5,1.5,0.5,0.90199,8417553.43
1525428000000,0.90199,0.9213,0.88,0.91596,2891044.4
1525435200000,0.91596,0.9245,0.89,0.89722,2581890.15
1525442400000,0.89791,0.90489,0.87644,0.88389,2697571.81
1525449600000,0.8837,0.8999,0.878,0.88421,1488686.72
1525456800000,0.88698,0.893,0.88112,0.89199,993758
1525464000000,0.89199,0.90699,0.89069,0.9,1046554.2
1525471200000,0.9,0.90195,0.88907,0.8899,773155.11
1525478400000,0.8898,0.90545,0.888,0.90545,1232379.56
1525485600000,0.90545,0.907,0.8971,0.9016,1013606.58
1525492800000,0.9016,0.90985,0.9001,0.90549,889985.23
1525500000000,0.90442,0.90771,0.90125,0.90293,1104697.63
1525507200000,0.90291,0.90618,0.90172,0.90209,740163.89
1525514400000,0.90374,0.90985,0.89679,0.90176,2327878.29
1525521600000,0.90244,0.92336,0.90175,0.905,2454174.79
1525528800000,0.905,0.935,0.9049,0.93209,2132784.37
1525536000000,0.93209,0.93209,0.915,0.91501,1925178.04
1525543200000,0.91501,0.92,0.9075,0.908,933569.36
1525550400000,0.908,0.91105,0.89601,0.90212,1440168.71
1525557600000,0.904,0.911,0.89891,0.9028,621578.85
1525564800000,0.9028,0.91151,0.90011,0.91,1599421.05
1525572000000,0.91,0.918,0.90302,0.91234,1058652
1525579200000,0.91234,0.91611,0.88445,0.88445,1820248
1525586400000,0.88446,0.88489,0.85584,0.87966,2888643.96
1525593600000,0.87966,0.8814,0.85623,0.86682,1692528.72
1525600800000,0.86666,0.87689,0.85,0.8555,1398836.58
1525608000000,0.85576,0.86979,0.83774,0.86196,2085645.7
1525615200000,0.8624,0.8715,0.85154,0.8575,924177.17
1525622400000,0.8575,0.8712,0.85705,0.86715,891068.54
1525629600000,0.86712,0.86899,0.85502,0.85674,618485.74
1525636800000,0.85672,0.86,0.85001,0.8538,456212.79
1525644000000,0.8538,0.86822,0.8511,0.86483,568115.55
1525651200000,0.86482,0.86886,0.8163,0.825,2108480.71
1525658400000,0.82598,0.827,0.8,0.823,3258809.45
1525665600000,0.823,0.82643,0.80781,0.82,1291137.94
1525672800000,0.82,0.82499,0.80201,0.81073,868086.66
1525680000000,0.81076,0.836,0.80701,0.811,1546891.68
1525687200000,0.811,0.8246,0.81005,0.82,979252.44
1525694400000,0.8187,0.82556,0.8121,0.81305,1167366.2
1525701600000,0.81305,0.82,0.8,0.8197,2181346.74
1525708800000,0.81969,0.828,0.81525,0.82415,1139226.75
1525716000000,0.82413,0.83806,0.8219,0.83311,899201.42
1525723200000,0.83324,0.8422,0.82801,0.83407,898788.84
1525730400000,0.835,0.835,0.81681,0.8249,964897.57
1525737600000,0.8249,0.84505,0.82345,0.83958,826906.84
1525744800000,0.83957,0.84802,0.835,0.844,851715.94
1525752000000,0.84261,0.84261,0.829,0.8311,899409.3
1525759200000,0.83032,0.83699,0.82474,0.82962,925341.83
1525766400000,0.82962,0.8326,0.806,0.8172,1085260.07
1525773600000,0.8172,0.823,0.80284,0.80284,1780856.81
1525780800000,0.80284,0.8095,0.792,0.79969,2337126.16
1525788000000,0.79969,0.81198,0.79802,0.80797,959324.04
1525795200000,0.80803,0.80985,0.7977,0.801,772201.39
1525802400000,0.80196,0.815,0.7933,0.81306,816002.78
1525809600000,0.81306,0.8158,0.8044,0.80549,665223.75
1525816800000,0.80549,0.812,0.8044,0.80667,1051934.27
1525824000000,0.80667,0.80813,0.7958,0.80084,733041.81
1525831200000,0.80084,0.80208,0.76827,0.774,2333271.48
1525838400000,0.774,0.774,0.7569,0.76946,1611269.4
1525845600000,0.76946,0.7768,0.764,0.76662,1118619.93
1525852800000,0.7666,0.78482,0.7613,0.78482,1389650.34
1525860000000,0.782,0.80263,0.77183,0.79683,1536980.16
1525867200000,0.79683,0.80692,0.7871,0.795,1544114.25
1525874400000,0.79413,0.80464,0.7902,0.8,726281.39
1525881600000,0.79999,0.81894,0.79771,0.80423,1141942.33
1525888800000,0.80284,0.80683,0.79531,0.80253,650995.01
1525896000000,0.80255,0.80495,0.792,0.7945,507867.42
1525903200000,0.7933,0.80289,0.79196,0.79481,688342.37
1525910400000,0.79481,0.803,0.79481,0.79586,556592.06
1525917600000,0.79651,0.8021,0.79035,0.7962,586763.12
1525924800000,0.7961,0.80572,0.79445,0.79487,708251.69
1525932000000,0.794,0.80126,0.78497,0.80094,681664.15
1525939200000,0.80094,0.80194,0.7944,0.7966,729027.59
1525946400000,0.79465,0.79899,0.79125,0.79552,686283.41
1525953600000,0.79552,0.805,0.7922,0.80021,524936.6
1525960800000,0.80029,0.80253,0.796,0.80189,384153.26
1525968000000,0.80017,0.803,0.769,0.78063,2036527.67
1525975200000,0.78063,0.78177,0.769,0.76976,1298136.63
1525982400000,0.76976,0.775,0.76861,0.77167,584639.37
1525989600000,0.77117,0.77284,0.74085,0.74558,1359920.18
1525996800000,0.7492,0.7492,0.725,0.73747,2284400.73
1526004000000,0.73961,0.751,0.73713,0.741,769118.17
1526011200000,0.741,0.75602,0.739,0.75602,1948239.57
1526018400000,0.756,0.75602,0.6511,0.66352,4856479.88
1526025600000,0.66356,0.71497,0.66021,0.67456,4388066.85
1526032800000,0.67464,0.6969,0.66,0.66197,3528787.81
1526040000000,0.66194,0.679,0.64758,0.66586,5069573.56
1526047200000,0.66586,0.70759,0.66579,0.68629,3426090.94
1526054400000,0.68629,0.7067,0.68422,0.69178,1538547.47
1526061600000,0.6902,0.703,0.6865,0.69491,711016.78
1526068800000,0.69483,0.69984,0.655,0.66754,1852572.64
1526076000000,0.66876,0.68498,0.66676,0.6761,919585.64
1526083200000,0.67376,0.69061,0.67376,0.683,610025.38
1526090400000,0.6838,0.69,0.6709,0.6781,653752.82
1526097600000,0.67702,0.683,0.6478,0.64945,1181490.54
1526104800000,0.64787,0.66375,0.62519,0.66101,2495768.24
1526112000000,0.66101,0.6847,0.64089,0.6807,1568632.04
1526119200000,0.6807,0.705,0.6751,0.69098,3005479.51
1526126400000,0.69098,0.71,0.679,0.679,1997358.7
1526133600000,0.679,0.6871,0.65491,0.662,2413907.84
1526140800000,0.662,0.67779,0.654,0.6671,1333061.85
1526148000000,0.6671,0.6866,0.65679,0.68263,1004001.6
1526155200000,0.68263,0.68768,0.67374,0.67806,1047128.56
1526162400000,0.67932,0.69376,0.67844,0.68522,870544.03
1526169600000,0.68192,0.69029,0.67409,0.6791,1130294.38
1526176800000,0.67672,0.68,0.66952,0.67775,583720.31
1526184000000,0.6794,0.68248,0.66456,0.67351,644771.92
1526191200000,0.675,0.68732,0.67318,0.68076,840530.06
1526198400000,0.68074,0.69499,0.67193,0.69,993147.84
1526205600000,0.69031,0.69389,0.68306,0.69042,904565.21
1526212800000,0.6905,0.7017,0.687,0.69269,1244529.53
1526220000000,0.69476,0.7311,0.69304,0.72815,2816288.49
1526227200000,0.72815,0.7501,0.7105,0.71759,3714501.79
1526234400000,0.71756,0.737,0.71513,0.73576,1030131.89
1526241600000,0.73308,0.7495,0.72633,0.72633,2237442.26
1526248800000,0.7275,0.7495,0.7275,0.72999,1381338.09
1526256000000,0.72999,0.73247,0.7141,0.73016,1293761.42
1526263200000,0.73016,0.73233,0.69272,0.69488,2659806.42
1526270400000,0.69356,0.715,0.68585,0.7012,2592273.2
1526277600000,0.7013,0.7159,0.69824,0.70857,1208544.86
1526284800000,0.70861,0.72368,0.70313,0.71387,1475439.39
1526292000000,0.71387,0.72344,0.70039,0.718,1196582.09
1526299200000,0.718,0.7372,0.6905,0.73197,2574780.65
1526306400000,0.73392,0.74666,0.726,0.73991,3201856.13
1526313600000,0.73984,0.74307,0.7304,0.73377,1286518.32
1526320800000,0.73377,0.73588,0.725,0.73416,1027718.9
1526328000000,0.73416,0.7499,0.72618,0.72872,1874576.05
1526335200000,0.72885,0.73378,0.72,0.72694,1379507.53
1526342400000,0.72695,0.7395,0.72367,0.73108,922227.29
1526349600000,0.73125,0.73698,0.72607,0.73688,512329.66
1526356800000,0.7365,0.7428,0.7321,0.74187,1006509.65
1526364000000,0.74187,0.74888,0.73994,0.74124,925186.59
1526371200000,0.74104,0.74104,0.73001,0.73161,798216.34
1526378400000,0.7336,0.74892,0.73148,0.7379,1036170.35
1526385600000,0.7379,0.74134,0.728,0.73213,782022.93
1526392800000,0.73194,0.73232,0.70267,0.71237,2335791.04
1526400000000,0.71024,0.71787,0.706,0.71055,1251123.81
1526407200000,0.71174,0.71174,0.68733,0.69559,1861389.06
1526414400000,0.6937,0.7049,0.69105,0.69501,665275.8
1526421600000,0.69502,0.69822,0.6801,0.689,855745.93
1526428800000,0.689,0.6955,0.67,0.6734,1140277.39
1526436000000,0.67155,0.67657,0.65756,0.6685,1781098.16
1526443200000,0.66851,0.68259,0.6685,0.67493,1262876.61
1526450400000,0.67392,0.68735,0.67192,0.68,661916.47
1526457600000,0.68,0.68004,0.67101,0.67878,479593.99
1526464800000,0.67755,0.70023,0.67755,0.69128,1016518.46
1526472000000,0.69294,0.694,0.66861,0.67299,1139289.18
1526479200000,0.67298,0.69,0.671,0.6833,1307255.23
1526486400000,0.68329,0.68596,0.67405,0.67804,650634.72
1526493600000,0.68158,0.689,0.67808,0.6807,460215.42
1526500800000,0.67808,0.687,0.67594,0.68662,284127.72
1526508000000,0.6866,0.712,0.6866,0.70585,998629.35
