date,open,high,low,close,volume
1597996800000,0.5397,0.5397,0.401,0.45,1109973
1598011200000,0.4494,0.4544,0.4258,0.454,806893.16
1598025600000,0.452,0.46,0.4445,0.4467,526230.29
1598040000000,0.4472,0.4473,0.4285,0.4314,441056.83
1598054400000,0.4317,0.4326,0.412,0.421,575331.13
1598068800000,0.4207,0.4222,0.4185,0.4222,537598.07
1598083200000,0.4231,0.4313,0.4222,0.43,560266.5
1598097600000,0.43,0.4987,0.4299,0.4939,1446763.62
1598112000000,0.4939,0.4939,0.459,0.4676,796014.44
1598126400000,0.4676,0.4716,0.4649,0.4712,282304.68
1598140800000,0.469,0.4716,0.4523,0.4547,658435.07
1598155200000,0.4548,0.494,0.4531,0.48,9107447.35
1598169600000,0.48,0.483,0.4635,0.4635,347442.25
1598184000000,0.4637,0.4797,0.462,0.4678,126094.5
1598198400000,0.4678,0.49,0.465,0.4815,323727.28
1598212800000,0.4792,0.4908,0.4789,0.4821,191864.58
1598227200000,0.4821,0.5,0.4792,0.4937,418247.41
1598241600000,0.4934,0.5126,0.4911,0.4984,883540.55
1598256000000,0.4984,0.4985,0.4908,0.4944,137341.93
1598270400000,0.4944,0.4981,0.4889,0.4946,250615.15
1598284800000,0.4946,0.5136,0.4934,0.508,191046.43
1598299200000,0.508,0.5334,0.5017,0.5315,362983.28
1598313600000,0.5323,0.5324,0.5111,0.5168,359839.31
1598328000000,0.5182,0.522,0.4785,0.4858,403037.62
1598342400000,0.4852,0.5079,0.4811,0.5015,316299.59
1598356800000,0.4995,0.5013,0.4751,0.4818,448816.46
1598371200000,0.4819,0.4819,0.4478,0.4593,723037.18
1598385600000,0.4588,0.47,0.4559,0.4619,357644.98
1598400000000,0.4619,0.4693,0.4603,0.4666,231315.14
1598414400000,0.469,0.477,0.469,0.4752,129397.32
1598428800000,0.4749,0.476,0.4658,0.4679,298386.82
1598443200000,0.4688,0.4979,0.465,0.494,538222.78
1598457600000,0.494,0.494,0.4787,0.4843,281188.41
1598472000000,0.4837,0.4983,0.4821,0.498,352812.76
1598486400000,0.4983,0.5163,0.4953,0.503,517553.13
1598500800000,0.503,0.504,0.4884,0.4995,426046.94
1598515200000,0.4995,0.5161,0.4862,0.4862,559592.21
1598529600000,0.4862,0.5,0.4721,0.4775,492631.03
1598544000000,0.4764,0.4869,0.4701,0.4829,378000.21
1598558400000,0.4833,0.5182,0.4814,0.5046,644300.01
1598572800000,0.5033,0.5121,0.5017,0.5036,419927.58
1598587200000,0.5037,0.5315,0.5033,0.5259,732162.23
1598601600000,0.5259,0.56,0.525,0.5452,1319394.6
1598616000000,0.5452,0.5528,0.5277,0.5523,587989.82
1598630400000,0.5523,0.5537,0.5317,0.5413,246139.19
1598644800000,0.5413,0.57,0.54,0.5662,388420.69
1598659200000,0.5662,0.5691,0.5449,0.5572,389927.14
1598673600000,0.5579,0.5585,0.5165,0.5174,692420.85
1598688000000,0.5178,0.5377,0.5165,0.534,404354.82
1598702400000,0.5341,0.5372,0.5301,0.5342,213013.55
1598716800000,0.5359,0.5488,0.5309,0.5394,328221.61
1598731200000,0.5402,0.5422,0.5347,0.538,144090.19
1598745600000,0.538,0.5464,0.5364,0.5464,329350.51
1598760000000,0.5461,0.563,0.5451,0.5561,511451.39
1598774400000,0.5554,0.5578,0.549,0.5507,359810.6
1598788800000,0.5504,0.5519,0.5222,0.5303,1028810.28
1598803200000,0.5311,0.5347,0.525,0.53,230866.04
1598817600000,0.5309,0.5366,0.5258,0.5326,237504.67
1598832000000,0.5333,0.5337,0.5148,0.5152,331724.76
1598846400000,0.5152,0.535,0.5085,0.5274,647995.61
1598860800000,0.5273,0.5292,0.5214,0.5222,440513.39
1598875200000,0.5219,0.525,0.5104,0.52,530961.36
1598889600000,0.52,0.5202,0.5118,0.5141,398490.94
1598904000000,0.514,0.5142,0.5078,0.5097,355020.04
1598918400000,0.5105,0.5106,0.4872,0.4872,609529.34
1598932800000,0.4868,0.4897,0.4745,0.484,1173930.5
1598947200000,0.484,0.4884,0.4823,0.4825,648677.26
1598961600000,0.4825,0.4853,0.475,0.4823,664385.25
1598976000000,0.4823,0.4827,0.4749,0.4769,501805.72
1598990400000,0.4775,0.4847,0.4769,0.4808,355147.61
1599004800000,0.4806,0.4814,0.4769,0.4795,364643.36
1599019200000,0.4795,0.4802,0.468,0.4689,317784.65
1599033600000,0.4689,0.47,0.4185,0.4444,909568.96
1599048000000,0.4444,0.4447,0.4307,0.4362,834059.23
1599062400000,0.4363,0.4454,0.4302,0.442,978376.2
1599076800000,0.442,0.444,0.4398,0.4428,291198.61
1599091200000,0.4428,0.4457,0.4421,0.4431,303140.6
1599105600000,0.4432,0.4437,0.4382,0.4409,448038.16
1599120000000,0.4406,0.45,0.4391,0.4422,1037980.35
1599134400000,0.4426,0.443,0.4,0.4085,1380745.08
1599148800000,0.4095,0.4118,0.404,0.4058,456953.82
1599163200000,0.4057,0.4087,0.37,0.3778,445755.68
1599177600000,0.3748,0.3813,0.37,0.379,654323.55
1599192000000,0.3791,0.3802,0.367,0.369,497167.33
1599206400000,0.3691,0.3777,0.3687,0.3736,506795.33
1599220800000,0.3737,0.375,0.3598,0.363,669739.26
1599235200000,0.363,0.3721,0.3605,0.3707,712388.97
1599249600000,0.3713,0.3731,0.3678,0.3685,298553.57
1599264000000,0.3689,0.3777,0.3689,0.3734,323470.05
1599278400000,0.3734,0.375,0.3717,0.3732,371058.06
1599292800000,0.373,0.373,0.3458,0.3458,653142.77
