date,open,high,low,close,volume
1667005200000,0.617,0.617,0.613,0.613,105421.6
1667008800000,0.613,0.617,0.611,0.615,122699.4
1667012400000,0.614,0.62,0.613,0.618,334148.3
1667016000000,0.618,0.62,0.614,0.614,108187.8
1667019600000,0.615,0.617,0.613,0.615,208737.6
1667023200000,0.616,0.62,0.616,0.618,152084.1
1667026800000,0.617,0.622,0.616,0.621,110643.2
1667030400000,0.62,0.628,0.619,0.626,368680.5
1667034000000,0.625,0.631,0.624,0.627,303256.6
1667037600000,0.627,0.629,0.616,0.617,296734.8
1667041200000,0.617,0.618,0.611,0.615,231451.8
1667044800000,0.615,0.62,0.615,0.62,168712.7
1667048400000,0.62,0.62,0.609,0.615,285401.4
1667052000000,0.616,0.619,0.614,0.614,228063
1667055600000,0.615,0.623,0.615,0.623,227873.5
1667059200000,0.623,0.636,0.621,0.631,646179.5
1667062800000,0.631,0.637,0.618,0.624,385227.7
1667066400000,0.624,0.629,0.62,0.626,465498.1
1667070000000,0.627,0.628,0.62,0.625,327976.9
1667073600000,0.626,0.629,0.623,0.627,219697.6
1667077200000,0.627,0.629,0.624,0.625,90631.4
1667080800000,0.625,0.625,0.616,0.619,165859.1
1667084400000,0.619,0.626,0.618,0.625,71711.5
1667088000000,0.625,0.626,0.62,0.62,90924.3
1667091600000,0.621,0.625,0.619,0.624,98491.7
1667095200000,0.624,0.628,0.623,0.627,74443.5
1667098800000,0.628,0.63,0.627,0.628,100896.7
1667102400000,0.629,0.629,0.623,0.624,141573.7
1667106000000,0.624,0.629,0.624,0.626,119850.9
1667109600000,0.626,0.63,0.623,0.628,102556.4
1667113200000,0.628,0.634,0.626,0.633,347229.4
1667116800000,0.632,0.633,0.619,0.626,239212.8
1667120400000,0.626,0.63,0.616,0.62,261526.3
1667124000000,0.62,0.621,0.614,0.616,741742.1
1667127600000,0.615,0.617,0.612,0.615,109614.7
1667131200000,0.615,0.617,0.611,0.615,234187.9
1667134800000,0.616,0.616,0.601,0.607,851980.7
1667138400000,0.607,0.612,0.604,0.61,180296.2
1667142000000,0.611,0.611,0.603,0.605,318594.4
1667145600000,0.604,0.61,0.601,0.606,181051.9
1667149200000,0.607,0.611,0.606,0.611,96728.4
1667152800000,0.611,0.615,0.61,0.613,103065.1
1667156400000,0.613,0.615,0.612,0.612,39844.3
1667160000000,0.612,0.616,0.612,0.614,56385.6
1667163600000,0.614,0.621,0.613,0.619,241323.6
1667167200000,0.619,0.621,0.606,0.614,206188.7
1667170800000,0.614,0.616,0.611,0.614,84445.6
1667174400000,0.614,0.618,0.611,0.612,173222.3
1667178000000,0.611,0.615,0.606,0.611,96596.3
1667181600000,0.611,0.611,0.604,0.607,136835.7
1667185200000,0.607,0.615,0.607,0.614,88254.2
1667188800000,0.614,0.618,0.613,0.615,52156.1
1667192400000,0.616,0.618,0.614,0.615,60885.7
1667196000000,0.616,0.616,0.609,0.613,131706.5
1667199600000,0.614,0.618,0.613,0.617,79970
1667203200000,0.617,0.618,0.609,0.61,161552.8
1667206800000,0.611,0.624,0.608,0.622,212237.7
1667210400000,0.621,0.623,0.617,0.622,172555.7
1667214000000,0.622,0.625,0.621,0.622,242051.4
1667217600000,0.622,0.647,0.619,0.634,5203802.1
1667221200000,0.634,0.634,0.612,0.613,898615.9
