date,open,high,low,close,volume
1667005200000,84.9,84.9,84.1,84.2,1468.048
1667008800000,84.2,84.8,83.9,84.5,2876.625
1667012400000,84.5,85.6,84.3,85.4,5384.996
1667016000000,85.5,85.6,84.5,84.6,2953.751
1667019600000,84.7,85.3,84.3,84.9,5525.954
1667023200000,84.9,85.5,84.6,84.7,3070.837
1667026800000,84.7,85.3,84.5,85.3,2564.678
1667030400000,85.3,86,85,85.9,13398.171
1667034000000,85.9,86,85.3,85.6,2858.98
1667037600000,85.5,86,84.4,84.6,11250.336
1667041200000,84.6,84.7,84,84.2,3191.426
1667044800000,84.2,84.9,84,84.8,2531.06
1667048400000,84.9,84.9,83.8,84.6,2460.852
1667052000000,84.7,85.1,83.9,84.1,3202.628
1667055600000,84.2,85.3,84,85,3403.093
1667059200000,84.9,86.8,84.7,86.2,12909.052
1667062800000,86.3,87.4,85.5,85.7,8347.187
1667066400000,85.8,86.5,85.2,86,5335.573
1667070000000,86,86.1,84.9,85.8,2263.972
1667073600000,85.8,86,85.3,85.6,3253.768
1667077200000,85.6,86.1,85.5,85.9,915.661
1667080800000,85.8,85.9,84.3,84.7,4952.491
1667084400000,84.7,85.4,84.2,85.4,2822.449
1667088000000,85.4,85.5,84.7,84.7,1524.283
1667091600000,84.7,85.4,84.5,85.2,1354.065
1667095200000,85.3,85.9,85,85.7,4299.547
1667098800000,85.8,86,85.6,85.9,1263.964
1667102400000,85.9,86,85.5,85.5,1531.879
1667106000000,85.5,86.4,85.5,85.9,5625.07
1667109600000,86,86.5,85.4,86.1,2082.158
1667113200000,86.1,86.9,85.8,86.7,3050.447
1667116800000,86.7,86.8,85,85.8,5913.446
1667120400000,85.8,86.2,84.3,84.8,5116.934
1667124000000,84.7,85.2,84.5,84.8,2867.198
1667127600000,84.9,85.2,84.3,84.9,2178.785
1667131200000,85,85.1,84.1,84.8,3069.406
1667134800000,84.7,84.8,83.3,83.5,4556.075
1667138400000,83.5,84.4,83.3,84.3,1914.248
1667142000000,84.2,84.5,83.2,83.6,2935.52
1667145600000,83.5,84.1,83,83.3,3829.778
1667149200000,83.3,84.3,83.2,84,1760.223
1667152800000,84,84.3,83.7,84.1,966.44
1667156400000,84.1,84.2,83.8,83.9,1229.435
1667160000000,84,84.4,83.7,84.2,1101.877
1667163600000,84.2,84.5,83.9,84.1,1009.33
1667167200000,84.2,84.3,82.8,83.7,3760.97
1667170800000,83.7,84.1,83.4,83.9,1253.89
1667174400000,83.9,84.3,83.5,83.7,2476.398
1667178000000,83.8,84.1,82.9,83.4,2531.305
1667181600000,83.5,83.6,82.6,83,3302.973
1667185200000,83.1,84,82.9,84,1178.125
1667188800000,84,84.2,83.7,83.8,2249.885
1667192400000,83.8,84.1,83.5,83.8,1407.172
1667196000000,83.8,84.3,83.2,84.2,2359.112
1667199600000,84.2,84.3,83.7,84.2,1700.55
1667203200000,84.3,85.3,83.5,84.5,6761.255
1667206800000,84.5,86,84.3,86,6893.407
1667210400000,86,86.5,85.5,86,8025.928
1667214000000,86,86.5,85.8,86.1,5157.759
1667217600000,86.1,87.2,85.5,85.9,10766.508
1667221200000,85.9,86.3,82.8,83,15398.402
1667224800000,82.9,83.6,82.4,83,9132.424
1667228400000,83,84,82.8,83.6,6254.938
1667232000000,83.7,84.5,82.8,83.3,7441.399
1667235600000,83.2,84,83,83.3,4335.389
1667239200000,83.3,83.9,83.3,83.7,2547.146
1667242800000,83.6,83.6,83,83.1,1490.055
1667246400000,83.1,83.5,83,83.2,1563.426
1667250000000,83.1,83.3,83,83.2,2178.682
1667253600000,83.1,84,82.9,83.9,2251.976
1667257200000,83.9,84.2,83.6,83.9,1239.827
1667260800000,83.9,84.5,83.5,84.1,3251.935
1667264400000,84.1,84.9,84.1,84.8,3115.165
1667268000000,84.8,85.5,84.7,85.3,3123.817
1667271600000,85.3,85.6,85,85.4,2768.539
1667275200000,85.5,85.6,84.7,84.9,1785.956
1667278800000,84.8,85.1,84.6,84.9,1896.34
1667282400000,85,85.6,84.8,85.2,2127.323
1667286000000,85.2,85.8,84.7,85.5,10981.158
1667289600000,85.4,86,85.4,85.5,3579.106
1667293200000,85.5,86.3,85.4,85.5,4795.95
1667296800000,85.5,86.1,85.3,86,2548.29
1667300400000,85.9,86,84.8,85,6239.47
1667304000000,85,85.9,84.5,85.4,16260.555
1667307600000,85.4,85.6,83.7,84.5,5315.788
1667311200000,84.5,85,83.7,84.7,6090.175
1667314800000,84.7,85.3,84.5,85.3,4470.692
1667318400000,85.3,85.9,84.3,84.4,4923.132
1667322000000,84.3,84.8,84.1,84.6,1815.199
1667325600000,84.7,84.9,84.5,84.8,1140.206
1667329200000,84.8,84.9,84.4,84.5,1000.038
1667332800000,84.4,84.6,84.1,84.6,1232.237
1667336400000,84.6,84.7,84.2,84.3,678.472
1667340000000,84.3,84.5,84.1,84.3,1145.919
1667343600000,84.4,84.7,84.2,84.2,1750.592
1667347200000,84.2,84.8,83.4,84.7,3668.908
1667350800000,84.7,85.7,84.6,85.1,3522.269
1667354400000,85.1,85.2,84.5,85.1,2614.23
1667358000000,85,85.5,84.9,85.1,2569.339
1667361600000,85.1,85.6,84.8,85,1539.338
1667365200000,85.1,85.4,84.1,84.2,3644.503
1667368800000,84.2,84.2,83.8,83.9,1720.135
