date,open,high,low,close,volume
1667005200000,0.1649,0.1652,0.1647,0.165,19319.48
1667008800000,0.165,0.1655,0.165,0.1654,87864.23
1667012400000,0.1652,0.1669,0.1652,0.1665,89677
1667016000000,0.1666,0.1666,0.1653,0.1655,67517.86
1667019600000,0.1656,0.1661,0.1653,0.1658,38247.44
1667023200000,0.1658,0.1668,0.1658,0.1663,78195.17
1667026800000,0.1664,0.1671,0.1659,0.1671,37834.81
1667030400000,0.1671,0.17,0.1669,0.1692,173842.6
1667034000000,0.1692,0.17,0.1685,0.169,291347.54
1667037600000,0.1688,0.1691,0.1673,0.1675,107301.94
1667041200000,0.1675,0.1675,0.1655,0.1662,196992.31
1667044800000,0.166,0.1672,0.1657,0.1671,39584.09
1667048400000,0.1669,0.1669,0.1649,0.1652,242775.3
1667052000000,0.1652,0.166,0.1646,0.1646,100184.86
1667055600000,0.1647,0.1649,0.1617,0.1626,745019.16
1667059200000,0.1626,0.1656,0.1624,0.1653,229018.97
1667062800000,0.1652,0.166,0.1635,0.1636,188514.4
1667066400000,0.1634,0.164,0.1623,0.1636,104252.39
1667070000000,0.1635,0.164,0.163,0.1636,71546.03
1667073600000,0.1636,0.1641,0.1636,0.1638,26132.84
1667077200000,0.1638,0.1647,0.1638,0.1641,83213.49
1667080800000,0.1641,0.1641,0.1578,0.1589,1319134.86
1667084400000,0.1589,0.1603,0.158,0.1599,252818.82
1667088000000,0.1598,0.1609,0.1548,0.1575,895241.73
1667091600000,0.1574,0.1589,0.157,0.1585,261932.18
1667095200000,0.1585,0.1591,0.1581,0.1591,72320.42
1667098800000,0.1591,0.1602,0.1586,0.1593,335927.08
1667102400000,0.1592,0.1593,0.1589,0.1592,12909.94
1667106000000,0.1591,0.1594,0.1582,0.1589,85470.01
1667109600000,0.1589,0.1598,0.1586,0.1598,137952.83
1667113200000,0.1599,0.1611,0.1598,0.1609,220138.76
1667116800000,0.161,0.1613,0.1582,0.159,317324.56
1667120400000,0.1592,0.1602,0.1578,0.158,237541.63
1667124000000,0.1579,0.1591,0.1576,0.158,197322.99
1667127600000,0.1581,0.1591,0.158,0.159,110350.67
1667131200000,0.159,0.161,0.1581,0.1591,362775.53
1667134800000,0.159,0.1591,0.1576,0.158,198546.44
1667138400000,0.1581,0.1601,0.1578,0.1599,148421.21
1667142000000,0.1599,0.1616,0.1588,0.1588,363779.08
1667145600000,0.1586,0.1609,0.1585,0.1603,156205.73
1667149200000,0.1604,0.1606,0.1569,0.1581,249424.09
1667152800000,0.1582,0.1589,0.1581,0.1587,23763.41
1667156400000,0.1587,0.1595,0.1584,0.159,55568.61
1667160000000,0.1591,0.1641,0.1591,0.1598,460275.48
1667163600000,0.1602,0.1602,0.1591,0.1593,110967.41
1667167200000,0.1592,0.1592,0.158,0.1586,53935.32
1667170800000,0.1588,0.1602,0.1587,0.1602,25704.02
1667174400000,0.1602,0.1603,0.1582,0.1589,56906.99
1667178000000,0.1591,0.1591,0.1582,0.1585,43574.2
1667181600000,0.1585,0.1589,0.158,0.1589,18405.6
1667185200000,0.1584,0.1601,0.1584,0.1596,64293.5
1667188800000,0.1594,0.16,0.158,0.159,169867.84
1667192400000,0.1587,0.1613,0.1587,0.1591,233201.39
1667196000000,0.1596,0.16,0.1576,0.159,173540.27
1667199600000,0.159,0.1595,0.1587,0.1594,22507.47
1667203200000,0.1594,0.1596,0.1586,0.1587,57244.94
1667206800000,0.1588,0.1608,0.1585,0.1602,185614.75
1667210400000,0.1602,0.1621,0.1599,0.1619,358955.24
1667214000000,0.1618,0.1636,0.1611,0.1618,296392.61
1667217600000,0.1615,0.1624,0.1611,0.1618,218022.9
1667221200000,0.1617,0.1625,0.1578,0.1578,282184.66
