date,open,high,low,close,volume
1667005200000,3.225,3.238,3.213,3.223,870.9
1667008800000,3.223,3.239,3.213,3.213,704.6
1667012400000,3.227,3.25,3.199,3.234,15498
1667016000000,3.235,3.242,3.213,3.22,4283.3
1667019600000,3.216,3.221,3.19,3.193,8970
1667023200000,3.197,3.25,3.194,3.241,14346.5
1667026800000,3.241,3.242,3.21,3.228,12499.2
1667030400000,3.227,3.25,3.226,3.241,5761
1667034000000,3.248,3.266,3.243,3.263,5666
1667037600000,3.262,3.263,3.215,3.217,4990.2
1667041200000,3.218,3.221,3.183,3.191,5753.8
1667044800000,3.186,3.234,3.183,3.227,7728.3
1667048400000,3.228,3.237,3.204,3.232,12976.2
1667052000000,3.233,3.256,3.212,3.217,14480.3
1667055600000,3.217,3.229,3.212,3.217,4217.8
1667059200000,3.216,3.252,3.21,3.239,6787.6
1667062800000,3.246,3.258,3.177,3.206,13483.2
1667066400000,3.206,3.211,3.175,3.177,8913.4
1667070000000,3.182,3.2,3.176,3.193,3587.4
1667073600000,3.197,3.2,3.187,3.199,590.8
1667077200000,3.196,3.204,3.188,3.192,1412.4
1667080800000,3.187,3.201,3.172,3.172,2591.2
1667084400000,3.173,3.195,3.163,3.195,2271.2
1667088000000,3.194,3.219,3.193,3.2,3578.3
1667091600000,3.195,3.2,3.194,3.197,990
1667095200000,3.197,3.2,3.196,3.2,2233
1667098800000,3.2,3.22,3.197,3.216,7687.3
1667102400000,3.217,3.234,3.208,3.221,3660
1667106000000,3.223,3.231,3.208,3.217,2718.9
1667109600000,3.219,3.22,3.178,3.186,17962.1
1667113200000,3.185,3.209,3.179,3.203,5199.3
1667116800000,3.203,3.242,3.195,3.221,15431.6
1667120400000,3.221,3.25,3.173,3.18,19956.2
1667124000000,3.18,3.223,3.18,3.212,3625.2
1667127600000,3.214,3.229,3.199,3.22,4389.2
1667131200000,3.22,3.256,3.218,3.242,13180
1667134800000,3.241,3.303,3.221,3.297,35994.8
1667138400000,3.291,3.475,3.29,3.434,208612
1667142000000,3.434,3.5,3.332,3.34,129543.9
1667145600000,3.34,3.36,3.309,3.327,46606.1
1667149200000,3.328,3.396,3.316,3.368,25432.6
1667152800000,3.368,3.388,3.32,3.328,11779.7
1667156400000,3.328,3.351,3.311,3.315,12391.8
1667160000000,3.316,3.362,3.308,3.318,31803.2
1667163600000,3.318,3.32,3.297,3.314,9339.7
1667167200000,3.313,3.314,3.252,3.295,12907.6
1667170800000,3.292,3.315,3.266,3.313,8368.8
1667174400000,3.314,3.318,3.25,3.293,24046.7
1667178000000,3.294,3.392,3.294,3.326,31699.9
1667181600000,3.329,3.334,3.266,3.307,18306.3
1667185200000,3.306,3.368,3.289,3.357,13714.7
1667188800000,3.356,3.36,3.311,3.314,9719.6
1667192400000,3.313,3.326,3.287,3.296,8345.5
1667196000000,3.295,3.3,3.25,3.286,13778.7
1667199600000,3.286,3.352,3.28,3.3,31769.9
