date,open,high,low,close,volume
1667005200000,0.172,0.1722,0.1719,0.1722,9769
1667008800000,0.172,0.1727,0.1718,0.1724,107818
1667012400000,0.1726,0.1735,0.1725,0.1733,132498
1667016000000,0.1733,0.1736,0.1723,0.1723,34511
1667019600000,0.1723,0.1729,0.1721,0.1724,46688
1667023200000,0.1724,0.1736,0.1724,0.1731,60892
1667026800000,0.1731,0.1742,0.1731,0.1742,72873
1667030400000,0.1741,0.1756,0.1736,0.1744,230818
1667034000000,0.1742,0.1744,0.1734,0.1739,213934
1667037600000,0.1736,0.1743,0.173,0.173,379272
1667041200000,0.1731,0.1731,0.1722,0.1723,154130
1667044800000,0.1721,0.1726,0.1719,0.1726,107070
1667048400000,0.1724,0.1725,0.1715,0.1718,141435
1667052000000,0.1719,0.1727,0.1711,0.1711,292594
1667055600000,0.1712,0.1722,0.1708,0.1717,447989
1667059200000,0.1717,0.1725,0.1715,0.1723,383366
1667062800000,0.1721,0.1725,0.1706,0.1706,506823
1667066400000,0.1706,0.1706,0.1697,0.1702,296311
1667070000000,0.1703,0.1703,0.1696,0.17,139462
1667073600000,0.1698,0.1723,0.1698,0.1723,331870
1667077200000,0.1721,0.173,0.1721,0.1728,127587
1667080800000,0.1728,0.173,0.1716,0.1716,127311
1667084400000,0.1719,0.1726,0.1716,0.1724,56678
1667088000000,0.1726,0.1749,0.1721,0.1739,286474
1667091600000,0.1739,0.174,0.173,0.1738,108407
1667095200000,0.1737,0.1737,0.1733,0.1735,33391
1667098800000,0.1736,0.1738,0.1728,0.1729,263914
1667102400000,0.173,0.173,0.1725,0.1725,82191
1667106000000,0.1727,0.1728,0.1722,0.1725,34154
1667109600000,0.1725,0.1733,0.1723,0.173,140033
1667113200000,0.1728,0.1734,0.1728,0.1734,115082
1667116800000,0.1734,0.1739,0.1723,0.1724,93426
1667120400000,0.1724,0.1728,0.1715,0.1717,145421
1667124000000,0.1715,0.1718,0.1711,0.1714,158592
1667127600000,0.1711,0.1722,0.1711,0.172,85217
1667131200000,0.172,0.172,0.1711,0.1713,246196
1667134800000,0.1714,0.1715,0.1705,0.1707,173384
1667138400000,0.1706,0.1713,0.1706,0.171,85114
1667142000000,0.171,0.171,0.17,0.1701,144056
1667145600000,0.1704,0.1709,0.17,0.1705,148780
1667149200000,0.1707,0.1726,0.1705,0.1716,266498
1667152800000,0.1718,0.1718,0.1712,0.1712,45995
1667156400000,0.1715,0.172,0.1713,0.1714,74478
1667160000000,0.1714,0.173,0.1712,0.1725,363957
1667163600000,0.1725,0.1727,0.1721,0.1724,79193
1667167200000,0.1725,0.1725,0.1711,0.1713,137829
