date,open,high,low,close,volume
1667005200000,0.32,0.322,0.32,0.322,34368.3
1667008800000,0.321,0.323,0.321,0.323,16559.3
1667012400000,0.323,0.329,0.323,0.328,156110
1667016000000,0.328,0.329,0.324,0.325,85336.5
1667019600000,0.324,0.328,0.324,0.326,37053
1667023200000,0.326,0.328,0.326,0.327,42509.2
1667026800000,0.328,0.342,0.327,0.334,984568.6
1667030400000,0.334,0.335,0.332,0.334,287367.5
1667034000000,0.334,0.334,0.329,0.334,309782.9
1667037600000,0.333,0.335,0.329,0.33,149489.6
1667041200000,0.33,0.332,0.326,0.328,116581.6
1667044800000,0.327,0.329,0.326,0.327,113263.1
1667048400000,0.328,0.337,0.325,0.335,455080.2
1667052000000,0.334,0.343,0.334,0.338,419867.5
1667055600000,0.338,0.341,0.336,0.339,277864.8
1667059200000,0.339,0.355,0.338,0.346,766793.7
1667062800000,0.345,0.349,0.339,0.343,302241.2
1667066400000,0.342,0.345,0.34,0.344,162549.8
1667070000000,0.344,0.345,0.339,0.345,181781
1667073600000,0.345,0.346,0.341,0.342,191425.1
1667077200000,0.341,0.343,0.341,0.342,27015.8
1667080800000,0.342,0.345,0.337,0.339,147124.7
1667084400000,0.338,0.343,0.338,0.343,75508
1667088000000,0.343,0.348,0.337,0.339,206295.7
1667091600000,0.338,0.34,0.336,0.34,123558.1
1667095200000,0.34,0.346,0.339,0.344,179154.6
1667098800000,0.345,0.348,0.343,0.348,112539.5
1667102400000,0.347,0.348,0.345,0.346,140173.8
1667106000000,0.346,0.355,0.346,0.355,525864.2
1667109600000,0.354,0.361,0.35,0.357,590799.7
1667113200000,0.358,0.36,0.353,0.359,317345.5
1667116800000,0.358,0.362,0.35,0.351,647436.7
1667120400000,0.351,0.356,0.35,0.351,197050.7
1667124000000,0.35,0.356,0.348,0.355,227651.7
1667127600000,0.355,0.377,0.355,0.363,1349045.4
1667131200000,0.364,0.372,0.357,0.37,528440.7
1667134800000,0.37,0.372,0.356,0.358,584622.7
1667138400000,0.357,0.359,0.353,0.355,442981.6
1667142000000,0.355,0.357,0.348,0.348,427396.9
1667145600000,0.349,0.349,0.341,0.342,314699.4
1667149200000,0.342,0.347,0.34,0.345,151558.8
1667152800000,0.344,0.345,0.342,0.344,64943.9
1667156400000,0.344,0.344,0.343,0.343,28607.8
1667160000000,0.343,0.344,0.341,0.344,96485.1
1667163600000,0.343,0.345,0.335,0.335,380261.5
1667167200000,0.336,0.338,0.333,0.337,131289.5
1667170800000,0.337,0.338,0.335,0.338,63458.6
1667174400000,0.338,0.34,0.336,0.336,181014.6
1667178000000,0.337,0.339,0.332,0.333,163384.1
1667181600000,0.333,0.335,0.33,0.333,119771.8
1667185200000,0.333,0.335,0.332,0.335,137030.8
1667188800000,0.335,0.338,0.333,0.336,175015.4
1667192400000,0.335,0.339,0.334,0.337,241159.8
1667196000000,0.337,0.339,0.334,0.338,51857
1667199600000,0.337,0.34,0.336,0.339,80481.6
1667203200000,0.339,0.339,0.335,0.335,76138.1
1667206800000,0.336,0.344,0.335,0.341,149992
1667210400000,0.341,0.342,0.338,0.34,97684.2
1667214000000,0.341,0.342,0.337,0.339,175536.3
1667217600000,0.339,0.342,0.337,0.34,78035.1
1667221200000,0.34,0.344,0.328,0.329,493732.2
1667224800000,0.329,0.334,0.328,0.334,350662.4
1667228400000,0.334,0.341,0.334,0.338,195053.1
1667232000000,0.339,0.34,0.335,0.336,74780.1
1667235600000,0.337,0.338,0.336,0.336,29574.9
1667239200000,0.337,0.339,0.337,0.339,31742.1
1667242800000,0.338,0.338,0.335,0.335,43229.4
1667246400000,0.336,0.338,0.335,0.336,36854.4
1667250000000,0.337,0.337,0.335,0.335,7775.7
1667253600000,0.335,0.338,0.335,0.337,33038.9
1667257200000,0.338,0.339,0.337,0.338,15933.6
1667260800000,0.338,0.34,0.337,0.339,28937.8
1667264400000,0.338,0.341,0.338,0.34,20328.7
1667268000000,0.34,0.34,0.339,0.34,14911.4
1667271600000,0.34,0.341,0.339,0.34,16009.7
1667275200000,0.34,0.341,0.338,0.339,50994.3
1667278800000,0.338,0.343,0.338,0.343,109445.6
1667282400000,0.343,0.344,0.341,0.342,104742.5
1667286000000,0.342,0.342,0.34,0.342,24658.4
1667289600000,0.341,0.341,0.34,0.34,16761
1667293200000,0.341,0.342,0.34,0.34,71055.6
1667296800000,0.34,0.34,0.338,0.34,45138.5
1667300400000,0.34,0.341,0.336,0.337,55501.5
1667304000000,0.337,0.338,0.336,0.338,20502.9
1667307600000,0.338,0.338,0.333,0.334,62699
1667311200000,0.334,0.335,0.332,0.333,66684.4
1667314800000,0.333,0.335,0.332,0.335,42104.7
1667318400000,0.335,0.336,0.332,0.333,57306.9
1667322000000,0.333,0.334,0.332,0.334,40472.9
1667325600000,0.334,0.334,0.333,0.334,5975.1
1667329200000,0.334,0.334,0.333,0.333,7489.5
1667332800000,0.333,0.333,0.332,0.333,19197.5
1667336400000,0.333,0.334,0.332,0.333,14366.8
1667340000000,0.333,0.333,0.331,0.332,23117.8
1667343600000,0.332,0.332,0.329,0.33,88350
1667347200000,0.33,0.33,0.324,0.328,451800.8
1667350800000,0.328,0.329,0.328,0.328,21985.9
1667354400000,0.329,0.329,0.326,0.328,35313.5
1667358000000,0.328,0.33,0.328,0.33,68019
1667361600000,0.329,0.331,0.329,0.33,68135.4
1667365200000,0.33,0.331,0.328,0.33,101963
1667368800000,0.33,0.331,0.329,0.33,116167.8
1667372400000,0.33,0.335,0.329,0.331,303348.9
1667376000000,0.332,0.336,0.331,0.335,36618.7
1667379600000,0.336,0.336,0.331,0.331,66042.7
1667383200000,0.331,0.331,0.327,0.329,37109.4
1667386800000,0.329,0.332,0.329,0.332,103079.5
1667390400000,0.332,0.335,0.331,0.332,58273.7
1667394000000,0.331,0.334,0.33,0.331,57255.1
1667397600000,0.332,0.335,0.33,0.334,71545
1667401200000,0.334,0.335,0.333,0.334,52383.3
1667404800000,0.334,0.339,0.332,0.339,129606.9
1667408400000,0.339,0.339,0.33,0.33,113094.1
1667412000000,0.331,0.342,0.328,0.336,538783.2
1667415600000,0.337,0.34,0.328,0.335,369489
1667419200000,0.335,0.341,0.335,0.336,349750.4
1667422800000,0.335,0.337,0.332,0.333,82254.8
1667426400000,0.333,0.334,0.331,0.331,27305
1667430000000,0.332,0.334,0.331,0.334,31027.9
1667433600000,0.334,0.344,0.332,0.342,280661.1
1667437200000,0.342,0.346,0.34,0.342,167847.4
1667440800000,0.342,0.351,0.34,0.35,156772.2
1667444400000,0.35,0.355,0.348,0.349,164000
1667448000000,0.351,0.354,0.346,0.347,209274.3
1667451600000,0.347,0.357,0.347,0.355,246060
1667455200000,0.355,0.365,0.352,0.359,450621.8
1667458800000,0.359,0.36,0.352,0.353,288816.8
1667462400000,0.352,0.354,0.351,0.354,93311.2
1667466000000,0.354,0.367,0.354,0.361,504129.3
1667469600000,0.361,0.363,0.355,0.356,449207.5
1667473200000,0.356,0.357,0.343,0.35,551092.3
1667476800000,0.35,0.362,0.35,0.362,591547.7
1667480400000,0.362,0.366,0.359,0.36,240578.2
1667484000000,0.361,0.366,0.36,0.365,311987.6
1667487600000,0.366,0.367,0.363,0.367,122739.6
1667491200000,0.368,0.392,0.362,0.363,1062337.5
1667494800000,0.363,0.379,0.36,0.37,1068899.6
1667498400000,0.37,0.379,0.369,0.375,106574.9
1667502000000,0.375,0.376,0.37,0.371,71460
1667505600000,0.372,0.373,0.368,0.369,111705.4
1667509200000,0.369,0.371,0.368,0.368,51270.2
1667512800000,0.368,0.368,0.361,0.362,84432.8
1667516400000,0.361,0.365,0.359,0.365,65802
1667520000000,0.364,0.37,0.347,0.37,618348.6
1667523600000,0.37,0.38,0.369,0.37,304026.8
1667527200000,0.37,0.371,0.364,0.365,238702.1
1667530800000,0.366,0.403,0.365,0.374,1977911.1
1667534400000,0.375,0.377,0.363,0.363,393622.6
1667538000000,0.362,0.364,0.357,0.358,229331.5
1667541600000,0.358,0.363,0.357,0.363,341164.4
1667545200000,0.362,0.363,0.361,0.362,146863.7
1667548800000,0.362,0.365,0.361,0.362,81752
1667552400000,0.363,0.374,0.363,0.371,656048.4
1667556000000,0.371,0.381,0.365,0.374,513807
1667559600000,0.374,0.386,0.366,0.367,567534.5
1667563200000,0.367,0.373,0.362,0.372,228480.6
1667566800000,0.373,0.375,0.37,0.371,74718.7
1667570400000,0.37,0.377,0.37,0.374,232054.6
1667574000000,0.374,0.374,0.363,0.363,319621.2
1667577600000,0.364,0.37,0.362,0.366,148486.7
1667581200000,0.366,0.37,0.365,0.369,82793.9
1667584800000,0.369,0.372,0.367,0.371,55730.5
1667588400000,0.371,0.375,0.37,0.373,69294.6
1667592000000,0.373,0.374,0.37,0.371,129517.9
1667595600000,0.371,0.393,0.369,0.371,1617522.2
1667599200000,0.372,0.376,0.367,0.372,417045.1
1667602800000,0.371,0.373,0.369,0.371,55918.6
1667606400000,0.371,0.382,0.37,0.377,491570.3
1667610000000,0.377,0.386,0.376,0.385,295927
1667613600000,0.385,0.451,0.385,0.43,2323557.1
1667617200000,0.432,0.436,0.409,0.413,889813.6
1667620800000,0.414,0.442,0.409,0.411,1259357.1
1667624400000,0.411,0.417,0.404,0.416,564775.9
1667628000000,0.417,0.417,0.4,0.4,322310.7
1667631600000,0.401,0.409,0.394,0.397,484411.1
1667635200000,0.396,0.398,0.388,0.391,282693.5
1667638800000,0.391,0.393,0.385,0.387,198391.4
1667642400000,0.388,0.396,0.387,0.392,266822.5
1667646000000,0.392,0.394,0.387,0.39,319335.8
1667649600000,0.39,0.392,0.383,0.383,91614.5
1667653200000,0.384,0.387,0.383,0.384,82369.7
1667656800000,0.383,0.385,0.378,0.381,296990.4
1667660400000,0.381,0.384,0.379,0.383,100244.3
1667664000000,0.383,0.386,0.381,0.385,126809.7
1667667600000,0.384,0.384,0.381,0.382,80023.9
1667671200000,0.382,0.382,0.378,0.379,50978.2
1667674800000,0.379,0.38,0.378,0.379,47769.6
1667678400000,0.38,0.381,0.379,0.379,42483.1
1667682000000,0.379,0.379,0.378,0.379,37802.1
1667685600000,0.379,0.382,0.378,0.38,83734.6
1667689200000,0.381,0.382,0.371,0.374,348740.8
1667692800000,0.374,0.376,0.371,0.373,170725.2
1667696400000,0.373,0.375,0.369,0.372,96528.8
1667700000000,0.373,0.378,0.372,0.376,56992.9
1667703600000,0.376,0.379,0.376,0.379,120435.6
1667707200000,0.379,0.383,0.379,0.381,142042.5
1667710800000,0.38,0.381,0.374,0.376,46901.2
1667714400000,0.376,0.376,0.371,0.376,121315.5
1667718000000,0.375,0.379,0.374,0.375,114015.9
1667721600000,0.375,0.375,0.37,0.371,206177.8
1667725200000,0.37,0.372,0.367,0.371,257681.2
1667728800000,0.37,0.372,0.37,0.372,71986.2
1667732400000,0.371,0.372,0.366,0.366,133363.3
1667736000000,0.367,0.368,0.363,0.364,148776.9
1667739600000,0.364,0.365,0.363,0.364,44340.3
