date,open,high,low,close,volume
1667005200000,0.04109,0.04131,0.04104,0.0413,146009
1667008800000,0.0413,0.04159,0.04115,0.04147,322075
1667012400000,0.04147,0.0416,0.04132,0.04157,353302
1667016000000,0.04157,0.04169,0.0413,0.04148,407273
1667019600000,0.0414,0.04152,0.04131,0.04141,215772
1667023200000,0.04141,0.04164,0.04132,0.04162,237760
1667026800000,0.04162,0.042,0.0415,0.04195,664783
1667030400000,0.04195,0.042,0.04159,0.04176,633146
1667034000000,0.04176,0.04185,0.04165,0.04177,156100
1667037600000,0.04169,0.04183,0.04137,0.04142,355837
1667041200000,0.04142,0.04147,0.04102,0.04105,557386
1667044800000,0.04104,0.04138,0.04101,0.04136,178323
1667048400000,0.04136,0.04138,0.0412,0.04128,198264
1667052000000,0.04128,0.04134,0.0412,0.0412,283720
1667055600000,0.04121,0.04126,0.04092,0.041,1238360
1667059200000,0.04099,0.04156,0.04092,0.04136,954386
1667062800000,0.04142,0.04142,0.04077,0.0408,1630437
1667066400000,0.04089,0.04105,0.04073,0.04103,713820
1667070000000,0.04104,0.04113,0.04074,0.04091,436648
1667073600000,0.04091,0.04099,0.04074,0.04094,146831
1667077200000,0.04094,0.04098,0.04082,0.04095,328131
1667080800000,0.04094,0.04105,0.04072,0.04078,91141
1667084400000,0.04078,0.04078,0.04037,0.04055,2606828
1667088000000,0.04049,0.04052,0.0394,0.03996,2701985
1667091600000,0.03996,0.04009,0.03986,0.04009,66440
1667095200000,0.04009,0.04015,0.04002,0.04014,99729
1667098800000,0.04014,0.04029,0.04003,0.04016,214211
1667102400000,0.04023,0.04024,0.04003,0.04017,70144
1667106000000,0.04017,0.0402,0.04009,0.04011,161352
1667109600000,0.04011,0.04033,0.04007,0.04031,306316
1667113200000,0.04031,0.04069,0.04026,0.04054,499936
1667116800000,0.04062,0.04067,0.03989,0.04023,817345
1667120400000,0.04023,0.04043,0.03982,0.03989,303140
1667124000000,0.03989,0.03999,0.03823,0.03961,1707070
1667127600000,0.03962,0.03976,0.03953,0.03976,315827
1667131200000,0.03976,0.03977,0.03955,0.03966,223795
1667134800000,0.03966,0.03968,0.03953,0.03954,1165092
1667138400000,0.03954,0.03969,0.03948,0.03966,344404
1667142000000,0.03968,0.03973,0.03898,0.03908,618051
1667145600000,0.03908,0.03937,0.039,0.03907,266851
1667149200000,0.03913,0.03925,0.03895,0.03923,103156
1667152800000,0.03923,0.03939,0.03917,0.03934,442720
1667156400000,0.03934,0.03938,0.03891,0.03913,267570
1667160000000,0.03913,0.03934,0.03913,0.03932,154795
1667163600000,0.03932,0.03935,0.03912,0.03925,255105
1667167200000,0.03924,0.03924,0.03866,0.03888,230184
1667170800000,0.0389,0.03906,0.03883,0.039,257217
1667174400000,0.039,0.03927,0.03879,0.03888,235696
1667178000000,0.03888,0.03894,0.03861,0.0387,222143
1667181600000,0.03871,0.03877,0.0386,0.03869,196026
1667185200000,0.03863,0.03897,0.03863,0.03892,36496
1667188800000,0.03891,0.03894,0.03882,0.03893,66642
1667192400000,0.03893,0.03893,0.0388,0.03891,169176
1667196000000,0.03892,0.03892,0.0388,0.0389,272887
1667199600000,0.03891,0.03909,0.03891,0.03901,35690
1667203200000,0.03915,0.03915,0.03877,0.03903,82448
1667206800000,0.03908,0.03961,0.03894,0.03956,427387
1667210400000,0.03956,0.03964,0.03937,0.03953,119211
1667214000000,0.03955,0.03974,0.03955,0.0397,85095
1667217600000,0.03963,0.0397,0.03948,0.03953,162173
1667221200000,0.03951,0.0397,0.03927,0.03927,382043
1667224800000,0.03926,0.03929,0.03901,0.03907,503032
1667228400000,0.03908,0.03931,0.03906,0.0393,265428
1667232000000,0.03928,0.03965,0.03914,0.0392,576278
1667235600000,0.03926,0.03942,0.03922,0.03922,140527
1667239200000,0.03929,0.03967,0.03926,0.0396,207379
1667242800000,0.0396,0.03964,0.03914,0.03943,651399
1667246400000,0.03944,0.03954,0.03933,0.03938,105441
1667250000000,0.03937,0.03942,0.03925,0.03929,240759
1667253600000,0.03936,0.03955,0.03929,0.03955,56446
1667257200000,0.03957,0.03974,0.03946,0.03956,141276
1667260800000,0.03954,0.03975,0.03954,0.03969,38408
1667264400000,0.03969,0.03977,0.03958,0.0397,77356
1667268000000,0.0398,0.03991,0.03971,0.0398,98532
1667271600000,0.03982,0.0399,0.03953,0.03965,160766
1667275200000,0.03965,0.03971,0.03946,0.03956,93831
1667278800000,0.03951,0.03965,0.03945,0.0395,60267
1667282400000,0.03952,0.03963,0.03932,0.03955,484555
1667286000000,0.03946,0.03956,0.0393,0.03942,177518
1667289600000,0.03941,0.03973,0.03934,0.03959,501160
1667293200000,0.03959,0.03983,0.03951,0.03971,64416
1667296800000,0.03966,0.03984,0.03956,0.03966,71088
1667300400000,0.03959,0.03969,0.03944,0.03944,200824
1667304000000,0.03945,0.0399,0.03904,0.03918,2034740
1667307600000,0.03918,0.03932,0.03872,0.03895,453837
1667311200000,0.03891,0.03892,0.03872,0.0388,160149
1667314800000,0.03882,0.03898,0.0388,0.03887,210172
1667318400000,0.03886,0.03896,0.03874,0.03881,245942
1667322000000,0.03881,0.03889,0.03868,0.03887,246800
1667325600000,0.03886,0.03891,0.03871,0.03888,202705
1667329200000,0.03887,0.03893,0.03873,0.03886,314335
1667332800000,0.03883,0.03896,0.0388,0.0388,416286
1667336400000,0.03888,0.03894,0.0387,0.03874,255634
1667340000000,0.03882,0.03913,0.03866,0.03883,1500035
1667343600000,0.03883,0.03904,0.03864,0.03868,171724
1667347200000,0.03861,0.03887,0.0385,0.03873,305619
1667350800000,0.03873,0.03883,0.03856,0.03867,90778
1667354400000,0.03858,0.03866,0.03852,0.03866,37546
1667358000000,0.03861,0.03879,0.03861,0.03867,92637
1667361600000,0.03878,0.03881,0.03852,0.03874,57312
1667365200000,0.03874,0.03878,0.03852,0.03861,229746
1667368800000,0.03861,0.0387,0.03823,0.03846,489215
1667372400000,0.03846,0.03848,0.03796,0.03833,434988
1667376000000,0.03824,0.03832,0.03805,0.03815,201919
1667379600000,0.03818,0.03833,0.03783,0.03792,670887
1667383200000,0.03792,0.03792,0.0376,0.03765,475356
1667386800000,0.03765,0.03787,0.03765,0.03777,217916
1667390400000,0.03782,0.03782,0.03766,0.03773,180920
1667394000000,0.03772,0.03772,0.03751,0.0376,221003
1667397600000,0.0376,0.03779,0.03756,0.03777,174803
1667401200000,0.03774,0.03774,0.03759,0.03772,72639
1667404800000,0.03766,0.03793,0.03754,0.03786,238963
1667408400000,0.03787,0.0379,0.03754,0.03763,176878
1667412000000,0.03756,0.03873,0.03754,0.03794,1165508
1667415600000,0.038,0.03837,0.03729,0.03757,663962
1667419200000,0.03751,0.03761,0.03721,0.03735,795816
1667422800000,0.03741,0.03762,0.03724,0.03748,521443
1667426400000,0.03748,0.03751,0.03729,0.03731,119527
1667430000000,0.03731,0.03749,0.0373,0.03742,155867
1667433600000,0.03737,0.03787,0.0373,0.03781,355046
1667437200000,0.03781,0.03805,0.03781,0.03805,42778
1667440800000,0.03805,0.03805,0.03793,0.03805,157081
1667444400000,0.03809,0.03833,0.03808,0.03831,82177
1667448000000,0.03821,0.03897,0.03821,0.03852,263550
1667451600000,0.03852,0.03884,0.03852,0.03881,167186
1667455200000,0.0388,0.03883,0.03861,0.03866,315243
1667458800000,0.03865,0.03899,0.03861,0.03868,376798
1667462400000,0.03869,0.03876,0.03858,0.03874,111537
1667466000000,0.03871,0.03912,0.03863,0.03901,366070
1667469600000,0.039,0.03956,0.03893,0.03924,902931
1667473200000,0.03924,0.03929,0.03861,0.03882,1104408
1667476800000,0.03881,0.03898,0.0385,0.03865,1094999
1667480400000,0.03864,0.03895,0.03864,0.03876,283035
1667484000000,0.03878,0.03959,0.03877,0.03933,1280422
1667487600000,0.03929,0.03987,0.03912,0.03926,457109
1667491200000,0.03926,0.03935,0.03912,0.03925,80687
1667494800000,0.03926,0.03981,0.03923,0.03947,483541
1667498400000,0.03947,0.03983,0.03944,0.03957,353634
1667502000000,0.03957,0.03975,0.03947,0.03961,278411
1667505600000,0.0397,0.03993,0.03928,0.03928,451818
1667509200000,0.03925,0.03935,0.03921,0.03929,114542
1667512800000,0.03924,0.03924,0.0387,0.0389,530864
1667516400000,0.03889,0.03929,0.03868,0.03903,435190
1667520000000,0.03898,0.03924,0.03882,0.0391,679222
1667523600000,0.03914,0.03924,0.03895,0.03898,159852
1667527200000,0.03907,0.03922,0.03906,0.03906,54495
1667530800000,0.03921,0.0396,0.03911,0.03943,432921
1667534400000,0.03952,0.03968,0.0392,0.03947,572062
1667538000000,0.0395,0.03961,0.03931,0.03943,302379
1667541600000,0.03941,0.03983,0.03941,0.03981,622108
1667545200000,0.03981,0.03998,0.0397,0.03977,383081
1667548800000,0.03977,0.03995,0.03972,0.03983,273591
1667552400000,0.03983,0.03984,0.03962,0.0397,266839
1667556000000,0.0397,0.03985,0.03949,0.03974,608849
1667559600000,0.0397,0.03983,0.03942,0.03947,434079
1667563200000,0.03948,0.03993,0.03933,0.03989,388544
1667566800000,0.03991,0.04,0.03965,0.03974,434177
1667570400000,0.03974,0.04047,0.03967,0.04039,2055119
1667574000000,0.04035,0.04043,0.03962,0.03962,1349063
1667577600000,0.03962,0.03994,0.03941,0.03991,314588
1667581200000,0.0398,0.03989,0.03957,0.0398,506263
1667584800000,0.03978,0.04011,0.03963,0.03993,356062
1667588400000,0.03994,0.04037,0.03993,0.04027,382415
1667592000000,0.04029,0.04044,0.04003,0.0402,304598
1667595600000,0.04013,0.04024,0.04006,0.04017,89325
1667599200000,0.04016,0.04031,0.04009,0.04025,95882
1667602800000,0.0403,0.04032,0.04016,0.04032,161180
1667606400000,0.04028,0.04049,0.04017,0.04038,398027
1667610000000,0.04046,0.04056,0.04019,0.04031,236357
1667613600000,0.04029,0.04047,0.04029,0.0404,443483
1667617200000,0.04047,0.04057,0.04019,0.04039,374078
1667620800000,0.04039,0.0407,0.04033,0.04038,405748
1667624400000,0.04039,0.04063,0.0403,0.04042,279444
1667628000000,0.04042,0.0407,0.04035,0.04059,637125
1667631600000,0.04061,0.04067,0.04034,0.04054,604451
1667635200000,0.04048,0.04054,0.04014,0.04029,516677
1667638800000,0.04029,0.04049,0.04028,0.04031,392250
1667642400000,0.04038,0.04104,0.04032,0.04049,957331
1667646000000,0.0406,0.04109,0.0406,0.04095,662154
1667649600000,0.04095,0.04112,0.04074,0.04075,619883
1667653200000,0.04076,0.0412,0.0405,0.0405,429798
1667656800000,0.04052,0.04068,0.04041,0.04041,252260
1667660400000,0.04044,0.04054,0.0403,0.04038,708990
1667664000000,0.04034,0.04068,0.0403,0.04059,736545
1667667600000,0.0406,0.04064,0.04036,0.04047,464303
1667671200000,0.04047,0.04047,0.04016,0.04016,123477
1667674800000,0.04015,0.04016,0.03978,0.03988,810163
1667678400000,0.03989,0.0399,0.03982,0.0399,304694
1667682000000,0.0399,0.04013,0.03982,0.04004,250754
1667685600000,0.04004,0.04011,0.03991,0.04008,201563
1667689200000,0.04008,0.04008,0.03976,0.03976,228389
1667692800000,0.03976,0.03984,0.03963,0.03969,115693
1667696400000,0.03967,0.03984,0.03947,0.03947,333940
