date,open,high,low,close,volume
1667005200000,22.1,22.4,22.1,22.1,1227.744
1667008800000,22.1,22.3,22.1,22.3,1475.2975
1667012400000,22.2,22.4,22.2,22.4,1526.3296
1667016000000,22.3,22.4,22.2,22.2,1374.3014
1667019600000,22.3,22.3,22.2,22.2,906.9036
1667023200000,22.2,22.5,22.1,22.4,1126.7177
1667026800000,22.4,22.5,22.2,22.4,1045.1913
1667030400000,22.4,22.9,22.3,22.6,5443.3141
1667034000000,22.6,22.8,22.3,22.5,4658.8724
1667037600000,22.5,22.7,22.4,22.4,963.1522
1667041200000,22.4,22.5,22.3,22.5,251.5086
1667044800000,22.4,22.5,22.4,22.4,876.9106
1667048400000,22.5,22.6,22.5,22.5,576.3093
1667052000000,22.5,22.9,22.5,22.7,3204.2652
1667055600000,22.8,23.1,22.2,22.3,4789.7685
1667059200000,22.4,22.6,22.2,22.5,3397.8444
1667062800000,22.4,22.5,22.1,22.1,2846.0068
1667066400000,22.2,22.4,22.1,22.1,1525.0791
1667070000000,22.1,22.2,22,22.2,308.6499
1667073600000,22.1,22.3,22.1,22.3,101.1618
1667077200000,22.2,22.3,22.1,22.3,76.1797
1667080800000,22.1,22.3,21.9,22,965.6984
1667084400000,21.9,22,21.7,22,1435.9529
1667088000000,21.9,22,21.6,21.7,708.0609
1667091600000,21.7,21.9,21.6,21.9,382.9431
1667095200000,21.8,22,21.8,21.9,574.5585
1667098800000,22,22.1,21.8,21.9,683.3286
1667102400000,21.9,22,21.8,21.8,535.4274
1667106000000,21.9,21.9,21.8,21.9,304.4997
1667109600000,21.8,22,21.8,21.9,682.3884
1667113200000,22,22.3,22,22.1,1489.4868
1667116800000,22,22.1,21.6,21.8,1596.8279
1667120400000,21.8,21.8,21.5,21.6,1394.6467
1667124000000,21.6,21.8,21.4,21.6,2500.0252
1667127600000,21.5,21.7,21.5,21.7,336.5684
1667131200000,21.6,21.7,21.6,21.7,176.8531
1667134800000,21.7,21.7,21.5,21.5,840.4319
1667138400000,21.5,21.8,21.4,21.6,1133.228
1667142000000,21.7,21.7,21.4,21.4,378.1295
1667145600000,21.4,21.7,21.4,21.5,577.2932
1667149200000,21.5,21.6,21.4,21.6,457.0785
1667152800000,21.6,21.7,21.5,21.5,639.8265
1667156400000,21.6,21.7,21.5,21.6,94.0683
1667160000000,21.6,21.7,21.6,21.6,382.125
1667163600000,21.7,21.7,21.6,21.7,136.955
