date,open,high,low,close,volume
1667005200000,0.3361,0.3367,0.335,0.3365,759738
1667008800000,0.3364,0.338,0.3351,0.3377,1180159
1667012400000,0.3377,0.3406,0.3368,0.3401,2703570
1667016000000,0.34,0.3405,0.3362,0.3373,1500958
1667019600000,0.3373,0.34,0.3373,0.3384,1553531
1667023200000,0.3383,0.3399,0.3383,0.3384,582266
1667026800000,0.3384,0.3403,0.3384,0.3402,1128215
1667030400000,0.3402,0.3429,0.3393,0.3424,2041834
1667034000000,0.3425,0.3436,0.3416,0.3425,1246041
1667037600000,0.3424,0.343,0.337,0.3375,1908485
1667041200000,0.3377,0.338,0.3348,0.3352,996300
1667044800000,0.3352,0.3383,0.3348,0.3381,730002
1667048400000,0.3379,0.3381,0.3344,0.3373,926559
1667052000000,0.3373,0.3388,0.3351,0.3358,1137035
1667055600000,0.3358,0.3391,0.3356,0.3386,1709596
1667059200000,0.3385,0.346,0.3374,0.3448,2751633
1667062800000,0.3449,0.3459,0.3381,0.3389,2856770
1667066400000,0.3388,0.3415,0.337,0.3398,1581056
1667070000000,0.3398,0.3402,0.3363,0.3387,855068
1667073600000,0.3387,0.3403,0.3377,0.3392,732793
1667077200000,0.3391,0.3407,0.3388,0.3394,625329
1667080800000,0.3394,0.3398,0.3348,0.3362,2273423
1667084400000,0.3362,0.3397,0.3352,0.3396,665596
1667088000000,0.3396,0.3399,0.3358,0.3364,1482394
1667091600000,0.3363,0.3401,0.3358,0.34,1231521
1667095200000,0.3401,0.3402,0.3386,0.3392,953932
1667098800000,0.3392,0.3413,0.3392,0.3408,972211
1667102400000,0.3409,0.3411,0.338,0.3391,1693579
1667106000000,0.3391,0.3436,0.3391,0.3417,1299703
1667109600000,0.3417,0.3441,0.3397,0.3429,1153776
1667113200000,0.3429,0.348,0.3423,0.3479,2806187
1667116800000,0.348,0.3485,0.3403,0.3439,3349925
1667120400000,0.3439,0.3457,0.3373,0.3396,2326987
1667124000000,0.3395,0.3416,0.3385,0.3402,2001400
1667127600000,0.3402,0.3416,0.3374,0.3398,1090508
