date,open,high,low,close,volume
1667005200000,1.682,1.684,1.677,1.681,15894.69
1667008800000,1.681,1.69,1.676,1.686,41136.21
1667012400000,1.686,1.705,1.684,1.699,128931.34
1667016000000,1.699,1.702,1.685,1.686,46519.33
1667019600000,1.687,1.692,1.679,1.683,45695.34
1667023200000,1.682,1.692,1.681,1.681,56603.84
1667026800000,1.681,1.697,1.681,1.696,54027.61
1667030400000,1.697,1.71,1.693,1.704,107531.77
1667034000000,1.705,1.71,1.699,1.703,88611.43
1667037600000,1.703,1.711,1.665,1.666,149208.89
1667041200000,1.666,1.673,1.651,1.657,111287.96
1667044800000,1.656,1.675,1.654,1.674,90589.38
1667048400000,1.674,1.676,1.652,1.667,111746.51
1667052000000,1.667,1.682,1.66,1.664,65574.77
1667055600000,1.664,1.684,1.66,1.681,101126.76
1667059200000,1.681,1.75,1.68,1.739,359098.28
1667062800000,1.739,1.749,1.693,1.703,247931.56
1667066400000,1.704,1.715,1.688,1.705,188673.7
1667070000000,1.706,1.708,1.687,1.707,101009.48
1667073600000,1.707,1.72,1.704,1.716,84524.61
1667077200000,1.716,1.725,1.715,1.717,51639.66
1667080800000,1.716,1.72,1.691,1.694,89096.36
1667084400000,1.692,1.71,1.686,1.709,44315.2
1667088000000,1.708,1.71,1.696,1.7,38570.45
1667091600000,1.699,1.718,1.696,1.717,42024.48
1667095200000,1.718,1.72,1.708,1.719,24663.02
1667098800000,1.719,1.722,1.71,1.715,25456.03
1667102400000,1.715,1.717,1.702,1.704,50448.46
1667106000000,1.704,1.716,1.703,1.709,46486.54
1667109600000,1.706,1.722,1.696,1.719,92820.68
1667113200000,1.719,1.887,1.714,1.837,1175556.67
1667116800000,1.836,1.837,1.744,1.776,825695.25
1667120400000,1.776,1.799,1.741,1.754,368159.53
1667124000000,1.754,1.787,1.752,1.774,267983.22
1667127600000,1.773,1.783,1.746,1.768,160259.81
1667131200000,1.767,1.771,1.726,1.771,303649.63
1667134800000,1.77,1.777,1.74,1.753,214094.6
1667138400000,1.751,1.761,1.741,1.749,84996.7
1667142000000,1.75,1.764,1.707,1.714,333692.81
