date,open,high,low,close,volume
1667005200000,0.117,0.117,0.1163,0.1166,67364
1667008800000,0.1165,0.1168,0.1159,0.1165,401933
1667012400000,0.1165,0.118,0.1165,0.1179,717216
1667016000000,0.1178,0.1181,0.1171,0.1172,211138
1667019600000,0.1173,0.1176,0.117,0.1173,122421
1667023200000,0.1173,0.1178,0.1173,0.1176,269307
1667026800000,0.1176,0.1184,0.1174,0.1182,333437
1667030400000,0.1182,0.1191,0.1181,0.1188,519512
1667034000000,0.1188,0.1189,0.1183,0.1189,402532
1667037600000,0.1189,0.1191,0.1165,0.1169,953330
1667041200000,0.1169,0.1169,0.1158,0.1163,365115
1667044800000,0.1161,0.1173,0.1159,0.1173,427952
1667048400000,0.1172,0.1173,0.1158,0.1167,309998
1667052000000,0.1168,0.1177,0.1161,0.1163,484834
1667055600000,0.1164,0.1173,0.1163,0.1173,414874
1667059200000,0.1172,0.1208,0.117,0.1202,1757001
1667062800000,0.1205,0.1207,0.1169,0.1179,520596
1667066400000,0.1176,0.1193,0.1173,0.119,322609
1667070000000,0.1188,0.1197,0.117,0.1179,3079356
1667073600000,0.118,0.1188,0.1176,0.1187,409412
1667077200000,0.1186,0.1189,0.1183,0.1185,320741
1667080800000,0.1185,0.1195,0.1166,0.117,2696542
1667084400000,0.117,0.1183,0.1168,0.1182,141357
1667088000000,0.1181,0.1183,0.117,0.1175,337709
1667091600000,0.1174,0.1191,0.1171,0.119,424830
1667095200000,0.1191,0.1192,0.1184,0.1191,162082
1667098800000,0.1192,0.1196,0.1192,0.1196,192873
1667102400000,0.1196,0.1201,0.119,0.1193,195684
1667106000000,0.1197,0.1207,0.1196,0.1197,507710
1667109600000,0.1197,0.1206,0.1188,0.1199,483494
1667113200000,0.12,0.1215,0.12,0.1214,812683
1667116800000,0.1214,0.1217,0.119,0.1207,701562
1667120400000,0.1208,0.1216,0.1186,0.1193,671516
1667124000000,0.1192,0.1206,0.1192,0.1198,312588
1667127600000,0.1197,0.1206,0.119,0.1205,295560
1667131200000,0.1205,0.121,0.1192,0.1202,320783
1667134800000,0.1202,0.1203,0.1182,0.1186,322180
1667138400000,0.1184,0.1196,0.1182,0.1196,432337
1667142000000,0.1196,0.1203,0.1171,0.1175,952219
1667145600000,0.1174,0.1194,0.1171,0.118,700308
1667149200000,0.1181,0.1193,0.1177,0.1191,287322
1667152800000,0.119,0.1206,0.1189,0.1201,440772
1667156400000,0.1201,0.1204,0.1195,0.1195,102107
1667160000000,0.1195,0.1202,0.1191,0.1198,171810
1667163600000,0.1201,0.1204,0.1191,0.1195,113378
1667167200000,0.1195,0.1195,0.1161,0.1179,409959
1667170800000,0.1179,0.1184,0.1176,0.118,124677
1667174400000,0.1182,0.1195,0.1178,0.118,399366
1667178000000,0.1185,0.119,0.1173,0.1179,257614
1667181600000,0.1179,0.1181,0.1169,0.1176,90306
1667185200000,0.1176,0.1193,0.1176,0.1193,281028
1667188800000,0.1191,0.1197,0.119,0.119,190987
1667192400000,0.1189,0.1201,0.1189,0.1195,472940
1667196000000,0.1195,0.12,0.1181,0.1191,664151
1667199600000,0.1191,0.1198,0.1186,0.1198,229548
1667203200000,0.1198,0.12,0.118,0.1186,497256
1667206800000,0.1186,0.1208,0.1182,0.1207,424010
1667210400000,0.1208,0.1209,0.1197,0.12,418027
1667214000000,0.1203,0.1208,0.1197,0.1198,234481
1667217600000,0.1199,0.1206,0.1191,0.1199,281952
1667221200000,0.1201,0.121,0.1165,0.1167,582745
1667224800000,0.1167,0.1181,0.1165,0.1174,1024133
1667228400000,0.1173,0.1183,0.1169,0.1177,184749
1667232000000,0.1176,0.1189,0.1169,0.1176,402761
1667235600000,0.1178,0.119,0.1174,0.1181,923092
1667239200000,0.1181,0.1183,0.1172,0.1175,1319351
1667242800000,0.1176,0.1176,0.1167,0.117,77189
1667246400000,0.117,0.118,0.1167,0.1174,202392
1667250000000,0.1174,0.1175,0.117,0.1173,86547
1667253600000,0.1172,0.1185,0.1168,0.1181,212533
1667257200000,0.1183,0.1184,0.1178,0.1181,111650
1667260800000,0.1182,0.1194,0.1181,0.119,389850
1667264400000,0.1189,0.1196,0.1189,0.1192,212254
1667268000000,0.1193,0.1197,0.1191,0.1194,258261
1667271600000,0.1195,0.12,0.1193,0.1195,216021
1667275200000,0.1195,0.1198,0.1183,0.1191,242796
1667278800000,0.119,0.1194,0.1187,0.1192,215350
1667282400000,0.1194,0.1203,0.1191,0.1202,192541
1667286000000,0.12,0.1202,0.1192,0.1198,173608
1667289600000,0.1196,0.1199,0.1196,0.1196,146992
1667293200000,0.1196,0.1207,0.1196,0.12,293725
1667296800000,0.1201,0.1202,0.1196,0.1202,236474
1667300400000,0.1202,0.1202,0.1185,0.1192,301418
1667304000000,0.1192,0.1199,0.1185,0.1198,426323
1667307600000,0.1199,0.1201,0.1178,0.1187,464413
1667311200000,0.1186,0.1189,0.1176,0.1179,444174
1667314800000,0.118,0.1183,0.1174,0.1176,209693
1667318400000,0.1176,0.1176,0.1163,0.1166,367962
1667322000000,0.1164,0.1166,0.1161,0.1162,207813
1667325600000,0.1162,0.1164,0.1156,0.1164,421541
1667329200000,0.1165,0.1168,0.1161,0.1161,201407
1667332800000,0.1161,0.1162,0.1158,0.1159,142655
1667336400000,0.1158,0.116,0.1157,0.1158,55934
1667340000000,0.1159,0.1159,0.1157,0.1159,185188
1667343600000,0.1158,0.1161,0.1156,0.1156,85727
1667347200000,0.1157,0.116,0.1141,0.1155,580712
1667350800000,0.1156,0.1159,0.1156,0.1157,132139
1667354400000,0.1157,0.1157,0.1149,0.1155,94162
1667358000000,0.1154,0.1162,0.1154,0.1157,149741
1667361600000,0.1159,0.1159,0.1155,0.1156,41197
1667365200000,0.1159,0.1163,0.1154,0.1154,95324
1667368800000,0.1154,0.1154,0.1146,0.115,318241
1667372400000,0.115,0.1151,0.1132,0.1141,734671
1667376000000,0.114,0.1157,0.1138,0.1151,207569
1667379600000,0.1152,0.1156,0.1124,0.1125,521163
1667383200000,0.1125,0.1131,0.1118,0.113,532398
1667386800000,0.113,0.1132,0.1128,0.113,131545
1667390400000,0.1129,0.1129,0.112,0.1124,199721
1667394000000,0.1123,0.1129,0.1119,0.1124,228812
1667397600000,0.1124,0.1133,0.1122,0.1129,95263
1667401200000,0.1127,0.1128,0.1123,0.1124,302490
1667404800000,0.1124,0.1134,0.1118,0.1133,277588
1667408400000,0.1133,0.1133,0.1108,0.1117,475157
1667412000000,0.1115,0.1161,0.1113,0.1131,1418600
1667415600000,0.1131,0.1147,0.1111,0.1118,378468
1667419200000,0.1117,0.1122,0.109,0.1104,1197112
1667422800000,0.1104,0.1113,0.1103,0.1113,161629
1667426400000,0.1112,0.1113,0.1102,0.1105,183177
1667430000000,0.1105,0.1114,0.1105,0.1113,95269
1667433600000,0.1113,0.1129,0.1109,0.1126,310382
1667437200000,0.1128,0.1137,0.1126,0.1135,304218
1667440800000,0.1135,0.1146,0.1135,0.1145,171846
1667444400000,0.1144,0.1154,0.1144,0.1151,170841
1667448000000,0.1151,0.1212,0.115,0.1198,6968225
1667451600000,0.1197,0.1312,0.1189,0.1286,15480532
1667455200000,0.1286,0.1287,0.1232,0.1247,4212121
1667458800000,0.1247,0.1265,0.123,0.1242,2768406
1667462400000,0.1243,0.1263,0.1234,0.1252,1522234
1667466000000,0.1253,0.1256,0.1235,0.1245,1002019
1667469600000,0.1245,0.1288,0.1243,0.1254,4838917
1667473200000,0.1255,0.1366,0.1244,0.1286,14266857
1667476800000,0.1287,0.1288,0.1249,0.128,5470272
1667480400000,0.128,0.136,0.1278,0.1291,14541913
1667484000000,0.1296,0.1335,0.129,0.1323,3815222
1667487600000,0.1323,0.133,0.1301,0.1327,3029245
1667491200000,0.1326,0.1327,0.1305,0.1316,1498190
1667494800000,0.1315,0.1416,0.1312,0.1364,19105234
