date,open,high,low,close,volume
1667005200000,0.02981,0.02981,0.02938,0.02951,3832193.3
1667008800000,0.02951,0.02958,0.02935,0.02951,3088260.5
1667012400000,0.02952,0.02983,0.02947,0.02969,9139578.9
1667016000000,0.0297,0.02982,0.02954,0.02962,4865153.9
1667019600000,0.02963,0.02973,0.02944,0.02952,7995280.7
1667023200000,0.02952,0.02981,0.02952,0.02969,5118135.1
1667026800000,0.02969,0.02983,0.02964,0.02979,3329243.2
1667030400000,0.02977,0.02992,0.02969,0.02986,5419850.6
1667034000000,0.02987,0.03001,0.02979,0.0299,4074840.8
1667037600000,0.02989,0.03,0.02946,0.02948,6076388.4
1667041200000,0.0295,0.02965,0.02934,0.02945,3849476.4
1667044800000,0.02944,0.02969,0.02938,0.02963,5069207.5
1667048400000,0.02962,0.02965,0.02925,0.02946,5151577
1667052000000,0.02946,0.02965,0.02939,0.02946,3836894
1667055600000,0.02947,0.02975,0.02944,0.0297,4770346.9
1667059200000,0.0297,0.0302,0.0296,0.02998,11743812.1
1667062800000,0.02999,0.0301,0.02936,0.02951,12874107.3
1667066400000,0.02948,0.02984,0.02932,0.02972,7671118.4
1667070000000,0.02972,0.02978,0.02942,0.02962,5520132.3
1667073600000,0.02964,0.02979,0.02946,0.02972,1637865.7
1667077200000,0.02971,0.02978,0.02963,0.02973,1087233
1667080800000,0.02974,0.02974,0.02925,0.02939,5148812
1667084400000,0.02939,0.02975,0.02934,0.02971,3217211.5
1667088000000,0.02971,0.02984,0.02942,0.0295,4773129.3
1667091600000,0.02949,0.02963,0.0294,0.02962,4888363
1667095200000,0.02963,0.02969,0.02958,0.02961,2898279
1667098800000,0.02961,0.02988,0.02961,0.02984,2997720.8
1667102400000,0.02984,0.02985,0.02956,0.02962,2510929.1
1667106000000,0.02961,0.02984,0.02961,0.02978,3716810.9
1667109600000,0.02976,0.03016,0.02967,0.03012,7100697.1
1667113200000,0.03013,0.03034,0.02992,0.03031,17820831
1667116800000,0.03033,0.03052,0.02967,0.03008,15666737.1
1667120400000,0.03007,0.03028,0.02956,0.02966,6337663.9
1667124000000,0.02968,0.02999,0.02965,0.02994,5624015.9
1667127600000,0.02993,0.03013,0.02982,0.02994,3662765.1
1667131200000,0.02992,0.02995,0.02959,0.02985,3534063.3
1667134800000,0.02982,0.02986,0.02933,0.02939,7322131.8
1667138400000,0.02939,0.02976,0.0293,0.02972,6910518.3
1667142000000,0.02973,0.0298,0.02925,0.0294,4719619.3
1667145600000,0.02943,0.02963,0.02913,0.02944,7401808.7
1667149200000,0.02943,0.02963,0.02931,0.02957,1777501
1667152800000,0.02956,0.02961,0.02939,0.02951,4305547.9
1667156400000,0.02951,0.03001,0.02951,0.02961,12936589.3
1667160000000,0.02962,0.02969,0.02946,0.02949,4313599.4
1667163600000,0.02949,0.0296,0.0294,0.0295,1939043.3
1667167200000,0.02952,0.02953,0.0289,0.02927,6334825.4
1667170800000,0.02928,0.0294,0.02919,0.02937,1492673.8
1667174400000,0.02935,0.02957,0.02905,0.02908,7456652.6
1667178000000,0.02908,0.02919,0.02855,0.02871,14559287.1
1667181600000,0.02869,0.02874,0.02845,0.02866,3890253.5
1667185200000,0.02866,0.02896,0.02866,0.02894,2501275.6
1667188800000,0.02894,0.02916,0.02894,0.02908,3260214.8
1667192400000,0.02906,0.02915,0.02895,0.02897,2812127.4
1667196000000,0.02896,0.02901,0.02877,0.02889,4634129
1667199600000,0.02891,0.02897,0.0288,0.02897,775317.5
1667203200000,0.02896,0.02899,0.0287,0.0288,2336743.1
1667206800000,0.02879,0.02936,0.02873,0.02931,3353422.1
1667210400000,0.0293,0.02941,0.02911,0.02925,2725180.1
1667214000000,0.02925,0.02943,0.0292,0.02922,2043659.7
1667217600000,0.02922,0.02945,0.02918,0.0293,2666898.9
1667221200000,0.02928,0.02995,0.02904,0.02904,28002391.1
1667224800000,0.029,0.02931,0.02892,0.02901,9012865.8
1667228400000,0.02902,0.02917,0.02892,0.02903,2538911.8
1667232000000,0.02903,0.0293,0.02888,0.02909,2974952.1
1667235600000,0.02908,0.02952,0.02901,0.02919,9736289.6
1667239200000,0.02919,0.02961,0.02919,0.02948,6143168.6
1667242800000,0.02949,0.02952,0.02926,0.02927,2305067.7
1667246400000,0.02928,0.02941,0.02915,0.02921,1831759.9
1667250000000,0.02922,0.02932,0.02915,0.02926,3366819.4
1667253600000,0.02925,0.02957,0.02917,0.02947,2909412.7
1667257200000,0.02951,0.02957,0.0293,0.02938,7028441.6
1667260800000,0.02938,0.03007,0.02937,0.02971,10534036.2
1667264400000,0.0297,0.02993,0.02967,0.02972,6269441.4
1667268000000,0.02972,0.03098,0.02971,0.03076,24401280.6
1667271600000,0.03075,0.03202,0.03035,0.03056,53069449.1
1667275200000,0.03055,0.03061,0.02994,0.02997,15321468.1
1667278800000,0.02999,0.03028,0.0299,0.03019,5092424.3
1667282400000,0.03021,0.03043,0.03015,0.03026,6286296.8
1667286000000,0.03026,0.03044,0.03006,0.03022,13684195.1
1667289600000,0.03022,0.03039,0.03008,0.03011,18258234.6
1667293200000,0.03012,0.03024,0.02992,0.03006,10488572.2
1667296800000,0.03008,0.03041,0.02998,0.03041,13448087.8
1667300400000,0.03042,0.03074,0.02997,0.03013,25415311.2
1667304000000,0.03012,0.03019,0.02992,0.03003,8632849.6
1667307600000,0.03005,0.03007,0.02958,0.02977,6776148.7
1667311200000,0.02975,0.0298,0.02942,0.02969,5661369.5
1667314800000,0.02967,0.02979,0.02962,0.02969,1821315.3
1667318400000,0.02971,0.02977,0.02928,0.02931,8234077
1667322000000,0.0293,0.0295,0.02925,0.0295,6663267
1667325600000,0.0295,0.02957,0.02943,0.02956,2338223.3
1667329200000,0.02954,0.02961,0.02946,0.02947,2559755.4
1667332800000,0.02946,0.02957,0.02937,0.02957,4205365.1
1667336400000,0.02954,0.02964,0.02948,0.02952,2538087.9
1667340000000,0.02956,0.02958,0.02945,0.02954,2668842.7
1667343600000,0.02956,0.0297,0.02954,0.02959,2267169.1
1667347200000,0.02959,0.03009,0.02941,0.02971,25038078.1
1667350800000,0.02971,0.02974,0.02944,0.02944,1850927.7
1667354400000,0.02944,0.02945,0.0291,0.02929,3631184.9
1667358000000,0.02928,0.02942,0.02927,0.02935,1700969.4
1667361600000,0.02934,0.02944,0.02909,0.02922,10819985.2
1667365200000,0.02923,0.02937,0.02915,0.02918,4154016.1
1667368800000,0.02918,0.02992,0.02891,0.02919,25459629.6
1667372400000,0.02919,0.0292,0.02849,0.02894,20672453.9
1667376000000,0.0289,0.02927,0.02881,0.02923,6403712.8
1667379600000,0.02925,0.02933,0.02848,0.02854,5636269.3
1667383200000,0.02854,0.02855,0.02824,0.02853,4524578.6
1667386800000,0.02854,0.02866,0.02844,0.0285,1661400.4
1667390400000,0.0285,0.02853,0.02823,0.02828,2708841.4
1667394000000,0.02826,0.02842,0.02817,0.02826,3481613.1
1667397600000,0.02825,0.02924,0.02825,0.02858,22968762.7
1667401200000,0.02857,0.02857,0.02845,0.02846,2059463.6
1667404800000,0.02846,0.02923,0.0284,0.02878,27247918.2
1667408400000,0.02879,0.02884,0.02837,0.02854,3814728
1667412000000,0.02852,0.0296,0.02844,0.02891,14306429.7
1667415600000,0.0289,0.02933,0.0285,0.02868,5584375.2
1667419200000,0.02869,0.02875,0.02815,0.0284,5465458
1667422800000,0.02841,0.02863,0.02837,0.0286,1455515.4
1667426400000,0.02861,0.02861,0.02832,0.02844,2092765.1
