date,open,high,low,close,volume
1667005200000,1.812,1.812,1.803,1.804,12279.2
1667008800000,1.804,1.81,1.788,1.802,27570.9
1667012400000,1.802,1.827,1.793,1.824,100522.7
1667016000000,1.825,1.825,1.809,1.812,22960.1
1667019600000,1.813,1.818,1.808,1.814,17418.3
1667023200000,1.815,1.834,1.814,1.826,33036.8
1667026800000,1.826,1.839,1.826,1.831,37125.5
1667030400000,1.83,1.858,1.817,1.853,79608.4
1667034000000,1.852,1.856,1.841,1.855,40771.3
1667037600000,1.855,1.857,1.817,1.822,35794
1667041200000,1.822,1.823,1.8,1.805,26876.4
1667044800000,1.804,1.823,1.799,1.821,33807.5
1667048400000,1.82,1.822,1.795,1.81,31915.3
1667052000000,1.81,1.817,1.795,1.801,78968.9
1667055600000,1.8,1.817,1.79,1.816,42710.6
1667059200000,1.817,1.869,1.815,1.852,147668.7
1667062800000,1.852,1.867,1.815,1.819,97667.8
1667066400000,1.818,1.834,1.806,1.826,54657.9
1667070000000,1.825,1.828,1.805,1.821,35048.8
1667073600000,1.822,1.831,1.816,1.826,44872.7
1667077200000,1.825,1.831,1.821,1.821,14295.7
1667080800000,1.82,1.825,1.796,1.802,32057.4
1667084400000,1.8,1.818,1.796,1.816,6216
1667088000000,1.818,1.822,1.803,1.806,12602.3
1667091600000,1.805,1.827,1.8,1.827,13487.4
1667095200000,1.828,1.836,1.822,1.83,11568.9
1667098800000,1.83,1.844,1.83,1.839,14726.2
1667102400000,1.84,1.843,1.833,1.834,28989.1
1667106000000,1.836,1.848,1.828,1.831,52879.4
1667109600000,1.83,1.854,1.818,1.84,55408
1667113200000,1.84,1.868,1.833,1.865,99748.6
1667116800000,1.866,1.868,1.822,1.84,56798.1
1667120400000,1.842,1.856,1.812,1.822,46289.7
1667124000000,1.823,1.842,1.821,1.836,29012.4
1667127600000,1.835,1.854,1.831,1.85,47600.2
1667131200000,1.849,1.851,1.828,1.838,18170.2
1667134800000,1.837,1.839,1.806,1.809,106957.6
1667138400000,1.809,1.831,1.806,1.823,35883.1
1667142000000,1.825,1.835,1.786,1.792,68093.4
1667145600000,1.791,1.816,1.785,1.79,43052.6
1667149200000,1.791,1.806,1.788,1.803,20933.9
1667152800000,1.802,1.812,1.799,1.803,31841.2
1667156400000,1.802,1.807,1.799,1.799,7540.8
1667160000000,1.799,1.804,1.795,1.8,9136.1
1667163600000,1.799,1.802,1.793,1.8,26367.4
1667167200000,1.799,1.799,1.762,1.789,99679.7
1667170800000,1.789,1.819,1.787,1.816,24785.5
1667174400000,1.817,1.835,1.808,1.821,47789.9
1667178000000,1.822,1.835,1.812,1.822,68512.7
1667181600000,1.822,1.827,1.8,1.814,46160.2
1667185200000,1.815,1.831,1.812,1.828,38455.3
1667188800000,1.826,1.837,1.819,1.823,21034.8
1667192400000,1.821,1.821,1.807,1.811,15612
1667196000000,1.812,1.814,1.788,1.802,28716.3
1667199600000,1.804,1.809,1.791,1.807,22059
1667203200000,1.807,1.807,1.782,1.789,50978.9
1667206800000,1.789,1.821,1.78,1.818,29559.5
