date,open,high,low,close,volume
1667005200000,5.064,5.094,5.047,5.061,140197.63
1667008800000,5.061,5.093,5.038,5.087,199208.65
1667012400000,5.087,5.112,5.046,5.059,294754.84
1667016000000,5.058,5.087,5.025,5.037,205722.05
1667019600000,5.038,5.045,5.004,5.012,193491.4
1667023200000,5.011,5.04,4.998,5.008,129101.57
1667026800000,5.008,5.095,4.979,5.095,192597.38
1667030400000,5.095,5.117,5.054,5.084,381937.68
1667034000000,5.084,5.091,5.043,5.068,174563.47
1667037600000,5.069,5.111,4.992,5.011,323286.13
1667041200000,5.012,5.031,4.944,4.955,232950.45
1667044800000,4.954,5.003,4.936,4.993,172453.68
1667048400000,4.991,4.994,4.911,4.963,193334.17
1667052000000,4.961,4.988,4.917,4.936,191933.43
1667055600000,4.935,5.031,4.925,4.992,277233.87
1667059200000,4.993,5.126,4.972,5.031,698006.54
1667062800000,5.032,5.061,4.924,4.931,378220.83
1667066400000,4.933,4.994,4.903,4.963,325776.93
1667070000000,4.962,4.977,4.907,4.942,111219.93
1667073600000,4.942,4.967,4.921,4.938,106110.28
1667077200000,4.938,4.955,4.895,4.896,131419.49
1667080800000,4.895,4.936,4.838,4.878,206492.72
1667084400000,4.877,4.924,4.865,4.923,136640.56
1667088000000,4.924,4.936,4.881,4.887,111025.61
1667091600000,4.888,4.954,4.872,4.935,134344.62
1667095200000,4.935,4.938,4.909,4.924,81840.48
1667098800000,4.924,4.965,4.924,4.958,72470.37
1667102400000,4.959,4.96,4.92,4.927,60099.06
1667106000000,4.927,4.958,4.927,4.946,82262.64
1667109600000,4.946,4.967,4.91,4.963,235537.99
1667113200000,4.964,5.113,4.958,5.088,437336.68
1667116800000,5.086,5.142,4.928,5.02,791637.83
1667120400000,5.019,5.044,4.884,4.932,337332.03
1667124000000,4.93,4.974,4.913,4.944,192128.06
1667127600000,4.942,4.977,4.904,4.957,202142
1667131200000,4.96,4.977,4.891,4.94,209186.46
1667134800000,4.941,4.949,4.844,4.869,290186.12
1667138400000,4.866,4.914,4.849,4.914,155709.16
1667142000000,4.914,4.914,4.781,4.787,428799.83
1667145600000,4.786,4.84,4.744,4.769,209344.27
1667149200000,4.77,4.808,4.743,4.804,180433.18
1667152800000,4.804,4.829,4.786,4.806,121802.13
1667156400000,4.807,4.825,4.777,4.781,163892.35
1667160000000,4.782,4.821,4.782,4.805,68792.77
1667163600000,4.805,4.819,4.786,4.803,56624.14
1667167200000,4.803,4.807,4.707,4.786,223461.27
1667170800000,4.785,4.799,4.763,4.794,66555.47
1667174400000,4.794,4.832,4.756,4.771,179162.98
1667178000000,4.773,4.803,4.705,4.736,257685.11
1667181600000,4.737,4.745,4.685,4.735,153985.4
1667185200000,4.736,4.81,4.731,4.805,153675.76
1667188800000,4.805,4.818,4.782,4.786,93026.71
1667192400000,4.785,4.82,4.782,4.798,97755.89
1667196000000,4.798,4.806,4.752,4.791,111760.24
1667199600000,4.795,4.846,4.773,4.814,112355.99
1667203200000,4.815,4.817,4.738,4.758,161666.94
1667206800000,4.756,4.867,4.738,4.863,193636.83
1667210400000,4.863,4.87,4.807,4.84,213658.4
1667214000000,4.84,4.883,4.834,4.846,202165.74
1667217600000,4.844,4.866,4.807,4.835,113520.44
1667221200000,4.835,4.88,4.669,4.683,306691.19
1667224800000,4.683,4.763,4.668,4.725,380080.1
1667228400000,4.724,4.767,4.703,4.733,133371.88
1667232000000,4.732,4.746,4.636,4.675,770899.14
1667235600000,4.675,4.712,4.66,4.7,240335.53
1667239200000,4.701,4.717,4.689,4.702,125570.02
1667242800000,4.703,4.706,4.658,4.665,70517.94
1667246400000,4.665,4.695,4.652,4.655,56440.22
1667250000000,4.655,4.692,4.644,4.68,113703.95
1667253600000,4.68,4.735,4.654,4.712,182823.63
1667257200000,4.713,4.755,4.696,4.728,124279.7
1667260800000,4.727,4.765,4.715,4.723,195406.21
1667264400000,4.724,4.759,4.719,4.735,138435.66
1667268000000,4.736,4.763,4.71,4.756,158839.05
1667271600000,4.755,4.777,4.711,4.711,94857.5
1667275200000,4.712,4.723,4.681,4.699,98664.32
1667278800000,4.699,4.726,4.688,4.717,147921.6
1667282400000,4.718,4.748,4.704,4.748,149095.04
1667286000000,4.748,4.763,4.724,4.742,95635.69
1667289600000,4.743,4.756,4.723,4.724,81613.88
1667293200000,4.724,4.783,4.718,4.738,159415.03
