date,open,high,low,close,volume
1667005200000,1.797,1.799,1.785,1.787,23281.14
1667008800000,1.787,1.789,1.77,1.781,58570.52
1667012400000,1.78,1.813,1.776,1.809,66949.23
1667016000000,1.811,1.811,1.791,1.792,17906.73
1667019600000,1.794,1.799,1.786,1.797,20956.92
1667023200000,1.797,1.808,1.792,1.807,30107.66
1667026800000,1.807,1.812,1.804,1.809,30785.18
1667030400000,1.807,1.821,1.795,1.817,48728.09
1667034000000,1.817,1.818,1.806,1.809,13856.26
1667037600000,1.809,1.809,1.779,1.784,41456.01
1667041200000,1.784,1.791,1.778,1.787,37234.52
1667044800000,1.786,1.808,1.784,1.808,52305.45
1667048400000,1.808,1.809,1.788,1.802,32290.16
1667052000000,1.804,1.807,1.793,1.794,19357.66
1667055600000,1.795,1.808,1.791,1.808,32226.46
1667059200000,1.807,1.853,1.802,1.84,142119.2
1667062800000,1.838,1.846,1.795,1.8,60633.17
1667066400000,1.8,1.837,1.794,1.824,65678.24
1667070000000,1.826,1.829,1.805,1.827,40085.99
1667073600000,1.826,1.844,1.817,1.835,49139.9
1667077200000,1.835,1.843,1.823,1.825,21553.43
1667080800000,1.824,1.826,1.797,1.802,35021.84
1667084400000,1.802,1.825,1.802,1.824,5460.79
1667088000000,1.823,1.823,1.802,1.802,16840.6
1667091600000,1.802,1.814,1.793,1.813,41422.59
1667095200000,1.813,1.816,1.801,1.81,18556.8
1667098800000,1.808,1.819,1.808,1.818,14315.02
1667102400000,1.818,1.818,1.805,1.81,7341.76
1667106000000,1.812,1.814,1.806,1.807,15317.92
1667109600000,1.808,1.824,1.795,1.819,30882.55
1667113200000,1.82,1.845,1.818,1.841,74359.35
1667116800000,1.838,1.839,1.801,1.818,42639.13
1667120400000,1.818,1.832,1.775,1.789,54679.9
1667124000000,1.788,1.807,1.788,1.797,37370.68
1667127600000,1.797,1.805,1.78,1.801,32851.02
1667131200000,1.8,1.802,1.787,1.802,11771.54
1667134800000,1.802,1.802,1.766,1.778,33776.96
1667138400000,1.779,1.794,1.774,1.794,41313.53
1667142000000,1.792,1.795,1.745,1.746,47532.07
1667145600000,1.745,1.769,1.729,1.738,60232.47
1667149200000,1.738,1.752,1.73,1.749,40521.63
1667152800000,1.749,1.759,1.744,1.754,13656.9
1667156400000,1.752,1.762,1.752,1.753,13554.81
1667160000000,1.753,1.755,1.746,1.747,28403.34
1667163600000,1.749,1.755,1.741,1.745,8640.75
1667167200000,1.743,1.743,1.7,1.724,58717.3
1667170800000,1.725,1.734,1.722,1.73,18330.16
1667174400000,1.73,1.749,1.725,1.728,28312.32
1667178000000,1.729,1.743,1.712,1.724,26575.81
1667181600000,1.725,1.725,1.706,1.718,28843.2
1667185200000,1.718,1.748,1.716,1.744,36092.81
1667188800000,1.745,1.747,1.738,1.74,10265.52
1667192400000,1.739,1.744,1.733,1.735,8962.45
1667196000000,1.736,1.739,1.724,1.739,13565.09
1667199600000,1.738,1.738,1.729,1.737,7267.98
1667203200000,1.736,1.736,1.718,1.726,8801.18
1667206800000,1.725,1.766,1.718,1.761,45641.4
1667210400000,1.761,1.767,1.743,1.755,15921.97
1667214000000,1.756,1.761,1.75,1.755,15439.86
1667217600000,1.757,1.763,1.745,1.756,8087
1667221200000,1.757,1.766,1.715,1.715,49418.11
1667224800000,1.714,1.741,1.702,1.726,78356.51
1667228400000,1.723,1.742,1.723,1.732,7746.01
1667232000000,1.729,1.747,1.724,1.735,20536.72
1667235600000,1.735,1.747,1.732,1.733,5964.32
1667239200000,1.736,1.75,1.736,1.745,11169.87
1667242800000,1.746,1.747,1.735,1.736,8745.22
