date,open,high,low,close,volume
1667005200000,10.27,10.28,10.2,10.21,6099.18
1667008800000,10.21,10.24,10.17,10.21,9057.37
1667012400000,10.21,10.46,10.21,10.44,41235.84
1667016000000,10.45,10.49,10.32,10.34,7254.5
1667019600000,10.34,10.39,10.29,10.32,5224.02
1667023200000,10.33,10.4,10.31,10.36,8180.56
1667026800000,10.36,10.5,10.36,10.41,26199.86
1667030400000,10.42,10.58,10.35,10.52,61625.81
1667034000000,10.53,10.64,10.43,10.61,30456.7
1667037600000,10.61,10.68,10.46,10.49,46411.96
1667041200000,10.49,10.49,10.3,10.4,24862.61
1667044800000,10.41,10.42,10.33,10.41,14042.16
1667048400000,10.4,10.41,10.23,10.31,11416.02
1667052000000,10.32,10.35,10.2,10.21,8804.46
1667055600000,10.22,10.29,10.2,10.29,17376.43
1667059200000,10.29,10.44,10.25,10.39,15665.32
1667062800000,10.4,10.56,10.24,10.32,21559.3
1667066400000,10.31,10.35,10.16,10.27,33646.53
1667070000000,10.27,10.27,10.15,10.25,12192.7
1667073600000,10.24,10.27,10.15,10.16,10753.57
1667077200000,10.16,10.21,10.12,10.12,8609.89
1667080800000,10.13,10.15,10.03,10.08,15876.06
1667084400000,10.07,10.14,10.05,10.13,12380.26
1667088000000,10.13,10.17,10.06,10.08,12896.44
1667091600000,10.08,10.16,10.06,10.14,8870.39
1667095200000,10.16,10.16,10.08,10.11,6692.44
1667098800000,10.11,10.17,10.11,10.12,7548.6
1667102400000,10.12,10.14,10.03,10.08,10235.82
1667106000000,10.08,10.22,10.06,10.22,58714.37
1667109600000,10.21,10.63,10.19,10.61,126678.43
1667113200000,10.61,11.12,10.6,11.05,218967.02
1667116800000,11.05,11.33,10.9,11.03,78870.52
1667120400000,11.03,11.29,10.9,10.98,31774.69
1667124000000,10.97,11.13,10.96,11.03,17715.79
1667127600000,11.03,11.21,10.95,11.13,23106.98
1667131200000,11.13,11.35,11.01,11.16,42204.61
1667134800000,11.16,11.16,10.79,10.81,123359.3
1667138400000,10.81,10.95,10.8,10.86,26823
