date,open,high,low,close,volume
1667005200000,3.044,3.045,3.035,3.035,876.2
1667008800000,3.037,3.044,3.03,3.044,1537.3
1667012400000,3.045,3.066,3.045,3.063,2189.5
1667016000000,3.066,3.077,3.046,3.055,5750.3
1667019600000,3.057,3.063,3.023,3.03,8462.7
1667023200000,3.028,3.081,3.019,3.051,24054.1
1667026800000,3.055,3.058,3.047,3.057,1009.8
1667030400000,3.057,3.078,3.052,3.07,5730.9
1667034000000,3.071,3.08,3.053,3.063,6788.9
1667037600000,3.063,3.064,3.025,3.032,11697.7
1667041200000,3.032,3.037,3.008,3.022,6364.1
1667044800000,3.021,3.032,3.014,3.021,4253.6
1667048400000,3.019,3.026,3,3.014,6512.1
1667052000000,3.013,3.024,3.003,3.011,8660.2
1667055600000,3.007,3.026,2.966,2.992,15957.2
1667059200000,2.993,3.019,2.993,3.016,13301.7
1667062800000,3.014,3.026,2.984,2.995,14770.2
1667066400000,2.992,3.009,2.973,2.982,16323.1
1667070000000,2.977,3.018,2.977,3.015,7599
1667073600000,3.019,3.019,3.007,3.007,3130.4
1667077200000,3.007,3.012,3.001,3.001,2203.2
1667080800000,3.001,3.012,2.997,3.008,1720.1
1667084400000,3.005,3.008,2.996,3.006,1910.9
1667088000000,3.005,3.02,2.995,3.002,3753.4
1667091600000,2.999,3.019,2.999,3.019,462.5
1667095200000,3.017,3.16,3.014,3.154,70292.2
1667098800000,3.156,3.163,3.097,3.097,37642.6
1667102400000,3.096,3.1,3.059,3.059,6454.2
1667106000000,3.059,3.067,3.05,3.063,4171.2
1667109600000,3.064,3.068,3.048,3.048,6219.5
1667113200000,3.054,3.058,3.044,3.048,5581.8
1667116800000,3.048,3.076,3.045,3.069,8219.4
1667120400000,3.069,3.096,3.033,3.045,10085.8
1667124000000,3.045,3.048,3.035,3.048,3462.4
1667127600000,3.048,3.079,3.046,3.064,6033.4
1667131200000,3.064,3.122,3.053,3.108,15815.5
1667134800000,3.111,3.153,3.099,3.145,26665.6
1667138400000,3.145,3.313,3.144,3.259,276346.6
1667142000000,3.259,3.289,3.155,3.161,100148.1
1667145600000,3.156,3.233,3.13,3.173,51566.9
1667149200000,3.175,3.2,3.153,3.18,15359.7
1667152800000,3.18,3.203,3.159,3.164,18904.1
1667156400000,3.164,3.176,3.14,3.146,20726.3
1667160000000,3.147,3.147,3.131,3.145,8390.4
1667163600000,3.144,3.168,3.135,3.161,10732.9
1667167200000,3.161,3.161,3.122,3.149,13294
1667170800000,3.149,3.152,3.119,3.139,11533.4
1667174400000,3.141,3.151,3.084,3.106,22728
1667178000000,3.107,3.192,3.082,3.148,57327
1667181600000,3.154,3.158,3.102,3.125,17769.6
1667185200000,3.126,3.184,3.105,3.17,18191.1
1667188800000,3.175,3.194,3.145,3.145,16280.6
1667192400000,3.146,3.146,3.129,3.13,6142.6
1667196000000,3.13,3.15,3.11,3.134,21620.8
1667199600000,3.134,3.198,3.132,3.145,33351.1
1667203200000,3.146,3.161,3.13,3.148,9444.9
1667206800000,3.147,3.182,3.139,3.165,9601.6
1667210400000,3.165,3.222,3.15,3.162,25997
1667214000000,3.171,3.182,3.158,3.161,8192.9
1667217600000,3.165,3.168,3.133,3.139,6758.7
1667221200000,3.139,3.143,3.057,3.057,21611.3
1667224800000,3.057,3.083,3.04,3.071,22851.7
1667228400000,3.071,3.085,3.066,3.083,4520
1667232000000,3.083,3.099,3.057,3.069,7228.2
1667235600000,3.069,3.085,3.061,3.071,4893.4
1667239200000,3.075,3.097,3.065,3.086,7335.9
1667242800000,3.08,3.089,3.064,3.089,2358.5
1667246400000,3.09,3.376,3.09,3.136,242558.1
1667250000000,3.137,3.177,3.115,3.119,26284.8
1667253600000,3.119,3.157,3.111,3.142,7814.5
1667257200000,3.148,3.171,3.139,3.147,5768.5
1667260800000,3.145,3.174,3.14,3.154,4997.9
1667264400000,3.162,3.174,3.154,3.164,1845.2
1667268000000,3.169,3.173,3.158,3.171,4046.1
1667271600000,3.171,3.171,3.155,3.158,3330.2
1667275200000,3.163,3.167,3.121,3.123,9688.3
1667278800000,3.128,3.14,3.12,3.126,6729.4
1667282400000,3.126,3.145,3.12,3.136,5654.5
