date,open,high,low,close,volume
1667005200000,0.1607,0.161,0.1605,0.161,99119
1667008800000,0.161,0.1613,0.1605,0.1611,267545
1667012400000,0.1611,0.1633,0.161,0.1633,1378775
1667016000000,0.1633,0.1641,0.162,0.1622,851389
1667019600000,0.1622,0.1628,0.1617,0.162,270834
1667023200000,0.1619,0.1635,0.1619,0.1631,297898
1667026800000,0.1632,0.1635,0.163,0.1632,245793
1667030400000,0.1632,0.1635,0.1621,0.1631,722933
1667034000000,0.1632,0.1648,0.1631,0.1648,582630
1667037600000,0.1648,0.1652,0.162,0.1621,945198
1667041200000,0.1621,0.1625,0.1619,0.162,358956
1667044800000,0.1619,0.1629,0.1617,0.1628,345192
1667048400000,0.1628,0.1629,0.1604,0.1621,455451
1667052000000,0.162,0.1629,0.1611,0.1613,433099
1667055600000,0.1614,0.162,0.1606,0.1613,426578
1667059200000,0.1615,0.1647,0.1615,0.1638,944193
1667062800000,0.1638,0.1687,0.1637,0.1648,3064474
1667066400000,0.1648,0.1673,0.1632,0.1668,1390465
1667070000000,0.1668,0.1668,0.1629,0.1639,1680410
1667073600000,0.164,0.1651,0.1638,0.165,341478
1667077200000,0.1649,0.1651,0.1643,0.1646,229529
1667080800000,0.1646,0.1662,0.1627,0.163,2267467
1667084400000,0.1629,0.164,0.1622,0.1638,185027
1667088000000,0.1638,0.1644,0.1626,0.1626,259377
1667091600000,0.1626,0.1634,0.1621,0.1634,244696
1667095200000,0.1635,0.1635,0.1629,0.163,116060
1667098800000,0.1631,0.1651,0.1631,0.1645,242243
1667102400000,0.1646,0.1649,0.1632,0.1633,261082
1667106000000,0.1633,0.1646,0.1633,0.1644,127109
1667109600000,0.1644,0.1654,0.164,0.1647,379254
1667113200000,0.1648,0.1676,0.1646,0.1669,813977
1667116800000,0.167,0.1676,0.1636,0.1646,1507800
1667120400000,0.1646,0.1657,0.1626,0.1626,649121
1667124000000,0.1627,0.165,0.1627,0.1644,406240
1667127600000,0.1644,0.1646,0.1634,0.1643,116569
1667131200000,0.1643,0.1644,0.1627,0.1636,155225
1667134800000,0.1635,0.1637,0.1612,0.1614,482147
1667138400000,0.1614,0.1628,0.1613,0.1626,239281
1667142000000,0.1627,0.1628,0.1584,0.1591,982850
1667145600000,0.1591,0.1609,0.1587,0.1593,394970
1667149200000,0.1594,0.1604,0.1591,0.1603,204800
1667152800000,0.1603,0.1603,0.1596,0.1602,122780
1667156400000,0.16,0.1608,0.1599,0.1601,222530
1667160000000,0.16,0.1606,0.1596,0.1605,302823
1667163600000,0.1605,0.1606,0.1596,0.16,89252
1667167200000,0.1598,0.1598,0.1547,0.1569,1679179
1667170800000,0.1568,0.1576,0.1564,0.1573,278853
1667174400000,0.1574,0.1588,0.1569,0.1569,339644
1667178000000,0.1569,0.1576,0.1557,0.1565,198022
1667181600000,0.1566,0.1566,0.1548,0.1557,460031
1667185200000,0.1558,0.1572,0.1558,0.1572,106763
1667188800000,0.1573,0.158,0.1571,0.1577,410536
1667192400000,0.1577,0.1577,0.1568,0.157,167083
1667196000000,0.1569,0.1571,0.1557,0.1566,190176
1667199600000,0.1565,0.1574,0.1561,0.1572,177638
1667203200000,0.1572,0.1573,0.1552,0.1556,398584
1667206800000,0.1555,0.159,0.1551,0.1586,526686
1667210400000,0.1586,0.159,0.1574,0.1582,446742
1667214000000,0.1583,0.1594,0.1582,0.1586,323727
1667217600000,0.1586,0.1593,0.1578,0.1588,369766
1667221200000,0.1588,0.1595,0.155,0.155,679310
1667224800000,0.1549,0.1556,0.1531,0.1549,687351
1667228400000,0.1547,0.1564,0.1544,0.1556,148505
1667232000000,0.1556,0.1568,0.1542,0.1552,257706
1667235600000,0.1551,0.1557,0.1547,0.155,132489
1667239200000,0.1549,0.1569,0.1542,0.1548,2468326
1667242800000,0.1549,0.1549,0.154,0.1543,199220
1667246400000,0.1542,0.1552,0.154,0.1547,151480
1667250000000,0.1546,0.1547,0.154,0.1543,119379
1667253600000,0.1543,0.1557,0.154,0.1555,127820
1667257200000,0.1554,0.156,0.1552,0.1552,99766
1667260800000,0.1553,0.1567,0.1552,0.1562,322415
1667264400000,0.1562,0.157,0.1558,0.1565,152123
1667268000000,0.1567,0.158,0.1566,0.1573,230825
1667271600000,0.1572,0.1577,0.1568,0.157,72196
1667275200000,0.1571,0.1576,0.1562,0.1567,144424
1667278800000,0.1568,0.1576,0.1568,0.1574,174556
1667282400000,0.1575,0.1584,0.1574,0.1583,238884
1667286000000,0.1584,0.1585,0.1575,0.1577,218516
1667289600000,0.1577,0.1582,0.1571,0.1574,291897
1667293200000,0.1574,0.1587,0.1574,0.1577,328108
1667296800000,0.1577,0.158,0.1574,0.1577,102926
1667300400000,0.1579,0.1579,0.1563,0.157,258230
1667304000000,0.1571,0.1578,0.1564,0.1578,219570
1667307600000,0.1578,0.1579,0.155,0.1557,262963
1667311200000,0.1557,0.1561,0.155,0.1554,201120
1667314800000,0.1554,0.1561,0.1553,0.1557,208553
1667318400000,0.1557,0.156,0.1545,0.1549,199070
1667322000000,0.1549,0.1551,0.1544,0.1545,169148
1667325600000,0.1545,0.155,0.1545,0.1549,101950
1667329200000,0.1551,0.1551,0.1543,0.1544,183819
1667332800000,0.1544,0.1544,0.154,0.1543,163983
1667336400000,0.1543,0.1546,0.154,0.1544,85272
1667340000000,0.1544,0.1545,0.1542,0.1544,96313
1667343600000,0.1544,0.1549,0.1543,0.1545,93483
1667347200000,0.1544,0.1544,0.1521,0.154,556632
1667350800000,0.1541,0.1544,0.1537,0.1537,57748
1667354400000,0.1536,0.1536,0.1525,0.1528,149750
1667358000000,0.1529,0.1542,0.1529,0.1541,207600
1667361600000,0.1542,0.1542,0.1535,0.1536,86806
1667365200000,0.1536,0.1643,0.1535,0.1641,9862820
1667368800000,0.164,0.1654,0.1616,0.162,7431662
1667372400000,0.1619,0.1625,0.1585,0.1622,2715526
1667376000000,0.1623,0.1637,0.1613,0.1631,1586600
1667379600000,0.1631,0.1635,0.1586,0.1588,1939800
1667383200000,0.1588,0.1603,0.1565,0.1597,2624594
1667386800000,0.1597,0.1624,0.1596,0.1602,1008914
1667390400000,0.1602,0.1633,0.1601,0.162,1254714
1667394000000,0.162,0.1635,0.1612,0.1634,1109380
1667397600000,0.1634,0.1654,0.161,0.1618,2909997
1667401200000,0.1618,0.1628,0.1614,0.1624,448397
1667404800000,0.1624,0.165,0.1621,0.1633,2400269
1667408400000,0.1633,0.1643,0.1612,0.1623,1075706
1667412000000,0.1622,0.1665,0.1616,0.1634,3977875
1667415600000,0.1633,0.165,0.1613,0.1628,905889
1667419200000,0.1628,0.1638,0.1586,0.1617,2284471
1667422800000,0.1617,0.1646,0.1616,0.1638,1005886
1667426400000,0.1636,0.1636,0.1619,0.1622,463404
1667430000000,0.162,0.1648,0.1618,0.1637,479144
1667433600000,0.1635,0.1729,0.1626,0.171,5150157
1667437200000,0.171,0.2171,0.1681,0.1739,45724271
1667440800000,0.1739,0.1739,0.1656,0.1686,18349068
1667444400000,0.1686,0.1711,0.1674,0.1711,4278637
1667448000000,0.171,0.1739,0.1687,0.1711,5695739
1667451600000,0.1712,0.1737,0.1691,0.1703,3457138
1667455200000,0.1704,0.1717,0.1682,0.1701,2187260
1667458800000,0.1701,0.1714,0.168,0.1688,2329844
1667462400000,0.1689,0.1722,0.1682,0.1721,3879621
1667466000000,0.1721,0.176,0.1707,0.1753,3743313
1667469600000,0.1753,0.1808,0.1733,0.1791,11186304
1667473200000,0.1791,0.1818,0.1654,0.1732,10785326
1667476800000,0.1733,0.174,0.1696,0.173,4322530
1667480400000,0.1732,0.1756,0.1714,0.1718,2654682
1667484000000,0.1719,0.1757,0.1715,0.1744,3740798
1667487600000,0.1744,0.1774,0.1733,0.1745,2799276
1667491200000,0.1746,0.1768,0.1741,0.1768,1937061
1667494800000,0.1768,0.1845,0.1764,0.1799,7236031
1667498400000,0.1798,0.1856,0.1788,0.1845,5603540
1667502000000,0.1845,0.1846,0.1798,0.1822,2110546
1667505600000,0.1824,0.1842,0.1797,0.1813,2666496
1667509200000,0.1813,0.1844,0.1809,0.1838,916323
1667512800000,0.1836,0.1836,0.1756,0.1773,3388173
1667516400000,0.1773,0.1813,0.1772,0.1805,1417067
1667520000000,0.1806,0.1817,0.1781,0.1802,999522
1667523600000,0.1803,0.1817,0.1769,0.1771,2360145
1667527200000,0.1771,0.1785,0.1745,0.1759,1080457
1667530800000,0.1759,0.178,0.1759,0.1775,565907
1667534400000,0.1776,0.1777,0.1752,0.1771,1148949
1667538000000,0.1772,0.1775,0.1747,0.1749,591821
1667541600000,0.1749,0.177,0.1749,0.1768,903722
1667545200000,0.1768,0.177,0.175,0.1756,610820
1667548800000,0.1756,0.1764,0.1747,0.1758,1120454
1667552400000,0.1758,0.1759,0.1735,0.1749,829583
1667556000000,0.175,0.1759,0.1745,0.1759,537872
1667559600000,0.1758,0.1762,0.1743,0.1745,655013
1667563200000,0.1746,0.175,0.1667,0.1747,6338518
1667566800000,0.1747,0.1759,0.1732,0.1741,1279014
1667570400000,0.1742,0.1764,0.1738,0.1759,1210015
1667574000000,0.1759,0.1759,0.1705,0.1708,1632894
1667577600000,0.1706,0.172,0.17,0.1716,819121
1667581200000,0.1716,0.1737,0.1711,0.1731,583630
1667584800000,0.1732,0.1742,0.1726,0.1737,464894
1667588400000,0.1737,0.1808,0.1737,0.1771,2739526
1667592000000,0.177,0.1776,0.1763,0.1773,527242
1667595600000,0.1773,0.1792,0.1772,0.1791,679765
1667599200000,0.179,0.179,0.1775,0.1788,483496
1667602800000,0.1788,0.1799,0.1771,0.1777,895348
1667606400000,0.1778,0.179,0.1767,0.1788,844158
1667610000000,0.1789,0.1827,0.1787,0.1812,1577517
1667613600000,0.1811,0.182,0.1788,0.1803,846628
1667617200000,0.1802,0.1815,0.1782,0.1806,491898
1667620800000,0.1807,0.1832,0.1802,0.1808,623312
1667624400000,0.1808,0.1826,0.1803,0.1813,360050
1667628000000,0.1814,0.1828,0.1806,0.1814,245772
1667631600000,0.1814,0.1816,0.1807,0.1809,211190
1667635200000,0.1809,0.1809,0.1773,0.1797,1131629
1667638800000,0.1798,0.1799,0.1777,0.1783,427565
1667642400000,0.1783,0.1798,0.1781,0.1793,275466
1667646000000,0.1793,0.181,0.1793,0.1806,598594
1667649600000,0.1807,0.1807,0.1787,0.1789,629209
1667653200000,0.179,0.1794,0.1773,0.1782,431421
1667656800000,0.1781,0.1787,0.1758,0.176,770524
1667660400000,0.1761,0.1775,0.1761,0.1766,449271
1667664000000,0.1765,0.1776,0.1762,0.1771,382199
1667667600000,0.1771,0.1771,0.1754,0.1756,296978
1667671200000,0.1757,0.1758,0.1729,0.173,651725
1667674800000,0.173,0.1735,0.1727,0.1732,202654
1667678400000,0.1732,0.1739,0.1731,0.1738,192595
1667682000000,0.1738,0.174,0.1727,0.1731,170210
1667685600000,0.1732,0.1736,0.1728,0.1735,138470
1667689200000,0.1734,0.1734,0.1691,0.1721,1780366
1667692800000,0.1721,0.1737,0.1705,0.1725,1251262
1667696400000,0.1725,0.1735,0.1703,0.1707,956509
1667700000000,0.1706,0.1727,0.1706,0.1723,724634
1667703600000,0.1723,0.1741,0.1723,0.1739,1311912
1667707200000,0.1739,0.174,0.1732,0.1736,219491
1667710800000,0.1736,0.1738,0.1714,0.1718,247423
1667714400000,0.1718,0.1727,0.1716,0.1724,307557
1667718000000,0.1724,0.1727,0.1721,0.1722,159294
1667721600000,0.1723,0.1734,0.1715,0.173,532746
1667725200000,0.173,0.1731,0.1722,0.1723,339722
1667728800000,0.1724,0.1731,0.1721,0.173,193267
1667732400000,0.1729,0.1729,0.1715,0.1724,500077
1667736000000,0.1723,0.1725,0.1714,0.1715,145416
1667739600000,0.1716,0.1721,0.1707,0.1707,663081
1667743200000,0.1706,0.1711,0.1699,0.1706,659523
1667746800000,0.1706,0.1715,0.1702,0.1702,175725
