date,open,high,low,close,volume
1667005200000,0.6407,0.6414,0.6403,0.6412,590325
1667008800000,0.6412,0.642,0.6406,0.6407,508025
1667012400000,0.6409,0.6416,0.6403,0.6405,611930
1667016000000,0.6405,0.6409,0.6402,0.6407,498368
1667019600000,0.6406,0.6411,0.6404,0.6404,407699
1667023200000,0.6405,0.641,0.6404,0.6404,305371
1667026800000,0.6405,0.6409,0.6402,0.6403,571311
1667030400000,0.6403,0.6413,0.6402,0.6408,1010482
1667034000000,0.6407,0.6409,0.6403,0.6409,890257
1667037600000,0.6408,0.6414,0.6404,0.6407,837247
1667041200000,0.6407,0.641,0.6401,0.6402,510386
1667044800000,0.6402,0.641,0.6401,0.6405,640276
1667048400000,0.6406,0.6407,0.6403,0.6405,290195
1667052000000,0.6406,0.6414,0.6405,0.6406,505698
1667055600000,0.6405,0.6412,0.6405,0.6407,630335
1667059200000,0.6407,0.6415,0.6406,0.6407,668837
1667062800000,0.6408,0.6413,0.6406,0.6406,744509
1667066400000,0.6406,0.6415,0.6405,0.6408,498076
1667070000000,0.6408,0.6453,0.6407,0.6412,531642
1667073600000,0.6412,0.6421,0.6408,0.6408,126846
1667077200000,0.6408,0.6417,0.6407,0.6407,219050
1667080800000,0.6409,0.6413,0.6406,0.641,755606
1667084400000,0.6412,0.6421,0.6408,0.6411,403012
1667088000000,0.6411,0.6416,0.6409,0.6411,426458
1667091600000,0.641,0.6419,0.6406,0.6411,584033
1667095200000,0.6411,0.6417,0.6408,0.6412,315473
1667098800000,0.6411,0.6418,0.6407,0.6408,534531
1667102400000,0.6409,0.6417,0.6407,0.6415,520061
1667106000000,0.6416,0.6417,0.6408,0.641,489175
1667109600000,0.6409,0.6413,0.6405,0.6408,1279120
1667113200000,0.6408,0.6418,0.6408,0.6412,505236
1667116800000,0.6413,0.6416,0.6405,0.6412,1068464
1667120400000,0.6412,0.642,0.6404,0.6409,930199
1667124000000,0.6409,0.6419,0.6406,0.6409,550542
1667127600000,0.6409,0.6419,0.6406,0.6408,528533
1667131200000,0.6409,0.6417,0.6405,0.6417,377099
1667134800000,0.6417,0.6417,0.6411,0.6413,236850
1667138400000,0.6413,0.6422,0.6411,0.6417,331680
1667142000000,0.6416,0.6418,0.6412,0.6412,237749
1667145600000,0.6412,0.6419,0.641,0.641,208410
1667149200000,0.6411,0.6417,0.6407,0.641,445200
1667152800000,0.6409,0.6412,0.6401,0.6404,420066
1667156400000,0.6404,0.641,0.6396,0.6398,394599
1667160000000,0.6398,0.6405,0.6395,0.6404,339239
1667163600000,0.6404,0.6405,0.6395,0.6397,233013
1667167200000,0.6397,0.6403,0.6396,0.6397,502373
1667170800000,0.6397,0.6404,0.6395,0.6399,624307
1667174400000,0.6399,0.641,0.6395,0.641,1035229
1667178000000,0.641,0.6415,0.6398,0.6415,1291598
1667181600000,0.6415,0.6419,0.6406,0.641,1084618
1667185200000,0.641,0.6419,0.6407,0.6418,895390
1667188800000,0.6418,0.6423,0.6414,0.6417,601849
1667192400000,0.6417,0.6418,0.6411,0.6411,756925
1667196000000,0.6412,0.6418,0.6409,0.6415,1004045
1667199600000,0.6416,0.6417,0.64,0.6406,1120329
1667203200000,0.6406,0.6406,0.6382,0.639,1311017
1667206800000,0.639,0.6406,0.639,0.6398,823087
1667210400000,0.6399,0.6399,0.6383,0.6391,1105903
1667214000000,0.6391,0.6397,0.6382,0.6385,879180
1667217600000,0.6385,0.6395,0.6373,0.6375,912925
1667221200000,0.6375,0.6383,0.6365,0.6365,753562
1667224800000,0.6365,0.6389,0.6365,0.6373,753632
1667228400000,0.6374,0.6396,0.6365,0.6391,438905
1667232000000,0.639,0.6396,0.6388,0.6389,314383
1667235600000,0.6389,0.6392,0.6384,0.6391,93277
1667239200000,0.6391,0.6396,0.639,0.6393,121881
1667242800000,0.6392,0.6394,0.6383,0.6391,214075
1667246400000,0.6391,0.6394,0.6391,0.6393,233290
1667250000000,0.6393,0.6394,0.639,0.6392,220837
1667253600000,0.6392,0.6404,0.6392,0.6401,421153
1667257200000,0.6401,0.6408,0.6401,0.6406,459797
1667260800000,0.6406,0.641,0.6397,0.64,390317
1667264400000,0.6399,0.6418,0.6397,0.6416,755071
1667268000000,0.6416,0.644,0.6415,0.644,1638688
1667271600000,0.644,0.6441,0.6409,0.6429,1353863
1667275200000,0.6429,0.6431,0.6417,0.6421,1105836
1667278800000,0.642,0.6431,0.6413,0.6422,787974
1667282400000,0.6422,0.6439,0.6418,0.6436,1064479
1667286000000,0.6437,0.6438,0.6407,0.6421,2528278
1667289600000,0.6422,0.6445,0.6422,0.6426,1410924
1667293200000,0.6426,0.6438,0.642,0.6435,1726772
1667296800000,0.6435,0.6449,0.6435,0.6443,975919
