date,open,high,low,close,volume
1667005200000,0.198,0.199,0.196,0.198,797308
1667008800000,0.197,0.199,0.196,0.197,348997.3
1667012400000,0.197,0.2,0.197,0.2,1144608.2
1667016000000,0.199,0.2,0.198,0.198,338113.4
1667019600000,0.198,0.199,0.197,0.199,704300.8
1667023200000,0.199,0.201,0.198,0.199,398019.7
1667026800000,0.199,0.202,0.198,0.201,813323.7
1667030400000,0.201,0.205,0.2,0.204,1155151.2
1667034000000,0.203,0.206,0.203,0.205,1205794
1667037600000,0.205,0.205,0.2,0.201,1126420.6
1667041200000,0.201,0.203,0.199,0.2,809246.1
1667044800000,0.2,0.202,0.199,0.202,574184.4
1667048400000,0.201,0.203,0.198,0.2,650767
1667052000000,0.2,0.202,0.198,0.199,968157.7
1667055600000,0.199,0.202,0.198,0.201,603606.7
1667059200000,0.2,0.205,0.2,0.203,1469536.7
1667062800000,0.204,0.207,0.201,0.201,1621601.3
1667066400000,0.202,0.204,0.2,0.202,1155216.8
1667070000000,0.202,0.203,0.199,0.201,835983.2
1667073600000,0.201,0.203,0.2,0.202,927946.5
1667077200000,0.202,0.203,0.2,0.202,558953.1
1667080800000,0.201,0.202,0.197,0.198,333969.9
1667084400000,0.199,0.2,0.197,0.199,258171.6
1667088000000,0.199,0.201,0.198,0.2,1874318.9
1667091600000,0.2,0.204,0.2,0.204,297467.4
1667095200000,0.203,0.204,0.202,0.204,293918.8
1667098800000,0.204,0.205,0.203,0.203,423679.3
1667102400000,0.204,0.205,0.202,0.202,316475.5
1667106000000,0.203,0.204,0.202,0.203,343364
1667109600000,0.203,0.204,0.201,0.204,831072.5
1667113200000,0.204,0.213,0.203,0.212,2114578
1667116800000,0.212,0.213,0.201,0.205,2863547.7
1667120400000,0.206,0.207,0.201,0.202,1213088
1667124000000,0.203,0.205,0.202,0.202,716192.7
1667127600000,0.203,0.205,0.202,0.203,692163
1667131200000,0.203,0.205,0.201,0.204,595499.7
1667134800000,0.203,0.204,0.2,0.201,824152
1667138400000,0.201,0.203,0.199,0.203,838030.6
1667142000000,0.203,0.203,0.198,0.198,1906396.3
1667145600000,0.198,0.201,0.197,0.198,619324.4
1667149200000,0.199,0.201,0.198,0.2,393000.8
1667152800000,0.2,0.202,0.199,0.2,702800.2
1667156400000,0.201,0.202,0.2,0.201,153682.1
1667160000000,0.202,0.202,0.2,0.202,336641
1667163600000,0.201,0.202,0.2,0.201,180925
1667167200000,0.201,0.201,0.196,0.199,534706.9
1667170800000,0.199,0.2,0.198,0.199,402392.8
1667174400000,0.2,0.201,0.198,0.198,682298.7
1667178000000,0.199,0.2,0.195,0.196,2698543.9
1667181600000,0.196,0.196,0.193,0.195,590858.9
1667185200000,0.195,0.197,0.194,0.197,247009.2
1667188800000,0.197,0.199,0.196,0.198,240165.9
1667192400000,0.197,0.198,0.196,0.197,134531.9
1667196000000,0.197,0.198,0.195,0.197,289713.3
1667199600000,0.197,0.198,0.196,0.197,125376.8
1667203200000,0.197,0.197,0.194,0.196,624783.5
1667206800000,0.195,0.2,0.195,0.2,475003.7
1667210400000,0.2,0.201,0.198,0.2,839110.1
1667214000000,0.201,0.202,0.2,0.202,625474.3
1667217600000,0.202,0.202,0.199,0.201,515539.6
1667221200000,0.201,0.202,0.196,0.196,782230.5
1667224800000,0.195,0.198,0.195,0.197,1444373.9
1667228400000,0.197,0.2,0.196,0.199,556003.4
1667232000000,0.199,0.201,0.197,0.199,774066.2
1667235600000,0.199,0.201,0.199,0.199,587822.6
1667239200000,0.2,0.201,0.199,0.2,612564.7
1667242800000,0.2,0.2,0.198,0.198,367696.6
1667246400000,0.199,0.2,0.197,0.199,307903.2
1667250000000,0.199,0.199,0.197,0.198,258270
1667253600000,0.198,0.201,0.197,0.2,789618.3
1667257200000,0.201,0.201,0.199,0.201,292831.1
1667260800000,0.2,0.203,0.199,0.202,1153313.2
1667264400000,0.202,0.205,0.202,0.203,499182.5
1667268000000,0.203,0.205,0.202,0.204,538536.5
1667271600000,0.204,0.205,0.203,0.203,209664
1667275200000,0.203,0.204,0.201,0.203,591395.3
1667278800000,0.203,0.205,0.202,0.205,762429.9
1667282400000,0.205,0.212,0.204,0.21,1977301.3
1667286000000,0.21,0.219,0.209,0.21,9167051.7
1667289600000,0.21,0.211,0.207,0.21,2381295.2
1667293200000,0.209,0.211,0.208,0.21,1208286.1
1667296800000,0.21,0.213,0.208,0.211,1390236
1667300400000,0.212,0.212,0.207,0.209,1604575.6
1667304000000,0.21,0.211,0.208,0.21,789248
1667307600000,0.21,0.212,0.205,0.208,1526541.7
1667311200000,0.208,0.212,0.207,0.21,1439780.3
1667314800000,0.21,0.215,0.21,0.213,2557780.6
1667318400000,0.213,0.214,0.21,0.212,1417241.2
1667322000000,0.213,0.215,0.211,0.213,1562500.8
1667325600000,0.214,0.214,0.211,0.212,1264218.5
1667329200000,0.211,0.212,0.211,0.212,414428.4
1667332800000,0.212,0.214,0.211,0.212,646099.6
1667336400000,0.213,0.213,0.21,0.211,921826.8
1667340000000,0.211,0.212,0.21,0.212,1102409.4
1667343600000,0.212,0.214,0.211,0.212,955750.5
1667347200000,0.212,0.213,0.208,0.212,1555993
1667350800000,0.212,0.213,0.21,0.212,492341
1667354400000,0.213,0.213,0.21,0.212,1060378.4
1667358000000,0.212,0.214,0.211,0.213,1201543.7
1667361600000,0.214,0.215,0.211,0.211,1209300
1667365200000,0.212,0.214,0.212,0.212,698928.9
1667368800000,0.213,0.213,0.211,0.212,618659
1667372400000,0.212,0.22,0.207,0.209,6309062.3
1667376000000,0.208,0.209,0.207,0.208,460077.8
1667379600000,0.209,0.209,0.198,0.2,1980402.9
1667383200000,0.2,0.201,0.198,0.201,478124.8
1667386800000,0.201,0.201,0.199,0.2,312986.7
1667390400000,0.2,0.2,0.197,0.198,634647.8
1667394000000,0.197,0.199,0.197,0.198,288241.2
1667397600000,0.197,0.2,0.197,0.199,929696.3
1667401200000,0.198,0.2,0.198,0.198,693768.4
1667404800000,0.198,0.2,0.197,0.2,464421.7
1667408400000,0.199,0.2,0.196,0.197,511611.6
1667412000000,0.197,0.206,0.197,0.202,2276330.1
1667415600000,0.202,0.205,0.199,0.202,1169874.7
1667419200000,0.202,0.203,0.197,0.2,866972.8
1667422800000,0.2,0.206,0.2,0.205,986360.9
1667426400000,0.205,0.207,0.204,0.206,572880.2
1667430000000,0.206,0.209,0.205,0.208,450926.1
1667433600000,0.208,0.214,0.207,0.213,817822.5
1667437200000,0.213,0.216,0.213,0.215,472335
1667440800000,0.215,0.218,0.214,0.217,1053895.8
1667444400000,0.217,0.225,0.217,0.219,2208782.5
1667448000000,0.219,0.225,0.219,0.22,1411084.5
1667451600000,0.22,0.227,0.22,0.227,1535327
1667455200000,0.227,0.228,0.221,0.223,1652321.1
1667458800000,0.224,0.224,0.219,0.219,1149700
1667462400000,0.22,0.222,0.218,0.219,619326.9
1667466000000,0.22,0.221,0.218,0.22,623487.5
1667469600000,0.22,0.225,0.22,0.221,1375666.4
1667473200000,0.221,0.222,0.212,0.214,1991580.8
1667476800000,0.214,0.218,0.214,0.218,1082673.2
1667480400000,0.218,0.224,0.216,0.217,1449326.5
1667484000000,0.217,0.226,0.217,0.223,1202902.8
1667487600000,0.224,0.233,0.22,0.232,2790527.5
1667491200000,0.232,0.233,0.223,0.23,2868829.7
1667494800000,0.23,0.231,0.221,0.222,2229448.5
1667498400000,0.222,0.223,0.22,0.222,474516.7
1667502000000,0.222,0.222,0.218,0.219,862038
1667505600000,0.22,0.22,0.218,0.219,765079.1
1667509200000,0.219,0.22,0.218,0.219,443052.3
1667512800000,0.22,0.22,0.214,0.215,799937.7
1667516400000,0.215,0.219,0.214,0.218,876329.4
1667520000000,0.219,0.224,0.216,0.223,1403894.5
1667523600000,0.223,0.226,0.221,0.222,1277341.9
1667527200000,0.222,0.226,0.222,0.224,946132.3
1667530800000,0.225,0.23,0.223,0.228,1596087.7
1667534400000,0.228,0.229,0.224,0.226,1041750.7
1667538000000,0.226,0.227,0.223,0.224,829449.4
1667541600000,0.225,0.228,0.225,0.227,804196.5
1667545200000,0.227,0.227,0.225,0.226,223041.8
1667548800000,0.226,0.227,0.223,0.224,479263.3
1667552400000,0.224,0.225,0.22,0.223,917881.6
1667556000000,0.223,0.225,0.222,0.224,801757.9
1667559600000,0.223,0.225,0.221,0.222,538664.7
1667563200000,0.222,0.226,0.218,0.225,1564614.7
1667566800000,0.225,0.226,0.222,0.223,732484
1667570400000,0.224,0.229,0.222,0.229,1875962.1
1667574000000,0.228,0.229,0.222,0.222,760772.4
1667577600000,0.223,0.225,0.221,0.225,480722.8
1667581200000,0.224,0.226,0.223,0.225,127572.9
1667584800000,0.225,0.226,0.224,0.225,338501.8
1667588400000,0.225,0.227,0.224,0.227,402053.7
1667592000000,0.226,0.247,0.225,0.235,6552467.1
1667595600000,0.236,0.236,0.228,0.231,3133496.9
1667599200000,0.231,0.232,0.228,0.23,738583.1
1667602800000,0.23,0.233,0.228,0.231,1201652.4
1667606400000,0.231,0.233,0.228,0.23,1265898.6
1667610000000,0.23,0.233,0.229,0.232,1911648.2
1667613600000,0.232,0.233,0.23,0.231,606157.7
1667617200000,0.232,0.232,0.228,0.229,922194.7
1667620800000,0.229,0.231,0.227,0.228,870992.1
1667624400000,0.228,0.23,0.227,0.228,1085296.2
1667628000000,0.228,0.237,0.228,0.235,3121460.2
1667631600000,0.236,0.246,0.235,0.24,9137568.5
1667635200000,0.241,0.242,0.234,0.239,2730303.9
1667638800000,0.239,0.24,0.234,0.237,1954953.1
1667642400000,0.237,0.238,0.235,0.237,560844
1667646000000,0.237,0.24,0.236,0.239,1005136.2
1667649600000,0.238,0.239,0.235,0.237,969615.5
1667653200000,0.237,0.24,0.236,0.238,1398246.6
1667656800000,0.238,0.244,0.237,0.24,1931096.6
1667660400000,0.239,0.248,0.238,0.248,2890322.5
1667664000000,0.248,0.275,0.244,0.263,19466502.1
1667667600000,0.264,0.264,0.249,0.25,4586335.3
1667671200000,0.25,0.25,0.245,0.247,1606410.6
1667674800000,0.248,0.249,0.244,0.245,1102854.9
1667678400000,0.246,0.246,0.242,0.242,730218.3
1667682000000,0.242,0.246,0.242,0.245,629848.8
1667685600000,0.246,0.246,0.244,0.244,436671.9
1667689200000,0.244,0.244,0.235,0.241,2845602.2
1667692800000,0.241,0.244,0.237,0.24,1928103.9
1667696400000,0.24,0.242,0.236,0.237,1146358.8
1667700000000,0.237,0.24,0.235,0.237,1228795.8
1667703600000,0.238,0.24,0.237,0.24,538435.1
1667707200000,0.24,0.243,0.239,0.242,1209077
1667710800000,0.242,0.242,0.236,0.237,454186.1
1667714400000,0.236,0.239,0.235,0.235,390063.8
1667718000000,0.236,0.237,0.234,0.234,304015.5
1667721600000,0.234,0.237,0.232,0.237,688895.8
1667725200000,0.236,0.238,0.236,0.236,620804.8
1667728800000,0.237,0.238,0.235,0.237,350430.6
1667732400000,0.237,0.237,0.233,0.234,663272.9
1667736000000,0.235,0.235,0.231,0.232,460587.8
1667739600000,0.232,0.233,0.23,0.231,426467.8
1667743200000,0.231,0.233,0.229,0.233,1120730.3
1667746800000,0.233,0.235,0.231,0.232,905781.1
1667750400000,0.232,0.236,0.227,0.235,2162978.2
1667754000000,0.234,0.235,0.232,0.233,972848.5
1667757600000,0.233,0.234,0.23,0.232,916307.8
1667761200000,0.232,0.233,0.229,0.231,628657.9
