date,open,high,low,close,volume
1667005200000,0.722,0.727,0.718,0.719,50985.2
1667008800000,0.72,0.727,0.719,0.723,16868
1667012400000,0.723,0.727,0.721,0.725,17996.2
1667016000000,0.725,0.726,0.724,0.726,8961.5
1667019600000,0.726,0.731,0.72,0.726,33588.5
1667023200000,0.727,0.734,0.727,0.73,16189.4
1667026800000,0.729,0.735,0.729,0.734,38142.8
1667030400000,0.735,0.739,0.735,0.737,20026.7
1667034000000,0.737,0.742,0.736,0.74,14449
1667037600000,0.741,0.743,0.739,0.74,21294.7
1667041200000,0.741,0.742,0.735,0.735,40641.8
1667044800000,0.734,0.736,0.729,0.735,22282.6
1667048400000,0.734,0.735,0.732,0.734,14419.9
1667052000000,0.734,0.737,0.733,0.734,11037.7
1667055600000,0.734,0.739,0.734,0.738,19690.4
1667059200000,0.738,0.742,0.736,0.741,28918.4
1667062800000,0.741,0.743,0.733,0.734,73578.7
1667066400000,0.733,0.737,0.732,0.736,11844.1
1667070000000,0.737,0.737,0.734,0.736,6530.7
1667073600000,0.736,0.737,0.734,0.737,987.6
1667077200000,0.736,0.737,0.733,0.735,13392.8
1667080800000,0.735,0.736,0.73,0.733,27716.5
1667084400000,0.734,0.735,0.733,0.735,8933.5
1667088000000,0.734,0.735,0.729,0.731,9238.1
1667091600000,0.731,0.735,0.73,0.734,5289.5
1667095200000,0.734,0.735,0.733,0.733,5708.5
1667098800000,0.733,0.733,0.731,0.731,10913.8
1667102400000,0.732,0.733,0.731,0.731,2656
1667106000000,0.731,0.735,0.731,0.734,5026.8
1667109600000,0.735,0.736,0.729,0.733,30494.1
1667113200000,0.733,0.738,0.731,0.737,26871.6
1667116800000,0.737,0.741,0.734,0.736,26458.9
1667120400000,0.735,0.74,0.728,0.73,50154.4
1667124000000,0.732,0.734,0.73,0.734,6189.3
1667127600000,0.734,0.736,0.73,0.734,6637.6
1667131200000,0.734,0.736,0.733,0.733,11217.9
1667134800000,0.733,0.734,0.729,0.729,14712
1667138400000,0.731,0.731,0.727,0.729,8638.1
1667142000000,0.729,0.732,0.72,0.724,47831.2
1667145600000,0.725,0.726,0.722,0.724,5929.2
1667149200000,0.724,0.724,0.721,0.724,13398.9
1667152800000,0.723,0.724,0.721,0.724,7229.8
1667156400000,0.724,0.724,0.722,0.722,4935.7
1667160000000,0.722,0.725,0.722,0.723,21848.8
1667163600000,0.723,0.726,0.723,0.724,4369.1
1667167200000,0.724,0.724,0.719,0.72,16152.5
1667170800000,0.72,0.721,0.719,0.721,3109
1667174400000,0.722,0.724,0.722,0.722,11575.9
1667178000000,0.722,0.723,0.72,0.721,3766.1
1667181600000,0.72,0.72,0.716,0.719,12643
1667185200000,0.719,0.72,0.718,0.72,4590.3
1667188800000,0.72,0.726,0.72,0.723,16375.6
1667192400000,0.724,0.724,0.722,0.722,3702.4
1667196000000,0.723,0.723,0.721,0.722,3745.2
1667199600000,0.722,0.733,0.721,0.733,44427.9
1667203200000,0.733,0.761,0.732,0.76,167498.7
1667206800000,0.76,0.761,0.742,0.758,206311.6
1667210400000,0.758,0.771,0.752,0.756,94234.2
1667214000000,0.756,0.768,0.755,0.763,53211.2
1667217600000,0.763,0.765,0.758,0.763,47739.5
1667221200000,0.764,0.768,0.743,0.749,164573.6
1667224800000,0.747,0.767,0.729,0.745,453998.2
1667228400000,0.746,0.755,0.742,0.75,38877.5
1667232000000,0.75,0.753,0.747,0.747,19616.8
1667235600000,0.747,0.751,0.746,0.749,14704.2
1667239200000,0.75,0.751,0.748,0.749,8957.7
1667242800000,0.748,0.748,0.745,0.746,17106
1667246400000,0.746,0.749,0.744,0.747,8654.5
1667250000000,0.746,0.751,0.745,0.746,16880.9
1667253600000,0.745,0.749,0.744,0.749,4832.2
1667257200000,0.749,0.755,0.749,0.751,22324.8
1667260800000,0.751,0.758,0.75,0.757,34634.1
1667264400000,0.756,0.763,0.756,0.759,43038.6
1667268000000,0.76,0.762,0.758,0.759,7116.3
1667271600000,0.761,0.763,0.759,0.762,14132.5
1667275200000,0.761,0.775,0.759,0.763,121096.6
1667278800000,0.763,0.766,0.755,0.756,84735.5
1667282400000,0.756,0.76,0.756,0.757,38518.5
1667286000000,0.757,0.757,0.75,0.751,46841.8
1667289600000,0.751,0.753,0.749,0.75,23703
1667293200000,0.75,0.752,0.747,0.75,35435.4
1667296800000,0.749,0.751,0.747,0.749,26717.6
1667300400000,0.749,0.749,0.743,0.745,18973.8
1667304000000,0.745,0.747,0.743,0.745,17452.4
1667307600000,0.746,0.746,0.742,0.742,10637.8
1667311200000,0.742,0.743,0.74,0.74,12217.2
1667314800000,0.74,0.75,0.74,0.75,82815.8
1667318400000,0.75,0.752,0.74,0.746,58525.5
1667322000000,0.747,0.752,0.747,0.75,24023.2
1667325600000,0.75,0.767,0.75,0.762,87721.4
1667329200000,0.763,0.767,0.761,0.761,18833
1667332800000,0.761,0.762,0.759,0.76,8794
1667336400000,0.76,0.761,0.755,0.759,20763.5
1667340000000,0.759,0.759,0.756,0.756,5803
1667343600000,0.757,0.758,0.751,0.756,19323.8
1667347200000,0.757,0.761,0.756,0.759,11690.8
1667350800000,0.759,0.76,0.754,0.757,10744.7
1667354400000,0.757,0.758,0.757,0.758,3445.7
1667358000000,0.758,0.765,0.758,0.762,13460.6
1667361600000,0.762,0.767,0.756,0.758,38196.7
1667365200000,0.758,0.761,0.756,0.759,10181
1667368800000,0.758,0.759,0.756,0.757,3220.7
1667372400000,0.757,0.757,0.747,0.751,22047.8
1667376000000,0.75,0.753,0.75,0.753,11228.4
1667379600000,0.753,0.758,0.749,0.75,32606.4
1667383200000,0.75,0.751,0.74,0.746,38805
1667386800000,0.747,0.751,0.746,0.749,8270.1
1667390400000,0.751,0.751,0.747,0.748,6771.3
1667394000000,0.75,0.751,0.748,0.749,5781.2
1667397600000,0.751,0.751,0.747,0.749,6709.1
1667401200000,0.749,0.749,0.746,0.748,9652.3
1667404800000,0.748,0.751,0.747,0.751,6945.8
1667408400000,0.751,0.753,0.745,0.746,12713.2
1667412000000,0.745,0.764,0.744,0.751,112581.7
1667415600000,0.751,0.759,0.737,0.74,92527.5
1667419200000,0.739,0.742,0.734,0.739,55336.1
1667422800000,0.737,0.743,0.737,0.741,28789.6
1667426400000,0.741,0.741,0.739,0.74,8070
1667430000000,0.739,0.742,0.739,0.741,11142.9
1667433600000,0.741,0.747,0.74,0.746,8379
1667437200000,0.747,0.756,0.745,0.753,16136.3
1667440800000,0.754,0.757,0.753,0.756,11299.5
1667444400000,0.757,0.76,0.756,0.759,9605.7
1667448000000,0.759,0.76,0.752,0.754,73734.1
1667451600000,0.754,0.757,0.752,0.756,12088.1
1667455200000,0.756,0.757,0.754,0.755,10930.5
1667458800000,0.756,0.759,0.752,0.754,23424.9
1667462400000,0.753,0.755,0.739,0.744,180944.4
1667466000000,0.745,0.747,0.743,0.746,23167.5
1667469600000,0.746,0.754,0.746,0.754,43275.4
1667473200000,0.754,0.756,0.741,0.744,106815.6
1667476800000,0.745,0.748,0.741,0.742,27022.9
1667480400000,0.744,0.748,0.742,0.745,19009.7
1667484000000,0.745,0.756,0.744,0.754,21024.8
1667487600000,0.755,0.756,0.75,0.752,25764.2
1667491200000,0.752,0.76,0.752,0.753,46290.7
1667494800000,0.753,0.753,0.744,0.749,69830.2
1667498400000,0.749,0.752,0.746,0.751,19656.4
1667502000000,0.752,0.754,0.75,0.753,22983.4
1667505600000,0.754,0.755,0.753,0.754,14110.8
1667509200000,0.754,0.758,0.754,0.757,14664
1667512800000,0.756,0.757,0.75,0.751,35560.8
1667516400000,0.751,0.753,0.75,0.752,7472.7
1667520000000,0.751,0.755,0.75,0.754,5218.7
1667523600000,0.754,0.754,0.753,0.754,2135.6
1667527200000,0.754,0.756,0.753,0.754,10954.4
1667530800000,0.754,0.757,0.753,0.757,8090.8
1667534400000,0.756,0.762,0.756,0.76,36112.9
1667538000000,0.76,0.763,0.76,0.762,18134.1
1667541600000,0.762,0.763,0.76,0.763,29036.5
1667545200000,0.763,0.764,0.761,0.764,11942.2
1667548800000,0.764,0.775,0.763,0.771,210962.7
1667552400000,0.772,0.775,0.767,0.769,36262
1667556000000,0.768,0.774,0.767,0.77,23584.9
1667559600000,0.769,0.771,0.768,0.768,14772.2
1667563200000,0.769,0.773,0.764,0.771,51826.8
1667566800000,0.772,0.776,0.769,0.77,48385.8
1667570400000,0.769,0.787,0.769,0.781,191325.1
1667574000000,0.782,0.783,0.767,0.767,62029.7
1667577600000,0.767,0.772,0.763,0.768,71065.6
1667581200000,0.769,0.77,0.767,0.769,13711.3
1667584800000,0.768,0.774,0.768,0.773,26373.8
1667588400000,0.772,0.778,0.771,0.774,21410.8
1667592000000,0.776,0.779,0.775,0.777,18365.9
1667595600000,0.777,0.782,0.776,0.782,29647.5
1667599200000,0.781,0.782,0.777,0.78,10618.6
1667602800000,0.78,0.782,0.78,0.781,9370.7
1667606400000,0.782,0.788,0.781,0.787,24981
1667610000000,0.787,0.797,0.787,0.791,120737.3
1667613600000,0.793,0.793,0.79,0.791,26391.1
1667617200000,0.792,0.794,0.791,0.794,16329.2
