date,open,high,low,close,volume
1667005200000,18.35,18.4,18.26,18.31,39109.53
1667008800000,18.31,18.53,18.28,18.44,47910.85
1667012400000,18.44,18.79,18.4,18.74,158242.34
1667016000000,18.75,18.78,18.52,18.56,65865.32
1667019600000,18.55,18.64,18.43,18.47,63832.3
1667023200000,18.47,18.51,18.33,18.34,37658.21
1667026800000,18.34,18.49,18.33,18.49,60726.95
1667030400000,18.48,18.9,18.46,18.83,151772.93
1667034000000,18.83,18.83,18.59,18.66,110021.16
1667037600000,18.67,18.7,18.38,18.43,143456.88
1667041200000,18.43,18.44,18.31,18.38,58134.61
1667044800000,18.38,18.53,18.37,18.51,49021.64
1667048400000,18.52,18.53,18.32,18.47,64996.9
1667052000000,18.47,18.7,18.43,18.48,94327.85
1667055600000,18.48,18.59,18.42,18.51,67640.4
1667059200000,18.5,18.72,18.47,18.59,136561.49
1667062800000,18.59,18.82,18.42,18.46,155837.24
1667066400000,18.45,18.65,18.37,18.51,116615.13
1667070000000,18.5,18.53,18.35,18.45,67164.78
1667073600000,18.45,18.52,18.37,18.44,74851.48
1667077200000,18.43,18.51,18.41,18.43,25312.67
1667080800000,18.43,18.45,18.17,18.22,81921.44
1667084400000,18.22,18.33,18.16,18.29,43413.28
1667088000000,18.29,18.32,18.17,18.18,34754.19
1667091600000,18.18,18.4,18.17,18.4,34138.4
1667095200000,18.4,18.41,18.27,18.35,21660.18
1667098800000,18.36,18.44,18.35,18.41,24709.41
1667102400000,18.41,18.44,18.3,18.44,41824.07
1667106000000,18.44,18.66,18.43,18.6,73517.09
1667109600000,18.59,18.69,18.5,18.65,90027.7
1667113200000,18.65,18.83,18.43,18.78,147094.4
1667116800000,18.78,18.8,18.38,18.55,110294.22
1667120400000,18.55,18.68,18.29,18.39,104149.05
1667124000000,18.39,18.71,18.34,18.62,147329.28
1667127600000,18.63,18.72,18.35,18.5,120629.92
1667131200000,18.5,18.52,18.32,18.42,44140.66
1667134800000,18.42,18.43,18.2,18.22,91858.08
1667138400000,18.23,18.31,18.19,18.27,46200.76
1667142000000,18.28,18.31,17.99,18.09,94623.66
1667145600000,18.09,18.23,18,18.09,71860.58
1667149200000,18.1,18.21,18.05,18.2,42398.35
1667152800000,18.19,18.29,18.12,18.23,37053.61
1667156400000,18.23,18.26,18.16,18.2,26741.4
1667160000000,18.21,18.34,18.15,18.29,42561.03
1667163600000,18.29,18.36,18.23,18.32,26743.58
1667167200000,18.31,18.32,17.92,18.22,109577.53
1667170800000,18.22,18.28,18.13,18.26,45839.47
1667174400000,18.25,18.51,18.24,18.29,137655.07
1667178000000,18.29,18.42,18.18,18.33,61966.36
1667181600000,18.33,18.61,18.26,18.44,86672.12
1667185200000,18.43,18.74,18.38,18.71,93859.14
1667188800000,18.71,18.93,18.67,18.71,186634.01
1667192400000,18.7,18.84,18.63,18.67,67150.31
1667196000000,18.66,18.71,18.45,18.59,109465.65
1667199600000,18.6,18.7,18.49,18.69,41837.74
1667203200000,18.69,18.7,18.44,18.52,70147.68
1667206800000,18.51,19.05,18.45,19.01,166432.94
1667210400000,19.01,19.3,18.87,19.24,231011.47
1667214000000,19.24,19.52,19.19,19.36,286353.81
1667217600000,19.36,19.83,19.22,19.58,461172.34
1667221200000,19.59,19.66,19.01,19.04,192397.77
1667224800000,19.04,19.3,19.01,19.03,220184.59
1667228400000,19.03,19.25,18.97,19.16,100824.37
1667232000000,19.16,19.29,18.96,19.1,108765.7
1667235600000,19.1,19.26,19.02,19.07,82123.66
1667239200000,19.07,19.14,18.91,18.95,89557.92
1667242800000,18.94,18.95,18.83,18.87,54146.49
1667246400000,18.87,19.03,18.81,18.91,54030.09
1667250000000,18.91,18.97,18.82,18.9,33274.87
1667253600000,18.9,19.27,18.83,19.26,122205.66
1667257200000,19.25,19.47,19.2,19.28,121672.27
1667260800000,19.28,19.44,19.18,19.31,112394.1
1667264400000,19.3,19.49,19.29,19.32,67441.84
1667268000000,19.33,19.41,19.2,19.34,65838.23
1667271600000,19.34,19.4,19.1,19.1,68461.37
