date,open,high,low,close,volume
1667005200000,9.22,9.22,9.14,9.15,25286.04
1667008800000,9.15,9.2,9.12,9.2,25543.6
1667012400000,9.2,9.34,9.19,9.29,77967.36
1667016000000,9.29,9.31,9.21,9.22,26888.09
1667019600000,9.22,9.34,9.21,9.28,59926.39
1667023200000,9.28,9.3,9.24,9.25,30852.02
1667026800000,9.25,9.34,9.24,9.33,66397.49
1667030400000,9.32,9.46,9.32,9.39,90928.76
1667034000000,9.4,9.44,9.38,9.42,37737.5
1667037600000,9.43,9.48,9.24,9.25,56754.95
1667041200000,9.26,9.28,9.15,9.22,54159.44
1667044800000,9.22,9.28,9.18,9.27,26602.72
1667048400000,9.26,9.29,9.13,9.2,32468.22
1667052000000,9.2,9.27,9.16,9.18,39118.75
1667055600000,9.18,9.27,9.16,9.25,49779.94
1667059200000,9.26,9.4,9.22,9.38,77327.92
1667062800000,9.37,9.55,9.24,9.28,121687.89
1667066400000,9.27,9.37,9.22,9.32,90755.76
1667070000000,9.32,9.34,9.24,9.3,37061.32
1667073600000,9.31,9.35,9.28,9.32,26671.97
1667077200000,9.33,9.38,9.3,9.34,25143.58
1667080800000,9.34,9.34,9.18,9.22,29528.41
1667084400000,9.22,9.33,9.19,9.32,23575.13
1667088000000,9.32,9.33,9.23,9.24,32167.87
1667091600000,9.24,9.39,9.21,9.38,30036.94
1667095200000,9.39,9.4,9.3,9.35,40825.54
1667098800000,9.36,9.4,9.34,9.39,35964.31
1667102400000,9.39,9.4,9.33,9.36,26909.81
1667106000000,9.36,9.95,9.36,9.68,265852.41
1667109600000,9.68,9.78,9.61,9.77,83904.6
1667113200000,9.77,10.06,9.76,9.99,226095.06
1667116800000,9.99,10.33,9.79,9.83,222667.97
1667120400000,9.83,9.98,9.66,9.72,126834.1
1667124000000,9.71,9.85,9.71,9.79,69693.41
1667127600000,9.8,9.85,9.71,9.82,51197.42
1667131200000,9.82,9.82,9.65,9.76,62967.61
1667134800000,9.76,9.81,9.6,9.61,63108.96
1667138400000,9.61,9.67,9.52,9.62,63353.62
1667142000000,9.62,9.62,9.38,9.4,53691.33
1667145600000,9.39,9.45,9.24,9.28,56281.9
1667149200000,9.29,9.33,9.25,9.32,28850.31
1667152800000,9.32,9.37,9.28,9.34,35753.98
1667156400000,9.34,9.4,9.3,9.3,25117.89
