date,open,high,low,close,volume
1667005200000,3.49,3.5,3.48,3.48,606.92
1667008800000,3.5,3.5,3.48,3.49,2058.28
1667012400000,3.49,3.52,3.49,3.52,753.28
1667016000000,3.51,3.52,3.48,3.5,7284.65
1667019600000,3.5,3.51,3.49,3.5,1176.38
1667023200000,3.5,3.51,3.49,3.51,2459.84
1667026800000,3.5,3.54,3.5,3.51,15811.58
1667030400000,3.51,3.55,3.51,3.54,9995.24
1667034000000,3.54,3.55,3.52,3.53,7318.71
1667037600000,3.54,3.55,3.49,3.5,13499.84
1667041200000,3.5,3.51,3.47,3.48,2894.47
1667044800000,3.49,3.5,3.48,3.5,3120.06
1667048400000,3.5,3.51,3.47,3.51,4812.78
1667052000000,3.5,3.52,3.48,3.48,7036.52
1667055600000,3.5,3.51,3.48,3.51,10316.9
1667059200000,3.51,3.55,3.49,3.53,9663.8
1667062800000,3.53,3.55,3.5,3.51,13744.84
1667066400000,3.51,3.51,3.48,3.5,5462.67
1667070000000,3.51,3.52,3.48,3.5,7967.36
1667073600000,3.5,3.51,3.49,3.51,5361.24
1667077200000,3.5,3.53,3.5,3.52,2501.41
1667080800000,3.52,3.52,3.47,3.48,4693
1667084400000,3.48,3.49,3.45,3.48,11545.76
1667088000000,3.49,3.5,3.48,3.5,2594.04
1667091600000,3.48,3.5,3.48,3.49,1028.13
1667095200000,3.49,3.49,3.48,3.49,327.17
1667098800000,3.49,3.49,3.48,3.49,2622.36
1667102400000,3.48,3.49,3.48,3.48,1498.92
1667106000000,3.48,3.49,3.47,3.48,3054.15
1667109600000,3.48,3.5,3.47,3.49,4399.73
1667113200000,3.48,3.55,3.48,3.54,17268.8
1667116800000,3.54,3.56,3.51,3.52,20537.25
1667120400000,3.53,3.53,3.48,3.49,4738.78
1667124000000,3.48,3.49,3.47,3.48,5563.75
1667127600000,3.47,3.5,3.47,3.5,1089.49
1667131200000,3.5,3.51,3.47,3.48,4940.38
1667134800000,3.48,3.49,3.45,3.45,44401.74
1667138400000,3.45,3.47,3.45,3.46,3111.92
1667142000000,3.47,3.47,3.44,3.44,7876.1
1667145600000,3.44,3.46,3.43,3.44,4959.49
1667149200000,3.43,3.45,3.43,3.44,2984.44
1667152800000,3.45,3.46,3.44,3.45,912.18
1667156400000,3.45,3.46,3.44,3.45,1651.98
1667160000000,3.46,3.47,3.45,3.46,3705.51
1667163600000,3.47,3.47,3.45,3.46,1587.74
1667167200000,3.45,3.45,3.41,3.43,4402.3
1667170800000,3.43,3.44,3.43,3.44,744.84
1667174400000,3.44,3.46,3.42,3.43,3297.21
1667178000000,3.43,3.44,3.41,3.42,655.09
1667181600000,3.42,3.42,3.4,3.4,3644.9
1667185200000,3.39,3.41,3.39,3.41,3696.55
1667188800000,3.41,3.42,3.4,3.42,2107.84
1667192400000,3.42,3.42,3.41,3.42,272.1
1667196000000,3.41,3.42,3.37,3.39,13557.91
1667199600000,3.4,3.41,3.38,3.41,1505.69
1667203200000,3.41,3.41,3.39,3.39,2419.59
1667206800000,3.39,3.44,3.38,3.44,2553.46
1667210400000,3.44,3.47,3.43,3.46,9059.64
1667214000000,3.45,3.49,3.44,3.45,10887.89
1667217600000,3.45,3.46,3.43,3.46,7570.08
1667221200000,3.45,3.47,3.4,3.4,6320.3
1667224800000,3.4,3.4,3.38,3.39,3915.69
1667228400000,3.38,3.41,3.38,3.4,2114.43
1667232000000,3.4,3.42,3.37,3.39,6274.4
1667235600000,3.38,3.4,3.38,3.39,2139.61
1667239200000,3.38,3.4,3.37,3.4,3141.25
1667242800000,3.4,3.4,3.37,3.39,1301.61
1667246400000,3.38,3.4,3.37,3.4,3097.94
1667250000000,3.4,3.41,3.4,3.4,492.94
1667253600000,3.41,3.41,3.4,3.41,1126.07
1667257200000,3.41,3.44,3.41,3.43,6873.74
1667260800000,3.43,3.43,3.41,3.42,658.22
1667264400000,3.43,3.45,3.43,3.44,1100.1
1667268000000,3.44,3.45,3.43,3.45,2312.34
1667271600000,3.45,3.45,3.44,3.45,1229.3
1667275200000,3.45,3.45,3.42,3.43,1522.76
1667278800000,3.43,3.44,3.43,3.44,910.1
1667282400000,3.43,3.46,3.43,3.45,5557.11
1667286000000,3.45,3.46,3.43,3.45,1611.73
1667289600000,3.44,3.45,3.44,3.44,697.96
1667293200000,3.45,3.46,3.44,3.44,3006.55
1667296800000,3.44,3.45,3.43,3.44,2997.22
1667300400000,3.44,3.44,3.41,3.41,2323.46
1667304000000,3.42,3.43,3.41,3.43,2251.28
1667307600000,3.41,3.43,3.38,3.39,4127.05
1667311200000,3.39,3.41,3.38,3.39,3916.56
1667314800000,3.39,3.4,3.39,3.4,796.9
1667318400000,3.39,3.41,3.38,3.38,1562.36
1667322000000,3.38,3.4,3.38,3.39,491.72
1667325600000,3.38,3.4,3.38,3.4,1684.88
1667329200000,3.39,3.4,3.38,3.38,3825.96
1667332800000,3.38,3.39,3.37,3.39,3662.42
1667336400000,3.38,3.39,3.38,3.38,853.99
1667340000000,3.39,3.39,3.38,3.39,132.89
1667343600000,3.39,3.4,3.39,3.39,1029.44
1667347200000,3.39,3.39,3.37,3.39,1045.83
1667350800000,3.4,3.4,3.38,3.38,1334.93
1667354400000,3.39,3.39,3.37,3.38,2612.29
1667358000000,3.39,3.4,3.38,3.39,2191.87
1667361600000,3.38,3.4,3.38,3.39,2879.86
1667365200000,3.38,3.4,3.37,3.39,2424.94
1667368800000,3.38,3.39,3.37,3.37,2441.7
1667372400000,3.37,3.38,3.35,3.37,4760.13
1667376000000,3.37,3.38,3.36,3.38,1794.52
1667379600000,3.38,3.38,3.34,3.34,13579.96
1667383200000,3.34,3.35,3.33,3.34,8288.51
1667386800000,3.33,3.34,3.33,3.34,1324.36
1667390400000,3.34,3.34,3.32,3.32,2960.26
1667394000000,3.34,3.34,3.31,3.32,2869.53
1667397600000,3.33,3.34,3.32,3.32,1766.04
1667401200000,3.32,3.33,3.31,3.32,2554.24
1667404800000,3.33,3.33,3.3,3.33,7124.47
1667408400000,3.33,3.34,3.3,3.31,4668.23
1667412000000,3.31,3.41,3.3,3.34,29441.64
1667415600000,3.34,3.38,3.29,3.3,12908.24
1667419200000,3.3,3.31,3.26,3.29,6534.82
1667422800000,3.28,3.3,3.27,3.29,973.64
1667426400000,3.28,3.28,3.25,3.26,9357.43
1667430000000,3.26,3.28,3.25,3.28,1298.28
1667433600000,3.28,3.31,3.27,3.31,6885.49
1667437200000,3.31,3.34,3.3,3.33,3666.15
1667440800000,3.33,3.36,3.33,3.34,9568.56
1667444400000,3.34,3.37,3.34,3.37,7487.38
1667448000000,3.37,3.4,3.37,3.39,22500.44
1667451600000,3.4,3.44,3.39,3.44,27083.81
1667455200000,3.44,3.45,3.38,3.4,9969.2
1667458800000,3.4,3.45,3.39,3.43,26721.98
1667462400000,3.44,3.45,3.4,3.41,9565.79
1667466000000,3.42,3.43,3.41,3.43,1216.64
1667469600000,3.42,3.46,3.42,3.44,18592.43
1667473200000,3.44,3.45,3.37,3.4,10341.23
1667476800000,3.41,3.42,3.37,3.39,7880.2
1667480400000,3.39,3.45,3.39,3.41,21505.58
1667484000000,3.42,3.48,3.41,3.47,15181.65
1667487600000,3.47,3.48,3.45,3.46,7769.63
1667491200000,3.46,3.48,3.45,3.48,12171.02
1667494800000,3.48,3.48,3.45,3.47,8469.63
1667498400000,3.46,3.48,3.46,3.48,9399.81
1667502000000,3.47,3.51,3.47,3.48,26573.26
1667505600000,3.48,3.49,3.47,3.49,4686.99
1667509200000,3.48,3.49,3.47,3.48,6881.89
1667512800000,3.47,3.48,3.42,3.42,12939.9
1667516400000,3.42,3.45,3.42,3.45,7355.8
1667520000000,3.45,3.46,3.43,3.46,2919.19
1667523600000,3.46,3.47,3.44,3.44,4580.07
1667527200000,3.45,3.49,3.45,3.46,9853.19
1667530800000,3.46,3.49,3.45,3.48,3163.52
1667534400000,3.49,3.5,3.47,3.49,12581.3
1667538000000,3.48,3.5,3.48,3.5,6836.89
1667541600000,3.5,3.53,3.49,3.53,23032.31
1667545200000,3.53,3.54,3.52,3.53,8253.21
1667548800000,3.53,3.56,3.51,3.54,8750
1667552400000,3.54,3.56,3.52,3.54,8823.64
1667556000000,3.53,3.54,3.51,3.53,11543.9
1667559600000,3.53,3.53,3.5,3.51,7277.78
1667563200000,3.5,3.56,3.48,3.55,19972.84
1667566800000,3.54,3.57,3.52,3.53,11201.08
1667570400000,3.53,3.63,3.53,3.6,42550.23
1667574000000,3.6,3.63,3.54,3.54,15148.95
1667577600000,3.54,3.58,3.53,3.55,19796.95
1667581200000,3.54,3.57,3.54,3.57,5561.55
1667584800000,3.56,3.58,3.54,3.58,7227.02
1667588400000,3.57,3.91,3.57,3.7,293349.97
1667592000000,3.69,3.69,3.63,3.66,45622.57
1667595600000,3.66,3.72,3.64,3.69,18668.74
1667599200000,3.7,3.72,3.65,3.68,27818.79
1667602800000,3.68,3.69,3.66,3.67,7141.07
1667606400000,3.67,3.75,3.66,3.74,12472.49
1667610000000,3.73,3.74,3.7,3.72,5794.09
1667613600000,3.73,3.73,3.71,3.72,4396.1
1667617200000,3.71,3.73,3.69,3.71,9602.26
1667620800000,3.71,3.75,3.71,3.71,7287.89
1667624400000,3.71,3.72,3.7,3.71,5680.32
1667628000000,3.71,3.74,3.71,3.73,6608.91
1667631600000,3.73,3.74,3.69,3.7,17507.32
1667635200000,3.69,3.7,3.65,3.66,22321.9
1667638800000,3.66,3.75,3.66,3.71,38811.52
1667642400000,3.7,3.73,3.7,3.73,5677.54
1667646000000,3.73,3.75,3.72,3.72,9445.46
1667649600000,3.73,3.75,3.72,3.72,7862.74
1667653200000,3.72,3.73,3.68,3.71,15953.79
1667656800000,3.7,3.71,3.68,3.68,4139.22
1667660400000,3.68,3.69,3.66,3.68,13792.46
1667664000000,3.69,3.7,3.66,3.69,9134.93
1667667600000,3.69,3.71,3.67,3.69,8955.66
1667671200000,3.7,3.7,3.67,3.67,10021.99
1667674800000,3.67,3.69,3.67,3.68,3286.06
1667678400000,3.68,3.83,3.68,3.8,119859.89
1667682000000,3.79,3.83,3.77,3.81,23379.13
1667685600000,3.81,3.84,3.78,3.83,27329.13
1667689200000,3.82,3.87,3.77,3.81,44778.71
1667692800000,3.81,3.82,3.76,3.79,46395.95
1667696400000,3.79,3.8,3.76,3.76,3915.31
1667700000000,3.77,3.77,3.75,3.77,3954.5
1667703600000,3.76,3.77,3.75,3.77,3069.72
1667707200000,3.77,3.78,3.76,3.77,4307.18
1667710800000,3.77,3.77,3.71,3.72,17254.62
1667714400000,3.71,3.73,3.71,3.72,8777.27
1667718000000,3.73,3.86,3.72,3.76,44202.52
1667721600000,3.77,3.85,3.75,3.82,41578.91
1667725200000,3.82,3.86,3.79,3.83,21000.22
1667728800000,3.83,3.89,3.81,3.87,28533.99
1667732400000,3.87,3.88,3.81,3.83,16294.67
1667736000000,3.83,3.84,3.81,3.81,9388.25
1667739600000,3.81,3.85,3.81,3.83,11327.27
1667743200000,3.83,3.83,3.79,3.8,19712.58
1667746800000,3.81,3.82,3.78,3.79,20110.85
1667750400000,3.79,3.8,3.75,3.77,22560.23
1667754000000,3.76,3.77,3.65,3.71,74096.09
1667757600000,3.72,3.72,3.68,3.69,12922.61
1667761200000,3.69,3.7,3.66,3.68,17666.87
1667764800000,3.68,3.69,3.65,3.66,15365.34
1667768400000,3.67,3.67,3.65,3.65,11432.21
1667772000000,3.65,3.66,3.61,3.64,15808.76
1667775600000,3.64,3.64,3.55,3.57,31204.03
1667779200000,3.56,3.6,3.56,3.57,5464.63
1667782800000,3.57,3.6,3.55,3.59,4688.32
1667786400000,3.59,3.61,3.59,3.6,3532.84
1667790000000,3.6,3.6,3.57,3.58,1972.52
1667793600000,3.58,3.58,3.56,3.57,1316.12
1667797200000,3.57,3.58,3.55,3.57,10240.16
1667800800000,3.57,3.57,3.54,3.55,7585.29
1667804400000,3.56,3.56,3.46,3.47,44713.28
1667808000000,3.47,3.52,3.47,3.51,10569.3
1667811600000,3.51,3.52,3.5,3.5,1835.36
1667815200000,3.51,3.54,3.5,3.53,16816.59
1667818800000,3.53,3.54,3.51,3.53,10306.15
1667822400000,3.53,3.55,3.51,3.53,5572.52
1667826000000,3.54,3.55,3.51,3.52,8553.96
1667829600000,3.53,3.55,3.51,3.51,7356.01
1667833200000,3.53,3.56,3.52,3.55,3455.04
1667836800000,3.56,3.56,3.53,3.53,3828.69
1667840400000,3.54,3.56,3.52,3.56,11804.89
1667844000000,3.56,3.57,3.55,3.57,7847.49
1667847600000,3.57,3.83,3.56,3.63,66219.55
1667851200000,3.62,3.64,3.61,3.61,9935.69
1667854800000,3.62,3.63,3.58,3.59,5210.82
1667858400000,3.59,3.59,3.52,3.53,7565.75
1667862000000,3.53,3.57,3.53,3.57,6486.41
1667865600000,3.56,3.59,3.56,3.56,5452.69
1667869200000,3.56,3.6,3.55,3.59,2093.22
1667872800000,3.59,3.6,3.5,3.52,8604.17
1667876400000,3.52,3.53,3.4,3.41,59962.84
1667880000000,3.4,3.44,3.3,3.32,158860.29
1667883600000,3.32,3.35,3.25,3.3,45481.32
1667887200000,3.31,3.35,3.3,3.34,11568.37
1667890800000,3.34,3.36,3.32,3.36,7321.82
1667894400000,3.35,3.35,3.32,3.33,5008.52
1667898000000,3.33,3.34,3.3,3.33,12258.14
1667901600000,3.33,3.33,3.3,3.3,6856.92
1667905200000,3.31,3.35,3.29,3.34,18919.16
1667908800000,3.34,3.35,3.33,3.35,5367.4
1667912400000,3.35,3.35,3.32,3.32,2432.19
1667916000000,3.32,3.34,3.27,3.29,15550.89
1667919600000,3.29,3.33,3.27,3.33,19864.34
1667923200000,3.33,3.52,3.33,3.46,181967.13
1667926800000,3.46,3.48,3.28,3.28,26476.39
1667930400000,3.29,3.31,3.09,3.11,230458.09
1667934000000,3.1,3.33,2.81,3,450072.13
1667937600000,3,3.05,2.93,2.99,46749.87
1667941200000,2.98,3.05,2.98,3.05,28530.28
1667944800000,3.04,3.04,3,3.02,5543.23
1667948400000,3.02,3.06,3.01,3.03,9165.56
1667952000000,3.03,3.06,2.99,2.99,13521.18
1667955600000,2.99,3.03,2.99,2.99,4483.71
1667959200000,2.99,3.01,2.94,2.94,9351.23
1667962800000,2.94,2.98,2.92,2.97,14112.43
1667966400000,2.98,2.98,2.93,2.95,13923.2
1667970000000,2.94,3.01,2.93,2.97,14581.17
1667973600000,2.96,3,2.96,2.97,6023.3
1667977200000,2.96,2.99,2.95,2.95,7884.95
1667980800000,2.94,2.95,2.9,2.94,13511.35
1667984400000,2.94,2.94,2.81,2.83,12600.82
1667988000000,2.84,2.86,2.74,2.82,30206.93
1667991600000,2.83,2.88,2.81,2.87,16443.98
1667995200000,2.86,2.9,2.84,2.85,28681.54
1667998800000,2.86,2.86,2.82,2.83,15138.59
