date,open,high,low,close,volume
1667005200000,0.2411,0.2416,0.2407,0.2408,60110.8
1667008800000,0.2409,0.2414,0.2393,0.2406,223432.8
1667012400000,0.2406,0.2449,0.2402,0.2431,811040.9
1667016000000,0.243,0.2451,0.2421,0.2423,382226.3
1667019600000,0.2424,0.2443,0.2424,0.2432,160749
1667023200000,0.2433,0.2441,0.2431,0.2435,148520.6
1667026800000,0.2435,0.2447,0.2433,0.2445,151977.2
1667030400000,0.2445,0.246,0.2429,0.246,538381.1
1667034000000,0.246,0.2461,0.2433,0.2444,603438
1667037600000,0.2444,0.2451,0.241,0.2414,460374.9
1667041200000,0.2415,0.2423,0.2395,0.2406,382526.6
1667044800000,0.2407,0.2433,0.2402,0.2433,316822.9
1667048400000,0.2432,0.2436,0.2408,0.2429,193183.7
1667052000000,0.2428,0.2445,0.2417,0.2419,256888.4
1667055600000,0.2421,0.2442,0.2418,0.2439,202524.1
1667059200000,0.2441,0.2499,0.2437,0.2494,651434
1667062800000,0.2492,0.28,0.2476,0.2589,7921121.3
1667066400000,0.2588,0.2727,0.249,0.2724,6689649.1
1667070000000,0.2726,0.2767,0.2592,0.2625,5636419.8
1667073600000,0.2627,0.2651,0.2566,0.2643,1951292.3
1667077200000,0.2644,0.2657,0.2607,0.2612,890355.6
1667080800000,0.2611,0.2623,0.2591,0.2592,666358.4
1667084400000,0.2592,0.2627,0.2574,0.2627,685356.6
1667088000000,0.2627,0.2632,0.255,0.2553,987540.2
1667091600000,0.2555,0.2599,0.2536,0.2592,722270.3
1667095200000,0.2593,0.2604,0.2575,0.26,198330.1
1667098800000,0.2603,0.2615,0.2587,0.2594,202470.6
1667102400000,0.2595,0.2597,0.2552,0.2553,245646.1
1667106000000,0.2556,0.2584,0.2556,0.2571,373826.8
1667109600000,0.2572,0.2607,0.2553,0.2585,957343.9
1667113200000,0.2585,0.2622,0.2569,0.2616,1602716.8
1667116800000,0.2618,0.2624,0.2514,0.2561,1128669.5
1667120400000,0.2564,0.2584,0.2512,0.2532,979951.4
1667124000000,0.2531,0.2548,0.2528,0.253,591261.7
1667127600000,0.253,0.2544,0.2515,0.2537,318372.2
1667131200000,0.2538,0.254,0.2507,0.2525,419240.1
1667134800000,0.2524,0.2531,0.2482,0.25,635558.7
1667138400000,0.25,0.2524,0.2497,0.2523,382688.3
1667142000000,0.2524,0.2532,0.247,0.2472,504306.8
1667145600000,0.2471,0.2506,0.2467,0.2475,521475.2
1667149200000,0.2475,0.2497,0.2474,0.2489,285056.4
1667152800000,0.2492,0.2507,0.2489,0.2499,257295.7
1667156400000,0.2498,0.2504,0.2493,0.2497,121180.9
1667160000000,0.2494,0.2502,0.2488,0.2495,109362.4
1667163600000,0.2495,0.2509,0.2486,0.2494,237839
