date,open,high,low,close,volume
1667005200000,1.168,1.171,1.163,1.164,19091
1667008800000,1.163,1.168,1.151,1.163,64851.4
1667012400000,1.162,1.198,1.159,1.192,343495.1
1667016000000,1.191,1.192,1.177,1.178,168629.6
1667019600000,1.178,1.181,1.171,1.178,105848.8
1667023200000,1.178,1.19,1.176,1.183,111338.5
1667026800000,1.184,1.186,1.177,1.184,90788.2
1667030400000,1.183,1.188,1.177,1.185,73694.8
1667034000000,1.186,1.189,1.182,1.187,39268.9
1667037600000,1.186,1.194,1.164,1.167,89600.8
1667041200000,1.17,1.171,1.158,1.162,49531.6
1667044800000,1.161,1.175,1.161,1.174,40685.7
1667048400000,1.174,1.174,1.159,1.168,50315.5
1667052000000,1.168,1.172,1.158,1.161,104991.7
1667055600000,1.162,1.171,1.159,1.168,58256.4
1667059200000,1.168,1.212,1.166,1.202,212363.4
1667062800000,1.204,1.212,1.176,1.181,116967.4
1667066400000,1.181,1.193,1.175,1.183,81253.8
1667070000000,1.184,1.186,1.171,1.182,26625.7
1667073600000,1.184,1.194,1.181,1.188,29374.2
1667077200000,1.19,1.195,1.189,1.192,11052.1
1667080800000,1.193,1.198,1.175,1.183,60183.8
1667084400000,1.183,1.199,1.177,1.198,20582.6
1667088000000,1.197,1.202,1.186,1.189,27755
1667091600000,1.188,1.207,1.185,1.206,22202.9
1667095200000,1.206,1.222,1.203,1.21,99645.6
1667098800000,1.21,1.216,1.2,1.207,25218
1667102400000,1.208,1.212,1.203,1.205,13627.1
1667106000000,1.206,1.215,1.189,1.196,147661.8
1667109600000,1.196,1.214,1.191,1.205,157355.1
1667113200000,1.207,1.237,1.202,1.234,160521
1667116800000,1.234,1.24,1.189,1.201,167095.5
1667120400000,1.202,1.208,1.174,1.183,63649
1667124000000,1.183,1.191,1.182,1.187,59060.7
1667127600000,1.187,1.192,1.183,1.188,29629.2
1667131200000,1.187,1.19,1.179,1.188,29061.1
1667134800000,1.186,1.188,1.166,1.172,55126.8
1667138400000,1.17,1.186,1.167,1.184,78811.9
1667142000000,1.183,1.184,1.157,1.16,47592.6
1667145600000,1.159,1.173,1.153,1.159,52381.8
1667149200000,1.158,1.167,1.158,1.165,16615
1667152800000,1.166,1.173,1.163,1.171,13683.4
1667156400000,1.171,1.177,1.171,1.172,16464.3
1667160000000,1.172,1.178,1.168,1.177,77381.5
1667163600000,1.177,1.186,1.177,1.183,21963.7
1667167200000,1.182,1.182,1.16,1.178,34722.3
1667170800000,1.179,1.182,1.174,1.181,25468
1667174400000,1.179,1.197,1.177,1.177,53283.9
1667178000000,1.177,1.187,1.169,1.175,33744.2
