date,open,high,low,close,volume
1667005200000,0.2935,0.2937,0.2918,0.2921,380978
1667008800000,0.2919,0.2945,0.2919,0.2944,205163
1667012400000,0.2942,0.2977,0.2935,0.297,1129991
1667016000000,0.2969,0.2989,0.2955,0.2961,493264
1667019600000,0.2963,0.2982,0.2958,0.2971,523647
1667023200000,0.297,0.3,0.2966,0.2993,571213
1667026800000,0.2992,0.3021,0.2992,0.3021,683786
1667030400000,0.3021,0.3044,0.3008,0.3026,950444
1667034000000,0.3025,0.3036,0.3016,0.3027,270344
1667037600000,0.3025,0.3035,0.2968,0.2976,381074
1667041200000,0.2979,0.2988,0.2962,0.2971,533345
1667044800000,0.2972,0.2997,0.2963,0.2996,219891
1667048400000,0.2996,0.2999,0.2952,0.2984,628605
1667052000000,0.2985,0.3001,0.2965,0.2978,392697
1667055600000,0.2978,0.3013,0.2973,0.3005,380226
1667059200000,0.3006,0.3078,0.2995,0.3066,1088431
1667062800000,0.3067,0.3149,0.3009,0.3029,2880382
1667066400000,0.3028,0.3052,0.3001,0.3041,1620304
1667070000000,0.3043,0.3056,0.3001,0.3033,1154889
1667073600000,0.3035,0.3054,0.3022,0.3045,568723
1667077200000,0.3042,0.3073,0.3039,0.3041,281101
1667080800000,0.3044,0.3047,0.2991,0.3012,414632
1667084400000,0.3012,0.3047,0.3005,0.3047,264354
1667088000000,0.3047,0.3058,0.3005,0.3011,389093
1667091600000,0.301,0.3048,0.301,0.3048,420991
1667095200000,0.3046,0.305,0.3028,0.3039,212773
1667098800000,0.3039,0.3061,0.3039,0.3051,324405
1667102400000,0.3051,0.3055,0.3029,0.3033,156988
1667106000000,0.3033,0.305,0.3033,0.3037,284577
1667109600000,0.3036,0.305,0.3015,0.304,373146
1667113200000,0.3042,0.3101,0.3038,0.3095,863092
1667116800000,0.3092,0.31,0.3021,0.306,720028
1667120400000,0.306,0.3084,0.3003,0.3025,554940
1667124000000,0.3023,0.3047,0.3017,0.3034,244917
1667127600000,0.3034,0.3048,0.3022,0.3041,403469
1667131200000,0.3037,0.3041,0.3004,0.3032,327725
1667134800000,0.3033,0.3033,0.2986,0.2992,395529
1667138400000,0.2991,0.3022,0.2987,0.3014,254560
1667142000000,0.3014,0.3018,0.2954,0.2972,386583
1667145600000,0.2969,0.3001,0.2956,0.297,323316
1667149200000,0.2971,0.3002,0.296,0.2998,244350
1667152800000,0.2999,0.3018,0.2981,0.2997,933694
1667156400000,0.2996,0.3017,0.2995,0.3002,180380
1667160000000,0.3001,0.3017,0.2994,0.3009,143452
1667163600000,0.3007,0.3016,0.2999,0.3009,92847
1667167200000,0.3008,0.3008,0.2924,0.2964,327121
1667170800000,0.2964,0.2981,0.2959,0.2971,127414
1667174400000,0.2972,0.2999,0.2964,0.2966,265167
1667178000000,0.2969,0.2986,0.2943,0.2957,222633
1667181600000,0.2957,0.2958,0.2927,0.2939,159831
1667185200000,0.2939,0.2966,0.2934,0.2964,139060
1667188800000,0.2964,0.2978,0.2957,0.297,167976
1667192400000,0.2968,0.2973,0.2951,0.2959,107587
1667196000000,0.2959,0.2959,0.2928,0.2945,173475
1667199600000,0.2949,0.2951,0.2926,0.2951,450186
1667203200000,0.2952,0.2953,0.2919,0.2931,330200
1667206800000,0.2929,0.2989,0.2924,0.2986,260875
1667210400000,0.2988,0.2999,0.297,0.2993,362622
1667214000000,0.2998,0.3016,0.2992,0.3003,367295
1667217600000,0.3004,0.3015,0.2981,0.3003,225598
1667221200000,0.3003,0.3023,0.2922,0.2924,582836
1667224800000,0.2923,0.2953,0.2915,0.2934,581388
1667228400000,0.2937,0.2959,0.2927,0.2939,153591
1667232000000,0.2941,0.2967,0.2922,0.2945,255870
1667235600000,0.2946,0.2959,0.2935,0.2944,175858
1667239200000,0.2944,0.2964,0.2942,0.2956,200000
1667242800000,0.2958,0.2959,0.2937,0.294,145952
1667246400000,0.2942,0.2957,0.2932,0.2936,170726
1667250000000,0.2933,0.2944,0.2931,0.2938,89692
1667253600000,0.2938,0.2968,0.2928,0.2963,210393
1667257200000,0.2961,0.2971,0.2956,0.2966,59686
1667260800000,0.2962,0.2987,0.2958,0.2975,296578
1667264400000,0.2973,0.3012,0.2973,0.2997,228026
1667268000000,0.2999,0.3011,0.2991,0.3002,144452
1667271600000,0.3002,0.301,0.2985,0.2992,148544
1667275200000,0.2988,0.2996,0.2971,0.298,101993
1667278800000,0.2978,0.2986,0.297,0.2971,181897
1667282400000,0.297,0.299,0.2965,0.2985,250777
1667286000000,0.2986,0.3,0.2974,0.2985,219786
1667289600000,0.2986,0.3001,0.2984,0.2988,245709
1667293200000,0.2987,0.3016,0.2987,0.2997,325329
1667296800000,0.2997,0.301,0.2988,0.3009,236795
1667300400000,0.301,0.3011,0.2971,0.299,403904
1667304000000,0.2992,0.3021,0.298,0.302,245323
1667307600000,0.3022,0.3023,0.2954,0.2977,564359
1667311200000,0.2977,0.2987,0.2961,0.2975,237447
1667314800000,0.2976,0.2993,0.2971,0.2978,192418
1667318400000,0.298,0.2987,0.2957,0.2962,183840
1667322000000,0.2961,0.297,0.295,0.2967,172864
1667325600000,0.2967,0.2972,0.2961,0.2971,90322
1667329200000,0.297,0.2974,0.2954,0.2957,64402
1667332800000,0.2954,0.2956,0.2945,0.2954,93925
1667336400000,0.2951,0.2955,0.2948,0.2948,41174
1667340000000,0.2946,0.2959,0.2945,0.2959,305516
1667343600000,0.2958,0.2964,0.2955,0.2956,106771
1667347200000,0.2957,0.2965,0.2919,0.2963,387623
1667350800000,0.2962,0.297,0.2959,0.2962,114302
1667354400000,0.2961,0.2963,0.2939,0.2957,202867
1667358000000,0.2956,0.2975,0.2956,0.2968,88751
1667361600000,0.2967,0.2977,0.2962,0.2973,99917
1667365200000,0.2976,0.302,0.2976,0.3002,564354
1667368800000,0.3002,0.339,0.2999,0.3267,14668268
1667372400000,0.3265,0.3426,0.3163,0.3303,8835226
1667376000000,0.3302,0.348,0.3236,0.3309,6988764
1667379600000,0.3309,0.3328,0.3201,0.3219,4130137
1667383200000,0.3219,0.3236,0.3165,0.3232,3490048
1667386800000,0.3235,0.3252,0.3165,0.3175,2490579
1667390400000,0.3175,0.3177,0.3133,0.3135,1808303
1667394000000,0.3136,0.316,0.3109,0.3127,1698999
1667397600000,0.3128,0.3153,0.3089,0.3091,1351911
1667401200000,0.3091,0.311,0.3086,0.3095,685438
1667404800000,0.3095,0.312,0.3067,0.3117,1262025
1667408400000,0.3116,0.3118,0.3047,0.3064,868745
1667412000000,0.3062,0.3173,0.3049,0.3092,4284866
1667415600000,0.309,0.3134,0.3021,0.3029,1483825
1667419200000,0.3028,0.3044,0.2964,0.3016,1411244
1667422800000,0.3014,0.3044,0.3012,0.304,519874
1667426400000,0.3039,0.3045,0.3013,0.3032,605807
1667430000000,0.3033,0.3075,0.3024,0.3073,652687
1667433600000,0.3073,0.3209,0.3058,0.3203,4351878
1667437200000,0.3202,0.3226,0.317,0.319,1097632
1667440800000,0.319,0.34,0.3188,0.3268,4512264
1667444400000,0.3269,0.3345,0.3244,0.328,3009469
1667448000000,0.328,0.3325,0.3267,0.3295,2023204
1667451600000,0.3295,0.3523,0.329,0.3455,7915375
1667455200000,0.3453,0.3456,0.3342,0.335,3991846
1667458800000,0.3348,0.3385,0.3317,0.3319,2157027
1667462400000,0.3318,0.3365,0.3297,0.3303,2958573
1667466000000,0.3303,0.3322,0.3296,0.3307,1004263
1667469600000,0.331,0.3338,0.3282,0.3285,1220299
1667473200000,0.3285,0.3296,0.3197,0.3228,1949003
1667476800000,0.3227,0.3261,0.3209,0.3234,700000
1667480400000,0.3234,0.3267,0.3204,0.3207,682293
1667484000000,0.3209,0.3283,0.3209,0.3274,707445
1667487600000,0.3273,0.3277,0.3257,0.3265,502580
1667491200000,0.3263,0.3316,0.3261,0.331,739429
1667494800000,0.3309,0.3312,0.328,0.3292,650449
1667498400000,0.3289,0.3296,0.3266,0.3289,465247
1667502000000,0.329,0.3307,0.3276,0.3289,830240
1667505600000,0.3289,0.3293,0.3255,0.327,395115
1667509200000,0.327,0.331,0.3265,0.3303,610822
1667512800000,0.3301,0.3301,0.3228,0.3233,828495
1667516400000,0.3231,0.3264,0.3217,0.3237,761779
1667520000000,0.3237,0.3288,0.3234,0.3284,1328314
1667523600000,0.3286,0.3314,0.3241,0.3269,1003499
1667527200000,0.3268,0.3282,0.3204,0.3216,1124231
1667530800000,0.3216,0.3241,0.3199,0.3239,912331
1667534400000,0.3241,0.3265,0.3223,0.3241,584789
1667538000000,0.3241,0.3254,0.3214,0.3237,707910
1667541600000,0.3238,0.3285,0.3238,0.3282,706341
1667545200000,0.3285,0.3336,0.3269,0.3336,1838746
1667548800000,0.3332,0.3336,0.3283,0.3297,784751
1667552400000,0.3297,0.3306,0.3266,0.3291,705856
1667556000000,0.3293,0.3322,0.3278,0.3315,537177
1667559600000,0.332,0.332,0.3255,0.3261,789078
1667563200000,0.326,0.3325,0.3215,0.3325,1599929
1667566800000,0.3324,0.3335,0.3281,0.3298,1861486
1667570400000,0.3298,0.3382,0.3296,0.3377,1274798
1667574000000,0.3377,0.3423,0.3312,0.3312,1266794
1667577600000,0.3314,0.3405,0.3314,0.3388,840207
1667581200000,0.3389,0.3394,0.3366,0.3384,577487
1667584800000,0.338,0.34,0.3364,0.3386,288415
1667588400000,0.3387,0.3398,0.3374,0.3395,409335
1667592000000,0.3397,0.3398,0.3371,0.3386,361119
1667595600000,0.3387,0.3395,0.3377,0.3393,109423
1667599200000,0.3395,0.3404,0.3386,0.3395,377754
1667602800000,0.3395,0.3402,0.3373,0.3388,316417
1667606400000,0.339,0.3455,0.3388,0.345,1786651
1667610000000,0.3449,0.3468,0.3408,0.3425,1121055
1667613600000,0.3424,0.3426,0.3407,0.3418,333869
1667617200000,0.3418,0.3425,0.337,0.3402,727031
1667620800000,0.3401,0.3408,0.3354,0.3357,458246
1667624400000,0.3355,0.3379,0.3352,0.3372,277414
1667628000000,0.3373,0.3401,0.3373,0.3393,320563
1667631600000,0.3392,0.3394,0.3371,0.3394,377435
1667635200000,0.3393,0.3393,0.3318,0.3353,1474717
1667638800000,0.3353,0.3358,0.3303,0.332,564808
1667642400000,0.3321,0.3339,0.3319,0.333,288895
1667646000000,0.333,0.3361,0.3329,0.3351,278733
1667649600000,0.3348,0.3353,0.332,0.3335,382482
1667653200000,0.3335,0.3342,0.3309,0.3333,381814
1667656800000,0.3332,0.3351,0.3292,0.3315,689498
1667660400000,0.3315,0.336,0.3311,0.3358,397427
1667664000000,0.3356,0.3373,0.335,0.3362,736228
1667667600000,0.336,0.3363,0.3343,0.3354,209332
1667671200000,0.3354,0.3359,0.3318,0.3323,361362
1667674800000,0.3323,0.335,0.3322,0.335,202493
1667678400000,0.3349,0.3354,0.3336,0.3349,85572
1667682000000,0.3348,0.3348,0.3336,0.3339,59455
1667685600000,0.3342,0.3357,0.3335,0.3351,148267
1667689200000,0.335,0.3353,0.3259,0.3329,994980
1667692800000,0.3332,0.3346,0.3289,0.3317,459238
1667696400000,0.3318,0.3332,0.3274,0.3279,345812
1667700000000,0.3282,0.332,0.3282,0.3292,930700
1667703600000,0.3294,0.3325,0.3294,0.3321,197519
1667707200000,0.3322,0.3327,0.3315,0.3321,121908
1667710800000,0.3322,0.3326,0.328,0.3289,167366
1667714400000,0.3286,0.3308,0.3286,0.3303,141612
1667718000000,0.3305,0.3315,0.3299,0.3306,158347
1667721600000,0.3307,0.3324,0.3285,0.3312,339467
1667725200000,0.3313,0.3316,0.3292,0.3297,510759
1667728800000,0.3298,0.3313,0.3296,0.3307,396994
1667732400000,0.3308,0.3315,0.3266,0.3283,273207
1667736000000,0.3286,0.3287,0.3263,0.3271,234667
1667739600000,0.3271,0.3292,0.3262,0.3287,743203
1667743200000,0.3288,0.3308,0.3275,0.3299,575517
1667746800000,0.33,0.332,0.3289,0.3291,303350
1667750400000,0.3289,0.3306,0.324,0.3288,852521
1667754000000,0.3283,0.3291,0.3273,0.3287,226123
1667757600000,0.3286,0.329,0.3258,0.3273,237124
