date,open,high,low,close,volume
1667005200000,115.8,115.9,115.3,115.7,1121.036
1667008800000,115.7,117,115.6,116.7,8553.624
1667012400000,116.7,117.4,116.4,117.2,9283.994
1667016000000,117.1,117.5,116.1,116.3,2062.478
1667019600000,116.3,117,116.2,116.3,2567.156
1667023200000,116.3,116.9,116.1,116.3,1919.062
1667026800000,116.4,117.3,116.2,117.3,1949.293
1667030400000,117.2,118.4,116.8,118.4,4930.045
1667034000000,118.4,119.2,118.3,119,4594.504
1667037600000,118.9,119.5,117.7,117.9,4268.746
1667041200000,117.9,118.8,117.3,117.7,5447.496
1667044800000,117.7,118.7,117.6,118.4,2656.555
1667048400000,118.3,118.5,117.4,118.4,3103.651
1667052000000,118.3,119.2,117.7,118.2,3397.343
1667055600000,118.1,119.7,118.1,118.9,4208.689
1667059200000,118.9,120.7,118.6,119.7,10167.452
1667062800000,119.8,120.6,118.1,118.4,7290.403
1667066400000,118.3,119.3,117.6,118.5,5145.983
1667070000000,118.5,118.8,117.7,118.5,2064.485
1667073600000,118.5,119.3,118.2,119.1,1999.258
1667077200000,119,119.4,118.6,118.7,1583.274
1667080800000,118.7,118.8,117.3,117.9,3656.933
1667084400000,117.9,118.7,117.3,118.4,1857.918
1667088000000,118.5,118.7,117.4,117.4,1759.668
1667091600000,117.5,119.3,117.3,119.2,2226.069
1667095200000,119.2,119.4,118.3,118.6,2074.741
1667098800000,118.5,119.2,118.4,118.8,1723.147
1667102400000,118.8,118.9,118.2,118.2,1315.535
1667106000000,118.2,119,118.2,118.7,1508.684
1667109600000,118.6,119.3,118.3,119.3,2147.334
1667113200000,119.2,120.2,119,120.2,4718.528
1667116800000,120.1,120.3,117.5,118.9,7114.693
1667120400000,118.9,120,117.3,117.9,4126.705
1667124000000,117.8,118.5,117.8,118.3,2099.207
1667127600000,118.2,118.6,117.5,118.3,1774.654
1667131200000,118.3,118.4,117,117.6,2314.554
1667134800000,117.5,117.8,116.4,116.8,3328.195
1667138400000,116.8,117.6,116.5,117.5,1204.059
1667142000000,117.5,117.6,116.2,116.4,1814.121
1667145600000,116.3,117.2,115.8,116.3,2561.04
1667149200000,116.2,116.6,116,116.5,1051.429
1667152800000,116.4,117.2,116.3,116.8,1066.851
1667156400000,116.9,117.1,116.3,116.6,2310.748
1667160000000,116.6,117.2,116.4,116.8,782.761
1667163600000,116.9,117.2,116.7,116.9,740.609
1667167200000,116.9,117,114.4,116,4025.779
1667170800000,116,116.4,115.5,116.1,1321.306
1667174400000,116.2,117,115.5,115.5,2459.298
1667178000000,115.7,116,114.7,115,2055.247
1667181600000,115,115.2,114.4,114.7,1401.894
1667185200000,114.7,116.3,114.7,116.3,2109.725
1667188800000,116.3,117.1,116.2,116.6,2123.819
1667192400000,116.5,117,116.2,116.3,764.993
1667196000000,116.3,116.4,115.3,115.7,988.076
1667199600000,115.7,115.8,115.1,115.6,1125.912
1667203200000,115.6,115.7,114.5,115,2080.67
1667206800000,115,117.7,114.6,117.3,4467.706
1667210400000,117.4,117.9,116.5,117.4,2674.296
1667214000000,117.5,117.8,116.9,117.1,1249.281
1667217600000,117,117.7,116.4,116.7,4331.895
1667221200000,116.7,117.3,113.6,113.8,4278.17
1667224800000,113.7,114.8,113.5,114,4810.777
1667228400000,114.1,114.5,113.7,114.2,2399.415
1667232000000,114.1,114.9,113.7,114.3,1902.905
1667235600000,114.3,114.6,113.9,114.3,2593.49
1667239200000,114.3,115.1,114.3,114.6,1999.997
1667242800000,114.6,114.9,114.2,114.4,1376.423
1667246400000,114.5,114.8,114.2,114.5,1100.642
1667250000000,114.4,114.5,114.1,114.3,792.431
1667253600000,114.2,115.1,114.1,115,3302.012
1667257200000,115,115.3,114.9,115,1035.259
1667260800000,115,115.9,114.8,115.3,2745.175
1667264400000,115.4,115.9,115.2,115.7,2086.511
1667268000000,115.7,116,115.4,115.7,1303.195
1667271600000,115.8,116,115.1,115.4,2300.605
1667275200000,115.2,115.5,114.7,115,2154.933
1667278800000,115,115.3,114.8,115.1,1146.486
1667282400000,115.1,115.7,114.9,115.7,1748.612
1667286000000,115.6,115.9,115.2,115.4,1058.311
1667289600000,115.5,115.7,115.1,115.4,1095.926
1667293200000,115.4,116.1,115.3,115.8,3143.555
1667296800000,115.8,116.6,115.6,116.3,5282.378
1667300400000,116.4,116.4,115,115.6,3852.545
1667304000000,115.5,115.8,115.1,115.8,1708.746
1667307600000,115.7,115.7,113.8,114.6,3377.338
1667311200000,114.5,114.9,114,114.7,4479.318
1667314800000,114.7,115.3,114.5,115,1298.225
1667318400000,115,115.4,114.4,115,2190.326
1667322000000,115,115.6,114.9,115.5,2437.728
1667325600000,115.6,115.8,115.4,115.7,1183.282
