date,open,high,low,close,volume
1667005200000,0.1746,0.1752,0.1732,0.1734,194587
1667008800000,0.1732,0.175,0.1731,0.1746,72369
1667012400000,0.1744,0.1752,0.1742,0.1752,29651
1667016000000,0.1751,0.1751,0.1744,0.1744,41211
1667019600000,0.1746,0.1749,0.1732,0.1735,292438
1667023200000,0.1737,0.175,0.1736,0.1749,56906
1667026800000,0.1749,0.1762,0.174,0.1756,122643
1667030400000,0.1756,0.1769,0.1754,0.1762,68144
1667034000000,0.1761,0.1767,0.1748,0.1755,106938
1667037600000,0.1757,0.176,0.1735,0.1737,83379
1667041200000,0.174,0.1741,0.1731,0.1732,70051
1667044800000,0.1732,0.1752,0.1732,0.175,157144
1667048400000,0.175,0.175,0.1732,0.1734,32295
1667052000000,0.1733,0.1748,0.1733,0.1736,39905
1667055600000,0.1738,0.1741,0.1735,0.1739,55420
1667059200000,0.174,0.1759,0.1738,0.1755,110623
1667062800000,0.1758,0.176,0.1745,0.1745,94176
1667066400000,0.1741,0.1765,0.1733,0.1741,227058
1667070000000,0.1744,0.1748,0.1736,0.1736,51846
1667073600000,0.1738,0.1738,0.1735,0.1738,4795
1667077200000,0.1738,0.1749,0.1738,0.1742,31318
1667080800000,0.174,0.1757,0.1732,0.1734,83690
1667084400000,0.1734,0.1745,0.1733,0.1742,12369
1667088000000,0.1741,0.1746,0.1733,0.1735,24056
1667091600000,0.1735,0.1741,0.1733,0.1741,18628
1667095200000,0.1743,0.1748,0.1743,0.1748,11958
1667098800000,0.1745,0.175,0.1742,0.1748,25176
1667102400000,0.1748,0.1752,0.1745,0.1746,10482
1667106000000,0.1745,0.175,0.174,0.1749,74436
1667109600000,0.1749,0.177,0.1749,0.1762,149300
1667113200000,0.1762,0.1766,0.1755,0.1766,92839
1667116800000,0.1766,0.1779,0.1751,0.1752,134473
1667120400000,0.1756,0.1767,0.1723,0.1725,171068
1667124000000,0.1724,0.1739,0.1722,0.1737,50559
