date,open,high,low,close,volume
1667005200000,0.414,0.416,0.41,0.411,36840.93
1667008800000,0.411,0.413,0.409,0.41,63656.17
1667012400000,0.41,0.419,0.41,0.418,141837.64
1667016000000,0.418,0.425,0.412,0.424,269842.83
1667019600000,0.425,0.425,0.418,0.423,87463.61
1667023200000,0.423,0.439,0.417,0.438,353876.3
1667026800000,0.438,0.448,0.421,0.424,715809.6
1667030400000,0.423,0.428,0.42,0.423,330246.81
1667034000000,0.423,0.424,0.42,0.422,121392.39
1667037600000,0.423,0.423,0.413,0.415,235696.71
1667041200000,0.415,0.417,0.41,0.412,107005.22
1667044800000,0.413,0.419,0.411,0.416,143836.24
1667048400000,0.416,0.417,0.414,0.415,76754.88
1667052000000,0.416,0.416,0.41,0.412,69603.72
1667055600000,0.412,0.413,0.408,0.41,103794.23
1667059200000,0.41,0.419,0.41,0.419,126809.41
1667062800000,0.418,0.42,0.413,0.414,225100.65
1667066400000,0.415,0.415,0.412,0.413,64913.87
1667070000000,0.414,0.415,0.41,0.412,62965.48
1667073600000,0.411,0.413,0.41,0.412,30054.88
1667077200000,0.412,0.416,0.412,0.415,83811.4
1667080800000,0.414,0.414,0.409,0.41,70068.86
1667084400000,0.41,0.411,0.408,0.411,31229.19
1667088000000,0.411,0.412,0.41,0.411,32528.68
1667091600000,0.411,0.411,0.407,0.41,105941.66
1667095200000,0.409,0.413,0.409,0.412,128281.87
1667098800000,0.411,0.412,0.41,0.41,3265.25
1667102400000,0.411,0.413,0.411,0.412,58281.9
1667106000000,0.412,0.415,0.412,0.414,52498.52
1667109600000,0.414,0.415,0.411,0.413,58671.95
1667113200000,0.412,0.42,0.411,0.42,222455.39
1667116800000,0.42,0.423,0.412,0.416,254356.21
1667120400000,0.416,0.418,0.411,0.411,76526.89
1667124000000,0.411,0.411,0.406,0.409,132068.04
1667127600000,0.408,0.411,0.408,0.409,30112.89
1667131200000,0.41,0.411,0.406,0.406,99827.83
1667134800000,0.407,0.407,0.401,0.401,56172.44
1667138400000,0.402,0.405,0.401,0.404,68741.45
1667142000000,0.405,0.406,0.4,0.401,52525.43
1667145600000,0.402,0.402,0.398,0.399,105735.96
1667149200000,0.398,0.403,0.398,0.402,45078.54
1667152800000,0.403,0.405,0.4,0.404,76917.4
1667156400000,0.405,0.405,0.403,0.403,15372.95
1667160000000,0.403,0.404,0.402,0.403,27249.75
1667163600000,0.403,0.406,0.402,0.403,28315.64
1667167200000,0.402,0.402,0.397,0.401,47869.01
1667170800000,0.401,0.404,0.4,0.402,11502.94
1667174400000,0.403,0.406,0.402,0.403,38456.69
1667178000000,0.403,0.404,0.4,0.4,27147.15
1667181600000,0.4,0.4,0.393,0.397,91571.59
1667185200000,0.396,0.401,0.396,0.401,67480.49
1667188800000,0.402,0.403,0.401,0.403,10958.28
1667192400000,0.403,0.405,0.401,0.402,36681.03
1667196000000,0.401,0.402,0.398,0.4,48878.52
1667199600000,0.401,0.403,0.401,0.402,23439.49
1667203200000,0.402,0.402,0.399,0.4,30811.98
1667206800000,0.399,0.407,0.398,0.406,53058.04
1667210400000,0.406,0.41,0.406,0.408,107141.62
1667214000000,0.409,0.412,0.407,0.411,56620.99
1667217600000,0.412,0.414,0.408,0.41,79419.77
1667221200000,0.409,0.412,0.404,0.404,71039.16
1667224800000,0.404,0.404,0.398,0.4,91327.94
1667228400000,0.4,0.403,0.4,0.401,39420.99
1667232000000,0.401,0.407,0.401,0.404,89700.46
1667235600000,0.404,0.405,0.401,0.402,26549.29
1667239200000,0.403,0.405,0.402,0.403,28159.72
1667242800000,0.402,0.403,0.4,0.402,24715.84
1667246400000,0.402,0.403,0.401,0.402,10586.66
1667250000000,0.402,0.403,0.401,0.402,4425.23
1667253600000,0.401,0.403,0.399,0.402,70244.6
1667257200000,0.402,0.403,0.401,0.403,10664.81
1667260800000,0.403,0.403,0.4,0.402,46414.4
1667264400000,0.401,0.404,0.401,0.403,14596.2
1667268000000,0.404,0.407,0.403,0.406,20280.1
1667271600000,0.406,0.409,0.405,0.406,46325.72
1667275200000,0.406,0.406,0.404,0.404,14672.54
1667278800000,0.404,0.406,0.403,0.405,77733.32
1667282400000,0.405,0.408,0.404,0.406,49257.97
1667286000000,0.407,0.408,0.404,0.407,40194.25
1667289600000,0.408,0.408,0.404,0.405,37617.99
1667293200000,0.405,0.407,0.403,0.404,87906.91
1667296800000,0.403,0.405,0.403,0.403,16477.58
