date,open,high,low,close,volume
1667005200000,366.3,369.1,366.3,368.4,11.244
1667008800000,367.9,369,365.1,367.3,13.111
1667012400000,367.3,370.9,366.5,370.5,39.368
1667016000000,370.2,374.2,367.5,368.8,54.897
1667019600000,368.8,369.2,365.1,366.2,51.493
1667023200000,366.3,371.3,365,368.1,47.817
1667026800000,368,369.5,365,365.4,53.029
1667030400000,366.2,370.8,364,367.5,110.755
1667034000000,368,373,366.1,371.7,120.285
1667037600000,370.5,373.1,368,368.7,68.958
1667041200000,368.6,368.9,367.5,368.2,14.86
1667044800000,367.7,368.2,366,367.1,30.113
1667048400000,367.1,368.7,362.3,364.2,57.102
1667052000000,364.4,367.8,363.4,363.4,90.724
1667055600000,362.7,373.6,362,368.9,382.241
1667059200000,368.8,374.3,366.8,370.4,145.651
1667062800000,369.7,372.8,368,368.7,76.494
1667066400000,368.9,373,368.1,371.1,74.641
1667070000000,371.1,373.9,369.1,371.6,41.28
1667073600000,371.2,372,369,371.3,24.321
1667077200000,370.8,373.1,369.5,369.9,33.306
1667080800000,369.6,373.3,368,369.4,59.882
1667084400000,369.1,370.9,368.4,369.9,7.271
1667088000000,369.5,373.8,367.4,371.6,35.799
1667091600000,370.8,371,369.5,370.7,26.685
1667095200000,370.5,373.3,369.5,370.1,19.072
1667098800000,370.6,372,370.5,371.6,8.229
1667102400000,371.6,371.7,370,371,18.217
1667106000000,371,371.4,369,370.2,39.9
1667109600000,370.2,370.7,367.5,367.5,25.395
1667113200000,367.4,370.8,367.1,370.6,36.876
1667116800000,370.8,373,367.2,367.7,59.028
1667120400000,368.1,368.4,363.6,364.5,50.342
1667124000000,364.4,367,363.6,366.7,17.407
1667127600000,366.7,367.5,363.6,365.3,22.903
1667131200000,365.3,367.5,363.7,366.7,19.784
1667134800000,365.9,366.8,362.5,363.3,28.337
1667138400000,364.1,370.5,363.3,367.8,68.366
1667142000000,368.9,369.3,366,366.1,41.68
1667145600000,366,368.4,366,366.9,24.279
1667149200000,366.6,368.4,364.2,365.1,60.509
1667152800000,364.7,368.2,363.6,366.7,66.391
1667156400000,367.2,367.4,366.5,367.2,4.226
1667160000000,366.6,367.4,364.2,365.7,27.328
1667163600000,367.1,367.9,365.7,366.2,18.952
1667167200000,366.1,366.4,363.1,364.2,38.202
1667170800000,364.6,369.6,361.5,363.6,100.665
1667174400000,363.6,366.9,363.4,363.5,20.064
1667178000000,363,364.3,359.1,360.1,99.596
1667181600000,360.1,361.3,357,358.2,54.846
1667185200000,358.4,362,358.3,361.8,14.375
1667188800000,362,362.8,358.6,360.1,15.129
1667192400000,360.1,361.1,359.1,361.1,33.905
1667196000000,360,373.3,359.2,364.1,535.695
1667199600000,365.5,367.7,362,364.6,69.432
1667203200000,364.4,364.4,360.5,362.1,42.418
1667206800000,360.2,370.9,360.1,367.9,101.459
1667210400000,368.1,374.2,365.8,368.1,202.684
1667214000000,369.2,384.2,368,380.8,345.895
1667217600000,381.1,442,373.9,390.8,4514.255
1667221200000,390.8,391,375.7,375.8,431.788
1667224800000,376.4,379.3,370,374,246.817
1667228400000,372.6,374.9,369,369.1,179.618
1667232000000,370.7,374.6,367.8,371.3,121.651
1667235600000,371.3,377.4,369.9,376.1,93.904
1667239200000,375.2,384.3,373.3,377.3,261.566
1667242800000,377.2,378.2,371.3,374.1,149.367
1667246400000,374.2,377.9,370.1,374.3,101.055
1667250000000,374.1,377.1,372.1,374,28.471
1667253600000,373.6,380.6,371.2,374.1,206.425
1667257200000,374.2,376.5,373.7,375,21.204
1667260800000,375.1,380.1,375.1,376,182.756
1667264400000,375.9,377.4,374,376.2,84.793
1667268000000,376.3,376.8,374.4,375.2,10.551
1667271600000,375.3,377.2,375,376.4,11.301
1667275200000,374.9,375.9,371.8,373.5,16.643
1667278800000,373.1,375.4,371.4,372,45.925
1667282400000,372.6,375.3,372.1,375.3,40.414
1667286000000,373.1,374.3,371.9,372.1,37.625
1667289600000,372.1,374,371.2,372.6,33.03
1667293200000,372,373.6,370.6,371.4,45.1
1667296800000,372.4,372.4,370.5,371.1,11.448
