date,open,high,low,close,volume
1667005200000,0.0768,0.0768,0.0765,0.0767,94786
1667008800000,0.0768,0.077,0.076,0.0766,396780
1667012400000,0.0766,0.0784,0.0766,0.0777,2486051
1667016000000,0.0777,0.0803,0.0774,0.0803,4930195
1667019600000,0.0804,0.0819,0.0794,0.081,6471296
1667023200000,0.0811,0.0834,0.0805,0.0813,7992292
1667026800000,0.0815,0.0826,0.0813,0.0816,4217352
1667030400000,0.0816,0.0816,0.0802,0.0811,3012137
1667034000000,0.0811,0.0816,0.081,0.0813,1294057
1667037600000,0.0812,0.0819,0.0803,0.0814,2361844
1667041200000,0.0814,0.0849,0.0809,0.082,14514633
1667044800000,0.082,0.0826,0.0814,0.0817,2694799
1667048400000,0.0818,0.0821,0.0806,0.0814,2233626
1667052000000,0.0814,0.0817,0.08,0.0807,3082565
1667055600000,0.0808,0.0812,0.0801,0.0809,1940939
1667059200000,0.0809,0.0832,0.0807,0.0819,3684491
1667062800000,0.0819,0.0826,0.0803,0.0804,3452399
1667066400000,0.0804,0.0817,0.08,0.081,3346008
1667070000000,0.0811,0.0814,0.0792,0.0805,3770246
1667073600000,0.0805,0.0813,0.0803,0.0811,1764490
1667077200000,0.0812,0.0815,0.0809,0.0812,700987
1667080800000,0.0812,0.0814,0.0801,0.0804,836846
1667084400000,0.0805,0.0814,0.0802,0.0814,462285
1667088000000,0.0814,0.0817,0.0801,0.0802,1295037
1667091600000,0.0802,0.0821,0.0802,0.082,2369463
1667095200000,0.082,0.082,0.0811,0.0815,707646
1667098800000,0.0816,0.0819,0.0814,0.0815,437182
1667102400000,0.0816,0.0819,0.081,0.0812,654401
1667106000000,0.0812,0.0819,0.0812,0.0815,860648
1667109600000,0.0814,0.083,0.0811,0.0828,2528423
1667113200000,0.0828,0.0835,0.0821,0.0835,2122155
1667116800000,0.0835,0.0838,0.0811,0.0827,2407650
1667120400000,0.0827,0.0832,0.0805,0.0814,3085533
1667124000000,0.0814,0.0822,0.0813,0.0818,1607128
1667127600000,0.0819,0.0821,0.0812,0.0819,854373
1667131200000,0.0818,0.0819,0.0809,0.0818,685329
1667134800000,0.0817,0.082,0.0806,0.081,1306523
1667138400000,0.0809,0.0814,0.0806,0.0813,627542
