date,open,high,low,close,volume
1667005200000,297,297.3,295.7,296,7431.659
1667008800000,296,298.1,295.7,298,10972.264
1667012400000,298.1,304.8,297.7,304.7,44591.752
1667016000000,304.7,306.2,302.8,303.2,27914.523
1667019600000,303.2,304.5,301.9,303,23365.541
1667023200000,303.1,304.6,301.8,301.9,11495.599
1667026800000,302,303.1,301.3,302.3,14759.976
1667030400000,302.3,307,302,306.5,38344.53
1667034000000,306.4,307.3,305,306,25145.206
1667037600000,306,307.4,302,302.7,34447.025
1667041200000,302.8,303.2,300.8,301.7,18591.182
1667044800000,301.8,302.5,301.3,301.9,12890.922
1667048400000,301.9,302,299.2,301.9,20442.36
1667052000000,301.9,303.4,299.6,300.2,28731.244
1667055600000,300.2,303.2,300,303.1,26298.946
1667059200000,303.2,307.4,302.9,305.2,43013.489
1667062800000,305.2,308.4,304.5,304.9,37870.989
1667066400000,304.8,306.8,303.3,304.5,25787.97
1667070000000,304.4,304.9,302.4,304.2,24045.88
1667073600000,304.2,304.7,302.5,302.9,21079.793
1667077200000,303,305.8,302.7,304.6,12776.904
1667080800000,304.6,304.8,301.8,302.6,18310.912
1667084400000,302.6,304.5,301.6,304.4,8886.483
1667088000000,304.5,304.8,302.3,302.4,11663.267
1667091600000,302.4,304.7,302.3,304.7,9179.099
1667095200000,304.7,304.9,303.4,304.1,9435.365
1667098800000,304,307.8,304,307.7,16379.853
1667102400000,307.7,308.8,305.3,305.7,24571.542
1667106000000,305.6,306.5,304.6,305.8,17617.642
1667109600000,305.7,307.5,304.9,307.3,15032.949
1667113200000,307.4,314.9,307.1,313.7,62895.98
1667116800000,313.7,318.8,311.6,312.8,65092.471
1667120400000,312.7,313.8,308.4,309.9,32294.648
1667124000000,309.8,311.9,309.5,311,21310.405
1667127600000,311,312.2,309.4,312,14367.647
1667131200000,311.9,312.5,308.3,310.1,15516.601
1667134800000,310,310.3,306.7,308.6,21504.283
1667138400000,308.6,311,308,311,18035.122
1667142000000,311,313.8,309.6,310.1,33674.253
1667145600000,310.1,315.9,309.3,314.2,37362.506
1667149200000,314.2,315.6,313,315,20364.503
1667152800000,314.9,317.6,314.1,315,31789.919
1667156400000,315,316.7,314.2,315.3,11935.156
1667160000000,315.3,315.5,314,314.2,8460.115
1667163600000,314.2,314.8,311.8,312.8,12044.504
1667167200000,312.8,313.1,310,312.3,17590.276
1667170800000,312.3,314,311.8,313.5,10506.297
1667174400000,313.6,315.1,311.2,311.3,17907.675
1667178000000,311.4,312.5,309.8,310.4,15041.034
1667181600000,310.5,310.7,306.5,309.6,25205.882
1667185200000,309.7,311.8,309.1,311.6,10975.903
1667188800000,311.6,311.7,310.3,310.7,10358.647
1667192400000,310.6,311.8,310.3,310.4,7110.681
1667196000000,310.5,310.6,307.6,309.4,14848.725
1667199600000,309.4,310.4,308.4,310.3,8615.801
1667203200000,310.2,310.9,308.1,310.6,16147.283
1667206800000,310.6,330.5,310.3,327.7,250795.044
1667210400000,327.7,330.7,324.4,327.6,104089.258
1667214000000,327.5,332.1,327.5,331.1,73552.187
1667217600000,331,337.9,331,332.9,102979.373
