date,open,high,low,close,volume
1667005200000,0.478,0.479,0.475,0.477,71674.4
1667008800000,0.477,0.483,0.477,0.481,92983.2
1667012400000,0.481,0.485,0.48,0.485,90750
1667016000000,0.484,0.485,0.479,0.481,45695.4
1667019600000,0.48,0.483,0.478,0.48,99084.3
1667023200000,0.48,0.484,0.479,0.483,80139
1667026800000,0.482,0.483,0.48,0.481,84538.4
1667030400000,0.481,0.489,0.481,0.484,275447.1
1667034000000,0.485,0.485,0.483,0.484,81841.7
1667037600000,0.485,0.49,0.48,0.481,116522.5
1667041200000,0.481,0.482,0.478,0.48,74031.7
1667044800000,0.479,0.483,0.479,0.482,42195.2
1667048400000,0.482,0.483,0.476,0.479,77295
1667052000000,0.479,0.484,0.478,0.48,63380.5
1667055600000,0.481,0.485,0.479,0.481,45189.3
1667059200000,0.48,0.49,0.48,0.487,121020.2
1667062800000,0.487,0.492,0.483,0.486,174859.2
1667066400000,0.486,0.49,0.482,0.486,74406.3
1667070000000,0.487,0.491,0.484,0.489,162800.4
1667073600000,0.489,0.494,0.489,0.493,28181.1
1667077200000,0.494,0.495,0.489,0.489,30426.3
1667080800000,0.49,0.49,0.481,0.482,23227.6
1667084400000,0.482,0.487,0.48,0.487,47359.4
1667088000000,0.487,0.488,0.483,0.483,24594.7
1667091600000,0.483,0.49,0.483,0.489,30396.2
1667095200000,0.489,0.49,0.486,0.487,37440.7
1667098800000,0.488,0.491,0.488,0.489,40210.7
1667102400000,0.49,0.492,0.49,0.491,29738.8
1667106000000,0.491,0.493,0.491,0.491,32000.6
1667109600000,0.492,0.496,0.491,0.493,145413.2
1667113200000,0.492,0.494,0.489,0.491,130942.4
1667116800000,0.491,0.492,0.485,0.486,105662.8
1667120400000,0.485,0.488,0.477,0.482,88115.3
1667124000000,0.481,0.483,0.479,0.48,91257.9
1667127600000,0.48,0.482,0.479,0.481,42122.3
1667131200000,0.481,0.482,0.477,0.48,66037.2
1667134800000,0.48,0.482,0.475,0.476,77442.6
1667138400000,0.476,0.479,0.475,0.478,62067
1667142000000,0.478,0.48,0.473,0.475,29095.3
1667145600000,0.474,0.479,0.473,0.474,18538.9
1667149200000,0.475,0.478,0.474,0.476,39346
1667152800000,0.477,0.48,0.474,0.479,41921.9
1667156400000,0.48,0.481,0.479,0.48,7248.7
1667160000000,0.481,0.482,0.48,0.481,14525.5
1667163600000,0.482,0.485,0.481,0.484,17811.5
1667167200000,0.484,0.484,0.476,0.479,17149
1667170800000,0.48,0.483,0.48,0.482,14384.7
1667174400000,0.483,0.484,0.48,0.48,20127
1667178000000,0.48,0.482,0.476,0.478,24836.5
1667181600000,0.477,0.478,0.474,0.477,16051.7
1667185200000,0.477,0.482,0.477,0.481,29328.3
1667188800000,0.483,0.484,0.481,0.483,2204.3
1667192400000,0.483,0.485,0.482,0.482,29093.6
1667196000000,0.482,0.483,0.479,0.481,35012.3
1667199600000,0.482,0.484,0.48,0.482,6553
1667203200000,0.484,0.484,0.48,0.481,14216
1667206800000,0.482,0.494,0.481,0.493,88689.4
1667210400000,0.493,0.496,0.488,0.495,134883.7
1667214000000,0.495,0.499,0.477,0.485,1212548
1667217600000,0.485,0.486,0.481,0.483,316860.5
1667221200000,0.484,0.487,0.474,0.475,148489.2
1667224800000,0.474,0.476,0.471,0.472,147333.2
1667228400000,0.472,0.476,0.471,0.475,75625.9
1667232000000,0.476,0.478,0.472,0.473,138708.7
1667235600000,0.473,0.475,0.472,0.472,20003.2
1667239200000,0.473,0.477,0.473,0.475,16135.2
1667242800000,0.476,0.476,0.473,0.473,12487.5
1667246400000,0.473,0.474,0.472,0.473,5585.9
1667250000000,0.474,0.474,0.471,0.472,10261.9
1667253600000,0.473,0.476,0.471,0.475,30879.2
1667257200000,0.476,0.476,0.474,0.475,5741.1
1667260800000,0.474,0.475,0.471,0.474,63780.4
1667264400000,0.473,0.476,0.473,0.475,1003.2
1667268000000,0.476,0.479,0.476,0.479,28271.7
1667271600000,0.478,0.48,0.475,0.476,15590.4
1667275200000,0.476,0.476,0.474,0.474,7104.1
1667278800000,0.475,0.476,0.474,0.474,2096.5
1667282400000,0.475,0.478,0.474,0.476,25126.5
1667286000000,0.476,0.476,0.473,0.475,18707.3
1667289600000,0.476,0.478,0.469,0.472,383507.4
1667293200000,0.472,0.476,0.47,0.475,85266.4
1667296800000,0.474,0.475,0.473,0.474,32400.7
1667300400000,0.474,0.474,0.469,0.471,38848.9
1667304000000,0.471,0.473,0.469,0.472,6341.8
1667307600000,0.473,0.473,0.468,0.47,46643.6
1667311200000,0.47,0.471,0.468,0.469,32935.4
1667314800000,0.468,0.469,0.468,0.468,5543.7
1667318400000,0.468,0.469,0.465,0.466,75771.3
1667322000000,0.466,0.469,0.465,0.468,41481.9
1667325600000,0.468,0.47,0.468,0.47,4568.1
1667329200000,0.47,0.47,0.469,0.469,458.9
1667332800000,0.469,0.47,0.468,0.469,8354.9
1667336400000,0.47,0.471,0.469,0.47,13474.6
1667340000000,0.47,0.471,0.47,0.47,1878.6
1667343600000,0.471,0.471,0.47,0.471,14813.6
1667347200000,0.471,0.471,0.465,0.468,22018.2
1667350800000,0.469,0.47,0.467,0.467,28713.6
1667354400000,0.467,0.468,0.465,0.468,31397.7
1667358000000,0.468,0.47,0.468,0.469,15182.2
1667361600000,0.47,0.47,0.468,0.469,9141.1
1667365200000,0.469,0.471,0.468,0.469,15553.8
1667368800000,0.468,0.469,0.467,0.469,13734.9
1667372400000,0.469,0.469,0.462,0.464,35160.5
1667376000000,0.463,0.468,0.463,0.468,14370.2
1667379600000,0.467,0.467,0.463,0.465,21986.5
1667383200000,0.464,0.464,0.459,0.462,22147.9
1667386800000,0.463,0.465,0.463,0.464,56059.8
1667390400000,0.464,0.464,0.461,0.462,34315.8
1667394000000,0.463,0.466,0.462,0.465,28411.7
1667397600000,0.466,0.468,0.465,0.467,21934.9
1667401200000,0.467,0.468,0.466,0.466,11801.2
1667404800000,0.466,0.471,0.462,0.468,296569.2
1667408400000,0.467,0.469,0.463,0.464,46257.3
1667412000000,0.463,0.478,0.461,0.467,162079.7
1667415600000,0.469,0.474,0.458,0.461,59934.2
1667419200000,0.46,0.461,0.453,0.454,40801.8
1667422800000,0.453,0.455,0.452,0.454,17056.6
1667426400000,0.454,0.455,0.452,0.453,29457.1
1667430000000,0.454,0.457,0.453,0.457,5998.8
1667433600000,0.457,0.462,0.456,0.461,41029.7
1667437200000,0.462,0.466,0.461,0.466,15581.3
1667440800000,0.465,0.469,0.465,0.468,36712.5
1667444400000,0.468,0.471,0.467,0.469,25881
1667448000000,0.469,0.472,0.469,0.47,33792.6
1667451600000,0.47,0.475,0.47,0.474,30586.4
1667455200000,0.475,0.475,0.472,0.474,9838.5
1667458800000,0.475,0.481,0.469,0.47,260644.4
1667462400000,0.47,0.471,0.467,0.47,76533.7
1667466000000,0.469,0.474,0.469,0.474,96624.9
1667469600000,0.474,0.475,0.472,0.473,67422.7
1667473200000,0.474,0.476,0.467,0.47,98380.3
1667476800000,0.469,0.472,0.465,0.468,33482.6
1667480400000,0.468,0.473,0.468,0.468,45301.8
1667484000000,0.469,0.479,0.468,0.475,39234.6
1667487600000,0.476,0.477,0.473,0.473,35536.4
1667491200000,0.474,0.477,0.473,0.477,13395.6
1667494800000,0.476,0.477,0.474,0.476,36240.4
1667498400000,0.477,0.478,0.474,0.477,43534
1667502000000,0.478,0.479,0.474,0.476,45995.4
1667505600000,0.475,0.475,0.473,0.474,17913.6
1667509200000,0.474,0.475,0.473,0.475,9779.5
1667512800000,0.474,0.475,0.468,0.469,31422.1
1667516400000,0.469,0.469,0.465,0.469,65179.2
1667520000000,0.468,0.473,0.467,0.473,11849.6
1667523600000,0.472,0.474,0.47,0.471,9590.9
1667527200000,0.472,0.476,0.471,0.475,25502
1667530800000,0.476,0.483,0.475,0.481,206353
1667534400000,0.481,0.495,0.477,0.478,348681.8
1667538000000,0.477,0.482,0.477,0.481,68587.6
1667541600000,0.481,0.488,0.481,0.487,69368.5
1667545200000,0.487,0.487,0.485,0.487,12505.2
1667548800000,0.487,0.488,0.486,0.487,24585.2
1667552400000,0.487,0.488,0.485,0.487,46551.7
1667556000000,0.487,0.493,0.486,0.491,74327.2
1667559600000,0.491,0.492,0.487,0.487,67940.4
1667563200000,0.487,0.493,0.483,0.493,82174.5
1667566800000,0.492,0.497,0.49,0.496,144293.4
1667570400000,0.495,0.504,0.494,0.504,232245.6
1667574000000,0.503,0.505,0.495,0.495,95470.9
1667577600000,0.494,0.498,0.492,0.495,73813.8
1667581200000,0.496,0.499,0.493,0.497,35001.1
1667584800000,0.497,0.502,0.494,0.5,48371.1
1667588400000,0.5,0.504,0.499,0.504,63469.3
1667592000000,0.504,0.508,0.502,0.507,82397.8
1667595600000,0.507,0.509,0.506,0.508,60199.3
1667599200000,0.507,0.508,0.505,0.506,40804.1
1667602800000,0.507,0.509,0.506,0.507,40172.8
1667606400000,0.508,0.513,0.507,0.512,65916.6
1667610000000,0.513,0.515,0.511,0.511,44132.8
1667613600000,0.511,0.513,0.51,0.512,40146.8
