date,open,high,low,close,volume
1667005200000,137.5,137.5,137,137.1,46.982
1667008800000,137.1,137.1,135,136.1,3082.714
1667012400000,136,137.5,135,135.3,4263.53
1667016000000,135.5,136.6,135.2,135.7,1170.863
1667019600000,135.8,136,135,135.7,973.956
1667023200000,135.7,137,135.7,136.5,865.205
1667026800000,136.5,137.2,136.4,137.2,363.518
1667030400000,137.2,141.1,136.7,140.9,4654.977
1667034000000,141,141.8,139.7,141.2,2220.354
1667037600000,141.1,141.3,140,141.3,790.666
1667041200000,141.3,143.3,139.3,143.1,3180.218
1667044800000,143.2,143.8,142.3,143.6,1208.339
1667048400000,143.7,144.8,143.3,144.7,1488.647
1667052000000,144.8,145.7,144.7,145.6,1491.295
1667055600000,145.6,148.1,145.6,147.9,3428.353
1667059200000,147.9,149.6,147.5,149,2531.562
1667062800000,149.1,149.6,146.9,148.6,2500.114
1667066400000,148.6,149.5,148.5,149.3,857.209
1667070000000,149.1,149.2,148.6,148.7,502.028
1667073600000,148.7,149.4,148.6,148.6,676.278
1667077200000,148.6,148.8,147.9,148.5,572.197
1667080800000,148.4,148.6,146.9,146.9,1137.609
1667084400000,146.8,147,146.2,146.9,410.639
1667088000000,146.9,148.1,146.8,146.9,1107.18
1667091600000,146.9,147.3,146.8,146.8,174.017
1667095200000,146.9,147.3,146.5,147.3,318.954
1667098800000,147.3,147.8,146.9,147.2,287.953
1667102400000,147.2,147.2,145.8,145.9,740.659
1667106000000,145.9,147,145.9,146.7,304.985
1667109600000,146.6,147,146.2,146.8,292.598
1667113200000,146.8,147.3,146.3,147.2,908.977
1667116800000,147.2,147.3,145.2,145.6,1210.381
1667120400000,145.7,146.1,144.2,145.3,1199.92
1667124000000,145.4,145.5,144.6,144.7,164.432
1667127600000,144.7,145.1,144.5,145,151.357
1667131200000,145,145.3,144,144.3,433.767
1667134800000,144.4,144.8,143.4,143.8,402.025
1667138400000,143.8,144.9,143.5,144.4,1450.607
1667142000000,144.4,145,142.9,143.1,873.974
1667145600000,143.1,143.6,142.7,143.3,307.965
1667149200000,143.3,144.2,143.3,144.2,218.06
1667152800000,144.2,144.3,143.6,143.6,90.777
1667156400000,143.8,144.1,143.3,143.7,235.836
1667160000000,143.8,144.5,143.8,144.4,168.13
1667163600000,144.4,145,144.4,144.9,211.417
1667167200000,144.9,144.9,143.4,144,314.539
1667170800000,144.1,144.4,143.4,144.2,626.181
1667174400000,144.3,145,143.9,144.1,289.334
1667178000000,144.1,144.9,144,144.4,219.925
1667181600000,144.4,144.6,143.7,144,248.71
1667185200000,143.9,144.9,143.9,144.9,358.668
1667188800000,144.9,145,144.3,144.6,53.586
1667192400000,144.6,145,144.6,144.8,90.99
1667196000000,145,145.2,143.3,143.5,588.013
1667199600000,143.5,144.5,143.5,144.4,81.614
1667203200000,144.4,144.4,143.6,144,146.489
1667206800000,143.8,145.2,143.8,145.2,836.394
1667210400000,145.1,149.3,145.1,148,55996.47
1667214000000,148,152.8,148,151.3,45763.92
1667217600000,151.4,152.3,150.9,151,1682.554
1667221200000,151.1,151.1,147.5,147.5,3871.354
1667224800000,147.5,149.4,147.2,147.4,2342.793
1667228400000,147.6,148.3,147.1,147.8,492.297
1667232000000,147.9,148.3,146.5,146.6,2167.396
1667235600000,146.5,147.5,146.5,146.8,494.152
1667239200000,146.8,146.8,145.2,145.4,1369.277
1667242800000,145.4,145.5,144.8,144.9,404.416
1667246400000,144.9,145.6,144.9,144.9,67.978
1667250000000,145,145.1,144.6,144.7,186.086
