date,open,high,low,close,volume
1667005200000,8.85,8.87,8.83,8.85,1966.52
1667008800000,8.85,9,8.82,8.94,7205.98
1667012400000,8.94,9.02,8.89,8.97,11767.75
1667016000000,8.96,8.98,8.8,8.87,13707.68
1667019600000,8.87,8.97,8.86,8.88,5957.07
1667023200000,8.89,8.94,8.86,8.9,5100.52
1667026800000,8.9,9,8.9,8.95,12393.23
1667030400000,8.96,9.28,8.89,9.18,49159.43
1667034000000,9.18,9.2,9.07,9.18,15363.91
1667037600000,9.16,9.18,8.92,8.94,23532.48
1667041200000,8.92,8.97,8.85,8.92,18908.55
1667044800000,8.9,9.02,8.9,8.91,8569.81
1667048400000,8.9,8.92,8.85,8.9,6754.15
1667052000000,8.89,8.93,8.87,8.9,6491.31
1667055600000,8.9,8.95,8.85,8.86,8818.17
1667059200000,8.86,9.03,8.85,8.98,17360.3
1667062800000,8.96,9.02,8.79,8.83,24756.25
1667066400000,8.81,8.83,8.7,8.81,17773.37
1667070000000,8.81,8.84,8.76,8.79,4671.51
1667073600000,8.81,8.89,8.8,8.87,2942.25
1667077200000,8.87,8.9,8.81,8.83,3143.88
1667080800000,8.83,8.85,8.82,8.82,1438.29
1667084400000,8.82,8.83,8.8,8.81,2831.29
1667088000000,8.81,8.83,8.79,8.81,5162.06
1667091600000,8.81,8.83,8.76,8.8,4193.15
1667095200000,8.8,8.85,8.8,8.83,1316.2
1667098800000,8.85,8.86,8.83,8.83,1802.43
1667102400000,8.85,8.9,8.84,8.87,4988.52
1667106000000,8.88,8.9,8.85,8.85,7585.88
1667109600000,8.86,8.97,8.86,8.95,11239.2
1667113200000,8.96,8.97,8.9,8.93,7624.49
1667116800000,8.92,8.93,8.81,8.85,10667.96
1667120400000,8.85,8.89,8.8,8.8,7879.55
1667124000000,8.8,8.85,8.8,8.81,4296.63
1667127600000,8.82,8.85,8.81,8.84,1556.55
1667131200000,8.84,8.84,8.8,8.84,1743.28
1667134800000,8.83,8.85,8.78,8.8,6035.86
1667138400000,8.8,8.84,8.78,8.83,9098.85
1667142000000,8.83,8.83,8.75,8.76,3141.46
1667145600000,8.75,8.79,8.73,8.76,6441.82
1667149200000,8.76,8.81,8.75,8.76,2346.16
1667152800000,8.76,8.85,8.74,8.82,4505.82
1667156400000,8.83,8.84,8.81,8.81,4322.13
1667160000000,8.82,8.85,8.81,8.81,2679.78
1667163600000,8.82,8.83,8.81,8.83,3312.09
1667167200000,8.82,8.83,8.73,8.79,5855.55
1667170800000,8.8,8.82,8.79,8.79,1612.79
1667174400000,8.79,8.82,8.77,8.77,1021.59
1667178000000,8.77,8.79,8.74,8.76,1995.87
1667181600000,8.76,8.76,8.71,8.73,4174.04
1667185200000,8.73,8.79,8.73,8.79,3973.63
1667188800000,8.79,8.8,8.76,8.76,2108.11
