date,open,high,low,close,volume
1667005200000,8.2e-7,8.2e-7,8.1e-7,8.2e-7,16717774017
1667008800000,8.1e-7,8.2e-7,8.1e-7,8.2e-7,40081515756
1667012400000,8.2e-7,8.3e-7,8.1e-7,8.2e-7,91714599425
1667016000000,8.3e-7,8.3e-7,8.2e-7,8.2e-7,19683523221
1667019600000,8.2e-7,8.3e-7,8.2e-7,8.2e-7,8505778948
1667023200000,8.2e-7,8.3e-7,8.2e-7,8.3e-7,125630161987
1667026800000,8.3e-7,8.3e-7,8.2e-7,8.3e-7,25920495168
1667030400000,8.2e-7,8.5e-7,8.2e-7,8.3e-7,440356764321
1667034000000,8.3e-7,8.4e-7,8.3e-7,8.3e-7,50028249372
1667037600000,8.3e-7,8.5e-7,8.3e-7,8.3e-7,244245439762
1667041200000,8.4e-7,8.4e-7,8.2e-7,8.2e-7,65584067764
1667044800000,8.3e-7,8.4e-7,8.2e-7,8.3e-7,81229399817
1667048400000,8.3e-7,8.4e-7,8.2e-7,8.2e-7,63683563211
1667052000000,8.3e-7,8.4e-7,8.2e-7,8.3e-7,88475871119
1667055600000,8.3e-7,8.4e-7,8.2e-7,8.3e-7,95251708189
1667059200000,8.3e-7,8.5e-7,8.2e-7,8.5e-7,345399760644
1667062800000,8.4e-7,8.5e-7,8.4e-7,8.4e-7,278146102718
1667066400000,8.5e-7,8.5e-7,8.3e-7,8.4e-7,103709840749
1667070000000,8.3e-7,8.4e-7,8.3e-7,8.4e-7,59754269171
1667073600000,8.3e-7,8.4e-7,8.3e-7,8.4e-7,20616090728
1667077200000,8.3e-7,8.4e-7,8.3e-7,8.4e-7,21430936515
1667080800000,8.3e-7,8.4e-7,8.3e-7,8.3e-7,52983815940
1667084400000,8.4e-7,8.5e-7,8.3e-7,8.3e-7,86919183672
1667088000000,8.4e-7,8.4e-7,8.3e-7,8.4e-7,19579708125
1667091600000,8.3e-7,8.4e-7,8.3e-7,8.4e-7,31486047804
1667095200000,8.4e-7,8.4e-7,8.3e-7,8.3e-7,32253363040
1667098800000,8.3e-7,8.4e-7,8.3e-7,8.4e-7,29682082130
1667102400000,8.4e-7,8.4e-7,8.3e-7,8.4e-7,10187478475
1667106000000,8.3e-7,8.4e-7,8.3e-7,8.3e-7,21473825576
1667109600000,8.4e-7,8.5e-7,8.3e-7,8.4e-7,109359357704
1667113200000,8.4e-7,8.5e-7,8.4e-7,8.5e-7,52762240125
1667116800000,8.5e-7,8.5e-7,8.3e-7,8.4e-7,98249067582
1667120400000,8.3e-7,8.4e-7,8.3e-7,8.3e-7,48627313346
