date,open,high,low,close,volume
1667005200000,0.854,0.858,0.85,0.851,73372.3
1667008800000,0.851,0.854,0.847,0.853,89904.5
1667012400000,0.853,0.861,0.852,0.859,69303.1
1667016000000,0.859,0.863,0.859,0.862,75729.4
1667019600000,0.863,0.865,0.853,0.854,118366.3
1667023200000,0.853,0.859,0.853,0.857,59620.8
1667026800000,0.859,0.865,0.857,0.863,101816.6
1667030400000,0.862,0.866,0.856,0.863,222272.4
1667034000000,0.863,0.865,0.859,0.863,107468.2
1667037600000,0.863,0.864,0.855,0.855,159993.5
1667041200000,0.855,0.858,0.85,0.852,97650.1
1667044800000,0.852,0.856,0.85,0.854,62620.5
1667048400000,0.854,0.855,0.847,0.851,112398.4
1667052000000,0.851,0.86,0.85,0.851,186910
1667055600000,0.852,0.858,0.851,0.851,141648.8
1667059200000,0.852,0.859,0.851,0.855,167129.3
1667062800000,0.855,0.865,0.852,0.854,257407.7
1667066400000,0.854,0.855,0.847,0.855,223079.1
1667070000000,0.855,0.861,0.847,0.849,338090.8
1667073600000,0.849,0.852,0.848,0.851,57921.6
1667077200000,0.852,0.855,0.85,0.852,46343.7
1667080800000,0.851,0.867,0.841,0.852,355533.3
1667084400000,0.852,0.857,0.851,0.856,44950.7
1667088000000,0.856,0.86,0.852,0.854,38992.4
1667091600000,0.855,0.855,0.851,0.854,67202.4
1667095200000,0.854,0.856,0.853,0.855,37804.3
1667098800000,0.854,0.858,0.853,0.858,35901
1667102400000,0.857,0.858,0.855,0.856,28985
1667106000000,0.855,0.857,0.849,0.854,109263.3
1667109600000,0.853,0.859,0.852,0.855,152601.6
1667113200000,0.855,0.86,0.854,0.857,118149.5
1667116800000,0.856,0.86,0.849,0.85,256117
1667120400000,0.851,0.854,0.845,0.848,126225.4
1667124000000,0.847,0.852,0.842,0.849,199483
1667127600000,0.849,0.852,0.846,0.85,72793.9
1667131200000,0.85,0.85,0.847,0.849,50400.6
1667134800000,0.849,0.851,0.844,0.845,72409.9
1667138400000,0.844,0.854,0.844,0.849,137471.7
1667142000000,0.849,0.854,0.846,0.848,74040.5
1667145600000,0.848,0.851,0.846,0.847,53728
1667149200000,0.846,0.847,0.84,0.843,70869.2
1667152800000,0.843,0.846,0.842,0.844,52321
1667156400000,0.845,0.85,0.841,0.849,67247.5
1667160000000,0.85,0.887,0.847,0.866,1283232.8
1667163600000,0.866,0.867,0.855,0.856,166960
1667167200000,0.855,0.857,0.847,0.852,136624.6
1667170800000,0.852,0.852,0.848,0.849,18994.9
1667174400000,0.849,0.854,0.849,0.85,29810.4
1667178000000,0.85,0.87,0.849,0.851,79469.9
1667181600000,0.85,0.858,0.847,0.858,36701.2
1667185200000,0.856,0.858,0.849,0.852,22049.1
1667188800000,0.853,0.858,0.852,0.858,48673.7
1667192400000,0.858,0.866,0.855,0.857,77505
1667196000000,0.857,0.859,0.852,0.854,74561.9
1667199600000,0.854,0.858,0.848,0.853,104332.3
1667203200000,0.853,0.856,0.846,0.852,84543.3
1667206800000,0.851,0.865,0.85,0.861,156526.6
1667210400000,0.861,0.863,0.852,0.853,165938.3
1667214000000,0.853,0.858,0.851,0.855,109178.1
1667217600000,0.854,0.863,0.853,0.86,148032.7
1667221200000,0.86,0.863,0.849,0.85,200740.1
1667224800000,0.849,0.854,0.846,0.85,164641.6
1667228400000,0.849,0.856,0.846,0.848,139606.4
1667232000000,0.849,0.856,0.848,0.853,140677.5
1667235600000,0.854,0.873,0.845,0.852,432488.1
1667239200000,0.852,0.858,0.849,0.855,128653.5
1667242800000,0.855,0.857,0.85,0.853,72951.2
1667246400000,0.853,0.853,0.85,0.85,40685
1667250000000,0.851,0.853,0.846,0.848,94630.4
1667253600000,0.849,0.852,0.848,0.852,14022.1
1667257200000,0.851,0.853,0.851,0.852,17925.5
1667260800000,0.852,0.855,0.849,0.853,65755.3
1667264400000,0.853,0.855,0.852,0.855,17147.2
1667268000000,0.854,0.856,0.853,0.856,13476
1667271600000,0.856,0.857,0.854,0.854,29699.2
1667275200000,0.854,0.854,0.848,0.848,66175.5
1667278800000,0.849,0.852,0.847,0.85,39278.3
1667282400000,0.849,0.853,0.847,0.852,73246.5
1667286000000,0.852,0.856,0.85,0.852,73314.9
1667289600000,0.852,0.855,0.851,0.853,43763.9
1667293200000,0.851,0.854,0.849,0.85,106532.7
1667296800000,0.85,0.854,0.85,0.853,72550.8
1667300400000,0.851,0.852,0.849,0.85,34862.1
1667304000000,0.85,0.853,0.847,0.849,114899.1
1667307600000,0.849,0.851,0.845,0.847,85517.9
1667311200000,0.846,0.85,0.845,0.848,53924.5
1667314800000,0.848,0.85,0.845,0.846,71395
1667318400000,0.845,0.849,0.845,0.847,34722
1667322000000,0.847,0.847,0.844,0.845,34813.7
1667325600000,0.845,0.849,0.845,0.846,46256.4
1667329200000,0.846,0.848,0.842,0.845,38390.4
1667332800000,0.844,0.85,0.844,0.85,64250.1
1667336400000,0.849,0.85,0.844,0.844,36305.7
1667340000000,0.846,0.846,0.838,0.843,113449.8
1667343600000,0.844,0.845,0.841,0.842,16833
1667347200000,0.841,0.841,0.838,0.841,50039.5
1667350800000,0.841,0.842,0.839,0.842,21732.9
1667354400000,0.842,0.843,0.838,0.841,22480.7
1667358000000,0.841,0.845,0.839,0.841,71640.7
1667361600000,0.841,0.844,0.839,0.842,54296.7
1667365200000,0.842,0.844,0.838,0.842,59213
1667368800000,0.841,0.841,0.838,0.838,47331.8
1667372400000,0.839,0.84,0.821,0.829,194126.6
1667376000000,0.829,0.837,0.828,0.834,77987.4
1667379600000,0.835,0.836,0.824,0.827,78569.2
1667383200000,0.826,0.826,0.818,0.82,101566.1
1667386800000,0.82,0.825,0.817,0.823,72484
1667390400000,0.822,0.831,0.822,0.828,52767.2
1667394000000,0.827,0.827,0.821,0.821,28168.7
1667397600000,0.821,0.831,0.82,0.829,51574.6
1667401200000,0.829,0.831,0.822,0.823,66732.7
1667404800000,0.823,0.855,0.806,0.826,589685.8
1667408400000,0.826,0.826,0.815,0.821,83715.9
