date,open,high,low,close,volume
1667005200000,0.3321,0.3327,0.3301,0.3303,208906.7
1667008800000,0.3305,0.332,0.3287,0.3307,289929.1
1667012400000,0.3307,0.35,0.3296,0.3441,3567866.5
1667016000000,0.344,0.3549,0.3434,0.3526,2885012.1
1667019600000,0.3522,0.3529,0.3442,0.3515,2682691.6
1667023200000,0.3514,0.3723,0.3514,0.3674,6630008.3
1667026800000,0.3676,0.3718,0.3536,0.357,5497483.6
1667030400000,0.3566,0.358,0.3514,0.3556,2691314
1667034000000,0.3556,0.3602,0.3539,0.3602,1204692.3
1667037600000,0.3598,0.3632,0.347,0.3494,5807222.6
1667041200000,0.3495,0.3512,0.345,0.3499,1743542.1
1667044800000,0.3497,0.3549,0.3493,0.3532,2714562
1667048400000,0.3532,0.3565,0.3488,0.356,3708953.9
1667052000000,0.3563,0.3602,0.3437,0.3471,9648742.8
1667055600000,0.3471,0.3488,0.3395,0.3415,2565246.4
1667059200000,0.3417,0.3492,0.3412,0.3458,1954219
1667062800000,0.3458,0.3513,0.3402,0.3411,1483362.7
1667066400000,0.341,0.3448,0.335,0.3414,2205310
1667070000000,0.3414,0.3418,0.3374,0.3401,380068.6
1667073600000,0.3398,0.3419,0.3391,0.34,187574.9
1667077200000,0.3394,0.3411,0.3389,0.3396,254225.1
1667080800000,0.3393,0.341,0.333,0.3352,514854.6
1667084400000,0.3351,0.3376,0.3324,0.3372,396282.4
1667088000000,0.3374,0.3411,0.3365,0.3391,602391.3
1667091600000,0.3392,0.3419,0.335,0.3417,664438.1
1667095200000,0.3419,0.3435,0.339,0.3426,477098.1
1667098800000,0.3425,0.3439,0.3411,0.3427,270505
1667102400000,0.3428,0.3448,0.3397,0.3408,1045156.3
1667106000000,0.341,0.3464,0.341,0.3435,1182924
1667109600000,0.3435,0.3468,0.3411,0.3452,729607.5
1667113200000,0.3452,0.35,0.344,0.3484,1186243.3
1667116800000,0.3486,0.3498,0.337,0.3436,1236702.5
1667120400000,0.3435,0.3489,0.3372,0.3411,925061.4
1667124000000,0.341,0.3429,0.3397,0.342,318677.7
1667127600000,0.3419,0.344,0.3406,0.3427,508499.1
1667131200000,0.3431,0.3452,0.3404,0.3444,271269.9
1667134800000,0.3445,0.347,0.3402,0.3415,709373.8
1667138400000,0.3411,0.3429,0.3377,0.3393,1940906.2
1667142000000,0.3395,0.3411,0.328,0.3304,2613735.2
1667145600000,0.3303,0.336,0.3285,0.3303,764551.3
1667149200000,0.331,0.3323,0.329,0.3323,420077.1
1667152800000,0.3321,0.3341,0.3318,0.3324,141683.9
1667156400000,0.3332,0.3344,0.332,0.3326,505462.2
1667160000000,0.3325,0.3344,0.332,0.333,170716
1667163600000,0.3335,0.335,0.332,0.3334,244497.4
1667167200000,0.3334,0.3335,0.3255,0.331,971709.8
1667170800000,0.3312,0.3335,0.3288,0.331,750569.5
1667174400000,0.3311,0.3357,0.331,0.3313,568163.3
1667178000000,0.3322,0.3336,0.328,0.3297,732109.4
1667181600000,0.3296,0.33,0.3253,0.3268,528268.6
1667185200000,0.3271,0.3317,0.3271,0.3314,337678.6
1667188800000,0.3312,0.3326,0.3299,0.3309,167247.1
1667192400000,0.3308,0.3312,0.3282,0.3285,139155.4
1667196000000,0.3285,0.3296,0.3246,0.3273,362952.9
1667199600000,0.3274,0.3277,0.3243,0.3265,480614.7
1667203200000,0.3256,0.3265,0.321,0.3222,443146.8
1667206800000,0.3221,0.3302,0.3217,0.33,665904.3
1667210400000,0.3301,0.3311,0.3268,0.3291,361624.3
1667214000000,0.3292,0.3308,0.328,0.3282,353262.9
1667217600000,0.3284,0.3302,0.3261,0.3278,343840.9
1667221200000,0.3278,0.3297,0.3188,0.3189,608792.8
1667224800000,0.319,0.3223,0.3165,0.3205,1622642.1
1667228400000,0.3205,0.3228,0.3183,0.3201,580240.7
1667232000000,0.3202,0.3228,0.3167,0.3189,672214.5
1667235600000,0.319,0.321,0.318,0.3185,390910.8
1667239200000,0.3184,0.32,0.3184,0.3192,419186.9
1667242800000,0.3188,0.3188,0.3168,0.3174,205043.9
1667246400000,0.3174,0.3206,0.3165,0.3187,222443.4
1667250000000,0.3184,0.3199,0.3182,0.3189,300061.4
1667253600000,0.3189,0.3218,0.3184,0.3204,464417.5
1667257200000,0.3204,0.3219,0.32,0.3206,171632.6
1667260800000,0.32,0.3248,0.32,0.3223,374147.7
1667264400000,0.3222,0.3258,0.3221,0.3245,351463.3
1667268000000,0.3246,0.3249,0.3233,0.3238,217987.3
1667271600000,0.3242,0.3257,0.3221,0.3246,212292
1667275200000,0.3243,0.3251,0.3222,0.3239,273641.7
1667278800000,0.324,0.3253,0.3236,0.324,153804.5
1667282400000,0.3241,0.3267,0.3232,0.3255,382126.7
1667286000000,0.3255,0.3277,0.3239,0.3254,356812.9
1667289600000,0.3252,0.3256,0.3235,0.3242,149463.5
1667293200000,0.3241,0.3274,0.3238,0.3254,325876
1667296800000,0.3256,0.3256,0.3238,0.3249,198817.6
1667300400000,0.3252,0.3252,0.3204,0.3211,665618
1667304000000,0.3211,0.3217,0.3179,0.32,390696.7
1667307600000,0.32,0.3205,0.314,0.3149,667596
1667311200000,0.3152,0.3173,0.3134,0.3161,459529.7
1667314800000,0.3161,0.3179,0.3151,0.3164,224140.9
1667318400000,0.3164,0.3169,0.3129,0.3139,328238.1
1667322000000,0.3137,0.3147,0.3128,0.3139,98044.5
1667325600000,0.3137,0.3154,0.3137,0.3154,104016.6
1667329200000,0.3152,0.3153,0.3125,0.313,305137.9
1667332800000,0.3125,0.3135,0.3116,0.3135,151695.6
1667336400000,0.3132,0.314,0.3123,0.3127,109328.1
