date,open,high,low,close,volume
1667005200000,4.513,4.532,4.513,4.516,9701.41
1667008800000,4.516,4.538,4.516,4.538,8787.81
1667012400000,4.538,4.625,4.536,4.62,78137.27
1667016000000,4.62,4.636,4.59,4.597,26979.79
1667019600000,4.597,4.622,4.584,4.602,19215.46
1667023200000,4.601,4.61,4.567,4.568,37577.48
1667026800000,4.569,4.589,4.555,4.583,30524.62
1667030400000,4.584,4.634,4.581,4.634,53307.13
1667034000000,4.633,4.639,4.611,4.631,52619.06
1667037600000,4.629,4.646,4.57,4.581,41910.91
1667041200000,4.58,4.585,4.559,4.572,19415.77
1667044800000,4.573,4.591,4.567,4.588,29594.28
1667048400000,4.587,4.588,4.553,4.573,17192.36
1667052000000,4.573,4.593,4.529,4.535,45047.79
1667055600000,4.535,4.58,4.535,4.575,35980.39
1667059200000,4.574,4.728,4.574,4.658,215753.98
1667062800000,4.657,4.706,4.619,4.622,152421.91
1667066400000,4.625,4.644,4.609,4.633,37330.87
1667070000000,4.634,4.638,4.603,4.622,12524.2
1667073600000,4.622,4.627,4.612,4.615,14626.35
1667077200000,4.618,4.654,4.614,4.647,23466.6
1667080800000,4.647,4.647,4.6,4.602,13183.36
1667084400000,4.602,4.64,4.592,4.636,28276.48
1667088000000,4.637,4.652,4.609,4.614,37382.18
1667091600000,4.615,4.645,4.613,4.635,22008.78
1667095200000,4.636,4.638,4.62,4.631,6690.99
1667098800000,4.631,4.673,4.631,4.673,21596.1
1667102400000,4.673,4.708,4.649,4.652,49423.57
1667106000000,4.653,4.679,4.648,4.676,36520.29
1667109600000,4.676,4.696,4.655,4.675,98002.04
1667113200000,4.673,4.756,4.673,4.733,133216.16
1667116800000,4.733,4.8,4.702,4.755,119416.82
1667120400000,4.754,4.773,4.7,4.71,60105.81
1667124000000,4.71,4.756,4.706,4.74,41195.08
1667127600000,4.739,4.758,4.715,4.755,26614.33
1667131200000,4.756,4.761,4.709,4.719,54128.97
1667134800000,4.721,4.723,4.668,4.679,43402.55
1667138400000,4.68,4.714,4.676,4.704,23128.17
1667142000000,4.705,4.772,4.703,4.709,97107.52
1667145600000,4.706,4.787,4.697,4.753,73690.01
1667149200000,4.754,4.777,4.728,4.772,77241.45
1667152800000,4.774,4.794,4.74,4.752,62316.71
1667156400000,4.755,4.779,4.744,4.764,17503.8
1667160000000,4.764,4.767,4.747,4.751,11964.48
1667163600000,4.752,4.759,4.715,4.719,21508.72
1667167200000,4.719,4.726,4.683,4.707,15874.3
1667170800000,4.707,4.726,4.701,4.724,10369
1667174400000,4.724,4.737,4.697,4.697,23528.71
1667178000000,4.698,4.709,4.669,4.673,22462.35
1667181600000,4.672,4.672,4.629,4.659,45273
1667185200000,4.659,4.73,4.655,4.724,32152.76
1667188800000,4.724,4.724,4.701,4.709,13007.36
1667192400000,4.708,4.715,4.681,4.683,19249.29
1667196000000,4.681,4.685,4.62,4.645,81345.75
1667199600000,4.645,4.656,4.63,4.656,11858.37
1667203200000,4.655,4.66,4.624,4.654,15912.27
1667206800000,4.655,4.864,4.648,4.838,371731.25
1667210400000,4.84,4.865,4.77,4.791,81878.38
1667214000000,4.792,4.843,4.792,4.827,54017.63
1667217600000,4.828,4.9,4.828,4.837,164517.81
1667221200000,4.834,4.853,4.736,4.739,99429.14
1667224800000,4.738,4.767,4.679,4.687,153437.73
1667228400000,4.688,4.752,4.664,4.723,101113.87
1667232000000,4.718,4.748,4.706,4.748,49193.67
1667235600000,4.747,4.76,4.721,4.723,32124.69
1667239200000,4.724,4.768,4.72,4.764,35224.12
1667242800000,4.764,4.77,4.739,4.746,44670.83
