date,open,high,low,close,volume
1667005200000,0.0381,0.0382,0.038,0.038,138283
1667008800000,0.038,0.0381,0.038,0.0381,49717
1667012400000,0.0381,0.0383,0.0379,0.0382,703881
1667016000000,0.0382,0.0383,0.038,0.0381,297688
1667019600000,0.038,0.0381,0.0379,0.038,314835
1667023200000,0.038,0.0385,0.0379,0.0383,439320
1667026800000,0.0383,0.0387,0.038,0.0386,1416310
1667030400000,0.0387,0.039,0.0384,0.0388,2060982
1667034000000,0.0387,0.0388,0.0384,0.0387,856800
1667037600000,0.0387,0.0387,0.0381,0.0381,606346
1667041200000,0.0381,0.0382,0.0377,0.0378,604030
1667044800000,0.0379,0.038,0.0374,0.038,2070770
1667048400000,0.038,0.038,0.0376,0.0378,384210
1667052000000,0.0379,0.0381,0.0378,0.0379,301059
1667055600000,0.0378,0.0381,0.0378,0.038,922263
1667059200000,0.038,0.0384,0.038,0.0384,771224
1667062800000,0.0383,0.0386,0.0378,0.0378,1259061
1667066400000,0.0378,0.038,0.0376,0.0377,646692
1667070000000,0.0378,0.0378,0.0375,0.0377,164059
1667073600000,0.0377,0.0378,0.0375,0.0377,694924
1667077200000,0.0378,0.038,0.0377,0.0378,373083
1667080800000,0.0378,0.0379,0.0375,0.0376,547965
1667084400000,0.0376,0.0378,0.0375,0.0377,870831
1667088000000,0.0376,0.0378,0.0375,0.0376,340171
1667091600000,0.0377,0.0384,0.0377,0.038,917564
1667095200000,0.0381,0.0382,0.038,0.0381,126803
1667098800000,0.0381,0.0382,0.038,0.0382,199784
1667102400000,0.0381,0.0383,0.038,0.038,223434
1667106000000,0.0381,0.0383,0.038,0.0381,109387
1667109600000,0.0381,0.0382,0.0379,0.0381,584912
1667113200000,0.0381,0.0384,0.038,0.0384,798999
1667116800000,0.0384,0.039,0.0382,0.0382,1585723
1667120400000,0.0383,0.0385,0.0379,0.038,523936
1667124000000,0.038,0.0381,0.0379,0.038,96461
1667127600000,0.038,0.0382,0.0379,0.0381,204154
1667131200000,0.038,0.0387,0.0379,0.0383,725889
1667134800000,0.0384,0.0384,0.0377,0.0378,497895
1667138400000,0.0379,0.0381,0.0379,0.038,379314
1667142000000,0.0381,0.0382,0.0378,0.0378,256081
1667145600000,0.0379,0.0382,0.0378,0.0378,402530
1667149200000,0.0378,0.0379,0.0376,0.0377,488971
1667152800000,0.0377,0.038,0.0377,0.0379,216799
1667156400000,0.038,0.0381,0.0377,0.0378,226950
1667160000000,0.0378,0.0379,0.0377,0.0378,128362
1667163600000,0.0378,0.038,0.0378,0.0378,98554
1667167200000,0.0377,0.0378,0.0375,0.0376,347173
1667170800000,0.0376,0.0377,0.0374,0.0377,324800
1667174400000,0.0377,0.038,0.0376,0.0377,114412
1667178000000,0.0378,0.0378,0.0373,0.0374,409283
1667181600000,0.0374,0.0376,0.0372,0.0375,218041
1667185200000,0.0375,0.0377,0.0374,0.0377,230394
1667188800000,0.0377,0.0379,0.0376,0.0377,105701
1667192400000,0.0379,0.0379,0.0376,0.0377,48043
1667196000000,0.0377,0.0377,0.0372,0.0373,1158946
1667199600000,0.0373,0.0375,0.0373,0.0375,267753
1667203200000,0.0375,0.0375,0.0372,0.0373,318691
1667206800000,0.0372,0.0378,0.0371,0.0377,762329
1667210400000,0.0378,0.0381,0.0375,0.0378,1381613
1667214000000,0.0378,0.038,0.0377,0.0378,355981
1667217600000,0.0379,0.0382,0.0378,0.038,635497
1667221200000,0.0379,0.038,0.0372,0.0372,666383
1667224800000,0.0372,0.0374,0.037,0.0373,1429227
1667228400000,0.0372,0.0376,0.0371,0.0374,298074
1667232000000,0.0374,0.0377,0.0374,0.0374,703223
1667235600000,0.0375,0.0384,0.0375,0.0378,2245023
1667239200000,0.0379,0.0381,0.0378,0.038,168570
1667242800000,0.0379,0.0379,0.0376,0.0377,134129
1667246400000,0.0377,0.038,0.0377,0.0379,135586
1667250000000,0.0379,0.0379,0.0378,0.0379,35320
1667253600000,0.0378,0.0381,0.0377,0.0379,153764
1667257200000,0.038,0.0381,0.0379,0.0381,97177
1667260800000,0.0381,0.0382,0.038,0.0382,367113
1667264400000,0.0381,0.0385,0.0381,0.0384,201700
1667268000000,0.0383,0.0383,0.0382,0.0383,71009
1667271600000,0.0384,0.0384,0.0382,0.0382,118376
1667275200000,0.0382,0.0382,0.038,0.038,322498
1667278800000,0.038,0.0381,0.0379,0.0379,218707
1667282400000,0.0378,0.0381,0.0378,0.0381,363802
1667286000000,0.0381,0.0381,0.0379,0.038,134545
1667289600000,0.038,0.0394,0.038,0.0388,6941315
1667293200000,0.0388,0.0393,0.0387,0.039,2019872
1667296800000,0.0391,0.0393,0.0388,0.039,2262090
1667300400000,0.039,0.0391,0.0385,0.0389,1864074
1667304000000,0.0388,0.0414,0.0386,0.0413,10318302
1667307600000,0.0413,0.042,0.0395,0.0402,27079884
1667311200000,0.0402,0.0404,0.0395,0.04,3095410
1667314800000,0.0402,0.042,0.0397,0.0406,5131613
1667318400000,0.0406,0.0409,0.0394,0.0395,5018632
1667322000000,0.0395,0.0399,0.0392,0.0395,1792044
1667325600000,0.0395,0.0408,0.0395,0.0401,2787401
1667329200000,0.04,0.0409,0.0399,0.0405,2468000
1667332800000,0.0404,0.0419,0.0403,0.0408,4938468
1667336400000,0.041,0.0415,0.0406,0.0409,1711380
1667340000000,0.041,0.0411,0.0406,0.0408,1086574
1667343600000,0.0407,0.0409,0.0404,0.0407,1405613
1667347200000,0.0408,0.0409,0.0405,0.0408,1205024
1667350800000,0.0409,0.0417,0.0408,0.0412,1890296
1667354400000,0.0413,0.0413,0.0405,0.041,1054492
1667358000000,0.041,0.0411,0.0408,0.0409,854614
1667361600000,0.0409,0.041,0.0406,0.0407,1298402
1667365200000,0.0406,0.0408,0.0404,0.0404,1183668
1667368800000,0.0404,0.0405,0.0398,0.04,1921061
1667372400000,0.0401,0.0401,0.0391,0.0394,2155721
1667376000000,0.0395,0.0398,0.0393,0.0397,818122
1667379600000,0.0399,0.04,0.0391,0.0392,713335
1667383200000,0.0391,0.0392,0.0385,0.0391,1647758
1667386800000,0.039,0.0393,0.039,0.0391,267379
1667390400000,0.0391,0.0392,0.0388,0.039,718210
1667394000000,0.039,0.0392,0.0388,0.0389,613650
1667397600000,0.0389,0.0392,0.0388,0.0391,397956
1667401200000,0.0391,0.0391,0.0389,0.0389,256722
1667404800000,0.0389,0.0393,0.0387,0.0391,799420
1667408400000,0.0393,0.0393,0.0387,0.0388,934821
1667412000000,0.0387,0.0401,0.0385,0.0395,4137162
1667415600000,0.0395,0.0396,0.0386,0.039,1204416
1667419200000,0.039,0.0392,0.0386,0.0387,986762
1667422800000,0.0388,0.039,0.0387,0.039,595389
1667426400000,0.0389,0.0391,0.0388,0.0388,308028
