date,open,high,low,close,volume
1667005200000,0.264,0.264,0.262,0.262,21237.4
1667008800000,0.262,0.264,0.262,0.264,7952.5
1667012400000,0.264,0.264,0.262,0.264,61536.8
1667016000000,0.264,0.264,0.261,0.263,107124.9
1667019600000,0.263,0.263,0.261,0.263,25758.4
1667023200000,0.262,0.265,0.262,0.265,101314.6
1667026800000,0.264,0.266,0.264,0.265,81987.8
1667030400000,0.265,0.267,0.264,0.265,212241.8
1667034000000,0.265,0.266,0.264,0.266,85637.6
1667037600000,0.266,0.266,0.263,0.263,94998.7
1667041200000,0.264,0.265,0.262,0.262,87217
1667044800000,0.262,0.265,0.262,0.265,58627.1
1667048400000,0.264,0.265,0.262,0.265,126478.1
1667052000000,0.264,0.266,0.263,0.264,80272
1667055600000,0.264,0.265,0.262,0.264,88010.9
1667059200000,0.263,0.266,0.261,0.266,287376.5
1667062800000,0.265,0.266,0.263,0.264,254373.6
1667066400000,0.264,0.266,0.264,0.265,177089.2
1667070000000,0.264,0.265,0.263,0.265,106155.3
1667073600000,0.265,0.267,0.263,0.266,109360.6
1667077200000,0.266,0.266,0.264,0.265,52144.3
1667080800000,0.266,0.266,0.262,0.264,120608.4
1667084400000,0.263,0.267,0.263,0.267,143136.6
1667088000000,0.266,0.267,0.265,0.266,36491.1
1667091600000,0.267,0.267,0.265,0.267,72417.6
1667095200000,0.267,0.267,0.265,0.266,19563
1667098800000,0.265,0.266,0.264,0.265,55772.3
1667102400000,0.265,0.266,0.265,0.265,19104.4
1667106000000,0.266,0.268,0.265,0.267,123682.8
1667109600000,0.267,0.27,0.265,0.268,228264.9
1667113200000,0.268,0.271,0.267,0.27,193067.5
1667116800000,0.27,0.27,0.263,0.266,287266.6
1667120400000,0.266,0.267,0.265,0.265,71222.3
1667124000000,0.265,0.268,0.264,0.267,199128.8
1667127600000,0.268,0.268,0.266,0.267,25767.3
1667131200000,0.267,0.267,0.265,0.267,46722.5
1667134800000,0.266,0.267,0.264,0.265,63698.8
1667138400000,0.264,0.267,0.264,0.266,48790.5
1667142000000,0.266,0.268,0.264,0.264,188188.7
1667145600000,0.263,0.265,0.263,0.264,116043.6
1667149200000,0.264,0.265,0.263,0.265,32910.6
1667152800000,0.265,0.265,0.263,0.265,44320
1667156400000,0.264,0.266,0.264,0.265,64637.8
1667160000000,0.265,0.265,0.263,0.264,64358.4
1667163600000,0.264,0.265,0.263,0.264,35322
1667167200000,0.263,0.264,0.26,0.264,188135.5
1667170800000,0.263,0.265,0.262,0.263,60521.5
1667174400000,0.263,0.264,0.262,0.263,49629.3
1667178000000,0.262,0.263,0.26,0.262,92959.8
1667181600000,0.262,0.262,0.259,0.261,25581
1667185200000,0.26,0.262,0.26,0.262,68712.4
1667188800000,0.261,0.262,0.26,0.262,34447.3
1667192400000,0.262,0.262,0.26,0.261,54632
1667196000000,0.26,0.262,0.26,0.261,40195.2
1667199600000,0.261,0.262,0.259,0.26,73216.5
