date,open,high,low,close,volume
1667005200000,0.1524,0.1529,0.152,0.1524,516875
1667008800000,0.1524,0.153,0.1519,0.1527,700321
1667012400000,0.1527,0.155,0.1524,0.1548,1972994
1667016000000,0.1547,0.1549,0.1534,0.1539,775180
1667019600000,0.154,0.1545,0.153,0.1538,1236306
1667023200000,0.1537,0.1549,0.1537,0.154,639080
1667026800000,0.1541,0.155,0.1538,0.1548,1020083
1667030400000,0.1548,0.1557,0.1541,0.1549,1270200
1667034000000,0.1549,0.1553,0.1546,0.1553,691214
1667037600000,0.1552,0.1556,0.1524,0.1527,1448038
1667041200000,0.1528,0.1531,0.1516,0.1523,827958
1667044800000,0.1522,0.1537,0.152,0.1535,1628561
1667048400000,0.1535,0.1535,0.1512,0.153,1513780
1667052000000,0.1529,0.1538,0.1523,0.1525,1007389
1667055600000,0.1526,0.1538,0.1524,0.1533,649087
1667059200000,0.1532,0.1556,0.153,0.1545,1607926
1667062800000,0.1546,0.1567,0.1523,0.153,1680526
1667066400000,0.153,0.1542,0.1519,0.1532,1185255
1667070000000,0.1533,0.1536,0.1513,0.1529,614911
1667073600000,0.1529,0.1539,0.1523,0.1537,1071240
1667077200000,0.1535,0.1542,0.1534,0.1536,373875
1667080800000,0.1535,0.1539,0.1515,0.1522,992702
1667084400000,0.1522,0.153,0.1511,0.1527,691626
1667088000000,0.1527,0.1535,0.1517,0.1518,405063
1667091600000,0.1517,0.153,0.1516,0.153,540783
1667095200000,0.1531,0.1533,0.1523,0.1532,327992
1667098800000,0.1532,0.1541,0.153,0.1535,959249
1667102400000,0.1536,0.1536,0.1527,0.153,303120
1667106000000,0.153,0.1551,0.1526,0.1537,1359432
1667109600000,0.1537,0.155,0.1532,0.1548,727662
1667113200000,0.1549,0.1604,0.1545,0.1597,4787249
1667116800000,0.1598,0.1598,0.1543,0.1568,2735412
1667120400000,0.1566,0.1587,0.1541,0.1557,2124266
1667124000000,0.1556,0.1576,0.1555,0.1561,1004807
1667127600000,0.1561,0.1576,0.156,0.1573,818230
1667131200000,0.1573,0.1575,0.156,0.157,977729
1667134800000,0.1572,0.1572,0.1538,0.1556,1331393
1667138400000,0.1556,0.1558,0.1538,0.1551,1247635
1667142000000,0.1551,0.1555,0.1516,0.1523,1757835
1667145600000,0.1523,0.1543,0.1512,0.152,1280279
1667149200000,0.1521,0.1535,0.1516,0.1534,678714
1667152800000,0.1534,0.1538,0.1527,0.1534,612955
1667156400000,0.1534,0.154,0.153,0.1531,531696
1667160000000,0.1531,0.1537,0.1527,0.1532,312887
1667163600000,0.1533,0.1538,0.1528,0.1533,386909
1667167200000,0.1533,0.1534,0.1489,0.1513,2105825
1667170800000,0.1513,0.152,0.1507,0.1512,813270
1667174400000,0.1512,0.1534,0.1509,0.1512,1295795
1667178000000,0.1512,0.1523,0.1499,0.151,1027460
1667181600000,0.151,0.1512,0.149,0.1504,892671
1667185200000,0.1504,0.1522,0.1501,0.1522,586994
1667188800000,0.1522,0.1529,0.1517,0.1521,758098
1667192400000,0.152,0.1525,0.1509,0.1513,586789
1667196000000,0.1515,0.1518,0.1497,0.1512,858803
1667199600000,0.1513,0.1518,0.1502,0.1518,396522
1667203200000,0.1518,0.1518,0.1497,0.1501,588488
1667206800000,0.15,0.154,0.1496,0.154,1411870
1667210400000,0.1541,0.1543,0.1525,0.154,1013074
1667214000000,0.1541,0.1549,0.1537,0.1542,831414
1667217600000,0.1543,0.1547,0.1531,0.1538,788038
1667221200000,0.1538,0.1554,0.1501,0.1501,1478437
1667224800000,0.15,0.1516,0.1495,0.1508,1373023
1667228400000,0.1508,0.1517,0.1504,0.1508,518024
1667232000000,0.1508,0.1526,0.1503,0.1512,900567
1667235600000,0.1512,0.152,0.1509,0.1511,789378
1667239200000,0.1511,0.152,0.1511,0.1516,397687
1667242800000,0.1516,0.1518,0.1505,0.1506,466808
1667246400000,0.1506,0.1517,0.1506,0.1508,1178473
1667250000000,0.1507,0.1512,0.1502,0.1507,260603
1667253600000,0.1506,0.152,0.1501,0.1516,825563
1667257200000,0.1516,0.152,0.151,0.151,672171
1667260800000,0.1512,0.1531,0.151,0.1523,1229571
1667264400000,0.1523,0.1534,0.1523,0.1527,575150
1667268000000,0.1526,0.1534,0.1525,0.1527,494268
1667271600000,0.1528,0.1535,0.1521,0.1524,368846
