date,open,high,low,close,volume
1667005200000,5.81,5.81,5.78,5.79,1897
1667008800000,5.79,5.82,5.79,5.82,995.47
1667012400000,5.82,5.89,5.82,5.88,5174.26
1667016000000,5.87,5.92,5.81,5.84,4769.34
1667019600000,5.82,5.83,5.78,5.8,2424.7
1667023200000,5.8,5.85,5.74,5.8,28290.97
1667026800000,5.81,5.84,5.79,5.81,7157.1
1667030400000,5.81,5.87,5.8,5.85,6332.02
1667034000000,5.86,5.89,5.85,5.87,7389.19
1667037600000,5.87,5.87,5.8,5.81,6594.52
1667041200000,5.8,5.8,5.75,5.78,5291.46
1667044800000,5.77,5.78,5.74,5.77,7877.83
1667048400000,5.77,5.79,5.71,5.77,9354.32
1667052000000,5.77,5.82,5.73,5.75,9392.22
1667055600000,5.75,5.78,5.73,5.77,4211.06
1667059200000,5.78,5.81,5.75,5.78,11155.81
1667062800000,5.8,5.82,5.66,5.73,12357.63
1667066400000,5.72,5.74,5.67,5.72,8636.62
1667070000000,5.71,5.77,5.66,5.71,16759.76
1667073600000,5.7,5.73,5.7,5.71,1243.72
1667077200000,5.71,5.74,5.71,5.74,2192.5
1667080800000,5.71,5.74,5.69,5.72,5506.53
1667084400000,5.71,5.77,5.69,5.76,2599.07
1667088000000,5.76,5.8,5.74,5.76,3067.19
1667091600000,5.74,5.8,5.73,5.78,4438.81
1667095200000,5.8,5.81,5.76,5.78,1307.02
1667098800000,5.79,5.82,5.79,5.81,1613.89
1667102400000,5.81,5.85,5.79,5.8,3327.41
1667106000000,5.8,5.8,5.77,5.77,3491.71
1667109600000,5.79,5.8,5.74,5.77,9315.35
1667113200000,5.77,5.81,5.75,5.78,3989.97
1667116800000,5.78,5.83,5.76,5.83,13019.31
1667120400000,5.81,5.87,5.76,5.76,6982.56
1667124000000,5.77,5.8,5.75,5.8,3522.59
1667127600000,5.8,5.8,5.76,5.8,5069.16
1667131200000,5.8,5.84,5.76,5.82,7976.52
1667134800000,5.83,5.86,5.8,5.85,16508.73
1667138400000,5.85,6.25,5.84,6.16,192415.17
1667142000000,6.17,6.25,5.98,6,99543.16
1667145600000,6,6.02,5.92,5.93,39425.74
1667149200000,5.94,6.02,5.87,5.99,18331.42
1667152800000,5.99,6.03,5.94,5.96,8269.82
1667156400000,5.96,6,5.89,5.9,11958.69
