date,open,high,low,close,volume
1667005200000,0.08568,0.08577,0.08471,0.08502,3878393.1
1667008800000,0.08514,0.08544,0.08465,0.08544,1389795.5
1667012400000,0.08537,0.08624,0.08534,0.08624,612849.3
1667016000000,0.08622,0.08632,0.08572,0.08583,328203.9
1667019600000,0.08583,0.08635,0.08583,0.08591,322003.8
1667023200000,0.08598,0.08671,0.08598,0.08667,1034313.5
1667026800000,0.08662,0.0867,0.0859,0.08613,811501.3
1667030400000,0.08618,0.0869,0.08608,0.08662,710858.6
1667034000000,0.08662,0.08785,0.08638,0.08744,1434168.6
1667037600000,0.08741,0.08753,0.08636,0.08656,925129.9
1667041200000,0.08652,0.08663,0.08619,0.08621,335105.4
1667044800000,0.08625,0.0865,0.08616,0.08634,285926.5
1667048400000,0.08634,0.08661,0.08608,0.08654,270628.7
1667052000000,0.08677,0.08776,0.08649,0.08654,1316531.2
1667055600000,0.08666,0.0873,0.086,0.08609,797583.7
1667059200000,0.08614,0.08671,0.08598,0.08633,1916179.5
1667062800000,0.08635,0.08642,0.08479,0.085,1814378.7
1667066400000,0.085,0.08537,0.08466,0.0853,1401463.5
1667070000000,0.08535,0.08576,0.08408,0.08482,2822319
1667073600000,0.08486,0.08564,0.08472,0.08553,651675.3
1667077200000,0.08562,0.08622,0.08557,0.08602,622680.3
1667080800000,0.08604,0.08663,0.0854,0.08548,1342029.3
1667084400000,0.08559,0.08571,0.08541,0.08571,144075.3
1667088000000,0.08562,0.08565,0.08512,0.08535,459593.6
1667091600000,0.08531,0.08595,0.08515,0.08594,229509.1
1667095200000,0.08594,0.08625,0.08522,0.08542,340555.7
1667098800000,0.08542,0.08572,0.0854,0.08566,148065.3
1667102400000,0.08565,0.08565,0.08522,0.08529,240366.3
1667106000000,0.0854,0.08571,0.0853,0.08564,186184.9
1667109600000,0.08566,0.08625,0.0856,0.08625,563547
1667113200000,0.08626,0.08638,0.08582,0.08626,815648
1667116800000,0.08637,0.0867,0.08522,0.08609,1082374.1
1667120400000,0.08609,0.08625,0.08494,0.08549,1042121.3
1667124000000,0.08546,0.0856,0.08493,0.0854,555570.9
1667127600000,0.08527,0.08553,0.08509,0.08553,270798.2
1667131200000,0.08541,0.086,0.0851,0.08589,657986.7
1667134800000,0.08588,0.08599,0.08477,0.08496,392249.1
1667138400000,0.08484,0.0859,0.08471,0.08548,574990.3
1667142000000,0.08539,0.08733,0.08507,0.08548,3261812.7
1667145600000,0.08546,0.08547,0.08477,0.08501,824755.7
1667149200000,0.08493,0.08525,0.08466,0.08484,437980.1
1667152800000,0.08495,0.08563,0.08478,0.08546,774179.8
1667156400000,0.08544,0.08544,0.08503,0.08504,288574.8
1667160000000,0.08507,0.08549,0.08477,0.08505,1015177.3
1667163600000,0.08491,0.08507,0.08459,0.08485,462305.3
1667167200000,0.08489,0.08489,0.0844,0.08459,509208.2
1667170800000,0.08442,0.08489,0.08441,0.08451,91867.1
1667174400000,0.08461,0.08473,0.08425,0.08448,266613.1
1667178000000,0.08451,0.08482,0.08424,0.08457,214074.2
1667181600000,0.08442,0.08449,0.08381,0.08404,409835.4
1667185200000,0.08399,0.08489,0.08398,0.08483,174603.1
1667188800000,0.08484,0.0849,0.08453,0.08466,169382.5
1667192400000,0.08456,0.08489,0.08445,0.08464,391988.9
1667196000000,0.0846,0.08471,0.08396,0.08418,362569.4
1667199600000,0.0842,0.08425,0.08399,0.0842,107973.2
1667203200000,0.0842,0.08442,0.08397,0.08421,355410.9
1667206800000,0.08407,0.08573,0.08407,0.0854,797370.4
1667210400000,0.08529,0.08568,0.085,0.0855,597085.3
1667214000000,0.08551,0.08561,0.08518,0.08534,96442.8
1667217600000,0.08544,0.08557,0.085,0.085,266521.8
1667221200000,0.08499,0.0854,0.0846,0.0846,686533.4
1667224800000,0.0846,0.08478,0.08412,0.08458,513630.4
1667228400000,0.08474,0.0848,0.08453,0.08453,129980.3
1667232000000,0.08449,0.08503,0.08422,0.0843,230665
1667235600000,0.08437,0.08476,0.08396,0.08403,767849.8
1667239200000,0.08405,0.08428,0.08387,0.08408,724206.8
1667242800000,0.08407,0.08411,0.08391,0.08406,209286
1667246400000,0.084,0.0841,0.08375,0.08388,168556.8
1667250000000,0.08385,0.08401,0.08375,0.08397,85208.4
1667253600000,0.08402,0.08414,0.08385,0.08414,132615.8
1667257200000,0.08417,0.08424,0.08397,0.08402,181863.7
1667260800000,0.08402,0.08431,0.08375,0.08424,210596.7
1667264400000,0.08431,0.08483,0.08431,0.08477,235712.1
1667268000000,0.0848,0.08497,0.08465,0.08474,141886
1667271600000,0.08482,0.08487,0.08462,0.08464,73530.7
1667275200000,0.08465,0.08535,0.08442,0.08534,664737.1
1667278800000,0.08534,0.08542,0.08492,0.08494,151441.9
1667282400000,0.08493,0.08536,0.0849,0.08515,83268
1667286000000,0.08528,0.08583,0.08498,0.08524,1005320.7
1667289600000,0.08522,0.08538,0.08505,0.08508,199194.9
1667293200000,0.08509,0.08525,0.08467,0.08489,473204.3
1667296800000,0.08479,0.08517,0.08462,0.08513,141414.2
1667300400000,0.08514,0.08514,0.08424,0.08448,393466.7
1667304000000,0.08452,0.08474,0.0842,0.08448,147589.4
1667307600000,0.0845,0.08494,0.08373,0.084,590923.7
1667311200000,0.08406,0.08435,0.08336,0.08393,359403.9
1667314800000,0.08396,0.08412,0.08353,0.08387,663411.8
1667318400000,0.08383,0.08414,0.08332,0.08346,264996.3
1667322000000,0.08335,0.08373,0.0833,0.08373,188557.5
1667325600000,0.08373,0.08424,0.08357,0.08379,319595.5
1667329200000,0.08384,0.08424,0.08377,0.08387,145795.1
1667332800000,0.08401,0.08401,0.08353,0.08377,127032.3
1667336400000,0.08384,0.08436,0.08356,0.08417,545917.6
1667340000000,0.08401,0.08433,0.08401,0.08404,80234.8
1667343600000,0.08426,0.08476,0.08414,0.08428,273403.3
1667347200000,0.08426,0.08431,0.08375,0.08378,226200
1667350800000,0.08379,0.08382,0.08373,0.08373,28702.9
1667354400000,0.08371,0.08371,0.08288,0.0831,953254.5
1667358000000,0.08313,0.08343,0.08299,0.08314,378700.2
1667361600000,0.083,0.08435,0.08283,0.08433,1217770.5
1667365200000,0.0843,0.0844,0.08343,0.08343,509869.3
1667368800000,0.08346,0.08354,0.08314,0.08334,117620.5
1667372400000,0.08335,0.08343,0.08219,0.08251,282634.5
1667376000000,0.08257,0.0831,0.08223,0.08309,233241.2
1667379600000,0.08301,0.08311,0.0819,0.082,412981.7
1667383200000,0.08204,0.08204,0.081,0.08157,307654.7
