date,open,high,low,close,volume
1667005200000,0.6015,0.6017,0.6003,0.6003,3541
1667008800000,0.6003,0.6031,0.6002,0.6031,8023
1667012400000,0.6031,0.6059,0.6031,0.6055,42724
1667016000000,0.6059,0.6085,0.6056,0.6078,31512
1667019600000,0.6078,0.6079,0.6066,0.6079,24537
1667023200000,0.608,0.6092,0.608,0.6092,26566
1667026800000,0.6084,0.61,0.6083,0.6084,60083
1667030400000,0.6084,0.6099,0.6063,0.608,68930
1667034000000,0.608,0.6126,0.6066,0.6112,43620
1667037600000,0.6105,0.6115,0.6052,0.6065,31375
1667041200000,0.6064,0.6073,0.605,0.605,40286
1667044800000,0.6061,0.6101,0.6061,0.6079,33005
1667048400000,0.6079,0.611,0.606,0.6063,48145
1667052000000,0.6067,0.6106,0.6053,0.6066,19722
1667055600000,0.6065,0.607,0.605,0.605,55072
1667059200000,0.6051,0.619,0.6046,0.6111,251529
1667062800000,0.6103,0.6122,0.6071,0.6072,77485
1667066400000,0.6072,0.6079,0.6029,0.6039,68374
1667070000000,0.6039,0.613,0.6015,0.6049,204074
1667073600000,0.6063,0.6086,0.6048,0.6064,14445
1667077200000,0.6079,0.6093,0.6066,0.6076,8559
1667080800000,0.6077,0.6083,0.6066,0.6068,5401
1667084400000,0.6069,0.6085,0.6055,0.6081,25302
1667088000000,0.6071,0.6083,0.6056,0.6056,8773
1667091600000,0.6064,0.6092,0.6055,0.6082,11028
1667095200000,0.6091,0.6091,0.6082,0.6091,2800
1667098800000,0.6092,0.6107,0.6087,0.6098,6897
1667102400000,0.6102,0.6106,0.6087,0.6093,13948
1667106000000,0.6093,0.6102,0.5501,0.5917,2133748
1667109600000,0.5912,0.596,0.5911,0.596,66806
1667113200000,0.5957,0.5993,0.5949,0.5959,71668
1667116800000,0.5959,0.5974,0.583,0.5959,258509
1667120400000,0.596,0.605,0.586,0.5905,239057
1667124000000,0.5905,0.594,0.589,0.5925,81087
1667127600000,0.5913,0.596,0.5898,0.592,41737
1667131200000,0.592,0.5926,0.5866,0.5925,46874
1667134800000,0.5923,0.5928,0.5874,0.5901,59537
1667138400000,0.5895,0.5983,0.5892,0.5983,44441
1667142000000,0.5977,0.5984,0.5945,0.5946,56205
1667145600000,0.5946,0.5949,0.5857,0.5857,129743
1667149200000,0.5857,0.5887,0.5849,0.5886,61583
1667152800000,0.5887,0.5898,0.587,0.5887,27744
1667156400000,0.5885,0.5905,0.5871,0.5876,27116
1667160000000,0.587,0.5879,0.5857,0.5867,19403
1667163600000,0.5875,0.5901,0.5866,0.5896,16696
1667167200000,0.5885,0.5893,0.5861,0.5893,13739
1667170800000,0.5899,0.5899,0.5862,0.5889,3780
1667174400000,0.5875,0.5897,0.5873,0.5873,8433
1667178000000,0.5865,0.5922,0.5865,0.587,19424
1667181600000,0.5869,0.5869,0.583,0.5841,22961
1667185200000,0.5835,0.5861,0.5822,0.5861,27432
1667188800000,0.5856,0.5861,0.5842,0.585,10554
1667192400000,0.5853,0.595,0.5846,0.5947,77694
1667196000000,0.5948,0.5954,0.5861,0.5876,33689
1667199600000,0.5876,0.5877,0.5855,0.5855,16939
1667203200000,0.5854,0.5884,0.5818,0.5843,46397
1667206800000,0.5848,0.5889,0.5842,0.5889,24272
1667210400000,0.5889,0.5938,0.5877,0.5911,78931
1667214000000,0.5904,0.5908,0.5877,0.5903,60282
1667217600000,0.5907,0.5916,0.5883,0.5898,28647
1667221200000,0.5905,0.591,0.5855,0.5855,55324
1667224800000,0.5855,0.5867,0.5823,0.5833,48188
1667228400000,0.5833,0.5877,0.583,0.5861,21505
1667232000000,0.5852,0.5875,0.5832,0.5837,19958
1667235600000,0.5839,0.5861,0.5837,0.586,7464
1667239200000,0.5851,0.5882,0.5849,0.5868,8994
1667242800000,0.5869,0.5871,0.5821,0.5821,19739
1667246400000,0.5821,0.5865,0.5821,0.5856,9503
1667250000000,0.5835,0.5855,0.5834,0.5837,5134
1667253600000,0.5852,0.587,0.5845,0.5858,1206
1667257200000,0.5871,0.5872,0.5859,0.5872,1925
1667260800000,0.5865,0.5876,0.5838,0.5862,11140
1667264400000,0.5862,0.5887,0.5861,0.5886,9678
1667268000000,0.5889,0.5889,0.5866,0.5886,27203
1667271600000,0.5887,0.5893,0.5868,0.5873,2875
1667275200000,0.5873,0.5876,0.5866,0.5869,24371
1667278800000,0.5869,0.5888,0.5866,0.5869,12289
1667282400000,0.5869,0.5889,0.5866,0.5885,8527
1667286000000,0.5887,0.5894,0.5866,0.5884,24123
1667289600000,0.5895,0.5898,0.587,0.587,10315
1667293200000,0.5882,0.5888,0.5868,0.5881,15126
1667296800000,0.587,0.5885,0.5866,0.5873,18159
1667300400000,0.5867,0.587,0.5837,0.5839,30606
1667304000000,0.5839,0.5867,0.5834,0.5851,26702
1667307600000,0.5851,0.5851,0.5817,0.5824,37266
1667311200000,0.5823,0.5842,0.5802,0.5817,34769
1667314800000,0.5819,0.5928,0.5815,0.5865,119361
1667318400000,0.5861,0.587,0.5802,0.5823,53221
1667322000000,0.581,0.5961,0.5805,0.5837,191174
1667325600000,0.5838,0.5838,0.5815,0.5824,47145
1667329200000,0.5829,0.5839,0.5807,0.5815,15801
1667332800000,0.5814,0.5879,0.581,0.583,39337
1667336400000,0.5832,0.5851,0.5825,0.584,13858
1667340000000,0.5839,0.585,0.5838,0.5841,1920
1667343600000,0.5842,0.5847,0.5838,0.5838,9555
1667347200000,0.5838,0.5845,0.5807,0.5837,28542
1667350800000,0.5835,0.5835,0.582,0.5821,1510
1667354400000,0.5812,0.5817,0.5785,0.5796,22049
1667358000000,0.5788,0.5813,0.5787,0.5813,8661
1667361600000,0.581,0.5813,0.5798,0.58,5267
1667365200000,0.5806,0.5813,0.5769,0.5774,20328
1667368800000,0.5768,0.5779,0.576,0.5775,30357
1667372400000,0.5775,0.5785,0.5745,0.5779,30394
1667376000000,0.5779,0.5792,0.5776,0.5787,3885
1667379600000,0.5792,0.5793,0.573,0.573,28824
1667383200000,0.5728,0.5728,0.5654,0.568,75946
1667386800000,0.5677,0.5702,0.5677,0.5689,9032
1667390400000,0.5679,0.5689,0.5664,0.5669,8695
1667394000000,0.5672,0.5682,0.5664,0.5664,10683
1667397600000,0.5671,0.5706,0.5664,0.5701,20854
1667401200000,0.5702,0.5709,0.5691,0.5699,7115
1667404800000,0.5697,0.5732,0.569,0.5725,13299
1667408400000,0.5719,0.5725,0.5671,0.5683,16839
1667412000000,0.5673,0.5793,0.5673,0.5711,136326
1667415600000,0.5711,0.5753,0.5645,0.5664,67240
1667419200000,0.5663,0.5684,0.5616,0.5657,37943
1667422800000,0.5657,0.5676,0.5636,0.5669,10732
1667426400000,0.5675,0.5676,0.5651,0.5654,45514
1667430000000,0.5658,0.5671,0.5649,0.5659,11686
1667433600000,0.5658,0.5696,0.5624,0.5691,27085
1667437200000,0.5693,0.5731,0.5693,0.573,10456
1667440800000,0.5733,0.5749,0.5726,0.5746,28712
1667444400000,0.5745,0.5771,0.574,0.5767,20074
1667448000000,0.5767,0.58,0.576,0.5764,33806
1667451600000,0.5778,0.58,0.5778,0.5798,16709
1667455200000,0.5794,0.5837,0.5777,0.5807,40534
1667458800000,0.5807,0.5822,0.5778,0.5783,41205
1667462400000,0.5785,0.5903,0.5767,0.5801,78079
1667466000000,0.5802,0.5822,0.5791,0.5817,26930
1667469600000,0.5817,0.5841,0.58,0.5821,57746
1667473200000,0.5811,0.5821,0.5759,0.5773,72820
1667476800000,0.5773,0.5806,0.5761,0.5765,13961
1667480400000,0.5764,0.5813,0.5764,0.5776,24752
1667484000000,0.5776,0.5833,0.5776,0.5816,20489
1667487600000,0.5816,0.5817,0.5794,0.5815,13434
1667491200000,0.5815,0.584,0.5811,0.5826,34025
1667494800000,0.5826,0.584,0.5807,0.5824,27124
1667498400000,0.5829,0.585,0.5813,0.5842,32822
1667502000000,0.5836,0.5898,0.5826,0.5857,48957
1667505600000,0.5848,0.5862,0.5815,0.5841,23210
1667509200000,0.5833,0.5844,0.5809,0.5815,22079
1667512800000,0.5809,0.5809,0.5774,0.5778,16167
1667516400000,0.5771,0.5798,0.5767,0.5792,11442
1667520000000,0.5773,0.5824,0.5769,0.5821,20699
1667523600000,0.5823,0.5838,0.5797,0.5805,16062
1667527200000,0.5807,0.5842,0.5807,0.5842,8996
1667530800000,0.5843,0.5882,0.5835,0.5863,15527
1667534400000,0.5872,0.588,0.5851,0.5861,50743
1667538000000,0.5854,0.5926,0.5845,0.59,47361
1667541600000,0.5908,0.5927,0.5836,0.5905,111300
1667545200000,0.5914,0.5934,0.5895,0.5907,48006
1667548800000,0.5908,0.6067,0.5899,0.5976,247697
1667552400000,0.5974,0.5976,0.5897,0.5943,118571
1667556000000,0.5943,0.5949,0.5921,0.5931,45139
1667559600000,0.5931,0.5939,0.5909,0.592,42168
1667563200000,0.5926,0.5963,0.5905,0.5948,47418
1667566800000,0.5951,0.6022,0.5928,0.5945,162297
1667570400000,0.5944,0.602,0.5944,0.5995,78800
1667574000000,0.5995,0.5995,0.5932,0.5936,46308
1667577600000,0.5934,0.5952,0.5904,0.5927,47721
1667581200000,0.5924,0.5953,0.591,0.5949,36520
1667584800000,0.5949,0.5959,0.5914,0.5946,31815
1667588400000,0.5955,0.5992,0.5955,0.5989,46188
1667592000000,0.5989,0.604,0.5989,0.5992,86223
1667595600000,0.6004,0.604,0.5998,0.6014,27964
1667599200000,0.6014,0.6045,0.6004,0.6038,28601
