date,open,high,low,close,volume
1667005200000,51.69,51.74,51.38,51.43,2162.925
1667008800000,51.43,51.51,51.01,51.28,4776.102
1667012400000,51.29,52.12,51.27,51.93,13771.926
1667016000000,51.93,52.21,51.64,51.7,3965.873
1667019600000,51.71,51.96,51.55,51.75,2467.282
1667023200000,51.75,51.94,51.46,51.48,2744.454
1667026800000,51.48,51.67,51.4,51.66,3022.135
1667030400000,51.67,52.41,51.55,52.39,8278.262
1667034000000,52.4,52.43,52.14,52.31,4502.911
1667037600000,52.3,52.45,51.58,51.72,4707.364
1667041200000,51.75,51.76,51.14,51.23,3372.166
1667044800000,51.22,51.56,51.08,51.51,3550.115
1667048400000,51.49,51.51,50.63,51.06,6093.056
1667052000000,51.06,51.21,50.74,50.99,15697.195
1667055600000,50.98,51.1,50.68,50.99,5615.983
1667059200000,50.99,52.3,50.81,51.95,9659.03
1667062800000,51.96,52.45,50.91,51.21,9878.884
1667066400000,51.19,51.68,50.85,51.43,5558.242
1667070000000,51.43,51.51,50.8,51.2,4941.675
1667073600000,51.21,51.39,51.04,51.31,1357.257
1667077200000,51.3,51.49,51.25,51.25,571.42
1667080800000,51.27,51.33,50.41,50.56,5778.19
1667084400000,50.55,51.07,50.26,51.02,4163.377
1667088000000,51.03,51.18,50.68,50.85,3384.567
1667091600000,50.86,51.51,50.77,51.43,2184.161
1667095200000,51.46,51.66,51.41,51.42,2408.929
1667098800000,51.44,51.85,51.44,51.85,1812.015
1667102400000,51.86,52.09,51.69,51.83,1963.656
1667106000000,51.82,52.38,51.81,52.17,4342.693
1667109600000,52.16,52.44,51.73,52.09,3461.301
1667113200000,52.12,52.97,51.85,52.91,7926.166
1667116800000,52.9,53.36,51.85,52.27,7688.247
1667120400000,52.3,53.03,51.66,52.18,6889.216
1667124000000,52.18,52.59,51.93,52.2,3618.616
1667127600000,52.22,52.58,52.07,52.49,2546.056
1667131200000,52.47,52.48,51.82,52.4,3491.73
1667134800000,52.38,52.42,51.57,51.65,3139.174
1667138400000,51.61,51.8,51.06,51.4,8290.535
1667142000000,51.38,51.38,50.56,50.61,4039.535
1667145600000,50.63,51.04,50.22,50.64,2988.993
1667149200000,50.66,50.76,50.5,50.74,1849.594
1667152800000,50.74,50.78,50.43,50.67,1797.006
1667156400000,50.67,50.82,50.54,50.55,1028.047
1667160000000,50.56,50.87,50.52,50.71,961.279
1667163600000,50.7,50.93,50.7,50.82,1053.702
1667167200000,50.85,50.85,49.71,50.26,9304.337
1667170800000,50.24,50.52,50.11,50.39,2534.683
1667174400000,50.38,50.82,50.19,50.2,4371.852
1667178000000,50.26,50.52,49.9,50.29,4021.351
1667181600000,50.29,50.4,49.84,50.14,3881.082
1667185200000,50.12,51.09,50.11,50.8,3449.286
1667188800000,50.79,51.05,50.63,50.76,2014.746
1667192400000,50.75,50.88,50.57,50.65,1657.6
1667196000000,50.68,50.74,50.09,50.46,1454.06
1667199600000,50.45,50.53,50.14,50.5,1216.677
1667203200000,50.52,50.53,49.89,50.06,2841.988
1667206800000,50.02,51.28,49.9,51.13,3543.271
1667210400000,51.15,51.32,50.73,50.98,3574.539
1667214000000,51.01,51.3,50.95,51.05,2774.078
1667217600000,51.05,51.36,50.82,51.03,2266.422
1667221200000,50.99,51.36,49.53,49.54,9274.556
1667224800000,49.53,50.06,49.43,49.74,10069.216
1667228400000,49.72,50.25,49.59,49.97,2592.658
1667232000000,49.96,50.4,49.63,49.98,2949.182
1667235600000,49.92,50.24,49.85,49.96,1334
1667239200000,49.98,50.42,49.98,50.17,2389.815
1667242800000,50.19,50.25,49.84,49.87,1256.306
1667246400000,49.89,50.4,49.84,50.13,2412.5
1667250000000,50.11,50.18,49.95,50.02,878.318
1667253600000,50.08,50.44,49.82,50.43,2113.051
1667257200000,50.43,50.46,50.19,50.19,1223.505
1667260800000,50.2,50.66,49.75,50.16,5404.213
1667264400000,50.17,50.36,50.04,50.08,1224.621
1667268000000,50.1,50.24,49.75,49.76,2198.43
1667271600000,49.76,50.03,49.62,49.77,3116.4
1667275200000,49.76,49.86,49.35,49.81,4650.309
1667278800000,49.81,49.96,49.61,49.75,2088.61
1667282400000,49.76,50.1,49.66,50.04,1823.841
1667286000000,50.08,50.11,49.79,50.01,863.075
1667289600000,50,50.36,49.99,50.14,2473.14
1667293200000,50.14,50.49,50.04,50.14,2894.281
1667296800000,50.16,50.28,49.97,50.28,2619.553
1667300400000,50.27,50.3,49.64,50.06,3750.313
1667304000000,50.06,50.22,49.78,50.19,1866.689
1667307600000,50.19,50.25,49.37,49.57,2461.297
1667311200000,49.57,49.57,49.11,49.24,10397.699
1667314800000,49.21,49.45,48.87,49.27,3721.967
1667318400000,49.24,49.35,48.52,48.68,8617.656
1667322000000,48.68,48.82,48.53,48.66,4261.712
1667325600000,48.66,48.89,48.63,48.86,4344.612
1667329200000,48.89,48.95,48.54,48.61,7255.082
1667332800000,48.59,48.6,48.34,48.52,13748.368
1667336400000,48.54,48.67,48.39,48.51,7008.958
1667340000000,48.51,48.6,48.45,48.57,1562.697
1667343600000,48.57,48.69,48.44,48.47,1787.547
1667347200000,48.47,48.51,47.77,48.38,5731.429
1667350800000,48.43,48.85,48.38,48.42,4782.591
1667354400000,48.43,48.45,48.02,48.19,2098.34
1667358000000,48.23,48.52,48.21,48.27,2074.647
1667361600000,48.27,48.37,48.11,48.17,1543.078
1667365200000,48.2,48.52,48.06,48.08,3886.832
1667368800000,48.08,48.15,47.87,47.97,3017.122
1667372400000,47.96,48.03,47.14,47.44,7236.86
1667376000000,47.43,48.12,47.34,47.97,3970.832
1667379600000,48.02,48.19,46.65,46.84,5753.654
1667383200000,46.83,46.86,46.31,46.78,6416.607
1667386800000,46.76,47.09,46.76,47,2316.301
1667390400000,46.97,46.98,46.57,46.69,1952.843
1667394000000,46.69,47.01,46.52,46.8,3690.841
1667397600000,46.79,47.2,46.72,46.9,2535.082
1667401200000,46.92,46.96,46.72,46.92,988.182
1667404800000,46.91,47.29,46.54,47.29,2285.034
1667408400000,47.27,47.33,46.5,46.78,2097.552
1667412000000,46.77,48.62,46.48,47.36,19636.362
1667415600000,47.36,48.1,46.29,46.58,10046.53
1667419200000,46.57,46.77,45.48,45.96,9979.247
1667422800000,45.93,46.38,45.88,46.34,1921.729
1667426400000,46.3,46.58,46.01,46.25,2701.707
1667430000000,46.23,46.63,46.16,46.57,1167.576
1667433600000,46.57,47.6,46.48,47.36,3255.344
1667437200000,47.39,47.97,47.35,47.92,4170.371
1667440800000,47.93,48.42,47.79,48.21,4350.604
1667444400000,48.26,48.53,48.16,48.42,2354.261
1667448000000,48.46,48.94,48.37,48.46,4182.024
1667451600000,48.47,48.72,48.35,48.72,1201.843
1667455200000,48.72,48.82,48.18,48.67,4903.52
1667458800000,48.66,49.2,48.22,48.25,3868.201
1667462400000,48.23,48.73,48.23,48.6,1549.111
1667466000000,48.61,48.93,48.61,48.81,1878.198
1667469600000,48.86,49.2,48.71,48.72,2880.332
1667473200000,48.78,48.84,47.63,48.02,3981.553
1667476800000,48.06,48.43,47.63,47.95,2134.294
1667480400000,47.99,48.81,47.99,48,2722.378
1667484000000,48.03,49.02,48.03,48.82,2479.947
1667487600000,48.8,48.84,48.32,48.35,1997.961
1667491200000,48.32,48.6,48.21,48.58,2228.659
1667494800000,48.56,48.6,48.25,48.25,1634.28
1667498400000,48.28,48.39,47.92,48.39,3281.827
1667502000000,48.37,48.44,48,48.17,1867.526
1667505600000,48.18,48.25,47.88,47.97,1700.596
1667509200000,47.96,48.27,47.91,48.18,1493.203
1667512800000,48.18,48.18,47.39,47.51,4275.48
1667516400000,47.51,47.76,47.21,47.6,2135.389
1667520000000,47.62,48.05,47.27,47.99,3239.904
1667523600000,48,48.27,47.63,47.98,2702.257
1667527200000,47.99,48.51,47.97,48.12,3491.633
1667530800000,48.12,49.31,48.12,49.27,8658.13
1667534400000,49.26,49.45,48.9,49.24,4329.727
1667538000000,49.26,49.35,48.7,49,4627.395
1667541600000,49,50,49,49.99,4227.715
1667545200000,50,50.75,49.8,50.52,8062.823
1667548800000,50.48,52.39,50.22,50.24,18598.787
1667552400000,50.28,50.36,49.94,50.13,3261.88
1667556000000,50.13,50.72,50.01,50.64,2447.04
1667559600000,50.63,50.71,49.75,49.79,3001.175
1667563200000,49.79,50.84,49.32,50.82,8089.684
1667566800000,50.83,51,50.09,50.44,4142.135
1667570400000,50.48,51.88,50.42,51.67,9906.509
1667574000000,51.6,51.66,49.92,49.93,8707.431
1667577600000,49.94,50.92,49.86,50.92,5247.199
1667581200000,50.91,51.01,50.63,50.87,1989.361
1667584800000,50.86,51.25,50.61,51.16,1766.268
1667588400000,51.16,51.71,51.13,51.7,2362.439
1667592000000,51.71,52.3,51.58,52.03,5664.405
1667595600000,52.04,52.16,51.98,52.11,2203.846
1667599200000,52.1,52.1,51.55,51.57,4745.593
1667602800000,51.57,51.7,51.25,51.7,2884.486
1667606400000,51.71,52.79,51.7,52.53,8130.134
1667610000000,52.54,53.31,52.46,52.65,5661.7
1667613600000,52.61,52.84,52.45,52.83,1229.286
1667617200000,52.8,52.82,51.89,52.22,4105.557
1667620800000,52.23,52.51,51.85,51.9,3172.679
1667624400000,51.91,52.24,51.74,52.17,4908.415
1667628000000,52.14,52.78,52.06,52.61,4235.122
1667631600000,52.61,52.84,52.44,52.66,1805.032
1667635200000,52.66,52.69,51.4,52.12,5958.959
1667638800000,52.13,52.3,51.59,52.07,5024.548
1667642400000,52.02,52.51,52,52.22,4320.57
1667646000000,52.24,52.69,52.13,52.22,2342.072
1667649600000,52.21,52.5,51.81,52.26,3334.48
1667653200000,52.25,52.44,51.72,52.11,1967.587
1667656800000,52.13,52.6,51.75,52.14,3356.63
1667660400000,52.12,53.01,51.98,52.25,6669.753
1667664000000,52.26,52.49,52.01,52.11,7736.932
1667667600000,52.11,52.38,51.9,52.25,4063.584
1667671200000,52.25,52.3,51.5,51.68,3204.425
1667674800000,51.67,52.02,51.63,51.93,1438.855
1667678400000,51.96,52,51.73,51.93,1358.805
1667682000000,51.91,51.95,51.8,51.93,446.56
1667685600000,51.95,52.32,51.9,52.07,2411.994
1667689200000,52.06,52.17,50.76,51.9,12303.097
1667692800000,51.84,52.07,51,51.65,7606.154
1667696400000,51.62,51.87,50.34,50.61,12126.174
1667700000000,50.61,51.16,50.61,50.75,2386.693
1667703600000,50.74,51.44,50.74,51.21,3237.322
1667707200000,51.2,51.68,51.2,51.38,3621.653
1667710800000,51.35,51.37,50.92,50.92,1641.843
1667714400000,50.92,51.12,50.91,51.06,716.048
1667718000000,51.06,51.24,50.98,51.21,999.143
1667721600000,51.2,51.51,50.91,51.32,2120.948
1667725200000,51.32,51.45,51.18,51.18,738.322
1667728800000,51.21,51.46,51.21,51.41,958.896
1667732400000,51.43,51.49,50.96,51.09,1324.989
1667736000000,51.12,51.24,50.74,50.81,3129.216
1667739600000,50.81,51.14,50.73,51.02,2053.531
1667743200000,51.02,51.41,50.79,51.33,1915.564
1667746800000,51.34,51.66,51.29,51.3,2681.356
1667750400000,51.29,51.42,50.45,51.06,6247.725
1667754000000,51.06,51.16,50.7,50.96,1581.766
1667757600000,50.94,50.95,50.46,50.56,1759.689
1667761200000,50.56,50.6,50.08,50.38,2568.008
1667764800000,50.35,50.39,50.11,50.35,1377.146
1667768400000,50.34,50.42,50,50.03,2083.97
1667772000000,50.03,50.27,49.57,49.94,2854.345
1667775600000,49.83,50.02,48.44,48.47,8450.84
1667779200000,48.47,49.14,48.47,48.72,3082.859
1667782800000,48.7,49.33,48.57,49.23,3778.089
1667786400000,49.22,49.57,49.15,49.37,1700.296
1667790000000,49.35,49.46,49.25,49.45,1274.173
1667793600000,49.45,49.45,49.11,49.37,1036.705
1667797200000,49.37,49.86,49.25,49.64,2044.03
1667800800000,49.63,50.08,49.35,49.42,3187.319
1667804400000,49.41,49.41,48.19,48.19,8702.24
1667808000000,48.19,49.41,48.1,49.35,3937.119
1667811600000,49.42,49.78,49.35,49.5,2163.945
1667815200000,49.5,50.44,49.5,49.97,5274.841
1667818800000,49.97,50.24,49.97,50.17,1444.462
1667822400000,50.16,50.45,49.81,50.2,2101.011
1667826000000,50.21,50.39,49.73,49.85,1831.346
1667829600000,49.85,50.27,49.46,49.61,2281.73
1667833200000,49.7,50.7,49.69,50.69,4131.292
1667836800000,50.7,50.86,49.64,49.72,2743.909
1667840400000,49.7,50.1,49.7,49.98,1045.871
1667844000000,50.07,50.33,49.97,50.12,1235.339
1667847600000,50.13,50.72,50.01,50.62,2035.61
1667851200000,50.68,50.82,50.4,50.57,1028.873
1667854800000,50.55,50.72,49.86,50.28,3548.347
1667858400000,50.28,50.29,48.93,49.69,5954.989
1667862000000,49.69,50.38,49.69,50.16,3980.512
1667865600000,50.19,50.71,49.95,50.04,3406.573
1667869200000,50.01,51.02,49.9,50.57,7163.924
1667872800000,50.57,50.98,49.35,49.35,4284.224
1667876400000,49.34,49.83,47.72,47.93,10254.309
1667880000000,47.9,48.47,46.24,46.86,23952.623
1667883600000,46.75,47.11,45.31,46.36,8737.186
1667887200000,46.33,47.22,45.95,47.11,5712.363
1667890800000,47.1,47.5,46.92,47.17,6245.846
1667894400000,47.15,47.26,46.81,46.97,3305.358
1667898000000,46.92,47.61,46.88,47.3,5268.366
