date,open,high,low,close,volume
1667005200000,0.00555,0.00556,0.00553,0.00554,1760046.5
1667008800000,0.00555,0.00556,0.00553,0.00555,599723.9
1667012400000,0.00555,0.00558,0.00554,0.00558,2145888.1
1667016000000,0.00558,0.00559,0.00554,0.00554,1932341.8
1667019600000,0.00555,0.00556,0.00553,0.00555,3426608.9
1667023200000,0.00554,0.00556,0.00553,0.00554,3937778.2
1667026800000,0.00554,0.00558,0.00552,0.00557,6467321.2
1667030400000,0.00558,0.00565,0.00557,0.00564,11494443.8
1667034000000,0.00564,0.00565,0.00561,0.00563,3087617.8
1667037600000,0.00563,0.00565,0.00558,0.00558,2916387.3
1667041200000,0.00558,0.00559,0.00556,0.00557,3340377.2
1667044800000,0.00557,0.00559,0.00556,0.00557,2921223.9
1667048400000,0.00558,0.00559,0.00555,0.00556,2379696
1667052000000,0.00556,0.00561,0.00555,0.00555,2522412.4
1667055600000,0.00555,0.00558,0.00555,0.00555,3065325.5
1667059200000,0.00556,0.00561,0.00555,0.0056,5189121.3
1667062800000,0.00559,0.00564,0.00557,0.00558,7223036.9
1667066400000,0.00558,0.00561,0.00554,0.00556,3206929.6
1667070000000,0.00558,0.00561,0.00556,0.00558,3014991.9
1667073600000,0.00559,0.00559,0.00557,0.00558,762154.7
1667077200000,0.00559,0.00563,0.00557,0.00559,2803455.4
1667080800000,0.00559,0.0056,0.00556,0.00557,1466122
1667084400000,0.00557,0.00564,0.00556,0.00561,4641070.9
1667088000000,0.00562,0.00564,0.0056,0.00561,3164913
1667091600000,0.00562,0.00564,0.00561,0.00562,1955333.2
1667095200000,0.00562,0.00564,0.00561,0.00563,1229122.5
1667098800000,0.00563,0.00567,0.00563,0.00566,2603580.9
1667102400000,0.00566,0.00566,0.00564,0.00564,823049.6
1667106000000,0.00564,0.00567,0.00564,0.00565,2801963.5
1667109600000,0.00565,0.00569,0.00565,0.00568,3981437.7
1667113200000,0.00568,0.00581,0.00568,0.00574,18998229.6
1667116800000,0.00575,0.0058,0.00566,0.0057,8629909.3
1667120400000,0.00571,0.00578,0.00568,0.00569,5816551.1
1667124000000,0.00569,0.0057,0.00567,0.00568,1597928.4
1667127600000,0.00568,0.00572,0.00568,0.0057,4889993.1
1667131200000,0.00569,0.0057,0.00566,0.00567,2189638.2
1667134800000,0.00568,0.00568,0.00565,0.00566,3029203.7
1667138400000,0.00565,0.00575,0.00564,0.0057,4373034.5
1667142000000,0.00571,0.00574,0.00566,0.00568,5792068.1
1667145600000,0.00568,0.00573,0.00564,0.00566,6080604.6
1667149200000,0.00566,0.0057,0.00564,0.00567,1265169.6
1667152800000,0.00568,0.00571,0.00565,0.0057,1750540.3
1667156400000,0.0057,0.00572,0.00567,0.00569,3468393.8
1667160000000,0.00569,0.00572,0.00565,0.0057,3365508.8
1667163600000,0.00569,0.00571,0.00561,0.00562,10659658.1
1667167200000,0.00561,0.00562,0.00552,0.00555,6937306.4
1667170800000,0.00555,0.00558,0.00554,0.00557,1452687.2
1667174400000,0.00557,0.00559,0.00554,0.00555,1164037.9
1667178000000,0.00555,0.00557,0.00552,0.00553,1860151.5
1667181600000,0.00553,0.00553,0.0055,0.00552,1706187.9
1667185200000,0.00551,0.00555,0.00551,0.00554,2213181.5
1667188800000,0.00555,0.00555,0.00553,0.00555,1285193.7
1667192400000,0.00554,0.00556,0.00552,0.00554,1476513.5
1667196000000,0.00555,0.00556,0.00551,0.00553,1436056.9
1667199600000,0.00554,0.00554,0.00552,0.00554,1162192.7
1667203200000,0.00554,0.00554,0.0055,0.00551,1383417
1667206800000,0.00552,0.00558,0.0055,0.00558,3186048
1667210400000,0.00556,0.00559,0.00555,0.00558,1982264.5
1667214000000,0.00558,0.00559,0.00556,0.00558,1452173.7
1667217600000,0.00558,0.00559,0.00555,0.00559,3834269.8
1667221200000,0.00558,0.00562,0.00556,0.00556,2990901.4
1667224800000,0.00556,0.00558,0.00549,0.0055,4559787.7
1667228400000,0.00551,0.00553,0.00548,0.00552,3954990.3
1667232000000,0.00551,0.00553,0.00546,0.00549,4146043.3
1667235600000,0.00549,0.00552,0.00548,0.00551,2223474.5
1667239200000,0.00551,0.00553,0.00549,0.00552,847120.5
1667242800000,0.00551,0.00552,0.00548,0.0055,1929856.4
1667246400000,0.00549,0.00551,0.00548,0.0055,437412.3
1667250000000,0.0055,0.00551,0.00547,0.00549,864738.2
1667253600000,0.00548,0.00551,0.00548,0.0055,496484.1
1667257200000,0.0055,0.00557,0.00548,0.00554,2143406.4
1667260800000,0.00553,0.00555,0.00552,0.00554,2607456.5
1667264400000,0.00554,0.00557,0.00553,0.00556,756247.9
1667268000000,0.00555,0.00558,0.00555,0.00558,496237.6
1667271600000,0.00559,0.00559,0.00553,0.00554,1213207.1
1667275200000,0.00554,0.00555,0.00553,0.00553,339801.3
1667278800000,0.00554,0.00559,0.00554,0.00557,1959692.8
1667282400000,0.00558,0.00559,0.00557,0.00558,365873.4
1667286000000,0.00558,0.00559,0.00552,0.00555,2525304.9
1667289600000,0.00554,0.00558,0.00554,0.00557,1080767.2
1667293200000,0.00558,0.00558,0.00555,0.00556,960838.6
1667296800000,0.00556,0.00557,0.00554,0.00556,1277529.6
1667300400000,0.00555,0.00555,0.00551,0.00552,2931620.5
1667304000000,0.00552,0.00555,0.00551,0.00554,1369965.8
1667307600000,0.00553,0.00556,0.00548,0.00551,3640033
1667311200000,0.00549,0.00551,0.00547,0.0055,1820834.9
1667314800000,0.00548,0.00572,0.00547,0.00558,47120707.7
1667318400000,0.00559,0.00564,0.00554,0.00557,12423338.7
1667322000000,0.00558,0.00588,0.00555,0.00561,95144723.9
1667325600000,0.00561,0.00561,0.00554,0.00557,14603574
1667329200000,0.00557,0.0056,0.00553,0.00554,16845171.7
1667332800000,0.00554,0.00559,0.00554,0.00558,2755640.9
1667336400000,0.00558,0.00564,0.00557,0.00558,5291623.2
1667340000000,0.00557,0.00558,0.00554,0.00557,1582814.9
1667343600000,0.00557,0.00561,0.00553,0.00556,2976687.8
1667347200000,0.00557,0.00558,0.00554,0.00556,1161442.5
1667350800000,0.00557,0.00562,0.00557,0.00559,2394856.5
1667354400000,0.00559,0.00561,0.00557,0.00559,2371426.6
1667358000000,0.00558,0.0056,0.00556,0.00556,2090300.3
1667361600000,0.00557,0.00562,0.00555,0.00558,6293969.2
