date,open,high,low,close,volume
1667005200000,0.941,0.944,0.935,0.938,219910.2
1667008800000,0.937,0.948,0.934,0.948,540873.7
1667012400000,0.947,0.963,0.946,0.962,304675.2
1667016000000,0.961,0.965,0.954,0.955,214936.2
1667019600000,0.956,0.963,0.954,0.956,283254.6
1667023200000,0.956,0.96,0.955,0.955,142104.1
1667026800000,0.956,0.958,0.951,0.958,226147.7
1667030400000,0.958,0.975,0.958,0.973,558136.4
1667034000000,0.973,0.974,0.963,0.97,222929
1667037600000,0.97,0.983,0.956,0.958,677989
1667041200000,0.959,0.959,0.944,0.947,380020.2
1667044800000,0.948,0.96,0.946,0.959,232772.8
1667048400000,0.959,0.96,0.937,0.945,663510.7
1667052000000,0.946,0.956,0.942,0.942,292042.3
1667055600000,0.942,0.956,0.939,0.951,347832.7
1667059200000,0.951,0.966,0.948,0.962,400954.4
1667062800000,0.962,0.974,0.945,0.946,513022.8
1667066400000,0.946,0.957,0.938,0.948,472425.7
1667070000000,0.948,0.948,0.932,0.939,241184.8
1667073600000,0.939,0.946,0.936,0.94,172461.1
1667077200000,0.939,0.941,0.935,0.935,149899.3
1667080800000,0.935,0.937,0.92,0.923,471056.2
1667084400000,0.923,0.935,0.919,0.935,264581.2
1667088000000,0.934,0.935,0.924,0.925,178025.9
1667091600000,0.925,0.933,0.923,0.933,159225.5
1667095200000,0.933,0.935,0.928,0.933,99014
1667098800000,0.933,0.938,0.931,0.934,145044.6
1667102400000,0.935,0.935,0.927,0.929,141122.7
1667106000000,0.928,0.931,0.927,0.929,202278.5
1667109600000,0.929,0.935,0.925,0.935,107059.7
1667113200000,0.935,0.948,0.93,0.946,649488.9
1667116800000,0.945,0.947,0.92,0.932,917746.4
1667120400000,0.932,0.935,0.91,0.919,429809.2
1667124000000,0.919,0.923,0.915,0.92,422207.7
1667127600000,0.92,0.923,0.914,0.921,550193
1667131200000,0.92,0.921,0.906,0.914,620796.2
1667134800000,0.913,0.913,0.898,0.899,522178.9
1667138400000,0.9,0.909,0.898,0.909,334846.8
1667142000000,0.908,0.91,0.895,0.899,313271.7
1667145600000,0.899,0.907,0.89,0.895,514020.2
1667149200000,0.895,0.908,0.894,0.907,255828.5
1667152800000,0.906,0.909,0.903,0.907,384979.8
1667156400000,0.908,0.909,0.903,0.904,252999.1
1667160000000,0.904,0.916,0.904,0.91,131632.2
1667163600000,0.91,0.913,0.908,0.912,39053.2
1667167200000,0.912,0.912,0.884,0.903,451814
1667170800000,0.903,0.911,0.902,0.907,302799.1
1667174400000,0.908,0.913,0.901,0.903,180287.5
1667178000000,0.903,0.906,0.893,0.896,193509
1667181600000,0.896,0.899,0.885,0.893,421440.9
1667185200000,0.893,0.905,0.893,0.904,182327.9
1667188800000,0.904,0.909,0.901,0.906,200470.8
1667192400000,0.906,0.906,0.898,0.899,190159.2
1667196000000,0.899,0.903,0.89,0.897,218475.6
1667199600000,0.897,0.902,0.892,0.897,337900.4
1667203200000,0.896,0.898,0.888,0.892,201364.2
1667206800000,0.891,0.914,0.888,0.912,272991.6
1667210400000,0.911,0.915,0.906,0.913,294757.6
1667214000000,0.914,0.919,0.911,0.914,356490.4
1667217600000,0.914,0.92,0.907,0.914,278439.2
1667221200000,0.914,0.919,0.88,0.882,569159.7
1667224800000,0.881,0.892,0.877,0.887,829366.5
1667228400000,0.886,0.893,0.881,0.889,562076.3
1667232000000,0.889,0.897,0.88,0.883,401602.1
