date,open,high,low,close,volume
1667005200000,0.818,0.821,0.816,0.818,16296.2
1667008800000,0.818,0.82,0.816,0.819,8534.3
1667012400000,0.819,0.828,0.818,0.826,140061.8
1667016000000,0.826,0.828,0.823,0.825,25945.6
1667019600000,0.825,0.828,0.822,0.827,28844.3
1667023200000,0.827,0.836,0.827,0.832,58597.7
1667026800000,0.832,0.833,0.829,0.831,46877
1667030400000,0.83,0.839,0.829,0.839,102055.7
1667034000000,0.84,0.841,0.835,0.84,69113.3
1667037600000,0.84,0.842,0.827,0.829,258629.6
1667041200000,0.83,0.832,0.826,0.827,52236.2
1667044800000,0.826,0.833,0.826,0.832,29577.5
1667048400000,0.832,0.833,0.824,0.828,23670.1
1667052000000,0.829,0.833,0.824,0.825,28294.1
1667055600000,0.826,0.831,0.825,0.83,32095.7
1667059200000,0.829,0.851,0.829,0.844,272558.6
1667062800000,0.845,0.85,0.832,0.835,93718.8
1667066400000,0.833,0.839,0.829,0.836,117279.9
1667070000000,0.836,0.839,0.833,0.838,69337.9
1667073600000,0.839,0.845,0.836,0.84,95294.7
1667077200000,0.839,0.844,0.839,0.842,26222.8
1667080800000,0.841,0.844,0.827,0.831,115962.8
1667084400000,0.831,0.838,0.829,0.837,14629.4
1667088000000,0.838,0.839,0.832,0.834,13698.4
1667091600000,0.834,0.84,0.832,0.84,19169.3
1667095200000,0.84,0.845,0.838,0.843,55353.7
1667098800000,0.844,0.844,0.84,0.843,49943.5
1667102400000,0.844,0.844,0.84,0.84,40357.7
1667106000000,0.841,0.851,0.841,0.846,147171.4
1667109600000,0.847,0.852,0.843,0.849,64805.9
1667113200000,0.849,0.86,0.848,0.86,127984.1
1667116800000,0.859,0.86,0.842,0.853,103217.2
1667120400000,0.852,0.856,0.839,0.843,100232.3
1667124000000,0.843,0.848,0.841,0.847,155513.5
1667127600000,0.846,0.852,0.845,0.851,22148.8
1667131200000,0.852,0.852,0.847,0.852,32150.1
1667134800000,0.851,0.854,0.841,0.843,49660.9
1667138400000,0.844,0.851,0.843,0.847,71286.7
1667142000000,0.847,0.848,0.82,0.822,116237.5
1667145600000,0.822,0.832,0.819,0.825,63675.6
1667149200000,0.826,0.833,0.825,0.832,28959
1667152800000,0.832,0.835,0.828,0.833,26000.8
1667156400000,0.833,0.835,0.831,0.831,19793.9
1667160000000,0.831,0.835,0.829,0.832,23602.4
1667163600000,0.833,0.835,0.829,0.832,10795.6
1667167200000,0.831,0.831,0.812,0.821,52963.9
1667170800000,0.822,0.825,0.82,0.822,30690.1
1667174400000,0.823,0.827,0.818,0.821,80200.5
1667178000000,0.821,0.824,0.812,0.818,66350.6
1667181600000,0.818,0.819,0.811,0.814,38778.3
1667185200000,0.815,0.822,0.811,0.822,21816
1667188800000,0.822,0.823,0.819,0.821,28862.8
1667192400000,0.821,0.822,0.817,0.822,56324.4
1667196000000,0.821,0.822,0.81,0.815,121718.2
1667199600000,0.815,0.815,0.812,0.815,36416.2
1667203200000,0.814,0.815,0.805,0.808,108791.9
1667206800000,0.809,0.825,0.807,0.824,111971.4
1667210400000,0.823,0.826,0.819,0.826,77423.4
1667214000000,0.827,0.829,0.825,0.826,13684.1
1667217600000,0.826,0.829,0.822,0.827,62298.6
1667221200000,0.827,0.832,0.813,0.813,102119.1
1667224800000,0.813,0.822,0.812,0.817,132410.4
1667228400000,0.816,0.825,0.816,0.82,40240
1667232000000,0.82,0.826,0.816,0.821,46209.3
1667235600000,0.82,0.824,0.819,0.82,48185
1667239200000,0.82,0.825,0.82,0.823,26097.7
1667242800000,0.822,0.825,0.819,0.822,21460.8
1667246400000,0.822,0.825,0.819,0.824,17593.7
1667250000000,0.822,0.825,0.821,0.824,11682.6
1667253600000,0.823,0.829,0.821,0.827,55146.2
1667257200000,0.828,0.831,0.825,0.828,102084.3
1667260800000,0.828,0.835,0.827,0.832,55891.1
1667264400000,0.832,0.836,0.832,0.833,32194.3
1667268000000,0.834,0.838,0.833,0.835,45095.4
1667271600000,0.835,0.839,0.831,0.832,39581.8
1667275200000,0.832,0.837,0.83,0.832,22016.9
1667278800000,0.831,0.835,0.83,0.832,57007.3
1667282400000,0.832,0.836,0.831,0.836,33657.8
1667286000000,0.836,0.84,0.833,0.836,48279.2
1667289600000,0.836,0.838,0.834,0.835,18837.4
1667293200000,0.835,0.842,0.835,0.837,53554
1667296800000,0.838,0.838,0.834,0.838,45550.5
1667300400000,0.837,0.837,0.828,0.831,61312.1
1667304000000,0.831,0.834,0.83,0.833,22174.3
1667307600000,0.833,0.836,0.824,0.826,54256.4
1667311200000,0.826,0.829,0.821,0.826,78574.4
1667314800000,0.826,0.829,0.824,0.826,27754.3
1667318400000,0.826,0.827,0.821,0.822,23964.9
1667322000000,0.821,0.824,0.818,0.821,27055
1667325600000,0.822,0.822,0.82,0.822,13147.9
1667329200000,0.822,0.823,0.818,0.819,16467.6
1667332800000,0.819,0.82,0.817,0.819,18193.5
1667336400000,0.819,0.82,0.818,0.818,12765.3
1667340000000,0.818,0.819,0.817,0.818,25562.8
1667343600000,0.818,0.819,0.816,0.817,9835.9
1667347200000,0.817,0.818,0.809,0.814,70921
1667350800000,0.814,0.817,0.813,0.814,16334.4
1667354400000,0.814,0.814,0.809,0.812,33945.6
1667358000000,0.812,0.819,0.811,0.816,46690.9
1667361600000,0.816,0.816,0.813,0.816,27744.5
1667365200000,0.816,0.82,0.815,0.815,49024.4
1667368800000,0.815,0.815,0.811,0.812,33934.4
1667372400000,0.812,0.814,0.801,0.805,61066.4
1667376000000,0.804,0.815,0.804,0.813,37533.6
1667379600000,0.814,0.815,0.798,0.8,127233
1667383200000,0.8,0.804,0.795,0.803,59044.1
1667386800000,0.803,0.805,0.802,0.803,18577.5
1667390400000,0.802,0.802,0.798,0.798,59317.1
1667394000000,0.798,0.802,0.797,0.799,51697.6
1667397600000,0.8,0.804,0.798,0.801,35600.5
1667401200000,0.801,0.801,0.798,0.798,18949.3
1667404800000,0.797,0.803,0.792,0.802,58893
1667408400000,0.802,0.802,0.791,0.795,97212.9
1667412000000,0.794,0.816,0.792,0.802,218094.5
1667415600000,0.801,0.812,0.79,0.793,88180.6
1667419200000,0.794,0.794,0.778,0.786,125430.2
1667422800000,0.786,0.794,0.784,0.793,28296
1667426400000,0.792,0.795,0.788,0.793,41034
1667430000000,0.794,0.799,0.793,0.797,14729.4
1667433600000,0.797,0.805,0.795,0.804,26743.5
1667437200000,0.804,0.809,0.803,0.808,20938.3
1667440800000,0.809,0.814,0.808,0.813,45686.9
1667444400000,0.814,0.815,0.812,0.814,31673.2
1667448000000,0.814,0.82,0.812,0.814,35130.8
1667451600000,0.814,0.822,0.814,0.821,81575
1667455200000,0.822,0.823,0.816,0.82,40196
1667458800000,0.821,0.826,0.818,0.818,64742.2
1667462400000,0.819,0.823,0.816,0.822,37018.1
1667466000000,0.823,0.83,0.822,0.829,60549.9
1667469600000,0.829,0.834,0.821,0.822,84885.3
1667473200000,0.823,0.825,0.809,0.814,91257.8
1667476800000,0.813,0.817,0.805,0.81,66944.1
1667480400000,0.811,0.82,0.811,0.811,54623.6
1667484000000,0.812,0.83,0.81,0.826,105582.9
1667487600000,0.825,0.829,0.825,0.828,40881.5
1667491200000,0.827,0.832,0.827,0.832,61730.8
1667494800000,0.831,0.849,0.829,0.845,168091.2
1667498400000,0.845,0.845,0.831,0.836,131752.1
1667502000000,0.835,0.837,0.833,0.834,26133.8
1667505600000,0.835,0.865,0.833,0.858,376006.7
1667509200000,0.858,0.861,0.851,0.857,121700.3
1667512800000,0.856,0.856,0.843,0.843,60458.3
1667516400000,0.843,0.848,0.84,0.847,45275.3
1667520000000,0.846,0.851,0.841,0.85,63823.6
1667523600000,0.851,0.866,0.847,0.852,189750.3
1667527200000,0.853,0.892,0.853,0.892,1493563.7
1667530800000,0.891,0.892,0.875,0.892,281775.2
1667534400000,0.892,0.893,0.876,0.88,226857
1667538000000,0.881,0.884,0.862,0.873,194146.9
1667541600000,0.873,0.88,0.871,0.879,100336.1
1667545200000,0.879,0.881,0.874,0.878,87418.4
1667548800000,0.88,0.884,0.876,0.877,188490.4
1667552400000,0.878,0.879,0.872,0.874,88103.7
1667556000000,0.874,0.884,0.873,0.881,53288.1
1667559600000,0.882,0.885,0.872,0.873,57912.1
1667563200000,0.873,0.89,0.869,0.89,120057.3
1667566800000,0.889,0.891,0.879,0.882,92086.4
1667570400000,0.883,0.9,0.882,0.893,189760.1
1667574000000,0.894,0.894,0.873,0.874,72459.5
1667577600000,0.874,0.881,0.871,0.879,53351.9
1667581200000,0.879,0.883,0.876,0.88,35630.7
1667584800000,0.88,0.883,0.878,0.88,48773.9
1667588400000,0.88,0.885,0.879,0.884,54735.2
1667592000000,0.884,0.886,0.881,0.885,29543.8
1667595600000,0.884,0.889,0.884,0.887,30232.4
1667599200000,0.887,0.889,0.884,0.889,21104
1667602800000,0.889,0.89,0.885,0.889,24599.2
1667606400000,0.889,0.897,0.888,0.896,79529.8
1667610000000,0.896,0.897,0.882,0.886,179778.2
1667613600000,0.887,0.891,0.885,0.891,54731
1667617200000,0.89,0.894,0.883,0.891,95395.1
1667620800000,0.891,0.903,0.891,0.892,74422.3
1667624400000,0.891,0.896,0.891,0.895,45144.6
1667628000000,0.895,0.903,0.895,0.902,70708.8
1667631600000,0.902,0.909,0.901,0.908,54040.8
1667635200000,0.908,0.913,0.889,0.901,510624.3
1667638800000,0.902,0.903,0.893,0.896,114212.2
1667642400000,0.896,0.907,0.896,0.907,78742.7
1667646000000,0.907,0.909,0.903,0.906,65291.2
1667649600000,0.905,0.905,0.898,0.898,48446.8
1667653200000,0.898,0.9,0.891,0.895,64748.9
1667656800000,0.895,0.898,0.887,0.89,40965.5
1667660400000,0.89,0.899,0.89,0.896,43494
1667664000000,0.896,0.898,0.894,0.896,38269.4
1667667600000,0.896,0.897,0.892,0.894,25568.9
1667671200000,0.894,0.895,0.886,0.886,48354.4
1667674800000,0.886,0.889,0.884,0.889,16019.8
1667678400000,0.889,0.889,0.887,0.888,11764.9
1667682000000,0.889,0.889,0.884,0.886,7395.7
1667685600000,0.887,0.892,0.886,0.89,49116.4
1667689200000,0.891,0.891,0.873,0.886,193367.2
1667692800000,0.888,0.892,0.877,0.886,99793.3
1667696400000,0.884,0.891,0.878,0.879,32169.6
1667700000000,0.88,0.887,0.878,0.881,70494.3
1667703600000,0.88,0.888,0.88,0.886,28872.9
1667707200000,0.887,0.889,0.886,0.888,27216.1
1667710800000,0.889,0.893,0.885,0.886,38814.6
1667714400000,0.886,0.892,0.886,0.891,24994.6
1667718000000,0.893,0.903,0.892,0.902,40259.5
1667721600000,0.901,0.918,0.898,0.916,198312
1667725200000,0.915,0.916,0.901,0.904,85572.8
1667728800000,0.903,0.912,0.903,0.907,66643.4
1667732400000,0.908,0.908,0.898,0.903,66803.3
1667736000000,0.903,0.905,0.895,0.895,41007.1
1667739600000,0.896,0.898,0.891,0.892,36312.3
1667743200000,0.892,0.896,0.889,0.895,58495.2
1667746800000,0.895,0.907,0.892,0.893,101556.1
1667750400000,0.891,0.894,0.874,0.889,284730.3
1667754000000,0.89,0.893,0.885,0.891,67372.9
1667757600000,0.889,0.907,0.888,0.906,100875.8
1667761200000,0.906,0.906,0.897,0.899,74563.7
1667764800000,0.899,0.899,0.894,0.897,23794.1
1667768400000,0.898,0.898,0.889,0.889,36749.9
1667772000000,0.889,0.893,0.885,0.888,38786
1667775600000,0.889,0.89,0.87,0.877,151251.5
1667779200000,0.874,0.883,0.869,0.872,128208.6
1667782800000,0.871,0.876,0.864,0.874,77387.8
1667786400000,0.873,0.881,0.872,0.878,121116.8
1667790000000,0.878,0.936,0.876,0.904,692883.3
1667793600000,0.903,0.92,0.897,0.913,366234
1667797200000,0.914,0.926,0.912,0.912,179697.7
1667800800000,0.914,0.916,0.903,0.913,134198.7
1667804400000,0.913,0.916,0.88,0.883,333313.3
1667808000000,0.883,0.907,0.882,0.904,122438.7
1667811600000,0.906,0.919,0.906,0.914,132949.3
1667815200000,0.914,0.921,0.912,0.912,95387.4
1667818800000,0.914,0.915,0.908,0.909,59719.3
1667822400000,0.909,0.914,0.902,0.906,59415.7
