date,open,high,low,close,volume
1667005200000,0.1377,0.1377,0.1372,0.1372,78536
1667008800000,0.1373,0.1379,0.1368,0.1375,32884
1667012400000,0.1377,0.1391,0.1366,0.1389,712356
1667016000000,0.1388,0.14,0.1388,0.1397,398465
1667019600000,0.1397,0.14,0.1385,0.1398,497118
1667023200000,0.1398,0.1405,0.1397,0.1398,607768
1667026800000,0.1398,0.1432,0.1395,0.1404,2454175
1667030400000,0.1404,0.1409,0.1396,0.1404,578896
1667034000000,0.1404,0.1407,0.14,0.1406,250585
1667037600000,0.1405,0.1409,0.1378,0.1382,706502
1667041200000,0.1383,0.1388,0.1372,0.1378,395576
1667044800000,0.1377,0.1423,0.1375,0.1418,958483
1667048400000,0.1418,0.1418,0.1388,0.1406,816240
1667052000000,0.1407,0.1413,0.1399,0.1404,380477
1667055600000,0.1405,0.141,0.1395,0.1407,480145
1667059200000,0.141,0.1443,0.1405,0.1435,995469
1667062800000,0.1436,0.1448,0.1396,0.1409,597931
1667066400000,0.1409,0.1432,0.1401,0.1423,529795
1667070000000,0.1424,0.1429,0.14,0.1422,238232
1667073600000,0.1422,0.1434,0.1418,0.1426,333159
1667077200000,0.1423,0.1435,0.1417,0.1424,312419
1667080800000,0.1421,0.1425,0.1392,0.1398,373380
1667084400000,0.1398,0.1422,0.1394,0.142,138088
1667088000000,0.1419,0.1423,0.1405,0.1409,213988
1667091600000,0.141,0.1424,0.1406,0.1419,345649
1667095200000,0.1419,0.1421,0.1412,0.1417,155788
1667098800000,0.1415,0.146,0.1415,0.1457,906109
1667102400000,0.1458,0.1458,0.1435,0.1448,322472
1667106000000,0.1449,0.146,0.1449,0.1457,263075
1667109600000,0.1458,0.1463,0.1442,0.1458,1035389
1667113200000,0.1457,0.1483,0.1452,0.147,796976
1667116800000,0.147,0.1474,0.1435,0.1467,605932
1667120400000,0.1466,0.1476,0.1431,0.1437,723776
1667124000000,0.1436,0.1452,0.1436,0.1444,378712
1667127600000,0.1442,0.1451,0.1433,0.1445,233819
1667131200000,0.1446,0.1446,0.1427,0.1441,222457
1667134800000,0.1441,0.1441,0.142,0.1423,213574
1667138400000,0.1424,0.1431,0.1419,0.1429,362011
1667142000000,0.143,0.1436,0.1406,0.1411,556998
1667145600000,0.1411,0.143,0.1406,0.1409,248715
1667149200000,0.1411,0.143,0.1409,0.143,264134
1667152800000,0.143,0.1434,0.1419,0.1429,160298
1667156400000,0.143,0.1435,0.1415,0.1417,260851
1667160000000,0.1418,0.1429,0.1418,0.1426,71232
1667163600000,0.1427,0.1434,0.1421,0.1427,200917
1667167200000,0.1428,0.1428,0.1386,0.1405,631870
1667170800000,0.1406,0.1411,0.1402,0.1411,60824
1667174400000,0.1409,0.1427,0.1409,0.141,309139
1667178000000,0.1408,0.1426,0.1408,0.1414,187890
1667181600000,0.1412,0.1412,0.1395,0.1408,139085
1667185200000,0.1407,0.1432,0.1406,0.143,128451
1667188800000,0.1431,0.1434,0.1424,0.1427,123715
1667192400000,0.1426,0.1427,0.1411,0.1411,704453
1667196000000,0.1413,0.1417,0.1396,0.1409,368026
1667199600000,0.141,0.1417,0.1394,0.1411,766038
1667203200000,0.1411,0.1411,0.1386,0.1389,458372
1667206800000,0.1389,0.1419,0.1383,0.1416,185448
1667210400000,0.1417,0.1419,0.1405,0.1412,149971
1667214000000,0.1413,0.1418,0.1409,0.1412,86241
1667217600000,0.1413,0.1417,0.1405,0.1411,127960
1667221200000,0.1411,0.1421,0.1373,0.1373,470320
1667224800000,0.1373,0.1395,0.1367,0.1388,768476
1667228400000,0.1388,0.1403,0.1383,0.1393,177433
1667232000000,0.139,0.1409,0.1383,0.1394,348242
1667235600000,0.1394,0.1405,0.1391,0.1395,90073
1667239200000,0.1396,0.1402,0.1395,0.1398,83697
1667242800000,0.1398,0.1398,0.1386,0.1388,124032
1667246400000,0.1389,0.1408,0.1387,0.1393,301494
1667250000000,0.1395,0.1398,0.1391,0.1396,114802
1667253600000,0.1397,0.1409,0.1389,0.1405,138063
1667257200000,0.1408,0.141,0.1402,0.1402,118803
1667260800000,0.1403,0.1432,0.1401,0.1412,409122
1667264400000,0.1412,0.1419,0.1408,0.1409,192953
1667268000000,0.141,0.142,0.141,0.1417,189259
1667271600000,0.1416,0.1418,0.1409,0.1415,79251
1667275200000,0.1414,0.1418,0.1406,0.1411,67066
1667278800000,0.141,0.1417,0.1407,0.1408,276155
1667282400000,0.141,0.1415,0.1406,0.1414,61218
1667286000000,0.1413,0.1416,0.1398,0.1401,135849
1667289600000,0.1401,0.1411,0.1399,0.1402,344449
1667293200000,0.1402,0.1414,0.14,0.1407,152523
1667296800000,0.1404,0.1411,0.1402,0.1411,124783
1667300400000,0.1407,0.1407,0.1391,0.1397,256234
1667304000000,0.1399,0.1402,0.1396,0.14,266057
1667307600000,0.1399,0.1402,0.1377,0.1382,258113
1667311200000,0.1381,0.1387,0.1374,0.1377,201420
1667314800000,0.1378,0.1386,0.1376,0.1382,70953
1667318400000,0.138,0.138,0.1367,0.137,148012
1667322000000,0.1368,0.1374,0.1365,0.1371,263677
1667325600000,0.1371,0.1375,0.1369,0.1372,158445
1667329200000,0.1372,0.1377,0.1371,0.1374,356948
1667332800000,0.1374,0.1384,0.137,0.1383,348970
1667336400000,0.1382,0.1382,0.137,0.1373,224607
1667340000000,0.1374,0.1376,0.1372,0.1374,35331
1667343600000,0.1375,0.1381,0.1371,0.1374,130046
1667347200000,0.1374,0.1374,0.1363,0.1371,250314
1667350800000,0.1372,0.1377,0.1372,0.1375,12161
1667354400000,0.1374,0.1375,0.1368,0.137,59818
1667358000000,0.1369,0.1381,0.1369,0.1379,107637
1667361600000,0.1379,0.1381,0.1376,0.1378,53309
1667365200000,0.1377,0.1382,0.1376,0.1378,102511
1667368800000,0.1379,0.1379,0.137,0.1372,65560
1667372400000,0.1372,0.1377,0.1345,0.1362,436388
1667376000000,0.136,0.137,0.135,0.1364,343460
1667379600000,0.1363,0.1369,0.1336,0.1336,248461
1667383200000,0.1336,0.1337,0.1315,0.1335,645525
1667386800000,0.1336,0.1346,0.1336,0.1338,195235
1667390400000,0.1338,0.1339,0.1317,0.1331,264510
1667394000000,0.1329,0.134,0.1324,0.1327,575589
1667397600000,0.1329,0.1339,0.1326,0.1333,202960
1667401200000,0.1332,0.1333,0.1327,0.1329,94096
1667404800000,0.1329,0.1337,0.1319,0.1336,257261
1667408400000,0.1336,0.1336,0.1312,0.1317,152275
1667412000000,0.1318,0.1369,0.1314,0.1337,1088001
1667415600000,0.1337,0.1357,0.1314,0.1321,266302
1667419200000,0.1319,0.1325,0.1285,0.1302,522533
1667422800000,0.1302,0.131,0.13,0.1308,225939
1667426400000,0.1307,0.1309,0.1293,0.1299,195789
1667430000000,0.1299,0.1312,0.1299,0.1309,94330
1667433600000,0.1309,0.1331,0.1305,0.133,260673
1667437200000,0.133,0.1339,0.1328,0.1335,152137
1667440800000,0.1336,0.1349,0.1336,0.1349,172389
1667444400000,0.1348,0.1355,0.1348,0.1352,194372
1667448000000,0.1352,0.1363,0.135,0.1352,223131
1667451600000,0.1352,0.1371,0.1352,0.1371,460612
1667455200000,0.1372,0.1381,0.1362,0.1375,507170
1667458800000,0.1375,0.1388,0.1368,0.1371,284394
1667462400000,0.1371,0.1379,0.1367,0.1371,206320
1667466000000,0.1372,0.1425,0.1372,0.1415,4401862
1667469600000,0.1417,0.1431,0.1406,0.1409,1452277
1667473200000,0.1409,0.141,0.1378,0.1393,836279
1667476800000,0.1393,0.1405,0.1378,0.1391,342741
1667480400000,0.139,0.1404,0.1381,0.1381,311024
1667484000000,0.1381,0.141,0.138,0.1405,372878
1667487600000,0.1405,0.1407,0.1394,0.1404,160977
1667491200000,0.1405,0.1425,0.1401,0.1424,375588
1667494800000,0.1424,0.1428,0.1412,0.1413,495132
1667498400000,0.1413,0.1423,0.1404,0.1422,198688
1667502000000,0.1422,0.1426,0.1409,0.1415,205814
1667505600000,0.1416,0.1423,0.1401,0.1404,716068
1667509200000,0.1405,0.1437,0.1405,0.1434,1016609
1667512800000,0.1435,0.1437,0.1402,0.1432,1266518
1667516400000,0.1432,0.1514,0.1414,0.1489,6542574
1667520000000,0.1486,0.161,0.1467,0.1572,15608099
1667523600000,0.1571,0.172,0.1526,0.1543,15494522
1667527200000,0.1543,0.1554,0.1502,0.1526,4922499
1667530800000,0.1526,0.1531,0.1492,0.1499,1350912
1667534400000,0.15,0.1537,0.1491,0.1511,2317603
1667538000000,0.1512,0.1538,0.1496,0.1506,1700180
1667541600000,0.1508,0.1531,0.1508,0.1528,999582
1667545200000,0.1527,0.1527,0.1503,0.1503,827159
1667548800000,0.1506,0.151,0.1476,0.1479,1747916
1667552400000,0.1481,0.1484,0.147,0.1473,865413
1667556000000,0.1473,0.1484,0.1469,0.1478,779648
1667559600000,0.148,0.1523,0.1478,0.1506,3445513
1667563200000,0.1506,0.153,0.1484,0.1528,2048499
1667566800000,0.153,0.1532,0.151,0.1516,1249950
1667570400000,0.1517,0.1548,0.1517,0.154,1033762
1667574000000,0.1542,0.1545,0.1514,0.1516,928172
1667577600000,0.1515,0.1543,0.1515,0.154,706233
1667581200000,0.154,0.1576,0.1533,0.1565,1721552
1667584800000,0.1565,0.1565,0.154,0.1556,552379
1667588400000,0.1555,0.1566,0.1545,0.1555,485637
1667592000000,0.1556,0.1556,0.1542,0.1547,283082
1667595600000,0.1545,0.1551,0.1542,0.155,320872
1667599200000,0.1551,0.1554,0.1539,0.154,257910
1667602800000,0.1543,0.1548,0.1531,0.1546,502417
1667606400000,0.1548,0.1588,0.1548,0.1586,1223552
1667610000000,0.1586,0.1598,0.157,0.1576,903803
1667613600000,0.1576,0.1587,0.1561,0.1568,926756
1667617200000,0.1567,0.1582,0.1549,0.1573,832774
1667620800000,0.1573,0.158,0.155,0.155,521966
1667624400000,0.1551,0.1575,0.1548,0.1563,467361
1667628000000,0.1564,0.1584,0.1563,0.1573,487749
1667631600000,0.1573,0.1575,0.1565,0.1571,214103
1667635200000,0.1572,0.1572,0.1535,0.1552,928924
1667638800000,0.1553,0.1564,0.153,0.1541,951457
1667642400000,0.1542,0.1563,0.1541,0.1554,578874
1667646000000,0.1554,0.1565,0.1552,0.1555,286413
1667649600000,0.1555,0.1555,0.1537,0.1539,291800
1667653200000,0.1538,0.1545,0.1519,0.153,556176
1667656800000,0.1529,0.1541,0.1512,0.1521,261808
1667660400000,0.1521,0.1535,0.1521,0.153,314584
1667664000000,0.1529,0.1535,0.1522,0.153,242827
1667667600000,0.1529,0.1529,0.1522,0.1529,162544
1667671200000,0.1528,0.1528,0.1508,0.151,290835
1667674800000,0.1511,0.1522,0.151,0.152,296011
1667678400000,0.1518,0.1527,0.1517,0.1524,241364
1667682000000,0.1525,0.1525,0.1518,0.1521,80000
1667685600000,0.1521,0.1527,0.1519,0.1524,162036
1667689200000,0.1524,0.1527,0.1477,0.1513,2075497
1667692800000,0.1514,0.1528,0.1499,0.1517,604966
1667696400000,0.1516,0.1525,0.1498,0.1505,254316
1667700000000,0.1505,0.1531,0.1505,0.1526,601365
1667703600000,0.1527,0.1551,0.1525,0.1543,980372
1667707200000,0.1542,0.1545,0.1528,0.1532,124723
1667710800000,0.1532,0.1537,0.1511,0.1513,274361
1667714400000,0.1514,0.1524,0.1512,0.152,159469
1667718000000,0.1522,0.1531,0.1516,0.1525,296157
1667721600000,0.1526,0.1535,0.1514,0.1528,149402
1667725200000,0.1528,0.1539,0.1524,0.1524,144701
1667728800000,0.1526,0.1539,0.1523,0.1531,162216
1667732400000,0.1531,0.1531,0.1511,0.152,145479
1667736000000,0.152,0.1536,0.152,0.1527,361578
1667739600000,0.1526,0.153,0.152,0.1521,366843
1667743200000,0.1521,0.1532,0.152,0.1531,74360
1667746800000,0.153,0.1547,0.153,0.1533,117450
1667750400000,0.1532,0.154,0.1502,0.1527,1386371
1667754000000,0.1527,0.1529,0.1517,0.1523,278323
1667757600000,0.1525,0.1525,0.1503,0.1514,423297
1667761200000,0.1517,0.152,0.1497,0.1506,249392
1667764800000,0.1506,0.1508,0.15,0.1504,253729
1667768400000,0.1505,0.1511,0.15,0.1501,156174
1667772000000,0.1499,0.1506,0.1481,0.1488,355054
1667775600000,0.1486,0.1488,0.1434,0.1435,1180517
1667779200000,0.1435,0.1493,0.1435,0.1471,962550
1667782800000,0.1471,0.1488,0.1466,0.1482,358998
1667786400000,0.1481,0.1577,0.1478,0.1565,4071102
1667790000000,0.1565,0.1582,0.1516,0.1524,3049191
1667793600000,0.1523,0.1534,0.1515,0.1523,656373
1667797200000,0.1521,0.155,0.152,0.1539,595466
1667800800000,0.1536,0.1549,0.1516,0.1538,1286752
1667804400000,0.1537,0.1537,0.1467,0.147,1593862
1667808000000,0.147,0.1516,0.147,0.1514,466164
1667811600000,0.1514,0.1528,0.1512,0.1512,338055
1667815200000,0.1515,0.1581,0.1515,0.1557,2785718
1667818800000,0.1555,0.1588,0.1543,0.1554,2075800
1667822400000,0.1553,0.1572,0.1533,0.1551,1104940
1667826000000,0.1552,0.1577,0.1542,0.156,1905475
1667829600000,0.1558,0.1564,0.1524,0.1529,859646
1667833200000,0.153,0.157,0.153,0.1568,527262
1667836800000,0.1567,0.1574,0.1538,0.1538,767408
1667840400000,0.154,0.1541,0.1521,0.1525,557025
1667844000000,0.1525,0.1539,0.1521,0.1531,521594
1667847600000,0.1533,0.1549,0.1531,0.1543,354271
1667851200000,0.1545,0.1571,0.1541,0.156,1115696
1667854800000,0.1559,0.1563,0.1531,0.1532,844497
1667858400000,0.1532,0.1534,0.1487,0.1512,602699
1667862000000,0.1516,0.1539,0.1516,0.152,363647
1667865600000,0.1521,0.1533,0.1511,0.1514,335129
1667869200000,0.1515,0.1527,0.1509,0.152,269856
1667872800000,0.152,0.1523,0.148,0.148,399375
1667876400000,0.1481,0.1481,0.1412,0.1419,1984151
1667880000000,0.1414,0.1435,0.1357,0.1395,1947835
1667883600000,0.1394,0.1405,0.1357,0.138,1094114
1667887200000,0.1381,0.1406,0.136,0.14,1336934
1667890800000,0.1399,0.1413,0.1395,0.1407,519354
1667894400000,0.1405,0.1409,0.1393,0.1397,386020
1667898000000,0.1394,0.1405,0.1392,0.1398,498809
1667901600000,0.1397,0.1398,0.138,0.1384,478436
1667905200000,0.1381,0.1391,0.1371,0.1378,308525
1667908800000,0.1378,0.1388,0.1371,0.1386,329372
1667912400000,0.1386,0.1386,0.1371,0.1371,336482
1667916000000,0.1372,0.138,0.1343,0.1372,1310378
1667919600000,0.137,0.1379,0.1354,0.1379,624422
1667923200000,0.1379,0.1455,0.1375,0.1421,2080220
1667926800000,0.142,0.1429,0.1359,0.1359,1167850
1667930400000,0.136,0.1368,0.1261,0.1309,2851751
1667934000000,0.1305,0.1314,0.1104,0.1231,3036569
1667937600000,0.1231,0.1244,0.1197,0.122,1306756
1667941200000,0.1217,0.1233,0.1198,0.122,898171
1667944800000,0.1221,0.1222,0.1187,0.1197,532833
1667948400000,0.1196,0.1232,0.1185,0.1213,841218
1667952000000,0.1216,0.1223,0.1184,0.1186,1110070
1667955600000,0.1187,0.12,0.1176,0.1177,1054742
1667959200000,0.1179,0.1197,0.115,0.1152,708854
1667962800000,0.1153,0.1196,0.1145,0.1189,771438
1667966400000,0.1189,0.1198,0.1167,0.1177,1238077
1667970000000,0.1178,0.1204,0.1155,0.1177,676238
1667973600000,0.1177,0.1195,0.1174,0.1175,739538
1667977200000,0.1174,0.1194,0.117,0.1174,709348
1667980800000,0.1175,0.1175,0.1124,0.1154,952860
1667984400000,0.1153,0.1175,0.1097,0.1113,1029127
1667988000000,0.1118,0.1147,0.1093,0.1129,1130427
1667991600000,0.1131,0.115,0.1125,0.1146,1005578
1667995200000,0.1147,0.1157,0.1119,0.1135,1054806
1667998800000,0.1135,0.1141,0.111,0.1114,566443
1668002400000,0.1114,0.1136,0.1094,0.1122,668798
1668006000000,0.1124,0.1142,0.1083,0.1086,1052633
1668009600000,0.1086,0.1109,0.1057,0.1077,1072679
1668013200000,0.1077,0.109,0.1064,0.107,352051
1668016800000,0.1072,0.1072,0.1028,0.1042,1117882
1668020400000,0.1043,0.1077,0.1041,0.1054,1109466
1668024000000,0.1056,0.1075,0.1029,0.1041,594410
1668027600000,0.1044,0.1044,0.0932,0.0947,2146458.9
1668031200000,0.0947,0.0969,0.0926,0.0955,1004543
1668034800000,0.0952,0.097,0.093,0.0956,1453384
1668038400000,0.0956,0.0991,0.0939,0.0991,1058215
1668042000000,0.0989,0.1005,0.0959,0.0969,755234
1668045600000,0.0969,0.0981,0.0958,0.0977,769446
1668049200000,0.0977,0.1014,0.0977,0.0995,827403
1668052800000,0.0994,0.1021,0.0989,0.1021,1173278
1668056400000,0.102,0.1029,0.1009,0.1026,982351
1668060000000,0.1025,0.1047,0.1013,0.1041,1328875
1668063600000,0.1042,0.1062,0.1033,0.1042,1355607
1668067200000,0.1041,0.1049,0.1012,0.104,1459679
1668070800000,0.104,0.1047,0.103,0.1034,949352
1668074400000,0.1034,0.1035,0.101,0.1014,1602923
1668078000000,0.1015,0.1065,0.1012,0.1044,2801997
1668081600000,0.1043,0.111,0.1043,0.1078,2745256
1668085200000,0.1076,0.1174,0.1065,0.1125,3165125
1668088800000,0.1123,0.1135,0.1103,0.1133,1709209
1668092400000,0.1133,0.115,0.1112,0.1129,1522641
1668096000000,0.1128,0.1145,0.112,0.1121,529985
1668099600000,0.1121,0.1179,0.1101,0.1109,4691760
1668103200000,0.1107,0.1126,0.11,0.1126,591433
1668106800000,0.1125,0.124,0.1117,0.1156,4213126
1668110400000,0.1155,0.118,0.1146,0.1174,400835
1668114000000,0.1175,0.1181,0.1163,0.1169,908947
1668117600000,0.1167,0.1172,0.1158,0.1165,84693
1668121200000,0.1163,0.1173,0.1145,0.1164,428391
1668124800000,0.1159,0.1166,0.1134,0.1164,614077
1668128400000,0.1164,0.1176,0.1127,0.113,383463
1668132000000,0.113,0.1134,0.1114,0.1118,646494
1668135600000,0.1118,0.112,0.1099,0.1112,292357
1668139200000,0.1113,0.1119,0.1102,0.1108,161441
1668142800000,0.1108,0.1134,0.1108,0.1133,157499
1668146400000,0.1131,0.1139,0.112,0.1127,190234
1668150000000,0.1125,0.1158,0.1119,0.1147,1055212
1668153600000,0.1145,0.1164,0.1142,0.1161,747218
1668157200000,0.1164,0.1175,0.1157,0.1172,254002
1668160800000,0.1172,0.1174,0.1154,0.1163,161289
1668164400000,0.1162,0.117,0.1154,0.1157,175858
1668168000000,0.1155,0.1161,0.1145,0.1161,139012
1668171600000,0.1161,0.1167,0.1153,0.1158,375098
1668175200000,0.1156,0.1156,0.106,0.1099,1503459
1668178800000,0.1098,0.1111,0.108,0.1098,254619
1668182400000,0.1098,0.1101,0.1074,0.1094,350728
1668186000000,0.1094,0.1106,0.1089,0.1103,372351
1668189600000,0.1102,0.1111,0.1091,0.1091,265560
1668193200000,0.1089,0.1099,0.1084,0.1093,364195
1668196800000,0.1094,0.1096,0.1073,0.1081,438095
1668200400000,0.1082,0.1096,0.1079,0.109,181293
