date,open,high,low,close,volume
1667005200000,0.1096,0.1097,0.1092,0.1093,110093
1667008800000,0.1095,0.1098,0.109,0.1095,84227
1667012400000,0.1093,0.1096,0.1088,0.1092,152940
1667016000000,0.1092,0.1092,0.1085,0.1086,105316
1667019600000,0.1086,0.1089,0.1084,0.1088,87822
1667023200000,0.1087,0.1093,0.1086,0.1092,78062
1667026800000,0.1093,0.11,0.1089,0.1098,477292
1667030400000,0.1099,0.11,0.1091,0.1094,341920
1667034000000,0.1094,0.11,0.1092,0.1093,379194
1667037600000,0.1093,0.11,0.1082,0.1086,236093
1667041200000,0.1086,0.1087,0.1078,0.1081,223205
1667044800000,0.1081,0.1094,0.1081,0.1089,553035
1667048400000,0.109,0.109,0.108,0.1082,57969
1667052000000,0.1083,0.109,0.1081,0.1084,106174
1667055600000,0.1084,0.1088,0.1079,0.1084,330589
1667059200000,0.1087,0.1096,0.1084,0.1093,347358
1667062800000,0.1093,0.1099,0.109,0.1095,523748
1667066400000,0.1095,0.1095,0.1085,0.1087,139279
1667070000000,0.1089,0.109,0.108,0.1085,156277
1667073600000,0.1085,0.1086,0.1078,0.108,388877
1667077200000,0.1081,0.1093,0.1078,0.1086,171291
1667080800000,0.1085,0.1105,0.1085,0.1099,1200779
1667084400000,0.1099,0.1106,0.1099,0.1106,156597
1667088000000,0.1106,0.1108,0.1099,0.1099,425619
1667091600000,0.1099,0.1104,0.1099,0.1099,190276
1667095200000,0.1101,0.1105,0.1101,0.1104,44151
1667098800000,0.1105,0.1107,0.1101,0.1103,92916
1667102400000,0.1102,0.1104,0.1099,0.1099,119601
1667106000000,0.1099,0.1099,0.1096,0.1097,395626
1667109600000,0.1097,0.1097,0.1086,0.109,476492
1667113200000,0.1089,0.1094,0.1088,0.1094,160342
1667116800000,0.1095,0.11,0.108,0.1085,570717
1667120400000,0.1085,0.1102,0.1082,0.1082,809668
1667124000000,0.1084,0.1088,0.108,0.1088,91275
1667127600000,0.1088,0.109,0.1085,0.1087,78889
1667131200000,0.1087,0.109,0.108,0.1086,111939
1667134800000,0.1086,0.1088,0.1082,0.1082,158409
1667138400000,0.1082,0.1087,0.108,0.1085,58759
1667142000000,0.1083,0.1086,0.1071,0.1073,204301
1667145600000,0.1073,0.1077,0.1067,0.1069,264277
1667149200000,0.1069,0.1072,0.1067,0.107,61299
1667152800000,0.1069,0.1074,0.1067,0.1074,120037
1667156400000,0.1073,0.1075,0.107,0.1073,84826
1667160000000,0.1074,0.1076,0.1067,0.107,204890
1667163600000,0.107,0.1072,0.1068,0.1071,82915
1667167200000,0.1069,0.1071,0.1064,0.1066,238958
1667170800000,0.1065,0.1069,0.1065,0.1068,21317
1667174400000,0.1068,0.1073,0.1066,0.1067,87257
1667178000000,0.1069,0.107,0.1065,0.1066,43080
1667181600000,0.1067,0.1067,0.1065,0.1066,47642
1667185200000,0.1067,0.1075,0.1067,0.1073,39000
1667188800000,0.1075,0.1081,0.1073,0.108,75268
1667192400000,0.108,0.1084,0.1077,0.1081,110908
1667196000000,0.1081,0.1082,0.1077,0.1078,81867
1667199600000,0.1077,0.1078,0.1074,0.1076,219617
1667203200000,0.1076,0.1076,0.1072,0.1073,115090
1667206800000,0.1073,0.1085,0.1072,0.1082,78220
1667210400000,0.1083,0.1085,0.108,0.1083,80676
1667214000000,0.1083,0.1087,0.1083,0.1084,55207
1667217600000,0.1085,0.1086,0.1079,0.108,80311
1667221200000,0.1082,0.1089,0.1078,0.1078,179941
1667224800000,0.1077,0.1078,0.1067,0.1075,88859
1667228400000,0.1073,0.1078,0.1072,0.1074,41488
1667232000000,0.1072,0.1078,0.1066,0.1068,48124
1667235600000,0.1068,0.1071,0.1068,0.1071,82825
1667239200000,0.107,0.1072,0.1068,0.1071,27556
1667242800000,0.107,0.107,0.1068,0.1069,21441
1667246400000,0.1068,0.1073,0.1068,0.1072,65334
1667250000000,0.1072,0.1073,0.1068,0.1068,61254
1667253600000,0.107,0.1078,0.1067,0.1074,67007
1667257200000,0.1074,0.1081,0.1073,0.1078,38375
1667260800000,0.1079,0.1087,0.1077,0.1086,110979
1667264400000,0.1086,0.1088,0.1083,0.1085,31328
1667268000000,0.1085,0.1088,0.1084,0.1087,9403
1667271600000,0.1087,0.1089,0.1078,0.1078,93346
1667275200000,0.1079,0.1085,0.1077,0.1082,146679
1667278800000,0.1084,0.1186,0.1084,0.1108,11511995
1667282400000,0.1109,0.1112,0.1098,0.1099,521665
1667286000000,0.1099,0.1102,0.1094,0.1099,318783
1667289600000,0.1097,0.1112,0.1097,0.111,513753
1667293200000,0.1111,0.1115,0.1101,0.1102,312419
1667296800000,0.1103,0.1111,0.1102,0.1108,108072
1667300400000,0.1108,0.1108,0.1093,0.1101,312946
1667304000000,0.1102,0.1105,0.11,0.11,88868
1667307600000,0.1103,0.1103,0.1089,0.1089,168006
1667311200000,0.1093,0.1093,0.1087,0.1088,106082
1667314800000,0.1087,0.1089,0.1085,0.1085,104366
1667318400000,0.1085,0.1093,0.1085,0.1091,97647
1667322000000,0.109,0.1094,0.1089,0.1092,90998
1667325600000,0.1092,0.1107,0.1091,0.1097,328296
1667329200000,0.1098,0.1105,0.1098,0.1101,137090
1667332800000,0.11,0.1101,0.1097,0.11,112625
1667336400000,0.1099,0.11,0.1095,0.1095,176885
1667340000000,0.1094,0.1094,0.1091,0.1093,97824
1667343600000,0.1093,0.1095,0.109,0.1092,48202
1667347200000,0.1091,0.1094,0.1088,0.1094,49660
1667350800000,0.1094,0.1097,0.1093,0.1095,16023
1667354400000,0.1095,0.1095,0.108,0.1084,198243
1667358000000,0.1084,0.1092,0.1082,0.109,98088
1667361600000,0.1088,0.109,0.1084,0.1085,63754
1667365200000,0.1085,0.1089,0.1083,0.1084,157057
1667368800000,0.1083,0.1084,0.1077,0.108,235282
1667372400000,0.1077,0.1078,0.1069,0.1075,159441
1667376000000,0.1075,0.1079,0.107,0.1079,127871
1667379600000,0.1079,0.1082,0.1069,0.107,114462
1667383200000,0.1069,0.107,0.1061,0.1062,226169
1667386800000,0.1062,0.1066,0.1062,0.1065,52476
1667390400000,0.1062,0.1064,0.1059,0.1059,57509
1667394000000,0.1059,0.1064,0.1054,0.1059,151036
1667397600000,0.1056,0.1064,0.1054,0.1061,60225
1667401200000,0.106,0.106,0.1057,0.1059,34737
1667404800000,0.1057,0.1058,0.105,0.1058,146340
1667408400000,0.1058,0.1059,0.1052,0.1052,53944
1667412000000,0.105,0.1082,0.105,0.1067,392805
1667415600000,0.1068,0.1074,0.105,0.1054,146460
1667419200000,0.105,0.1053,0.1042,0.1049,71232
1667422800000,0.1047,0.1054,0.1047,0.1052,40319
1667426400000,0.1052,0.1054,0.1046,0.1049,71503
1667430000000,0.1048,0.1058,0.1048,0.1054,20386
1667433600000,0.1052,0.1069,0.1051,0.1067,106924
1667437200000,0.1067,0.1073,0.1066,0.1073,50962
1667440800000,0.1073,0.108,0.1073,0.1079,40169
1667444400000,0.1078,0.1086,0.1078,0.1082,90593
1667448000000,0.1083,0.1087,0.1083,0.1086,99202
1667451600000,0.1087,0.109,0.1085,0.109,74088
1667455200000,0.109,0.109,0.1083,0.1084,87233
1667458800000,0.1085,0.1089,0.1078,0.1078,275176
1667462400000,0.108,0.1081,0.1075,0.1081,76664
1667466000000,0.1079,0.1091,0.1076,0.109,241702
1667469600000,0.109,0.1102,0.109,0.1091,474851
1667473200000,0.1091,0.1093,0.1075,0.1078,137507
1667476800000,0.1079,0.1083,0.1074,0.1077,137337
1667480400000,0.1077,0.1085,0.1076,0.1077,73483
1667484000000,0.1078,0.109,0.1077,0.1089,52414
1667487600000,0.1086,0.1088,0.1083,0.1088,32056
1667491200000,0.1084,0.1106,0.1084,0.1099,550506
1667494800000,0.11,0.1122,0.1094,0.112,484066
1667498400000,0.1119,0.1122,0.1106,0.1108,313473
1667502000000,0.1108,0.112,0.1106,0.1108,331551
1667505600000,0.1106,0.1112,0.1094,0.1102,424622
1667509200000,0.1103,0.1104,0.1097,0.11,235711
1667512800000,0.1098,0.1099,0.109,0.109,72631
1667516400000,0.109,0.109,0.108,0.1084,132166
1667520000000,0.1085,0.1094,0.1082,0.1094,114785
1667523600000,0.1094,0.1096,0.1085,0.1089,156928
1667527200000,0.1089,0.1091,0.1088,0.1091,77385
1667530800000,0.1091,0.1101,0.109,0.1101,119649
1667534400000,0.1101,0.1131,0.1101,0.1115,1514533
1667538000000,0.1117,0.1123,0.1109,0.1112,178430
1667541600000,0.1117,0.1123,0.1115,0.112,133060
1667545200000,0.112,0.1124,0.1117,0.1119,137133
1667548800000,0.1122,0.1123,0.1114,0.1115,155785
1667552400000,0.1114,0.1115,0.1108,0.1112,234633
1667556000000,0.111,0.1118,0.1106,0.1118,119730
1667559600000,0.1117,0.1121,0.1111,0.1111,210496
1667563200000,0.111,0.1126,0.1107,0.1126,176887
1667566800000,0.1125,0.1129,0.1114,0.1115,207224
1667570400000,0.1115,0.114,0.1115,0.113,421125
1667574000000,0.1128,0.1133,0.111,0.111,240261
1667577600000,0.111,0.1133,0.1109,0.1124,282603
1667581200000,0.1125,0.1134,0.1122,0.1129,129473
1667584800000,0.1129,0.1136,0.1125,0.1133,88870
1667588400000,0.1134,0.1144,0.1133,0.1139,190765
1667592000000,0.1139,0.1145,0.1135,0.114,210758
1667595600000,0.114,0.1145,0.1138,0.114,113265
1667599200000,0.114,0.1142,0.1136,0.1139,86681
1667602800000,0.1139,0.1143,0.1137,0.1143,73866
1667606400000,0.1143,0.1155,0.1141,0.1153,104042
1667610000000,0.1156,0.1156,0.1143,0.1144,237406
1667613600000,0.1144,0.1148,0.1142,0.1146,76434
1667617200000,0.1147,0.1149,0.1143,0.1147,73081
1667620800000,0.1147,0.1153,0.1147,0.1149,69507
1667624400000,0.115,0.115,0.1143,0.1143,43335
1667628000000,0.1146,0.1149,0.1143,0.1147,55819
1667631600000,0.1149,0.1149,0.1145,0.1146,38253
1667635200000,0.1148,0.1149,0.1131,0.1135,106652
1667638800000,0.1135,0.114,0.1132,0.1134,172682
1667642400000,0.1133,0.1138,0.1132,0.1138,95726
1667646000000,0.1135,0.1143,0.1135,0.114,166083
1667649600000,0.1141,0.1145,0.1132,0.1132,128633
1667653200000,0.1132,0.1134,0.1128,0.1131,45246
1667656800000,0.1131,0.1136,0.113,0.1134,147667
1667660400000,0.1133,0.1141,0.1133,0.1138,24646
1667664000000,0.1138,0.1147,0.1138,0.1145,54022
1667667600000,0.1145,0.115,0.1144,0.1147,37166
1667671200000,0.1147,0.1149,0.1136,0.1137,89142
1667674800000,0.1136,0.1139,0.113,0.1133,239721
1667678400000,0.1132,0.1138,0.1131,0.1134,39446
1667682000000,0.1133,0.1136,0.1131,0.1131,71343
1667685600000,0.1131,0.1138,0.113,0.1135,52752
1667689200000,0.1134,0.1134,0.1126,0.1131,106139
1667692800000,0.1132,0.1134,0.1129,0.1133,18013
1667696400000,0.1132,0.1133,0.1117,0.1117,560166
1667700000000,0.1118,0.1127,0.1117,0.1125,141149
1667703600000,0.1126,0.1133,0.1126,0.1132,155541
1667707200000,0.1132,0.1134,0.1127,0.113,21495
1667710800000,0.1134,0.1134,0.1124,0.1127,55553
1667714400000,0.1127,0.1127,0.1124,0.1127,11772
1667718000000,0.1126,0.1127,0.1117,0.1123,145201
1667721600000,0.1125,0.1129,0.1123,0.1129,30913
1667725200000,0.1129,0.1137,0.1129,0.1134,98814
1667728800000,0.1136,0.1139,0.1136,0.1137,39781
1667732400000,0.1137,0.1138,0.1132,0.1135,165365
1667736000000,0.1135,0.1139,0.113,0.1132,142318
1667739600000,0.113,0.1148,0.113,0.1144,302557
1667743200000,0.1142,0.1155,0.1137,0.1149,429382
1667746800000,0.1149,0.1153,0.1146,0.1147,195414
1667750400000,0.1148,0.1152,0.1135,0.1142,173844
1667754000000,0.1144,0.1146,0.1136,0.1139,141199
1667757600000,0.1141,0.1155,0.1133,0.1148,263746
1667761200000,0.1148,0.1154,0.1142,0.1151,162619
1667764800000,0.1149,0.1149,0.1134,0.114,375990
1667768400000,0.1139,0.114,0.1125,0.1131,224902
1667772000000,0.1133,0.1135,0.1126,0.1128,99955
1667775600000,0.1127,0.1129,0.111,0.1112,128119
1667779200000,0.111,0.1115,0.1104,0.111,273930
1667782800000,0.111,0.1121,0.1106,0.1118,52162
1667786400000,0.1117,0.1139,0.1117,0.1135,560073
1667790000000,0.1135,0.1145,0.1133,0.1137,285951
1667793600000,0.1137,0.1138,0.1126,0.1131,180658
1667797200000,0.1131,0.1136,0.1128,0.1131,45704
1667800800000,0.1132,0.1135,0.1127,0.1133,78329
1667804400000,0.1133,0.1137,0.1088,0.1095,575045
1667808000000,0.1093,0.1118,0.109,0.1116,413085
1667811600000,0.1118,0.1129,0.1117,0.1124,136474
1667815200000,0.1127,0.113,0.1124,0.1127,71795
1667818800000,0.1126,0.1129,0.1125,0.1128,25800
1667822400000,0.1127,0.115,0.1123,0.1138,1374488
1667826000000,0.1136,0.1139,0.113,0.1132,152983
1667829600000,0.1132,0.1132,0.1113,0.1114,660072
1667833200000,0.1121,0.1132,0.1119,0.1132,76035
1667836800000,0.1131,0.1133,0.1123,0.1125,121166
1667840400000,0.1123,0.1126,0.1121,0.1122,73770
1667844000000,0.1123,0.1128,0.1122,0.1127,52663
1667847600000,0.1127,0.113,0.1126,0.1128,65376
1667851200000,0.1128,0.1133,0.1128,0.1128,33493
1667854800000,0.1129,0.1133,0.1125,0.1128,101678
1667858400000,0.1128,0.1128,0.1108,0.1119,132219
1667862000000,0.1118,0.1123,0.1116,0.1123,44074
1667865600000,0.1122,0.1125,0.1119,0.112,25352
1667869200000,0.112,0.113,0.112,0.1128,11986
1667872800000,0.1128,0.1129,0.1119,0.1119,73133
1667876400000,0.1119,0.1119,0.109,0.109,276506
1667880000000,0.109,0.109,0.1052,0.1054,392110
1667883600000,0.1057,0.1074,0.1033,0.1043,949647
1667887200000,0.1038,0.1061,0.1038,0.1058,533505
1667890800000,0.1057,0.1064,0.1056,0.1063,50396
1667894400000,0.106,0.106,0.1009,0.1037,1614855
1667898000000,0.1037,0.1043,0.1034,0.104,109195
1667901600000,0.104,0.1041,0.1031,0.1033,242411
1667905200000,0.1032,0.1038,0.1029,0.1032,109002
1667908800000,0.1032,0.1036,0.103,0.1033,25850
1667912400000,0.1033,0.1039,0.1027,0.1029,335304
1667916000000,0.1029,0.1034,0.1016,0.1026,255293
1667919600000,0.1027,0.1035,0.1016,0.1031,344152
1667923200000,0.1031,0.1079,0.103,0.106,601059
1667926800000,0.106,0.1063,0.1016,0.1016,420050
1667930400000,0.1017,0.1021,0.0966,0.0974,1194569
1667934000000,0.098,0.0981,0.0889,0.0936,1403819
1667937600000,0.0935,0.0944,0.0915,0.0932,262325
1667941200000,0.0935,0.0947,0.092,0.0945,461114
1667944800000,0.0943,0.0943,0.0928,0.0931,165066
1667948400000,0.0934,0.0951,0.0927,0.0947,215473
1667952000000,0.0947,0.0947,0.0921,0.0928,779344
1667955600000,0.0928,0.0935,0.0923,0.0927,342631
1667959200000,0.0927,0.0937,0.0913,0.0913,220929
1667962800000,0.0913,0.0925,0.0903,0.0923,417129
1667966400000,0.0918,0.0922,0.0906,0.0914,107337
1667970000000,0.0912,0.0929,0.0904,0.0918,101987
1667973600000,0.0917,0.0925,0.0912,0.0914,190555
1667977200000,0.0917,0.092,0.0903,0.0907,185127
1667980800000,0.0904,0.0904,0.0886,0.0892,177792
1667984400000,0.0891,0.0892,0.0833,0.084,959031
1667988000000,0.0846,0.0849,0.0812,0.0839,724156
1667991600000,0.084,0.0845,0.0779,0.0845,1252277
1667995200000,0.0844,0.0863,0.084,0.0848,491948
1667998800000,0.0851,0.0852,0.0828,0.0834,227527
1668002400000,0.0835,0.0848,0.0825,0.0843,151899
1668006000000,0.084,0.0848,0.0801,0.0805,298549
1668009600000,0.0803,0.0817,0.0794,0.0807,305511
1668013200000,0.0807,0.081,0.0792,0.0795,133901
1668016800000,0.0793,0.0794,0.0756,0.0768,679222
1668020400000,0.0769,0.0792,0.0768,0.078,267308
1668024000000,0.078,0.0798,0.0766,0.077,330136
1668027600000,0.0768,0.077,0.0703,0.0707,773336
1668031200000,0.0704,0.072,0.0698,0.0712,526833
1668034800000,0.0712,0.0714,0.0696,0.0708,385045
1668038400000,0.0709,0.074,0.0701,0.0739,712029
1668042000000,0.0741,0.0749,0.0733,0.0735,347225
1668045600000,0.0734,0.0739,0.0727,0.0738,66072
1668049200000,0.0741,0.0765,0.0741,0.0761,276906
1668052800000,0.0762,0.078,0.0759,0.078,204973
1668056400000,0.0781,0.0792,0.0781,0.0792,90294
1668060000000,0.0791,0.081,0.0787,0.0794,458517
1668063600000,0.0794,0.0797,0.079,0.0793,189761
1668067200000,0.0792,0.08,0.0783,0.0799,210411
1668070800000,0.0798,0.0801,0.0791,0.0791,155458
1668074400000,0.079,0.0792,0.078,0.0781,139798
1668078000000,0.0782,0.0788,0.0775,0.0785,106672
1668081600000,0.0784,0.08,0.0784,0.0794,138025
1668085200000,0.0793,0.0838,0.0787,0.0834,906619
1668088800000,0.0835,0.0846,0.0827,0.0845,392607
1668092400000,0.0845,0.0854,0.084,0.0846,529356
1668096000000,0.0848,0.0868,0.0843,0.0864,389520
1668099600000,0.0864,0.0864,0.0822,0.083,278346
